1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2C00000041497E21
Is Mission Active?  true
Mission Start:  Wed Aug 26 08:54:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1247
Total Samples:  25990
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/26/20 8:54:00 AM,C,32
8/26/20 9:24:00 AM,C,30.5
8/26/20 9:54:00 AM,C,31
8/26/20 10:24:00 AM,C,32
8/26/20 10:54:00 AM,C,32
8/26/20 11:24:00 AM,C,32.5
8/26/20 11:54:00 AM,C,32.5
8/26/20 12:24:00 PM,C,33
8/26/20 12:54:00 PM,C,32
8/26/20 1:24:00 PM,C,33
8/26/20 1:54:00 PM,C,33.5
8/26/20 2:24:00 PM,C,34
8/26/20 2:54:00 PM,C,34
8/26/20 3:24:00 PM,C,34
8/26/20 3:54:00 PM,C,34
8/26/20 4:24:00 PM,C,33.5
8/26/20 4:54:00 PM,C,34.5
8/26/20 5:24:00 PM,C,33.5
8/26/20 5:54:00 PM,C,32.5
8/26/20 6:24:00 PM,C,31.5
8/26/20 6:54:00 PM,C,31
8/26/20 7:24:00 PM,C,31
8/26/20 7:54:00 PM,C,30.5
8/26/20 8:24:00 PM,C,30.5
8/26/20 8:54:00 PM,C,30
8/26/20 9:24:00 PM,C,29.5
8/26/20 9:54:00 PM,C,29.5
8/26/20 10:24:00 PM,C,29.5
8/26/20 10:54:00 PM,C,29.5
8/26/20 11:24:00 PM,C,29
8/26/20 11:54:00 PM,C,29
8/27/20 12:24:00 AM,C,29
8/27/20 12:54:00 AM,C,29
8/27/20 1:24:00 AM,C,28.5
8/27/20 1:54:00 AM,C,28.5
8/27/20 2:24:00 AM,C,28.5
8/27/20 2:54:00 AM,C,28.5
8/27/20 3:24:00 AM,C,28.5
8/27/20 3:54:00 AM,C,28.5
8/27/20 4:24:00 AM,C,28
8/27/20 4:54:00 AM,C,28
8/27/20 5:24:00 AM,C,28
8/27/20 5:54:00 AM,C,28
8/27/20 6:24:00 AM,C,28
8/27/20 6:54:00 AM,C,28.5
8/27/20 7:24:00 AM,C,29
8/27/20 7:54:00 AM,C,29
8/27/20 8:24:00 AM,C,29.5
8/27/20 8:54:00 AM,C,30
8/27/20 9:24:00 AM,C,30
8/27/20 9:54:00 AM,C,30.5
8/27/20 10:24:00 AM,C,31
8/27/20 10:54:00 AM,C,30.5
8/27/20 11:24:00 AM,C,31
8/27/20 11:54:00 AM,C,31.5
8/27/20 12:24:00 PM,C,32.5
8/27/20 12:54:00 PM,C,33
8/27/20 1:24:00 PM,C,34
8/27/20 1:54:00 PM,C,34
8/27/20 2:24:00 PM,C,34
8/27/20 2:54:00 PM,C,34
8/27/20 3:24:00 PM,C,34
8/27/20 3:54:00 PM,C,34
8/27/20 4:24:00 PM,C,32
8/27/20 4:54:00 PM,C,31
8/27/20 5:24:00 PM,C,30.5
8/27/20 5:54:00 PM,C,30.5
8/27/20 6:24:00 PM,C,30
8/27/20 6:54:00 PM,C,29.5
8/27/20 7:24:00 PM,C,29.5
8/27/20 7:54:00 PM,C,29.5
8/27/20 8:24:00 PM,C,29.5
8/27/20 8:54:00 PM,C,29.5
8/27/20 9:24:00 PM,C,29.5
8/27/20 9:54:00 PM,C,29.5
8/27/20 10:24:00 PM,C,29.5
8/27/20 10:54:00 PM,C,29
8/27/20 11:24:00 PM,C,29
8/27/20 11:54:00 PM,C,29
8/28/20 12:24:00 AM,C,29
8/28/20 12:54:00 AM,C,29
8/28/20 1:24:00 AM,C,29
8/28/20 1:54:00 AM,C,29
8/28/20 2:24:00 AM,C,28.5
8/28/20 2:54:00 AM,C,28.5
8/28/20 3:24:00 AM,C,28.5
8/28/20 3:54:00 AM,C,28.5
8/28/20 4:24:00 AM,C,28.5
8/28/20 4:54:00 AM,C,28.5
8/28/20 5:24:00 AM,C,28.5
8/28/20 5:54:00 AM,C,28
8/28/20 6:24:00 AM,C,28.5
8/28/20 6:54:00 AM,C,28.5
8/28/20 7:24:00 AM,C,28.5
8/28/20 7:54:00 AM,C,29
8/28/20 8:24:00 AM,C,29.5
8/28/20 8:54:00 AM,C,30
8/28/20 9:24:00 AM,C,30.5
8/28/20 9:54:00 AM,C,31
8/28/20 10:24:00 AM,C,31.5
8/28/20 10:54:00 AM,C,32
8/28/20 11:24:00 AM,C,32.5
8/28/20 11:54:00 AM,C,33
8/28/20 12:24:00 PM,C,33
8/28/20 12:54:00 PM,C,33.5
8/28/20 1:24:00 PM,C,34
8/28/20 1:54:00 PM,C,34
8/28/20 2:24:00 PM,C,34.5
8/28/20 2:54:00 PM,C,34.5
8/28/20 3:24:00 PM,C,34.5
8/28/20 3:54:00 PM,C,34
8/28/20 4:24:00 PM,C,34
8/28/20 4:54:00 PM,C,33.5
8/28/20 5:24:00 PM,C,32.5
8/28/20 5:54:00 PM,C,32
8/28/20 6:24:00 PM,C,31
8/28/20 6:54:00 PM,C,30.5
8/28/20 7:24:00 PM,C,30.5
8/28/20 7:54:00 PM,C,30
8/28/20 8:24:00 PM,C,30
8/28/20 8:54:00 PM,C,29.5
8/28/20 9:24:00 PM,C,29.5
8/28/20 9:54:00 PM,C,29.5
8/28/20 10:24:00 PM,C,29.5
8/28/20 10:54:00 PM,C,29
8/28/20 11:24:00 PM,C,29
8/28/20 11:54:00 PM,C,29
8/29/20 12:24:00 AM,C,29
8/29/20 12:54:00 AM,C,29
8/29/20 1:24:00 AM,C,29
8/29/20 1:54:00 AM,C,29
8/29/20 2:24:00 AM,C,28.5
8/29/20 2:54:00 AM,C,28.5
8/29/20 3:24:00 AM,C,28.5
