1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9B00000041611821
Is Mission Active?  true
Mission Start:  Wed Aug 26 10:34:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1246
Total Samples:  25726
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/26/20 10:34:00 AM,C,37.5
8/26/20 11:04:00 AM,C,48
8/26/20 11:34:00 AM,C,50
8/26/20 12:04:00 PM,C,48
8/26/20 12:34:00 PM,C,48
8/26/20 1:04:00 PM,C,38
8/26/20 1:34:00 PM,C,46.5
8/26/20 2:04:00 PM,C,48.5
8/26/20 2:34:00 PM,C,46.5
8/26/20 3:04:00 PM,C,48
8/26/20 3:34:00 PM,C,45.5
8/26/20 4:04:00 PM,C,42.5
8/26/20 4:34:00 PM,C,41.5
8/26/20 5:04:00 PM,C,39
8/26/20 5:34:00 PM,C,35.5
8/26/20 6:04:00 PM,C,32
8/26/20 6:34:00 PM,C,29
8/26/20 7:04:00 PM,C,28
8/26/20 7:34:00 PM,C,28
8/26/20 8:04:00 PM,C,28
8/26/20 8:34:00 PM,C,26
8/26/20 9:04:00 PM,C,27
8/26/20 9:34:00 PM,C,27
8/26/20 10:04:00 PM,C,26.5
8/26/20 10:34:00 PM,C,26.5
8/26/20 11:04:00 PM,C,26.5
8/26/20 11:34:00 PM,C,27
8/27/20 12:04:00 AM,C,27
8/27/20 12:34:00 AM,C,26.5
8/27/20 1:04:00 AM,C,26.5
8/27/20 1:34:00 AM,C,26
8/27/20 2:04:00 AM,C,26
8/27/20 2:34:00 AM,C,26
8/27/20 3:04:00 AM,C,26
8/27/20 3:34:00 AM,C,26
8/27/20 4:04:00 AM,C,26
8/27/20 4:34:00 AM,C,26.5
8/27/20 5:04:00 AM,C,25.5
8/27/20 5:34:00 AM,C,26
8/27/20 6:04:00 AM,C,26.5
8/27/20 6:34:00 AM,C,27
8/27/20 7:04:00 AM,C,29
8/27/20 7:34:00 AM,C,31.5
8/27/20 8:04:00 AM,C,34.5
8/27/20 8:34:00 AM,C,34
8/27/20 9:04:00 AM,C,35
8/27/20 9:34:00 AM,C,33.5
8/27/20 10:04:00 AM,C,34
8/27/20 10:34:00 AM,C,36.5
8/27/20 11:04:00 AM,C,37
8/27/20 11:34:00 AM,C,37
8/27/20 12:04:00 PM,C,41
8/27/20 12:34:00 PM,C,47
8/27/20 1:04:00 PM,C,52
8/27/20 1:34:00 PM,C,46
8/27/20 2:04:00 PM,C,48.5
8/27/20 2:34:00 PM,C,44
8/27/20 3:04:00 PM,C,44.5
8/27/20 3:34:00 PM,C,42.5
8/27/20 4:04:00 PM,C,38.5
8/27/20 4:34:00 PM,C,28
8/27/20 5:04:00 PM,C,28
8/27/20 5:34:00 PM,C,27
8/27/20 6:04:00 PM,C,28
8/27/20 6:34:00 PM,C,27.5
8/27/20 7:04:00 PM,C,27.5
8/27/20 7:34:00 PM,C,27
8/27/20 8:04:00 PM,C,27.5
8/27/20 8:34:00 PM,C,27.5
8/27/20 9:04:00 PM,C,27.5
8/27/20 9:34:00 PM,C,27.5
8/27/20 10:04:00 PM,C,27.5
8/27/20 10:34:00 PM,C,27
8/27/20 11:04:00 PM,C,27
8/27/20 11:34:00 PM,C,27
