1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 80000000419A0121
Is Mission Active?  true
Mission Start:  Mon Mar 15 08:51:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1152
Total Samples:  35280
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/15/21 8:51:00 AM,C,29
3/15/21 9:21:00 AM,C,26
3/15/21 9:51:00 AM,C,26.5
3/15/21 10:21:00 AM,C,35
3/15/21 10:51:00 AM,C,45
3/15/21 11:21:00 AM,C,45
3/15/21 11:51:00 AM,C,42
3/15/21 12:21:00 PM,C,43.5
3/15/21 12:51:00 PM,C,45.5
3/15/21 1:21:00 PM,C,42
3/15/21 1:51:00 PM,C,41
3/15/21 2:21:00 PM,C,42
3/15/21 2:51:00 PM,C,41.5
3/15/21 3:21:00 PM,C,37
3/15/21 3:51:00 PM,C,36
3/15/21 4:21:00 PM,C,33.5
3/15/21 4:51:00 PM,C,30.5
3/15/21 5:21:00 PM,C,29.5
3/15/21 5:51:00 PM,C,26.5
3/15/21 6:21:00 PM,C,25
3/15/21 6:51:00 PM,C,24.5
3/15/21 7:21:00 PM,C,24
3/15/21 7:51:00 PM,C,23.5
3/15/21 8:21:00 PM,C,23.5
3/15/21 8:51:00 PM,C,23.5
3/15/21 9:21:00 PM,C,23
3/15/21 9:51:00 PM,C,23
3/15/21 10:21:00 PM,C,23.5
3/15/21 10:51:00 PM,C,23
3/15/21 11:21:00 PM,C,23
3/15/21 11:51:00 PM,C,23
3/16/21 12:21:00 AM,C,23
3/16/21 12:51:00 AM,C,23
3/16/21 1:21:00 AM,C,23
3/16/21 1:51:00 AM,C,22.5
3/16/21 2:21:00 AM,C,22.5
3/16/21 2:51:00 AM,C,22.5
3/16/21 3:21:00 AM,C,22.5
3/16/21 3:51:00 AM,C,22
3/16/21 4:21:00 AM,C,21.5
3/16/21 4:51:00 AM,C,21
3/16/21 5:21:00 AM,C,21
3/16/21 5:51:00 AM,C,21
3/16/21 6:21:00 AM,C,21
3/16/21 6:51:00 AM,C,21
3/16/21 7:21:00 AM,C,21.5
3/16/21 7:51:00 AM,C,22.5
3/16/21 8:21:00 AM,C,24
3/16/21 8:51:00 AM,C,24.5
3/16/21 9:21:00 AM,C,26.5
3/16/21 9:51:00 AM,C,26.5
3/16/21 10:21:00 AM,C,41
3/16/21 10:51:00 AM,C,44.5
3/16/21 11:21:00 AM,C,44.5
3/16/21 11:51:00 AM,C,44
3/16/21 12:21:00 PM,C,44
3/16/21 12:51:00 PM,C,44
3/16/21 1:21:00 PM,C,43
3/16/21 1:51:00 PM,C,41
3/16/21 2:21:00 PM,C,42
3/16/21 2:51:00 PM,C,39.5
3/16/21 3:21:00 PM,C,38.5
3/16/21 3:51:00 PM,C,36.5
3/16/21 4:21:00 PM,C,34
3/16/21 4:51:00 PM,C,32
3/16/21 5:21:00 PM,C,30
3/16/21 5:51:00 PM,C,27
3/16/21 6:21:00 PM,C,25.5
3/16/21 6:51:00 PM,C,24.5
3/16/21 7:21:00 PM,C,24
3/16/21 7:51:00 PM,C,24
3/16/21 8:21:00 PM,C,24
3/16/21 8:51:00 PM,C,23.5
3/16/21 9:21:00 PM,C,24
3/16/21 9:51:00 PM,C,23.5
3/16/21 10:21:00 PM,C,23.5
3/16/21 10:51:00 PM,C,23.5
3/16/21 11:21:00 PM,C,24
3/16/21 11:51:00 PM,C,23.5
3/17/21 12:21:00 AM,C,23.5
3/17/21 12:51:00 AM,C,23.5
3/17/21 1:21:00 AM,C,22.5
3/17/21 1:51:00 AM,C,23
3/17/21 2:21:00 AM,C,23
3/17/21 2:51:00 AM,C,22.5
3/17/21 3:21:00 AM,C,22
3/17/21 3:51:00 AM,C,21.5
3/17/21 4:21:00 AM,C,22.5
3/17/21 4:51:00 AM,C,22.5
3/17/21 5:21:00 AM,C,22.5
3/17/21 5:51:00 AM,C,23
3/17/21 6:21:00 AM,C,22.5
3/17/21 6:51:00 AM,C,21.5
3/17/21 7:21:00 AM,C,22
3/17/21 7:51:00 AM,C,23
3/17/21 8:21:00 AM,C,23
3/17/21 8:51:00 AM,C,25
3/17/21 9:21:00 AM,C,25
3/17/21 9:51:00 AM,C,25.5
3/17/21 10:21:00 AM,C,23.5
3/17/21 10:51:00 AM,C,30.5
3/17/21 11:21:00 AM,C,31.5
3/17/21 11:51:00 AM,C,36.5
3/17/21 12:21:00 PM,C,35
3/17/21 12:51:00 PM,C,37
3/17/21 1:21:00 PM,C,41
3/17/21 1:51:00 PM,C,40.5
3/17/21 2:21:00 PM,C,40.5
3/17/21 2:51:00 PM,C,38.5
3/17/21 3:21:00 PM,C,35.5
3/17/21 3:51:00 PM,C,35
3/17/21 4:21:00 PM,C,32.5
3/17/21 4:51:00 PM,C,31.5
3/17/21 5:21:00 PM,C,28.5
3/17/21 5:51:00 PM,C,26.5
3/17/21 6:21:00 PM,C,25.5
3/17/21 6:51:00 PM,C,25
3/17/21 7:21:00 PM,C,24.5
3/17/21 7:51:00 PM,C,24
3/17/21 8:21:00 PM,C,24
3/17/21 8:51:00 PM,C,24
3/17/21 9:21:00 PM,C,24
3/17/21 9:51:00 PM,C,23.5
3/17/21 10:21:00 PM,C,23
3/17/21 10:51:00 PM,C,23.5
3/17/21 11:21:00 PM,C,23.5
3/17/21 11:51:00 PM,C,23
3/18/21 12:21:00 AM,C,22.5
3/18/21 12:51:00 AM,C,22.5
3/18/21 1:21:00 AM,C,22.5
3/18/21 1:51:00 AM,C,22
3/18/21 2:21:00 AM,C,21.5
3/18/21 2:51:00 AM,C,22
3/18/21 3:21:00 AM,C,22
3/18/21 3:51:00 AM,C,22
3/18/21 4:21:00 AM,C,22
3/18/21 4:51:00 AM,C,21.5
3/18/21 5:21:00 AM,C,22
3/18/21 5:51:00 AM,C,22
3/18/21 6:21:00 AM,C,22
3/18/21 6:51:00 AM,C,22.5
3/18/21 7:21:00 AM,C,24
3/18/21 7:51:00 AM,C,26
3/18/21 8:21:00 AM,C,23.5
3/18/21 8:51:00 AM,C,25
3/18/21 9:21:00 AM,C,25.5
3/18/21 9:51:00 AM,C,27
3/18/21 10:21:00 AM,C,39
3/18/21 10:51:00 AM,C,41.5
3/18/21 11:21:00 AM,C,46
3/18/21 11:51:00 AM,C,45.5
3/18/21 12:21:00 PM,C,47
3/18/21 12:51:00 PM,C,46.5
3/18/21 1:21:00 PM,C,48
3/18/21 1:51:00 PM,C,45.5
3/18/21 2:21:00 PM,C,44
3/18/21 2:51:00 PM,C,40
3/18/21 3:21:00 PM,C,33
3/18/21 3:51:00 PM,C,37.5
3/18/21 4:21:00 PM,C,34.5
3/18/21 4:51:00 PM,C,31.5
3/18/21 5:21:00 PM,C,26.5
3/18/21 5:51:00 PM,C,27
3/18/21 6:21:00 PM,C,26
