1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 900000004164BF21
Is Mission Active?  true
Mission Start:  Mon Mar 15 09:09:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1152
Total Samples:  35278
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/15/21 9:09:00 AM,C,30
3/15/21 9:39:00 AM,C,27
3/15/21 10:09:00 AM,C,28.5
3/15/21 10:39:00 AM,C,29
3/15/21 11:09:00 AM,C,29
3/15/21 11:39:00 AM,C,29.5
3/15/21 12:09:00 PM,C,29.5
3/15/21 12:39:00 PM,C,29.5
3/15/21 1:09:00 PM,C,29.5
3/15/21 1:39:00 PM,C,29.5
3/15/21 2:09:00 PM,C,29.5
3/15/21 2:39:00 PM,C,29.5
3/15/21 3:09:00 PM,C,29
3/15/21 3:39:00 PM,C,29
3/15/21 4:09:00 PM,C,29
3/15/21 4:39:00 PM,C,29.5
3/15/21 5:09:00 PM,C,28.5
3/15/21 5:39:00 PM,C,31.5
3/15/21 6:09:00 PM,C,27
3/15/21 6:39:00 PM,C,26
3/15/21 7:09:00 PM,C,26
3/15/21 7:39:00 PM,C,25.5
3/15/21 8:09:00 PM,C,25.5
3/15/21 8:39:00 PM,C,25
3/15/21 9:09:00 PM,C,25
3/15/21 9:39:00 PM,C,25
3/15/21 10:09:00 PM,C,25
3/15/21 10:39:00 PM,C,25
3/15/21 11:09:00 PM,C,25
3/15/21 11:39:00 PM,C,25
3/16/21 12:09:00 AM,C,24.5
3/16/21 12:39:00 AM,C,24.5
3/16/21 1:09:00 AM,C,24.5
3/16/21 1:39:00 AM,C,24.5
3/16/21 2:09:00 AM,C,24.5
3/16/21 2:39:00 AM,C,24.5
3/16/21 3:09:00 AM,C,24.5
3/16/21 3:39:00 AM,C,24
3/16/21 4:09:00 AM,C,24
3/16/21 4:39:00 AM,C,23.5
3/16/21 5:09:00 AM,C,23.5
3/16/21 5:39:00 AM,C,23.5
3/16/21 6:09:00 AM,C,23.5
3/16/21 6:39:00 AM,C,23.5
3/16/21 7:09:00 AM,C,23.5
3/16/21 7:39:00 AM,C,24.5
3/16/21 8:09:00 AM,C,25
3/16/21 8:39:00 AM,C,26
3/16/21 9:09:00 AM,C,27.5
3/16/21 9:39:00 AM,C,27
3/16/21 10:09:00 AM,C,28.5
3/16/21 10:39:00 AM,C,29
3/16/21 11:09:00 AM,C,29
3/16/21 11:39:00 AM,C,29
3/16/21 12:09:00 PM,C,29
3/16/21 12:39:00 PM,C,29
3/16/21 1:09:00 PM,C,28.5
3/16/21 1:39:00 PM,C,29
3/16/21 2:09:00 PM,C,29
3/16/21 2:39:00 PM,C,29
3/16/21 3:09:00 PM,C,29
3/16/21 3:39:00 PM,C,29
3/16/21 4:09:00 PM,C,29
3/16/21 4:39:00 PM,C,29
3/16/21 5:09:00 PM,C,29
3/16/21 5:39:00 PM,C,30.5
3/16/21 6:09:00 PM,C,27.5
3/16/21 6:39:00 PM,C,26.5
3/16/21 7:09:00 PM,C,26
3/16/21 7:39:00 PM,C,26
3/16/21 8:09:00 PM,C,25.5
3/16/21 8:39:00 PM,C,25.5
3/16/21 9:09:00 PM,C,25.5
3/16/21 9:39:00 PM,C,25.5
3/16/21 10:09:00 PM,C,25
3/16/21 10:39:00 PM,C,25
3/16/21 11:09:00 PM,C,25
3/16/21 11:39:00 PM,C,25
3/17/21 12:09:00 AM,C,25
