1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4400000041B21221
Is Mission Active?  true
Mission Start:  Fri Jul 09 08:16:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1343
Total Samples:  41052
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/9/21 8:16:00 AM,C,32
7/9/21 8:46:00 AM,C,29
7/9/21 9:16:00 AM,C,30
7/9/21 9:46:00 AM,C,32
7/9/21 10:16:00 AM,C,31.5
7/9/21 10:46:00 AM,C,30.5
7/9/21 11:16:00 AM,C,32
7/9/21 11:46:00 AM,C,32.5
7/9/21 12:16:00 PM,C,32.5
7/9/21 12:46:00 PM,C,33.5
7/9/21 1:16:00 PM,C,34
7/9/21 1:46:00 PM,C,34
7/9/21 2:16:00 PM,C,34
7/9/21 2:46:00 PM,C,33.5
7/9/21 3:16:00 PM,C,33.5
7/9/21 3:46:00 PM,C,33.5
7/9/21 4:16:00 PM,C,33
7/9/21 4:46:00 PM,C,33
7/9/21 5:16:00 PM,C,32.5
7/9/21 5:46:00 PM,C,32
7/9/21 6:16:00 PM,C,30
7/9/21 6:46:00 PM,C,30
7/9/21 7:16:00 PM,C,30
7/9/21 7:46:00 PM,C,29.5
7/9/21 8:16:00 PM,C,29.5
7/9/21 8:46:00 PM,C,29
7/9/21 9:16:00 PM,C,29
7/9/21 9:46:00 PM,C,29
7/9/21 10:16:00 PM,C,28.5
7/9/21 10:46:00 PM,C,28.5
7/9/21 11:16:00 PM,C,28.5
7/9/21 11:46:00 PM,C,27.5
7/10/21 12:16:00 AM,C,27.5
7/10/21 12:46:00 AM,C,27.5
7/10/21 1:16:00 AM,C,27.5
7/10/21 1:46:00 AM,C,27.5
7/10/21 2:16:00 AM,C,27.5
7/10/21 2:46:00 AM,C,26
7/10/21 3:16:00 AM,C,26
7/10/21 3:46:00 AM,C,25.5
7/10/21 4:16:00 AM,C,25.5
7/10/21 4:46:00 AM,C,25.5
7/10/21 5:16:00 AM,C,25.5
7/10/21 5:46:00 AM,C,25.5
7/10/21 6:16:00 AM,C,26
7/10/21 6:46:00 AM,C,26
7/10/21 7:16:00 AM,C,26
7/10/21 7:46:00 AM,C,26
7/10/21 8:16:00 AM,C,26.5
7/10/21 8:46:00 AM,C,27
7/10/21 9:16:00 AM,C,28
7/10/21 9:46:00 AM,C,28
7/10/21 10:16:00 AM,C,28
7/10/21 10:46:00 AM,C,27.5
7/10/21 11:16:00 AM,C,27
7/10/21 11:46:00 AM,C,27
7/10/21 12:16:00 PM,C,28
7/10/21 12:46:00 PM,C,28.5
7/10/21 1:16:00 PM,C,29.5
7/10/21 1:46:00 PM,C,30.5
7/10/21 2:16:00 PM,C,30.5
7/10/21 2:46:00 PM,C,30.5
7/10/21 3:16:00 PM,C,30.5
7/10/21 3:46:00 PM,C,30
7/10/21 4:16:00 PM,C,30
7/10/21 4:46:00 PM,C,30.5
7/10/21 5:16:00 PM,C,30
7/10/21 5:46:00 PM,C,30
7/10/21 6:16:00 PM,C,29.5
7/10/21 6:46:00 PM,C,29
7/10/21 7:16:00 PM,C,29
7/10/21 7:46:00 PM,C,28.5
7/10/21 8:16:00 PM,C,28.5
7/10/21 8:46:00 PM,C,28
7/10/21 9:16:00 PM,C,28
7/10/21 9:46:00 PM,C,28
7/10/21 10:16:00 PM,C,28
7/10/21 10:46:00 PM,C,28
7/10/21 11:16:00 PM,C,28
7/10/21 11:46:00 PM,C,28
7/11/21 12:16:00 AM,C,28
7/11/21 12:46:00 AM,C,28
7/11/21 1:16:00 AM,C,27.5
7/11/21 1:46:00 AM,C,27.5
7/11/21 2:16:00 AM,C,27.5
7/11/21 2:46:00 AM,C,27.5
7/11/21 3:16:00 AM,C,27.5
7/11/21 3:46:00 AM,C,27.5
7/11/21 4:16:00 AM,C,27
7/11/21 4:46:00 AM,C,27
7/11/21 5:16:00 AM,C,27
7/11/21 5:46:00 AM,C,27
7/11/21 6:16:00 AM,C,27
7/11/21 6:46:00 AM,C,27
7/11/21 7:16:00 AM,C,27.5
7/11/21 7:46:00 AM,C,28
7/11/21 8:16:00 AM,C,28
7/11/21 8:46:00 AM,C,28
7/11/21 9:16:00 AM,C,28.5
7/11/21 9:46:00 AM,C,28.5
7/11/21 10:16:00 AM,C,28.5
7/11/21 10:46:00 AM,C,29
7/11/21 11:16:00 AM,C,30.5
7/11/21 11:46:00 AM,C,31.5
7/11/21 12:16:00 PM,C,32.5
7/11/21 12:46:00 PM,C,32.5
7/11/21 1:16:00 PM,C,33
7/11/21 1:46:00 PM,C,33
7/11/21 2:16:00 PM,C,33
7/11/21 2:46:00 PM,C,33
7/11/21 3:16:00 PM,C,33
7/11/21 3:46:00 PM,C,33
7/11/21 4:16:00 PM,C,33
7/11/21 4:46:00 PM,C,32
7/11/21 5:16:00 PM,C,31.5
