1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5900000041AF5921
Is Mission Active?  true
Mission Start:  Fri Jul 09 08:13:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1344
Total Samples:  41053
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/9/21 8:13:00 AM,C,32.5
7/9/21 8:43:00 AM,C,31
7/9/21 9:13:00 AM,C,44.5
7/9/21 9:43:00 AM,C,43.5
7/9/21 10:13:00 AM,C,48.5
7/9/21 10:43:00 AM,C,32
7/9/21 11:13:00 AM,C,46
7/9/21 11:43:00 AM,C,49.5
7/9/21 12:13:00 PM,C,44
7/9/21 12:43:00 PM,C,52
7/9/21 1:13:00 PM,C,54
7/9/21 1:43:00 PM,C,51
7/9/21 2:13:00 PM,C,49
7/9/21 2:43:00 PM,C,42.5
7/9/21 3:13:00 PM,C,45
7/9/21 3:43:00 PM,C,44
7/9/21 4:13:00 PM,C,38.5
7/9/21 4:43:00 PM,C,39
7/9/21 5:13:00 PM,C,32
7/9/21 5:43:00 PM,C,31.5
7/9/21 6:13:00 PM,C,28.5
7/9/21 6:43:00 PM,C,28
7/9/21 7:13:00 PM,C,28
7/9/21 7:43:00 PM,C,27.5
7/9/21 8:13:00 PM,C,27.5
7/9/21 8:43:00 PM,C,27.5
7/9/21 9:13:00 PM,C,27.5
7/9/21 9:43:00 PM,C,27
7/9/21 10:13:00 PM,C,27
7/9/21 10:43:00 PM,C,27
7/9/21 11:13:00 PM,C,26.5
7/9/21 11:43:00 PM,C,24.5
7/10/21 12:13:00 AM,C,25
7/10/21 12:43:00 AM,C,25.5
7/10/21 1:13:00 AM,C,25.5
7/10/21 1:43:00 AM,C,26
7/10/21 2:13:00 AM,C,25.5
7/10/21 2:43:00 AM,C,24.5
7/10/21 3:13:00 AM,C,24.5
7/10/21 3:43:00 AM,C,24
7/10/21 4:13:00 AM,C,23.5
7/10/21 4:43:00 AM,C,23.5
7/10/21 5:13:00 AM,C,24
7/10/21 5:43:00 AM,C,24.5
7/10/21 6:13:00 AM,C,25
7/10/21 6:43:00 AM,C,26
7/10/21 7:13:00 AM,C,25.5
7/10/21 7:43:00 AM,C,26
7/10/21 8:13:00 AM,C,28.5
7/10/21 8:43:00 AM,C,29.5
7/10/21 9:13:00 AM,C,35.5
7/10/21 9:43:00 AM,C,31
7/10/21 10:13:00 AM,C,32
7/10/21 10:43:00 AM,C,30.5
7/10/21 11:13:00 AM,C,28.5
7/10/21 11:43:00 AM,C,26.5
7/10/21 12:13:00 PM,C,34.5
7/10/21 12:43:00 PM,C,33
7/10/21 1:13:00 PM,C,37.5
7/10/21 1:43:00 PM,C,39
7/10/21 2:13:00 PM,C,38
7/10/21 2:43:00 PM,C,36
7/10/21 3:13:00 PM,C,35.5
7/10/21 3:43:00 PM,C,34.5
7/10/21 4:13:00 PM,C,33
7/10/21 4:43:00 PM,C,31.5
7/10/21 5:13:00 PM,C,30.5
7/10/21 5:43:00 PM,C,29.5
7/10/21 6:13:00 PM,C,27.5
7/10/21 6:43:00 PM,C,27
7/10/21 7:13:00 PM,C,26.5
7/10/21 7:43:00 PM,C,26.5
7/10/21 8:13:00 PM,C,26
7/10/21 8:43:00 PM,C,26
7/10/21 9:13:00 PM,C,26
7/10/21 9:43:00 PM,C,26
7/10/21 10:13:00 PM,C,25.5
7/10/21 10:43:00 PM,C,25.5
7/10/21 11:13:00 PM,C,26
7/10/21 11:43:00 PM,C,26
7/11/21 12:13:00 AM,C,26
7/11/21 12:43:00 AM,C,26
7/11/21 1:13:00 AM,C,26.5
7/11/21 1:43:00 AM,C,26.5
7/11/21 2:13:00 AM,C,26.5
7/11/21 2:43:00 AM,C,26
7/11/21 3:13:00 AM,C,26
7/11/21 3:43:00 AM,C,26
7/11/21 4:13:00 AM,C,25
7/11/21 4:43:00 AM,C,25
7/11/21 5:13:00 AM,C,24.5
7/11/21 5:43:00 AM,C,24.5
7/11/21 6:13:00 AM,C,24.5
7/11/21 6:43:00 AM,C,25.5
7/11/21 7:13:00 AM,C,27.5
7/11/21 7:43:00 AM,C,29.5
7/11/21 8:13:00 AM,C,29
7/11/21 8:43:00 AM,C,29.5
7/11/21 9:13:00 AM,C,31
7/11/21 9:43:00 AM,C,30.5
7/11/21 10:13:00 AM,C,30
7/11/21 10:43:00 AM,C,31.5
7/11/21 11:13:00 AM,C,35.5
7/11/21 11:43:00 AM,C,39
7/11/21 12:13:00 PM,C,45.5
7/11/21 12:43:00 PM,C,45.5
7/11/21 1:13:00 PM,C,46.5
7/11/21 1:43:00 PM,C,44
7/11/21 2:13:00 PM,C,46
7/11/21 2:43:00 PM,C,45
7/11/21 3:13:00 PM,C,42
7/11/21 3:43:00 PM,C,38
7/11/21 4:13:00 PM,C,38.5
7/11/21 4:43:00 PM,C,34
7/11/21 5:13:00 PM,C,32
7/11/21 5:43:00 PM,C,30.5
7/11/21 6:13:00 PM,C,29.5
7/11/21 6:43:00 PM,C,28.5
7/11/21 7:13:00 PM,C,28.5
7/11/21 7:43:00 PM,C,28
7/11/21 8:13:00 PM,C,28
7/11/21 8:43:00 PM,C,28
7/11/21 9:13:00 PM,C,27.5
7/11/21 9:43:00 PM,C,28
7/11/21 10:13:00 PM,C,26
7/11/21 10:43:00 PM,C,26.5
7/11/21 11:13:00 PM,C,27
7/11/21 11:43:00 PM,C,27
7/12/21 12:13:00 AM,C,27.5
7/12/21 12:43:00 AM,C,27
7/12/21 1:13:00 AM,C,27
7/12/21 1:43:00 AM,C,27
7/12/21 2:13:00 AM,C,27
7/12/21 2:43:00 AM,C,27
7/12/21 3:13:00 AM,C,27
7/12/21 3:43:00 AM,C,27
7/12/21 4:13:00 AM,C,27
7/12/21 4:43:00 AM,C,26.5
7/12/21 5:13:00 AM,C,27
7/12/21 5:43:00 AM,C,27.5
7/12/21 6:13:00 AM,C,27.5
7/12/21 6:43:00 AM,C,27.5
7/12/21 7:13:00 AM,C,28
