1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7B00000041505C21
Is Mission Active?  true
Mission Start:  Thu Jan 28 09:21:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1390
Total Samples:  33320
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/28/21 9:21:00 AM,C,33
1/28/21 9:51:00 AM,C,47
1/28/21 10:21:00 AM,C,49.5
1/28/21 10:51:00 AM,C,54
1/28/21 11:21:00 AM,C,58.5
1/28/21 11:51:00 AM,C,58
1/28/21 12:21:00 PM,C,56.5
1/28/21 12:51:00 PM,C,59
1/28/21 1:21:00 PM,C,59.5
1/28/21 1:51:00 PM,C,52
1/28/21 2:21:00 PM,C,43.5
1/28/21 2:51:00 PM,C,45
1/28/21 3:21:00 PM,C,42
1/28/21 3:51:00 PM,C,38.5
1/28/21 4:21:00 PM,C,35.5
1/28/21 4:51:00 PM,C,34
1/28/21 5:21:00 PM,C,30.5
1/28/21 5:51:00 PM,C,28
1/28/21 6:21:00 PM,C,26.5
1/28/21 6:51:00 PM,C,25.5
1/28/21 7:21:00 PM,C,25
1/28/21 7:51:00 PM,C,24
1/28/21 8:21:00 PM,C,23.5
1/28/21 8:51:00 PM,C,22.5
1/28/21 9:21:00 PM,C,22
1/28/21 9:51:00 PM,C,21.5
1/28/21 10:21:00 PM,C,21
1/28/21 10:51:00 PM,C,20.5
1/28/21 11:21:00 PM,C,20.5
1/28/21 11:51:00 PM,C,20.5
1/29/21 12:21:00 AM,C,20.5
1/29/21 12:51:00 AM,C,20
1/29/21 1:21:00 AM,C,20
1/29/21 1:51:00 AM,C,20
1/29/21 2:21:00 AM,C,19.5
1/29/21 2:51:00 AM,C,19.5
1/29/21 3:21:00 AM,C,19.5
1/29/21 3:51:00 AM,C,19
1/29/21 4:21:00 AM,C,18.5
1/29/21 4:51:00 AM,C,18.5
1/29/21 5:21:00 AM,C,18
1/29/21 5:51:00 AM,C,18.5
1/29/21 6:21:00 AM,C,18.5
1/29/21 6:51:00 AM,C,18
1/29/21 7:21:00 AM,C,18.5
1/29/21 7:51:00 AM,C,22
1/29/21 8:21:00 AM,C,24
1/29/21 8:51:00 AM,C,36.5
1/29/21 9:21:00 AM,C,41
1/29/21 9:51:00 AM,C,46.5
1/29/21 10:21:00 AM,C,49.5
1/29/21 10:51:00 AM,C,48.5
1/29/21 11:21:00 AM,C,48
1/29/21 11:51:00 AM,C,55
1/29/21 12:21:00 PM,C,56.5
1/29/21 12:51:00 PM,C,59
1/29/21 1:21:00 PM,C,49
1/29/21 1:51:00 PM,C,46
1/29/21 2:21:00 PM,C,47.5
1/29/21 2:51:00 PM,C,47
1/29/21 3:21:00 PM,C,45.5
1/29/21 3:51:00 PM,C,38.5
1/29/21 4:21:00 PM,C,34.5
1/29/21 4:51:00 PM,C,32.5
1/29/21 5:21:00 PM,C,32
1/29/21 5:51:00 PM,C,28.5
1/29/21 6:21:00 PM,C,27
1/29/21 6:51:00 PM,C,25.5
1/29/21 7:21:00 PM,C,25
1/29/21 7:51:00 PM,C,24
1/29/21 8:21:00 PM,C,24
1/29/21 8:51:00 PM,C,23.5
1/29/21 9:21:00 PM,C,23
1/29/21 9:51:00 PM,C,22
1/29/21 10:21:00 PM,C,22
1/29/21 10:51:00 PM,C,21.5
1/29/21 11:21:00 PM,C,21
1/29/21 11:51:00 PM,C,21
1/30/21 12:21:00 AM,C,21
1/30/21 12:51:00 AM,C,21.5
1/30/21 1:21:00 AM,C,20.5
1/30/21 1:51:00 AM,C,20.5
1/30/21 2:21:00 AM,C,20.5
1/30/21 2:51:00 AM,C,20
1/30/21 3:21:00 AM,C,20
1/30/21 3:51:00 AM,C,19.5
1/30/21 4:21:00 AM,C,19.5
1/30/21 4:51:00 AM,C,20
1/30/21 5:21:00 AM,C,19.5
1/30/21 5:51:00 AM,C,19.5
1/30/21 6:21:00 AM,C,19
1/30/21 6:51:00 AM,C,19.5
1/30/21 7:21:00 AM,C,19.5
1/30/21 7:51:00 AM,C,20
1/30/21 8:21:00 AM,C,33
1/30/21 8:51:00 AM,C,36.5
1/30/21 9:21:00 AM,C,40.5
1/30/21 9:51:00 AM,C,42.5
1/30/21 10:21:00 AM,C,37
1/30/21 10:51:00 AM,C,46.5
1/30/21 11:21:00 AM,C,29
1/30/21 11:51:00 AM,C,30
1/30/21 12:21:00 PM,C,40
1/30/21 12:51:00 PM,C,43
1/30/21 1:21:00 PM,C,40
1/30/21 1:51:00 PM,C,28.5
1/30/21 2:21:00 PM,C,31
1/30/21 2:51:00 PM,C,26
1/30/21 3:21:00 PM,C,26.5
1/30/21 3:51:00 PM,C,28
1/30/21 4:21:00 PM,C,28
1/30/21 4:51:00 PM,C,28
1/30/21 5:21:00 PM,C,26.5
1/30/21 5:51:00 PM,C,25
1/30/21 6:21:00 PM,C,24
1/30/21 6:51:00 PM,C,24
1/30/21 7:21:00 PM,C,23.5
1/30/21 7:51:00 PM,C,23
1/30/21 8:21:00 PM,C,23
1/30/21 8:51:00 PM,C,23
1/30/21 9:21:00 PM,C,23
1/30/21 9:51:00 PM,C,23.5
1/30/21 10:21:00 PM,C,22.5
1/30/21 10:51:00 PM,C,23
1/30/21 11:21:00 PM,C,23
1/30/21 11:51:00 PM,C,23
1/31/21 12:21:00 AM,C,23
1/31/21 12:51:00 AM,C,23
1/31/21 1:21:00 AM,C,23
1/31/21 1:51:00 AM,C,22.5
1/31/21 2:21:00 AM,C,22.5
1/31/21 2:51:00 AM,C,22.5
1/31/21 3:21:00 AM,C,22.5
1/31/21 3:51:00 AM,C,22.5
1/31/21 4:21:00 AM,C,22.5
1/31/21 4:51:00 AM,C,23
1/31/21 5:21:00 AM,C,23.5
1/31/21 5:51:00 AM,C,23
1/31/21 6:21:00 AM,C,23
1/31/21 6:51:00 AM,C,22
1/31/21 7:21:00 AM,C,22.5
1/31/21 7:51:00 AM,C,23
1/31/21 8:21:00 AM,C,25.5
1/31/21 8:51:00 AM,C,24.5
1/31/21 9:21:00 AM,C,26.5
1/31/21 9:51:00 AM,C,28.5
1/31/21 10:21:00 AM,C,24.5
1/31/21 10:51:00 AM,C,25
1/31/21 11:21:00 AM,C,24.5
1/31/21 11:51:00 AM,C,29
1/31/21 12:21:00 PM,C,29.5
1/31/21 12:51:00 PM,C,31
1/31/21 1:21:00 PM,C,33.5
1/31/21 1:51:00 PM,C,24.5
1/31/21 2:21:00 PM,C,27
1/31/21 2:51:00 PM,C,36
1/31/21 3:21:00 PM,C,31.5
1/31/21 3:51:00 PM,C,30
1/31/21 4:21:00 PM,C,28.5
1/31/21 4:51:00 PM,C,30
1/31/21 5:21:00 PM,C,24.5
1/31/21 5:51:00 PM,C,24.5
1/31/21 6:21:00 PM,C,24.5
1/31/21 6:51:00 PM,C,24
1/31/21 7:21:00 PM,C,24
1/31/21 7:51:00 PM,C,24
1/31/21 8:21:00 PM,C,24
1/31/21 8:51:00 PM,C,23.5
1/31/21 9:21:00 PM,C,23
1/31/21 9:51:00 PM,C,23.5
1/31/21 10:21:00 PM,C,23.5
1/31/21 10:51:00 PM,C,23
1/31/21 11:21:00 PM,C,24
1/31/21 11:51:00 PM,C,23
2/1/21 12:21:00 AM,C,23
2/1/21 12:51:00 AM,C,23
2/1/21 1:21:00 AM,C,23
2/1/21 1:51:00 AM,C,23.5
2/1/21 2:21:00 AM,C,23
2/1/21 2:51:00 AM,C,23
2/1/21 3:21:00 AM,C,23
2/1/21 3:51:00 AM,C,23
2/1/21 4:21:00 AM,C,23
2/1/21 4:51:00 AM,C,23.5
2/1/21 5:21:00 AM,C,23
2/1/21 5:51:00 AM,C,23
2/1/21 6:21:00 AM,C,23
2/1/21 6:51:00 AM,C,23
2/1/21 7:21:00 AM,C,23
2/1/21 7:51:00 AM,C,24.5
2/1/21 8:21:00 AM,C,31.5
2/1/21 8:51:00 AM,C,35
2/1/21 9:21:00 AM,C,38
2/1/21 9:51:00 AM,C,41.5
2/1/21 10:21:00 AM,C,41
2/1/21 10:51:00 AM,C,46.5
2/1/21 11:21:00 AM,C,46.5
2/1/21 11:51:00 AM,C,48
2/1/21 12:21:00 PM,C,48
2/1/21 12:51:00 PM,C,48.5
2/1/21 1:21:00 PM,C,46
2/1/21 1:51:00 PM,C,42
2/1/21 2:21:00 PM,C,43
2/1/21 2:51:00 PM,C,40
2/1/21 3:21:00 PM,C,38.5
2/1/21 3:51:00 PM,C,36
2/1/21 4:21:00 PM,C,33
2/1/21 4:51:00 PM,C,32.5
2/1/21 5:21:00 PM,C,31.5
2/1/21 5:51:00 PM,C,29
2/1/21 6:21:00 PM,C,27.5
2/1/21 6:51:00 PM,C,26.5
