1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 23000000415A2021
Is Mission Active?  true
Mission Start:  Tue Feb 20 02:35:00 BOT 1900
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1388
Total Samples:  3794
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/20/00 2:35:00 AM,C,39
2/20/00 3:05:00 AM,C,51
2/20/00 3:35:00 AM,C,54
2/20/00 4:05:00 AM,C,55
2/20/00 4:35:00 AM,C,56
2/20/00 5:05:00 AM,C,53.5
2/20/00 5:35:00 AM,C,51
2/20/00 6:05:00 AM,C,48.5
2/20/00 6:35:00 AM,C,46
2/20/00 7:05:00 AM,C,44
2/20/00 7:35:00 AM,C,41
2/20/00 8:05:00 AM,C,35.5
2/20/00 8:35:00 AM,C,30
2/20/00 9:05:00 AM,C,26
2/20/00 9:35:00 AM,C,25
2/20/00 10:05:00 AM,C,24
2/20/00 10:35:00 AM,C,23
2/20/00 11:05:00 AM,C,22.5
2/20/00 11:35:00 AM,C,22
2/20/00 12:05:00 PM,C,21.5
2/20/00 12:35:00 PM,C,20.5
2/20/00 1:05:00 PM,C,20.5
2/20/00 1:35:00 PM,C,20
2/20/00 2:05:00 PM,C,21
2/20/00 2:35:00 PM,C,20.5
2/20/00 3:05:00 PM,C,21
2/20/00 3:35:00 PM,C,20
2/20/00 4:05:00 PM,C,20
2/20/00 4:35:00 PM,C,20
2/20/00 5:05:00 PM,C,20
2/20/00 5:35:00 PM,C,20
2/20/00 6:05:00 PM,C,20
2/20/00 6:35:00 PM,C,18.5
2/20/00 7:05:00 PM,C,19
2/20/00 7:35:00 PM,C,19
2/20/00 8:05:00 PM,C,18.5
2/20/00 8:35:00 PM,C,19
2/20/00 9:05:00 PM,C,18
2/20/00 9:35:00 PM,C,18.5
2/20/00 10:05:00 PM,C,20
2/20/00 10:35:00 PM,C,27
2/20/00 11:05:00 PM,C,27
2/20/00 11:35:00 PM,C,26.5
2/21/00 12:05:00 AM,C,37.5
2/21/00 12:35:00 AM,C,39.5
2/21/00 1:05:00 AM,C,45.5
2/21/00 1:35:00 AM,C,48
2/21/00 2:05:00 AM,C,51.5
2/21/00 2:35:00 AM,C,49.5
2/21/00 3:05:00 AM,C,50
2/21/00 3:35:00 AM,C,42
2/21/00 4:05:00 AM,C,54
2/21/00 4:35:00 AM,C,46.5
2/21/00 5:05:00 AM,C,51.5
2/21/00 5:35:00 AM,C,47
2/21/00 6:05:00 AM,C,45.5
2/21/00 6:35:00 AM,C,40
2/21/00 7:05:00 AM,C,39.5
2/21/00 7:35:00 AM,C,31.5
2/21/00 8:05:00 AM,C,32
2/21/00 8:35:00 AM,C,28.5
2/21/00 9:05:00 AM,C,25
2/21/00 9:35:00 AM,C,24.5
2/21/00 10:05:00 AM,C,23.5
2/21/00 10:35:00 AM,C,23.5
2/21/00 11:05:00 AM,C,23
2/21/00 11:35:00 AM,C,23
2/21/00 12:05:00 PM,C,21.5
2/21/00 12:35:00 PM,C,20.5
2/21/00 1:05:00 PM,C,20.5
2/21/00 1:35:00 PM,C,20
2/21/00 2:05:00 PM,C,20
2/21/00 2:35:00 PM,C,20.5
2/21/00 3:05:00 PM,C,20.5
2/21/00 3:35:00 PM,C,20.5
2/21/00 4:05:00 PM,C,19.5
2/21/00 4:35:00 PM,C,20
2/21/00 5:05:00 PM,C,19.5
2/21/00 5:35:00 PM,C,19.5
2/21/00 6:05:00 PM,C,19
2/21/00 6:35:00 PM,C,19
2/21/00 7:05:00 PM,C,19.5
2/21/00 7:35:00 PM,C,19.5
2/21/00 8:05:00 PM,C,19
2/21/00 8:35:00 PM,C,19
2/21/00 9:05:00 PM,C,19
2/21/00 9:35:00 PM,C,19
2/21/00 10:05:00 PM,C,20
2/21/00 10:35:00 PM,C,23
2/21/00 11:05:00 PM,C,27.5
2/21/00 11:35:00 PM,C,29
2/22/00 12:05:00 AM,C,32.5
2/22/00 12:35:00 AM,C,37
2/22/00 1:05:00 AM,C,31
2/22/00 1:35:00 AM,C,38
2/22/00 2:05:00 AM,C,29
2/22/00 2:35:00 AM,C,35
2/22/00 3:05:00 AM,C,33.5
2/22/00 3:35:00 AM,C,36
2/22/00 4:05:00 AM,C,32.5
2/22/00 4:35:00 AM,C,29.5
2/22/00 5:05:00 AM,C,26.5
2/22/00 5:35:00 AM,C,24.5
