1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F200000041302C21
Is Mission Active?  true
Mission Start:  Thu Jan 28 11:38:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1388
Total Samples:  33312
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/28/21 11:38:00 AM,C,31.5
1/28/21 12:08:00 PM,C,29.5
1/28/21 12:38:00 PM,C,30
1/28/21 1:08:00 PM,C,30.5
1/28/21 1:38:00 PM,C,31
1/28/21 2:08:00 PM,C,31
1/28/21 2:38:00 PM,C,32
1/28/21 3:08:00 PM,C,32
1/28/21 3:38:00 PM,C,32.5
1/28/21 4:08:00 PM,C,32
1/28/21 4:38:00 PM,C,32
1/28/21 5:08:00 PM,C,31
1/28/21 5:38:00 PM,C,30.5
1/28/21 6:08:00 PM,C,29
1/28/21 6:38:00 PM,C,27.5
1/28/21 7:08:00 PM,C,27
1/28/21 7:38:00 PM,C,26.5
1/28/21 8:08:00 PM,C,25.5
1/28/21 8:38:00 PM,C,25
1/28/21 9:08:00 PM,C,24.5
1/28/21 9:38:00 PM,C,24
1/28/21 10:08:00 PM,C,23.5
1/28/21 10:38:00 PM,C,23.5
1/28/21 11:08:00 PM,C,23.5
1/28/21 11:38:00 PM,C,23
1/29/21 12:08:00 AM,C,23
1/29/21 12:38:00 AM,C,23
1/29/21 1:08:00 AM,C,22.5
1/29/21 1:38:00 AM,C,22.5
1/29/21 2:08:00 AM,C,22.5
1/29/21 2:38:00 AM,C,22.5
1/29/21 3:08:00 AM,C,22.5
1/29/21 3:38:00 AM,C,22
1/29/21 4:08:00 AM,C,21.5
1/29/21 4:38:00 AM,C,22
1/29/21 5:08:00 AM,C,21.5
1/29/21 5:38:00 AM,C,21
1/29/21 6:08:00 AM,C,22
1/29/21 6:38:00 AM,C,21
1/29/21 7:08:00 AM,C,21
1/29/21 7:38:00 AM,C,22
1/29/21 8:08:00 AM,C,23
1/29/21 8:38:00 AM,C,23.5
1/29/21 9:08:00 AM,C,24.5
1/29/21 9:38:00 AM,C,25.5
1/29/21 10:08:00 AM,C,26.5
1/29/21 10:38:00 AM,C,27
1/29/21 11:08:00 AM,C,28
1/29/21 11:38:00 AM,C,30
1/29/21 12:08:00 PM,C,30.5
1/29/21 12:38:00 PM,C,31
1/29/21 1:08:00 PM,C,31
1/29/21 1:38:00 PM,C,31
1/29/21 2:08:00 PM,C,31.5
1/29/21 2:38:00 PM,C,31
1/29/21 3:08:00 PM,C,31.5
1/29/21 3:38:00 PM,C,31
1/29/21 4:08:00 PM,C,30
1/29/21 4:38:00 PM,C,29
1/29/21 5:08:00 PM,C,30.5
1/29/21 5:38:00 PM,C,28
1/29/21 6:08:00 PM,C,27.5
1/29/21 6:38:00 PM,C,26.5
1/29/21 7:08:00 PM,C,25.5
1/29/21 7:38:00 PM,C,25.5
1/29/21 8:08:00 PM,C,25
1/29/21 8:38:00 PM,C,25
1/29/21 9:08:00 PM,C,24.5
1/29/21 9:38:00 PM,C,24
1/29/21 10:08:00 PM,C,24
1/29/21 10:38:00 PM,C,23.5
1/29/21 11:08:00 PM,C,23
