1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9C000000416D0421
Is Mission Active?  true
Mission Start:  Wed Dec 09 08:03:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  2403
Total Samples:  32037
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
12/9/20 8:03:00 AM,C,31
12/9/20 8:33:00 AM,C,36.5
12/9/20 9:03:00 AM,C,37
12/9/20 9:33:00 AM,C,38.5
12/9/20 10:03:00 AM,C,47
12/9/20 10:33:00 AM,C,45
12/9/20 11:03:00 AM,C,49
12/9/20 11:33:00 AM,C,48.5
12/9/20 12:03:00 PM,C,46.5
12/9/20 12:33:00 PM,C,46
12/9/20 1:03:00 PM,C,45
12/9/20 1:33:00 PM,C,43.5
12/9/20 2:03:00 PM,C,47.5
12/9/20 2:33:00 PM,C,43.5
12/9/20 3:03:00 PM,C,42.5
12/9/20 3:33:00 PM,C,42.5
12/9/20 4:03:00 PM,C,37
12/9/20 4:33:00 PM,C,35
12/9/20 5:03:00 PM,C,32.5
12/9/20 5:33:00 PM,C,29
12/9/20 6:03:00 PM,C,27.5
12/9/20 6:33:00 PM,C,27.5
12/9/20 7:03:00 PM,C,26.5
12/9/20 7:33:00 PM,C,26
12/9/20 8:03:00 PM,C,26
12/9/20 8:33:00 PM,C,25.5
12/9/20 9:03:00 PM,C,25.5
12/9/20 9:33:00 PM,C,25
12/9/20 10:03:00 PM,C,25
12/9/20 10:33:00 PM,C,24.5
12/9/20 11:03:00 PM,C,24
12/9/20 11:33:00 PM,C,23.5
12/10/20 12:03:00 AM,C,24
12/10/20 12:33:00 AM,C,23.5
12/10/20 1:03:00 AM,C,23.5
12/10/20 1:33:00 AM,C,23
12/10/20 2:03:00 AM,C,23
12/10/20 2:33:00 AM,C,23
12/10/20 3:03:00 AM,C,22
12/10/20 3:33:00 AM,C,22
12/10/20 4:03:00 AM,C,22.5
12/10/20 4:33:00 AM,C,22.5
12/10/20 5:03:00 AM,C,23
12/10/20 5:33:00 AM,C,22.5
12/10/20 6:03:00 AM,C,22.5
12/10/20 6:33:00 AM,C,22
12/10/20 7:03:00 AM,C,22.5
12/10/20 7:33:00 AM,C,23.5
12/10/20 8:03:00 AM,C,24
12/10/20 8:33:00 AM,C,32.5
12/10/20 9:03:00 AM,C,33.5
12/10/20 9:33:00 AM,C,41.5
12/10/20 10:03:00 AM,C,43.5
12/10/20 10:33:00 AM,C,35.5
12/10/20 11:03:00 AM,C,40.5
12/10/20 11:33:00 AM,C,36.5
12/10/20 12:03:00 PM,C,36.5
12/10/20 12:33:00 PM,C,45
12/10/20 1:03:00 PM,C,41.5
12/10/20 1:33:00 PM,C,40.5
12/10/20 2:03:00 PM,C,40.5
12/10/20 2:33:00 PM,C,45.5
12/10/20 3:03:00 PM,C,42
12/10/20 3:33:00 PM,C,40
12/10/20 4:03:00 PM,C,39
12/10/20 4:33:00 PM,C,35.5
12/10/20 5:03:00 PM,C,32.5
12/10/20 5:33:00 PM,C,28.5
12/10/20 6:03:00 PM,C,26
12/10/20 6:33:00 PM,C,25
12/10/20 7:03:00 PM,C,25
12/10/20 7:33:00 PM,C,25
12/10/20 8:03:00 PM,C,24.5
12/10/20 8:33:00 PM,C,23
12/10/20 9:03:00 PM,C,23
12/10/20 9:33:00 PM,C,22.5
12/10/20 10:03:00 PM,C,23
12/10/20 10:33:00 PM,C,22
12/10/20 11:03:00 PM,C,22
12/10/20 11:33:00 PM,C,22
12/11/20 12:03:00 AM,C,22.5
12/11/20 12:33:00 AM,C,22
12/11/20 1:03:00 AM,C,21.5
12/11/20 1:33:00 AM,C,22.5
12/11/20 2:03:00 AM,C,23
12/11/20 2:33:00 AM,C,23
12/11/20 3:03:00 AM,C,22
12/11/20 3:33:00 AM,C,23
12/11/20 4:03:00 AM,C,22.5
12/11/20 4:33:00 AM,C,22.5
12/11/20 5:03:00 AM,C,22.5
12/11/20 5:33:00 AM,C,22.5
12/11/20 6:03:00 AM,C,22.5
12/11/20 6:33:00 AM,C,22
12/11/20 7:03:00 AM,C,22
12/11/20 7:33:00 AM,C,23.5
12/11/20 8:03:00 AM,C,29.5
12/11/20 8:33:00 AM,C,33
12/11/20 9:03:00 AM,C,32
12/11/20 9:33:00 AM,C,34.5
12/11/20 10:03:00 AM,C,32.5
12/11/20 10:33:00 AM,C,35
12/11/20 11:03:00 AM,C,40
12/11/20 11:33:00 AM,C,36
12/11/20 12:03:00 PM,C,31.5
12/11/20 12:33:00 PM,C,47
12/11/20 1:03:00 PM,C,39.5
12/11/20 1:33:00 PM,C,39.5
12/11/20 2:03:00 PM,C,39.5
12/11/20 2:33:00 PM,C,38
12/11/20 3:03:00 PM,C,32.5
12/11/20 3:33:00 PM,C,30.5
12/11/20 4:03:00 PM,C,30.5
12/11/20 4:33:00 PM,C,29
12/11/20 5:03:00 PM,C,27
12/11/20 5:33:00 PM,C,26
12/11/20 6:03:00 PM,C,24.5
12/11/20 6:33:00 PM,C,24.5
12/11/20 7:03:00 PM,C,24.5
12/11/20 7:33:00 PM,C,24
12/11/20 8:03:00 PM,C,23.5
12/11/20 8:33:00 PM,C,23.5
12/11/20 9:03:00 PM,C,24
12/11/20 9:33:00 PM,C,24
12/11/20 10:03:00 PM,C,24
12/11/20 10:33:00 PM,C,23.5
12/11/20 11:03:00 PM,C,23.5
12/11/20 11:33:00 PM,C,23
12/12/20 12:03:00 AM,C,23
12/12/20 12:33:00 AM,C,23
12/12/20 1:03:00 AM,C,22.5
12/12/20 1:33:00 AM,C,22.5
12/12/20 2:03:00 AM,C,22.5
12/12/20 2:33:00 AM,C,22.5
12/12/20 3:03:00 AM,C,23
12/12/20 3:33:00 AM,C,23
