1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7B00000041505C21
Is Mission Active?  true
Mission Start:  Wed Dec 09 08:13:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  2403
Total Samples:  31930
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
12/9/20 8:13:00 AM,C,34.5
12/9/20 8:43:00 AM,C,51
12/9/20 9:13:00 AM,C,52.5
12/9/20 9:43:00 AM,C,47.5
12/9/20 10:13:00 AM,C,57
12/9/20 10:43:00 AM,C,50
12/9/20 11:13:00 AM,C,55.5
12/9/20 11:43:00 AM,C,48.5
12/9/20 12:13:00 PM,C,44.5
12/9/20 12:43:00 PM,C,43
12/9/20 1:13:00 PM,C,42
12/9/20 1:43:00 PM,C,40.5
12/9/20 2:13:00 PM,C,45
12/9/20 2:43:00 PM,C,42
12/9/20 3:13:00 PM,C,38.5
12/9/20 3:43:00 PM,C,37
12/9/20 4:13:00 PM,C,34
12/9/20 4:43:00 PM,C,32.5
12/9/20 5:13:00 PM,C,32
12/9/20 5:43:00 PM,C,28.5
12/9/20 6:13:00 PM,C,28
12/9/20 6:43:00 PM,C,27.5
12/9/20 7:13:00 PM,C,26.5
12/9/20 7:43:00 PM,C,26
12/9/20 8:13:00 PM,C,26
12/9/20 8:43:00 PM,C,25.5
12/9/20 9:13:00 PM,C,25.5
12/9/20 9:43:00 PM,C,25
12/9/20 10:13:00 PM,C,25.5
12/9/20 10:43:00 PM,C,25
12/9/20 11:13:00 PM,C,24.5
12/9/20 11:43:00 PM,C,24
12/10/20 12:13:00 AM,C,24
12/10/20 12:43:00 AM,C,24
12/10/20 1:13:00 AM,C,23.5
12/10/20 1:43:00 AM,C,23.5
12/10/20 2:13:00 AM,C,23
12/10/20 2:43:00 AM,C,23
12/10/20 3:13:00 AM,C,22.5
12/10/20 3:43:00 AM,C,22
12/10/20 4:13:00 AM,C,22.5
12/10/20 4:43:00 AM,C,22.5
12/10/20 5:13:00 AM,C,22.5
12/10/20 5:43:00 AM,C,22.5
12/10/20 6:13:00 AM,C,22.5
12/10/20 6:43:00 AM,C,22
12/10/20 7:13:00 AM,C,22.5
12/10/20 7:43:00 AM,C,23.5
12/10/20 8:13:00 AM,C,24
12/10/20 8:43:00 AM,C,38.5
12/10/20 9:13:00 AM,C,37
12/10/20 9:43:00 AM,C,52
12/10/20 10:13:00 AM,C,55.5
12/10/20 10:43:00 AM,C,38.5
12/10/20 11:13:00 AM,C,46
12/10/20 11:43:00 AM,C,43
12/10/20 12:13:00 PM,C,40
12/10/20 12:43:00 PM,C,50.5
12/10/20 1:13:00 PM,C,54.5
12/10/20 1:43:00 PM,C,56.5
12/10/20 2:13:00 PM,C,54
12/10/20 2:43:00 PM,C,49.5
12/10/20 3:13:00 PM,C,46.5
12/10/20 3:43:00 PM,C,42
12/10/20 4:13:00 PM,C,39.5
12/10/20 4:43:00 PM,C,35
12/10/20 5:13:00 PM,C,32.5
12/10/20 5:43:00 PM,C,28.5
12/10/20 6:13:00 PM,C,27
12/10/20 6:43:00 PM,C,26
12/10/20 7:13:00 PM,C,25.5
12/10/20 7:43:00 PM,C,25.5
12/10/20 8:13:00 PM,C,24.5
12/10/20 8:43:00 PM,C,24
12/10/20 9:13:00 PM,C,23
