1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6800000041560421
Is Mission Active?  true
Mission Start:  Wed Dec 09 08:36:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  2405
Total Samples:  31922
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
12/9/20 8:36:00 AM,C,29
12/9/20 9:06:00 AM,C,25
12/9/20 9:36:00 AM,C,25.5
12/9/20 10:06:00 AM,C,26
12/9/20 10:36:00 AM,C,26.5
12/9/20 11:06:00 AM,C,26.5
12/9/20 11:36:00 AM,C,27
12/9/20 12:06:00 PM,C,27.5
12/9/20 12:36:00 PM,C,27.5
12/9/20 1:06:00 PM,C,28
12/9/20 1:36:00 PM,C,28
12/9/20 2:06:00 PM,C,28.5
12/9/20 2:36:00 PM,C,29
12/9/20 3:06:00 PM,C,29
12/9/20 3:36:00 PM,C,41
12/9/20 4:06:00 PM,C,33.5
12/9/20 4:36:00 PM,C,31
12/9/20 5:06:00 PM,C,30
12/9/20 5:36:00 PM,C,30
12/9/20 6:06:00 PM,C,28
12/9/20 6:36:00 PM,C,27.5
12/9/20 7:06:00 PM,C,27.5
12/9/20 7:36:00 PM,C,27
12/9/20 8:06:00 PM,C,27
12/9/20 8:36:00 PM,C,26.5
12/9/20 9:06:00 PM,C,26.5
12/9/20 9:36:00 PM,C,26.5
12/9/20 10:06:00 PM,C,26
12/9/20 10:36:00 PM,C,26
12/9/20 11:06:00 PM,C,26
12/9/20 11:36:00 PM,C,25.5
12/10/20 12:06:00 AM,C,25.5
12/10/20 12:36:00 AM,C,25.5
12/10/20 1:06:00 AM,C,25
12/10/20 1:36:00 AM,C,25
12/10/20 2:06:00 AM,C,25
12/10/20 2:36:00 AM,C,24.5
12/10/20 3:06:00 AM,C,24.5
12/10/20 3:36:00 AM,C,24.5
12/10/20 4:06:00 AM,C,24.5
12/10/20 4:36:00 AM,C,24
12/10/20 5:06:00 AM,C,24
12/10/20 5:36:00 AM,C,24
12/10/20 6:06:00 AM,C,24
12/10/20 6:36:00 AM,C,24
12/10/20 7:06:00 AM,C,24
12/10/20 7:36:00 AM,C,24.5
12/10/20 8:06:00 AM,C,24.5
12/10/20 8:36:00 AM,C,25.5
12/10/20 9:06:00 AM,C,26
12/10/20 9:36:00 AM,C,27
12/10/20 10:06:00 AM,C,27
12/10/20 10:36:00 AM,C,27
12/10/20 11:06:00 AM,C,27.5
12/10/20 11:36:00 AM,C,27.5
12/10/20 12:06:00 PM,C,27.5
12/10/20 12:36:00 PM,C,28
12/10/20 1:06:00 PM,C,28
12/10/20 1:36:00 PM,C,28.5
12/10/20 2:06:00 PM,C,29
12/10/20 2:36:00 PM,C,29
12/10/20 3:06:00 PM,C,29.5
12/10/20 3:36:00 PM,C,40
12/10/20 4:06:00 PM,C,33.5
12/10/20 4:36:00 PM,C,31
12/10/20 5:06:00 PM,C,29.5
12/10/20 5:36:00 PM,C,29.5
12/10/20 6:06:00 PM,C,28.5
12/10/20 6:36:00 PM,C,27.5
12/10/20 7:06:00 PM,C,27
12/10/20 7:36:00 PM,C,26.5
12/10/20 8:06:00 PM,C,26.5
12/10/20 8:36:00 PM,C,25.5
12/10/20 9:06:00 PM,C,25
12/10/20 9:36:00 PM,C,25
12/10/20 10:06:00 PM,C,25.5
