1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9B00000041611821
Is Mission Active?  true
Mission Start:  Wed Dec 09 09:09:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  2406
Total Samples:  31925
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
12/9/20 9:09:00 AM,C,30.5
12/9/20 9:39:00 AM,C,33
12/9/20 10:09:00 AM,C,37.5
12/9/20 10:39:00 AM,C,41
12/9/20 11:09:00 AM,C,44.5
12/9/20 11:39:00 AM,C,47.5
12/9/20 12:09:00 PM,C,44
12/9/20 12:39:00 PM,C,46.5
12/9/20 1:09:00 PM,C,45
12/9/20 1:39:00 PM,C,44.5
12/9/20 2:09:00 PM,C,51
12/9/20 2:39:00 PM,C,48
12/9/20 3:09:00 PM,C,45
12/9/20 3:39:00 PM,C,46
12/9/20 4:09:00 PM,C,38.5
12/9/20 4:39:00 PM,C,36
12/9/20 5:09:00 PM,C,32.5
12/9/20 5:39:00 PM,C,28.5
12/9/20 6:09:00 PM,C,26.5
12/9/20 6:39:00 PM,C,26
12/9/20 7:09:00 PM,C,25.5
12/9/20 7:39:00 PM,C,25
12/9/20 8:09:00 PM,C,25.5
12/9/20 8:39:00 PM,C,25
12/9/20 9:09:00 PM,C,24.5
12/9/20 9:39:00 PM,C,24.5
12/9/20 10:09:00 PM,C,24.5
12/9/20 10:39:00 PM,C,24
12/9/20 11:09:00 PM,C,24
12/9/20 11:39:00 PM,C,23.5
12/10/20 12:09:00 AM,C,23.5
12/10/20 12:39:00 AM,C,23.5
12/10/20 1:09:00 AM,C,23
12/10/20 1:39:00 AM,C,22.5
12/10/20 2:09:00 AM,C,22.5
12/10/20 2:39:00 AM,C,26.5
12/10/20 3:09:00 AM,C,27
12/10/20 3:39:00 AM,C,29
12/10/20 4:09:00 AM,C,29.5
12/10/20 4:39:00 AM,C,30.5
12/10/20 5:09:00 AM,C,23
12/10/20 5:39:00 AM,C,23
12/10/20 6:09:00 AM,C,22.5
12/10/20 6:39:00 AM,C,22.5
12/10/20 7:09:00 AM,C,22.5
12/10/20 7:39:00 AM,C,23
12/10/20 8:09:00 AM,C,24
12/10/20 8:39:00 AM,C,28
12/10/20 9:09:00 AM,C,31.5
12/10/20 9:39:00 AM,C,34
12/10/20 10:09:00 AM,C,35.5
12/10/20 10:39:00 AM,C,31.5
12/10/20 11:09:00 AM,C,36.5
12/10/20 11:39:00 AM,C,35
12/10/20 12:09:00 PM,C,33.5
12/10/20 12:39:00 PM,C,42.5
12/10/20 1:09:00 PM,C,35.5
12/10/20 1:39:00 PM,C,43.5
12/10/20 2:09:00 PM,C,45
12/10/20 2:39:00 PM,C,44
12/10/20 3:09:00 PM,C,39.5
12/10/20 3:39:00 PM,C,39.5
12/10/20 4:09:00 PM,C,37
12/10/20 4:39:00 PM,C,34
12/10/20 5:09:00 PM,C,31
12/10/20 5:39:00 PM,C,27.5
12/10/20 6:09:00 PM,C,25
12/10/20 6:39:00 PM,C,24.5
12/10/20 7:09:00 PM,C,24
12/10/20 7:39:00 PM,C,24.5
12/10/20 8:09:00 PM,C,23.5
12/10/20 8:39:00 PM,C,23
12/10/20 9:09:00 PM,C,22.5
12/10/20 9:39:00 PM,C,22.5
12/10/20 10:09:00 PM,C,22.5
12/10/20 10:39:00 PM,C,22
12/10/20 11:09:00 PM,C,21.5
12/10/20 11:39:00 PM,C,22
12/11/20 12:09:00 AM,C,22
12/11/20 12:39:00 AM,C,21.5
12/11/20 1:09:00 AM,C,21.5
12/11/20 1:39:00 AM,C,22
12/11/20 2:09:00 AM,C,22.5
12/11/20 2:39:00 AM,C,22.5
12/11/20 3:09:00 AM,C,22
12/11/20 3:39:00 AM,C,22.5
12/11/20 4:09:00 AM,C,22.5
12/11/20 4:39:00 AM,C,22
12/11/20 5:09:00 AM,C,22
12/11/20 5:39:00 AM,C,22
12/11/20 6:09:00 AM,C,22
12/11/20 6:39:00 AM,C,22
12/11/20 7:09:00 AM,C,22
12/11/20 7:39:00 AM,C,23
12/11/20 8:09:00 AM,C,27
12/11/20 8:39:00 AM,C,28
12/11/20 9:09:00 AM,C,30
12/11/20 9:39:00 AM,C,28.5
12/11/20 10:09:00 AM,C,31
12/11/20 10:39:00 AM,C,32.5
12/11/20 11:09:00 AM,C,36
12/11/20 11:39:00 AM,C,32
12/11/20 12:09:00 PM,C,31
12/11/20 12:39:00 PM,C,41.5
12/11/20 1:09:00 PM,C,35.5
12/11/20 1:39:00 PM,C,39
12/11/20 2:09:00 PM,C,39.5
12/11/20 2:39:00 PM,C,38
12/11/20 3:09:00 PM,C,33
12/11/20 3:39:00 PM,C,31
12/11/20 4:09:00 PM,C,31.5
12/11/20 4:39:00 PM,C,29
12/11/20 5:09:00 PM,C,27.5
12/11/20 5:39:00 PM,C,25.5
12/11/20 6:09:00 PM,C,24.5
12/11/20 6:39:00 PM,C,24.5
12/11/20 7:09:00 PM,C,24.5
12/11/20 7:39:00 PM,C,23.5
12/11/20 8:09:00 PM,C,23.5
12/11/20 8:39:00 PM,C,23.5
12/11/20 9:09:00 PM,C,24
12/11/20 9:39:00 PM,C,24
12/11/20 10:09:00 PM,C,23.5
12/11/20 10:39:00 PM,C,23.5
