1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 80000000419A0121
Is Mission Active?  true
Mission Start:  Fri Jun 04 07:23:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1684
Total Samples:  39698
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/4/21 7:23:00 AM,C,26.5
6/4/21 7:53:00 AM,C,24
6/4/21 8:23:00 AM,C,24.5
6/4/21 8:53:00 AM,C,28.5
6/4/21 9:23:00 AM,C,31.5
6/4/21 9:53:00 AM,C,34
6/4/21 10:23:00 AM,C,34.5
6/4/21 10:53:00 AM,C,38
6/4/21 11:23:00 AM,C,38.5
6/4/21 11:53:00 AM,C,37
6/4/21 12:23:00 PM,C,40
6/4/21 12:53:00 PM,C,35.5
6/4/21 1:23:00 PM,C,41.5
6/4/21 1:53:00 PM,C,43.5
6/4/21 2:23:00 PM,C,40.5
6/4/21 2:53:00 PM,C,40
6/4/21 3:23:00 PM,C,41.5
6/4/21 3:53:00 PM,C,40
6/4/21 4:23:00 PM,C,37.5
6/4/21 4:53:00 PM,C,33
6/4/21 5:23:00 PM,C,29.5
6/4/21 5:53:00 PM,C,28.5
6/4/21 6:23:00 PM,C,27.5
6/4/21 6:53:00 PM,C,27
6/4/21 7:23:00 PM,C,26.5
6/4/21 7:53:00 PM,C,26.5
6/4/21 8:23:00 PM,C,26
6/4/21 8:53:00 PM,C,26
6/4/21 9:23:00 PM,C,26
6/4/21 9:53:00 PM,C,26
6/4/21 10:23:00 PM,C,26
6/4/21 10:53:00 PM,C,26
6/4/21 11:23:00 PM,C,25
6/4/21 11:53:00 PM,C,26
6/5/21 12:23:00 AM,C,26
6/5/21 12:53:00 AM,C,25.5
6/5/21 1:23:00 AM,C,25.5
6/5/21 1:53:00 AM,C,25.5
6/5/21 2:23:00 AM,C,25
6/5/21 2:53:00 AM,C,24.5
6/5/21 3:23:00 AM,C,24
6/5/21 3:53:00 AM,C,24.5
6/5/21 4:23:00 AM,C,25
6/5/21 4:53:00 AM,C,25.5
6/5/21 5:23:00 AM,C,25.5
6/5/21 5:53:00 AM,C,25.5
6/5/21 6:23:00 AM,C,26.5
6/5/21 6:53:00 AM,C,27.5
6/5/21 7:23:00 AM,C,28
6/5/21 7:53:00 AM,C,25.5
6/5/21 8:23:00 AM,C,27
6/5/21 8:53:00 AM,C,30.5
6/5/21 9:23:00 AM,C,34
6/5/21 9:53:00 AM,C,34.5
6/5/21 10:23:00 AM,C,36.5
6/5/21 10:53:00 AM,C,35
6/5/21 11:23:00 AM,C,39.5
6/5/21 11:53:00 AM,C,43
6/5/21 12:23:00 PM,C,44.5
6/5/21 12:53:00 PM,C,42
6/5/21 1:23:00 PM,C,43
6/5/21 1:53:00 PM,C,43
6/5/21 2:23:00 PM,C,34
6/5/21 2:53:00 PM,C,40
6/5/21 3:23:00 PM,C,27.5
6/5/21 3:53:00 PM,C,27.5
6/5/21 4:23:00 PM,C,35.5
6/5/21 4:53:00 PM,C,31
6/5/21 5:23:00 PM,C,30
6/5/21 5:53:00 PM,C,25.5
6/5/21 6:23:00 PM,C,27
6/5/21 6:53:00 PM,C,26.5
6/5/21 7:23:00 PM,C,26
6/5/21 7:53:00 PM,C,26
6/5/21 8:23:00 PM,C,26.5
6/5/21 8:53:00 PM,C,26
6/5/21 9:23:00 PM,C,26
6/5/21 9:53:00 PM,C,26
6/5/21 10:23:00 PM,C,26
6/5/21 10:53:00 PM,C,24.5
6/5/21 11:23:00 PM,C,25
6/5/21 11:53:00 PM,C,24.5
6/6/21 12:23:00 AM,C,25
6/6/21 12:53:00 AM,C,25.5
6/6/21 1:23:00 AM,C,25.5
6/6/21 1:53:00 AM,C,25.5
6/6/21 2:23:00 AM,C,25.5
6/6/21 2:53:00 AM,C,26
6/6/21 3:23:00 AM,C,25.5
6/6/21 3:53:00 AM,C,25.5
6/6/21 4:23:00 AM,C,25
6/6/21 4:53:00 AM,C,25.5
6/6/21 5:23:00 AM,C,25.5
6/6/21 5:53:00 AM,C,25.5
6/6/21 6:23:00 AM,C,25.5
6/6/21 6:53:00 AM,C,26.5
6/6/21 7:23:00 AM,C,27.5
6/6/21 7:53:00 AM,C,29
6/6/21 8:23:00 AM,C,29.5
6/6/21 8:53:00 AM,C,31.5
6/6/21 9:23:00 AM,C,34
6/6/21 9:53:00 AM,C,34.5
6/6/21 10:23:00 AM,C,37
6/6/21 10:53:00 AM,C,35
6/6/21 11:23:00 AM,C,38.5
6/6/21 11:53:00 AM,C,39
6/6/21 12:23:00 PM,C,42.5
6/6/21 12:53:00 PM,C,43.5
6/6/21 1:23:00 PM,C,38
6/6/21 1:53:00 PM,C,34
6/6/21 2:23:00 PM,C,37
6/6/21 2:53:00 PM,C,33.5
6/6/21 3:23:00 PM,C,34
6/6/21 3:53:00 PM,C,32.5
6/6/21 4:23:00 PM,C,31.5
6/6/21 4:53:00 PM,C,30.5
6/6/21 5:23:00 PM,C,29
6/6/21 5:53:00 PM,C,28.5
6/6/21 6:23:00 PM,C,27.5
6/6/21 6:53:00 PM,C,26.5
6/6/21 7:23:00 PM,C,26.5
6/6/21 7:53:00 PM,C,26
6/6/21 8:23:00 PM,C,26
6/6/21 8:53:00 PM,C,26
6/6/21 9:23:00 PM,C,26
6/6/21 9:53:00 PM,C,26
6/6/21 10:23:00 PM,C,26
6/6/21 10:53:00 PM,C,24
6/6/21 11:23:00 PM,C,24
6/6/21 11:53:00 PM,C,23.5
6/7/21 12:23:00 AM,C,24
6/7/21 12:53:00 AM,C,25
6/7/21 1:23:00 AM,C,24
6/7/21 1:53:00 AM,C,24
6/7/21 2:23:00 AM,C,24.5
6/7/21 2:53:00 AM,C,25
6/7/21 3:23:00 AM,C,25
6/7/21 3:53:00 AM,C,25
6/7/21 4:23:00 AM,C,25
6/7/21 4:53:00 AM,C,24.5
6/7/21 5:23:00 AM,C,25
6/7/21 5:53:00 AM,C,25
6/7/21 6:23:00 AM,C,25.5
6/7/21 6:53:00 AM,C,25.5
6/7/21 7:23:00 AM,C,26.5
6/7/21 7:53:00 AM,C,25.5
6/7/21 8:23:00 AM,C,26.5
6/7/21 8:53:00 AM,C,26.5
6/7/21 9:23:00 AM,C,29.5
6/7/21 9:53:00 AM,C,31
6/7/21 10:23:00 AM,C,27
6/7/21 10:53:00 AM,C,32
6/7/21 11:23:00 AM,C,33.5
6/7/21 11:53:00 AM,C,32
6/7/21 12:23:00 PM,C,34
6/7/21 12:53:00 PM,C,35.5
6/7/21 1:23:00 PM,C,35
6/7/21 1:53:00 PM,C,34.5
6/7/21 2:23:00 PM,C,33
6/7/21 2:53:00 PM,C,33
6/7/21 3:23:00 PM,C,33.5
6/7/21 3:53:00 PM,C,32
6/7/21 4:23:00 PM,C,31.5
6/7/21 4:53:00 PM,C,25
6/7/21 5:23:00 PM,C,24
6/7/21 5:53:00 PM,C,25
6/7/21 6:23:00 PM,C,25
6/7/21 6:53:00 PM,C,23
6/7/21 7:23:00 PM,C,23.5
6/7/21 7:53:00 PM,C,23.5
6/7/21 8:23:00 PM,C,23
6/7/21 8:53:00 PM,C,24
6/7/21 9:23:00 PM,C,23.5
6/7/21 9:53:00 PM,C,23.5
6/7/21 10:23:00 PM,C,23.5
6/7/21 10:53:00 PM,C,24
6/7/21 11:23:00 PM,C,23.5
6/7/21 11:53:00 PM,C,23.5
6/8/21 12:23:00 AM,C,23.5
6/8/21 12:53:00 AM,C,23.5
6/8/21 1:23:00 AM,C,24
6/8/21 1:53:00 AM,C,24.5
6/8/21 2:23:00 AM,C,24.5
6/8/21 2:53:00 AM,C,24.5
6/8/21 3:23:00 AM,C,23.5
6/8/21 3:53:00 AM,C,23.5
6/8/21 4:23:00 AM,C,23.5
6/8/21 4:53:00 AM,C,23.5
6/8/21 5:23:00 AM,C,23.5
6/8/21 5:53:00 AM,C,24
6/8/21 6:23:00 AM,C,24.5
6/8/21 6:53:00 AM,C,24.5
6/8/21 7:23:00 AM,C,25.5
6/8/21 7:53:00 AM,C,27.5
6/8/21 8:23:00 AM,C,28
6/8/21 8:53:00 AM,C,29.5
6/8/21 9:23:00 AM,C,31.5
6/8/21 9:53:00 AM,C,34
6/8/21 10:23:00 AM,C,29.5
6/8/21 10:53:00 AM,C,28
6/8/21 11:23:00 AM,C,27.5
6/8/21 11:53:00 AM,C,30
6/8/21 12:23:00 PM,C,32
6/8/21 12:53:00 PM,C,32
6/8/21 1:23:00 PM,C,31.5
6/8/21 1:53:00 PM,C,31
6/8/21 2:23:00 PM,C,29
6/8/21 2:53:00 PM,C,29
6/8/21 3:23:00 PM,C,27
6/8/21 3:53:00 PM,C,26.5
6/8/21 4:23:00 PM,C,26.5
6/8/21 4:53:00 PM,C,25
6/8/21 5:23:00 PM,C,25
6/8/21 5:53:00 PM,C,25
6/8/21 6:23:00 PM,C,25.5
6/8/21 6:53:00 PM,C,25.5
6/8/21 7:23:00 PM,C,25.5
6/8/21 7:53:00 PM,C,25.5
6/8/21 8:23:00 PM,C,25.5
6/8/21 8:53:00 PM,C,25
6/8/21 9:23:00 PM,C,25
6/8/21 9:53:00 PM,C,25.5
6/8/21 10:23:00 PM,C,25
6/8/21 10:53:00 PM,C,24.5
6/8/21 11:23:00 PM,C,24.5
6/8/21 11:53:00 PM,C,25
6/9/21 12:23:00 AM,C,24.5
6/9/21 12:53:00 AM,C,25
6/9/21 1:23:00 AM,C,25
6/9/21 1:53:00 AM,C,24.5
6/9/21 2:23:00 AM,C,25
6/9/21 2:53:00 AM,C,24.5
6/9/21 3:23:00 AM,C,24
6/9/21 3:53:00 AM,C,24
6/9/21 4:23:00 AM,C,24
6/9/21 4:53:00 AM,C,23.5
6/9/21 5:23:00 AM,C,24
6/9/21 5:53:00 AM,C,24
6/9/21 6:23:00 AM,C,24.5
6/9/21 6:53:00 AM,C,26
6/9/21 7:23:00 AM,C,26
6/9/21 7:53:00 AM,C,27.5
6/9/21 8:23:00 AM,C,28.5
6/9/21 8:53:00 AM,C,32
6/9/21 9:23:00 AM,C,34
6/9/21 9:53:00 AM,C,36
6/9/21 10:23:00 AM,C,35.5
6/9/21 10:53:00 AM,C,43
6/9/21 11:23:00 AM,C,38
6/9/21 11:53:00 AM,C,39
6/9/21 12:23:00 PM,C,41
6/9/21 12:53:00 PM,C,39
6/9/21 1:23:00 PM,C,31.5
6/9/21 1:53:00 PM,C,26
6/9/21 2:23:00 PM,C,25.5
6/9/21 2:53:00 PM,C,25
6/9/21 3:23:00 PM,C,25
6/9/21 3:53:00 PM,C,24.5
6/9/21 4:23:00 PM,C,25
6/9/21 4:53:00 PM,C,22.5
6/9/21 5:23:00 PM,C,23
6/9/21 5:53:00 PM,C,22.5
6/9/21 6:23:00 PM,C,23
6/9/21 6:53:00 PM,C,22.5
6/9/21 7:23:00 PM,C,22.5
6/9/21 7:53:00 PM,C,22.5
6/9/21 8:23:00 PM,C,23
6/9/21 8:53:00 PM,C,23
6/9/21 9:23:00 PM,C,23.5
6/9/21 9:53:00 PM,C,23.5
6/9/21 10:23:00 PM,C,23.5
6/9/21 10:53:00 PM,C,23.5
6/9/21 11:23:00 PM,C,24
6/9/21 11:53:00 PM,C,23.5
6/10/21 12:23:00 AM,C,23.5
6/10/21 12:53:00 AM,C,23.5
6/10/21 1:23:00 AM,C,23.5
6/10/21 1:53:00 AM,C,24
6/10/21 2:23:00 AM,C,23.5
6/10/21 2:53:00 AM,C,23.5
6/10/21 3:23:00 AM,C,23.5
6/10/21 3:53:00 AM,C,23.5
6/10/21 4:23:00 AM,C,23.5
6/10/21 4:53:00 AM,C,23.5
6/10/21 5:23:00 AM,C,23.5
6/10/21 5:53:00 AM,C,23
6/10/21 6:23:00 AM,C,24.5
6/10/21 6:53:00 AM,C,25
6/10/21 7:23:00 AM,C,26
6/10/21 7:53:00 AM,C,26.5
6/10/21 8:23:00 AM,C,27.5
6/10/21 8:53:00 AM,C,28.5
6/10/21 9:23:00 AM,C,31
6/10/21 9:53:00 AM,C,30.5
6/10/21 10:23:00 AM,C,30.5
6/10/21 10:53:00 AM,C,32.5
6/10/21 11:23:00 AM,C,41
6/10/21 11:53:00 AM,C,32
6/10/21 12:23:00 PM,C,26
6/10/21 12:53:00 PM,C,25
6/10/21 1:23:00 PM,C,29
6/10/21 1:53:00 PM,C,34.5
6/10/21 2:23:00 PM,C,35.5
6/10/21 2:53:00 PM,C,32
6/10/21 3:23:00 PM,C,29
6/10/21 3:53:00 PM,C,29.5
6/10/21 4:23:00 PM,C,30
6/10/21 4:53:00 PM,C,29
6/10/21 5:23:00 PM,C,29.5
6/10/21 5:53:00 PM,C,28
6/10/21 6:23:00 PM,C,26.5
6/10/21 6:53:00 PM,C,25.5
6/10/21 7:23:00 PM,C,25
6/10/21 7:53:00 PM,C,24.5
6/10/21 8:23:00 PM,C,25
6/10/21 8:53:00 PM,C,25
6/10/21 9:23:00 PM,C,24.5
6/10/21 9:53:00 PM,C,25
6/10/21 10:23:00 PM,C,24.5
6/10/21 10:53:00 PM,C,24.5
6/10/21 11:23:00 PM,C,24.5
6/10/21 11:53:00 PM,C,24
6/11/21 12:23:00 AM,C,24.5
6/11/21 12:53:00 AM,C,24
6/11/21 1:23:00 AM,C,24.5
6/11/21 1:53:00 AM,C,24
6/11/21 2:23:00 AM,C,24
6/11/21 2:53:00 AM,C,24
6/11/21 3:23:00 AM,C,24
6/11/21 3:53:00 AM,C,24
6/11/21 4:23:00 AM,C,24
6/11/21 4:53:00 AM,C,24
6/11/21 5:23:00 AM,C,24
6/11/21 5:53:00 AM,C,24
6/11/21 6:23:00 AM,C,24.5
6/11/21 6:53:00 AM,C,25.5
6/11/21 7:23:00 AM,C,26.5
6/11/21 7:53:00 AM,C,28.5
6/11/21 8:23:00 AM,C,32
6/11/21 8:53:00 AM,C,31
6/11/21 9:23:00 AM,C,36.5
6/11/21 9:53:00 AM,C,35.5
6/11/21 10:23:00 AM,C,38.5
6/11/21 10:53:00 AM,C,41.5
6/11/21 11:23:00 AM,C,45.5
6/11/21 11:53:00 AM,C,48.5
6/11/21 12:23:00 PM,C,45.5
6/11/21 12:53:00 PM,C,48.5
6/11/21 1:23:00 PM,C,51
6/11/21 1:53:00 PM,C,49.5
6/11/21 2:23:00 PM,C,40
6/11/21 2:53:00 PM,C,35.5
6/11/21 3:23:00 PM,C,34
6/11/21 3:53:00 PM,C,34.5
6/11/21 4:23:00 PM,C,35
6/11/21 4:53:00 PM,C,31.5
6/11/21 5:23:00 PM,C,29
6/11/21 5:53:00 PM,C,28.5
6/11/21 6:23:00 PM,C,28
6/11/21 6:53:00 PM,C,27
6/11/21 7:23:00 PM,C,25.5
6/11/21 7:53:00 PM,C,25.5
