1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6800000041560421
Is Mission Active?  true
Mission Start:  Fri Jun 04 07:21:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1683
Total Samples:  39697
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/4/21 7:21:00 AM,C,28
6/4/21 7:51:00 AM,C,24.5
6/4/21 8:21:00 AM,C,24
6/4/21 8:51:00 AM,C,25.5
6/4/21 9:21:00 AM,C,26
6/4/21 9:51:00 AM,C,26.5
6/4/21 10:21:00 AM,C,27
6/4/21 10:51:00 AM,C,27
6/4/21 11:21:00 AM,C,27.5
6/4/21 11:51:00 AM,C,28
6/4/21 12:21:00 PM,C,28
6/4/21 12:51:00 PM,C,28.5
6/4/21 1:21:00 PM,C,28.5
6/4/21 1:51:00 PM,C,28.5
6/4/21 2:21:00 PM,C,29
6/4/21 2:51:00 PM,C,28.5
6/4/21 3:21:00 PM,C,29.5
6/4/21 3:51:00 PM,C,29
6/4/21 4:21:00 PM,C,29.5
6/4/21 4:51:00 PM,C,28.5
6/4/21 5:21:00 PM,C,28.5
6/4/21 5:51:00 PM,C,27.5
6/4/21 6:21:00 PM,C,27.5
6/4/21 6:51:00 PM,C,27
6/4/21 7:21:00 PM,C,27
6/4/21 7:51:00 PM,C,27
6/4/21 8:21:00 PM,C,27
6/4/21 8:51:00 PM,C,27
6/4/21 9:21:00 PM,C,27
6/4/21 9:51:00 PM,C,27
6/4/21 10:21:00 PM,C,26.5
6/4/21 10:51:00 PM,C,26.5
6/4/21 11:21:00 PM,C,26.5
6/4/21 11:51:00 PM,C,26.5
6/5/21 12:21:00 AM,C,27
6/5/21 12:51:00 AM,C,26.5
6/5/21 1:21:00 AM,C,26.5
6/5/21 1:51:00 AM,C,26.5
6/5/21 2:21:00 AM,C,26
6/5/21 2:51:00 AM,C,26
6/5/21 3:21:00 AM,C,25.5
6/5/21 3:51:00 AM,C,25.5
6/5/21 4:21:00 AM,C,26
6/5/21 4:51:00 AM,C,26
6/5/21 5:21:00 AM,C,26.5
6/5/21 5:51:00 AM,C,26.5
6/5/21 6:21:00 AM,C,26.5
6/5/21 6:51:00 AM,C,27
6/5/21 7:21:00 AM,C,27
6/5/21 7:51:00 AM,C,26.5
6/5/21 8:21:00 AM,C,26
6/5/21 8:51:00 AM,C,26.5
6/5/21 9:21:00 AM,C,27.5
6/5/21 9:51:00 AM,C,28
6/5/21 10:21:00 AM,C,28.5
6/5/21 10:51:00 AM,C,28
6/5/21 11:21:00 AM,C,29
6/5/21 11:51:00 AM,C,29
6/5/21 12:21:00 PM,C,29
6/5/21 12:51:00 PM,C,29.5
6/5/21 1:21:00 PM,C,29.5
6/5/21 1:51:00 PM,C,29.5
6/5/21 2:21:00 PM,C,29.5
6/5/21 2:51:00 PM,C,29.5
6/5/21 3:21:00 PM,C,29
6/5/21 3:51:00 PM,C,27.5
6/5/21 4:21:00 PM,C,28
6/5/21 4:51:00 PM,C,28.5
6/5/21 5:21:00 PM,C,28.5
6/5/21 5:51:00 PM,C,27.5
6/5/21 6:21:00 PM,C,27.5
6/5/21 6:51:00 PM,C,27.5
6/5/21 7:21:00 PM,C,27
6/5/21 7:51:00 PM,C,27
6/5/21 8:21:00 PM,C,27
6/5/21 8:51:00 PM,C,27
6/5/21 9:21:00 PM,C,27
6/5/21 9:51:00 PM,C,27
6/5/21 10:21:00 PM,C,27
6/5/21 10:51:00 PM,C,26.5
6/5/21 11:21:00 PM,C,26.5
6/5/21 11:51:00 PM,C,26.5
6/6/21 12:21:00 AM,C,26.5
6/6/21 12:51:00 AM,C,26.5
6/6/21 1:21:00 AM,C,26.5
6/6/21 1:51:00 AM,C,26.5
6/6/21 2:21:00 AM,C,26.5
6/6/21 2:51:00 AM,C,26.5
6/6/21 3:21:00 AM,C,26.5
6/6/21 3:51:00 AM,C,26.5
6/6/21 4:21:00 AM,C,26.5
6/6/21 4:51:00 AM,C,26.5
6/6/21 5:21:00 AM,C,26.5
6/6/21 5:51:00 AM,C,26.5
