1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6800000041560421
Is Mission Active?  true
Mission Start:  Fri May 07 08:44:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1342
Total Samples:  38014
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/7/21 8:44:00 AM,C,29.5
5/7/21 9:14:00 AM,C,28
5/7/21 9:44:00 AM,C,28.5
5/7/21 10:14:00 AM,C,28.5
5/7/21 10:44:00 AM,C,29
5/7/21 11:14:00 AM,C,29
5/7/21 11:44:00 AM,C,29
5/7/21 12:14:00 PM,C,29.5
5/7/21 12:44:00 PM,C,29.5
5/7/21 1:14:00 PM,C,30
5/7/21 1:44:00 PM,C,31
5/7/21 2:14:00 PM,C,30.5
5/7/21 2:44:00 PM,C,30
5/7/21 3:14:00 PM,C,30.5
5/7/21 3:44:00 PM,C,30.5
5/7/21 4:14:00 PM,C,30.5
5/7/21 4:44:00 PM,C,33
5/7/21 5:14:00 PM,C,32
5/7/21 5:44:00 PM,C,32.5
5/7/21 6:14:00 PM,C,29.5
5/7/21 6:44:00 PM,C,28.5
5/7/21 7:14:00 PM,C,27.5
5/7/21 7:44:00 PM,C,27.5
5/7/21 8:14:00 PM,C,27
5/7/21 8:44:00 PM,C,27
5/7/21 9:14:00 PM,C,26.5
5/7/21 9:44:00 PM,C,26.5
5/7/21 10:14:00 PM,C,26.5
5/7/21 10:44:00 PM,C,26.5
5/7/21 11:14:00 PM,C,26.5
5/7/21 11:44:00 PM,C,26.5
5/8/21 12:14:00 AM,C,26.5
5/8/21 12:44:00 AM,C,26
5/8/21 1:14:00 AM,C,26
5/8/21 1:44:00 AM,C,26
5/8/21 2:14:00 AM,C,26
5/8/21 2:44:00 AM,C,26
5/8/21 3:14:00 AM,C,26
5/8/21 3:44:00 AM,C,26
5/8/21 4:14:00 AM,C,26
5/8/21 4:44:00 AM,C,26
5/8/21 5:14:00 AM,C,26
5/8/21 5:44:00 AM,C,25.5
5/8/21 6:14:00 AM,C,26
5/8/21 6:44:00 AM,C,26.5
5/8/21 7:14:00 AM,C,27
5/8/21 7:44:00 AM,C,27.5
5/8/21 8:14:00 AM,C,28
5/8/21 8:44:00 AM,C,28.5
5/8/21 9:14:00 AM,C,28.5
5/8/21 9:44:00 AM,C,29
5/8/21 10:14:00 AM,C,29.5
5/8/21 10:44:00 AM,C,29.5
5/8/21 11:14:00 AM,C,30
5/8/21 11:44:00 AM,C,30
5/8/21 12:14:00 PM,C,30
5/8/21 12:44:00 PM,C,30.5
5/8/21 1:14:00 PM,C,30.5
5/8/21 1:44:00 PM,C,32
5/8/21 2:14:00 PM,C,31.5
5/8/21 2:44:00 PM,C,30.5
5/8/21 3:14:00 PM,C,31
5/8/21 3:44:00 PM,C,33.5
5/8/21 4:14:00 PM,C,32
5/8/21 4:44:00 PM,C,33.5
5/8/21 5:14:00 PM,C,32.5
5/8/21 5:44:00 PM,C,32
5/8/21 6:14:00 PM,C,30
5/8/21 6:44:00 PM,C,28.5
5/8/21 7:14:00 PM,C,28
5/8/21 7:44:00 PM,C,27.5
5/8/21 8:14:00 PM,C,27.5
5/8/21 8:44:00 PM,C,27
5/8/21 9:14:00 PM,C,27
5/8/21 9:44:00 PM,C,27
5/8/21 10:14:00 PM,C,27
5/8/21 10:44:00 PM,C,27
5/8/21 11:14:00 PM,C,27
5/8/21 11:44:00 PM,C,26.5
5/9/21 12:14:00 AM,C,26.5
5/9/21 12:44:00 AM,C,26.5
5/9/21 1:14:00 AM,C,26.5
5/9/21 1:44:00 AM,C,26.5
5/9/21 2:14:00 AM,C,26.5
5/9/21 2:44:00 AM,C,26.5
5/9/21 3:14:00 AM,C,26.5
5/9/21 3:44:00 AM,C,26.5
5/9/21 4:14:00 AM,C,26.5
5/9/21 4:44:00 AM,C,26
5/9/21 5:14:00 AM,C,26
5/9/21 5:44:00 AM,C,26
5/9/21 6:14:00 AM,C,26.5
5/9/21 6:44:00 AM,C,26.5
5/9/21 7:14:00 AM,C,27.5
5/9/21 7:44:00 AM,C,27.5
5/9/21 8:14:00 AM,C,28
5/9/21 8:44:00 AM,C,28.5
5/9/21 9:14:00 AM,C,28
5/9/21 9:44:00 AM,C,28.5
5/9/21 10:14:00 AM,C,29
5/9/21 10:44:00 AM,C,29.5
5/9/21 11:14:00 AM,C,29.5
5/9/21 11:44:00 AM,C,29.5
5/9/21 12:14:00 PM,C,30
5/9/21 12:44:00 PM,C,30
5/9/21 1:14:00 PM,C,30.5
5/9/21 1:44:00 PM,C,31
5/9/21 2:14:00 PM,C,31
5/9/21 2:44:00 PM,C,31
5/9/21 3:14:00 PM,C,33
5/9/21 3:44:00 PM,C,31
5/9/21 4:14:00 PM,C,30.5
5/9/21 4:44:00 PM,C,29.5
5/9/21 5:14:00 PM,C,29
5/9/21 5:44:00 PM,C,28.5
5/9/21 6:14:00 PM,C,28
