1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 23000000415A2021
Is Mission Active?  true
Mission Start:  Tue May 29 00:27:00 BOT 1900
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1342
Total Samples:  8498
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/29/00 12:27:00 AM,C,33
5/29/00 12:57:00 AM,C,41
5/29/00 1:27:00 AM,C,43.5
5/29/00 1:57:00 AM,C,45
5/29/00 2:27:00 AM,C,47
5/29/00 2:57:00 AM,C,48.5
5/29/00 3:27:00 AM,C,52.5
5/29/00 3:57:00 AM,C,48.5
5/29/00 4:27:00 AM,C,49
5/29/00 4:57:00 AM,C,50.5
5/29/00 5:27:00 AM,C,53.5
5/29/00 5:57:00 AM,C,45.5
5/29/00 6:27:00 AM,C,50
5/29/00 6:57:00 AM,C,48
5/29/00 7:27:00 AM,C,41.5
5/29/00 7:57:00 AM,C,39
5/29/00 8:27:00 AM,C,34
5/29/00 8:57:00 AM,C,31.5
5/29/00 9:27:00 AM,C,27.5
5/29/00 9:57:00 AM,C,26.5
5/29/00 10:27:00 AM,C,25.5
5/29/00 10:57:00 AM,C,25.5
5/29/00 11:27:00 AM,C,25
5/29/00 11:57:00 AM,C,25
5/29/00 12:27:00 PM,C,24.5
5/29/00 12:57:00 PM,C,24.5
5/29/00 1:27:00 PM,C,24.5
5/29/00 1:57:00 PM,C,24.5
5/29/00 2:27:00 PM,C,24.5
5/29/00 2:57:00 PM,C,24.5
5/29/00 3:27:00 PM,C,24
5/29/00 3:57:00 PM,C,24
5/29/00 4:27:00 PM,C,24
5/29/00 4:57:00 PM,C,24
5/29/00 5:27:00 PM,C,23.5
5/29/00 5:57:00 PM,C,23.5
5/29/00 6:27:00 PM,C,23.5
5/29/00 6:57:00 PM,C,23.5
5/29/00 7:27:00 PM,C,23
5/29/00 7:57:00 PM,C,23.5
5/29/00 8:27:00 PM,C,23
5/29/00 8:57:00 PM,C,23.5
5/29/00 9:27:00 PM,C,25
5/29/00 9:57:00 PM,C,27.5
5/29/00 10:27:00 PM,C,31
5/29/00 10:57:00 PM,C,31
5/29/00 11:27:00 PM,C,38
5/29/00 11:57:00 PM,C,41.5
5/30/00 12:27:00 AM,C,41
5/30/00 12:57:00 AM,C,43
5/30/00 1:27:00 AM,C,45
5/30/00 1:57:00 AM,C,44
5/30/00 2:27:00 AM,C,46
5/30/00 2:57:00 AM,C,44.5
5/30/00 3:27:00 AM,C,45.5
5/30/00 3:57:00 AM,C,43
5/30/00 4:27:00 AM,C,45.5
5/30/00 4:57:00 AM,C,41
5/30/00 5:27:00 AM,C,42.5
5/30/00 5:57:00 AM,C,38
5/30/00 6:27:00 AM,C,41
5/30/00 6:57:00 AM,C,39.5
5/30/00 7:27:00 AM,C,35.5
5/30/00 7:57:00 AM,C,31.5
5/30/00 8:27:00 AM,C,34
5/30/00 8:57:00 AM,C,30
5/30/00 9:27:00 AM,C,28
5/30/00 9:57:00 AM,C,27
5/30/00 10:27:00 AM,C,26.5
5/30/00 10:57:00 AM,C,26
5/30/00 11:27:00 AM,C,25.5
5/30/00 11:57:00 AM,C,25.5
5/30/00 12:27:00 PM,C,25
5/30/00 12:57:00 PM,C,25
5/30/00 1:27:00 PM,C,25
5/30/00 1:57:00 PM,C,25.5
5/30/00 2:27:00 PM,C,25.5
5/30/00 2:57:00 PM,C,24.5
5/30/00 3:27:00 PM,C,25.5
5/30/00 3:57:00 PM,C,25.5
5/30/00 4:27:00 PM,C,25.5
5/30/00 4:57:00 PM,C,25.5
5/30/00 5:27:00 PM,C,25
5/30/00 5:57:00 PM,C,25
5/30/00 6:27:00 PM,C,24.5
5/30/00 6:57:00 PM,C,24.5
5/30/00 7:27:00 PM,C,24.5
5/30/00 7:57:00 PM,C,24
5/30/00 8:27:00 PM,C,24.5
5/30/00 8:57:00 PM,C,25
5/30/00 9:27:00 PM,C,26.5
5/30/00 9:57:00 PM,C,29
5/30/00 10:27:00 PM,C,30.5
5/30/00 10:57:00 PM,C,33
5/30/00 11:27:00 PM,C,35.5
5/30/00 11:57:00 PM,C,36.5
5/31/00 12:27:00 AM,C,38.5
5/31/00 12:57:00 AM,C,40
5/31/00 1:27:00 AM,C,41.5
5/31/00 1:57:00 AM,C,43
5/31/00 2:27:00 AM,C,44.5
5/31/00 2:57:00 AM,C,46
5/31/00 3:27:00 AM,C,44
5/31/00 3:57:00 AM,C,42.5
5/31/00 4:27:00 AM,C,47
5/31/00 4:57:00 AM,C,46
5/31/00 5:27:00 AM,C,43
5/31/00 5:57:00 AM,C,44
5/31/00 6:27:00 AM,C,38
5/31/00 6:57:00 AM,C,34.5
5/31/00 7:27:00 AM,C,34
5/31/00 7:57:00 AM,C,31
5/31/00 8:27:00 AM,C,30
5/31/00 8:57:00 AM,C,28.5
5/31/00 9:27:00 AM,C,27.5
5/31/00 9:57:00 AM,C,27
5/31/00 10:27:00 AM,C,27
5/31/00 10:57:00 AM,C,26.5
5/31/00 11:27:00 AM,C,26.5
5/31/00 11:57:00 AM,C,26.5
5/31/00 12:27:00 PM,C,26.5
5/31/00 12:57:00 PM,C,26.5
5/31/00 1:27:00 PM,C,26.5
5/31/00 1:57:00 PM,C,26.5
5/31/00 2:27:00 PM,C,26.5
5/31/00 2:57:00 PM,C,26.5
5/31/00 3:27:00 PM,C,26.5
5/31/00 3:57:00 PM,C,26
5/31/00 4:27:00 PM,C,26
5/31/00 4:57:00 PM,C,26
5/31/00 5:27:00 PM,C,26
5/31/00 5:57:00 PM,C,26
5/31/00 6:27:00 PM,C,26
5/31/00 6:57:00 PM,C,26
5/31/00 7:27:00 PM,C,24
5/31/00 7:57:00 PM,C,23.5
5/31/00 8:27:00 PM,C,23.5
5/31/00 8:57:00 PM,C,24
5/31/00 9:27:00 PM,C,25.5
5/31/00 9:57:00 PM,C,26.5
5/31/00 10:27:00 PM,C,29
5/31/00 10:57:00 PM,C,31
5/31/00 11:27:00 PM,C,33
5/31/00 11:57:00 PM,C,37.5
6/1/00 12:27:00 AM,C,37
6/1/00 12:57:00 AM,C,41.5
6/1/00 1:27:00 AM,C,34.5
6/1/00 1:57:00 AM,C,38.5
6/1/00 2:27:00 AM,C,36
6/1/00 2:57:00 AM,C,46.5
6/1/00 3:27:00 AM,C,41.5
6/1/00 3:57:00 AM,C,39.5
6/1/00 4:27:00 AM,C,34.5
6/1/00 4:57:00 AM,C,36.5
6/1/00 5:27:00 AM,C,35.5
6/1/00 5:57:00 AM,C,37
6/1/00 6:27:00 AM,C,34
6/1/00 6:57:00 AM,C,34
6/1/00 7:27:00 AM,C,30.5
6/1/00 7:57:00 AM,C,29.5
6/1/00 8:27:00 AM,C,28.5
6/1/00 8:57:00 AM,C,27.5
6/1/00 9:27:00 AM,C,27
6/1/00 9:57:00 AM,C,26.5
6/1/00 10:27:00 AM,C,26.5
6/1/00 10:57:00 AM,C,26.5
6/1/00 11:27:00 AM,C,26.5
6/1/00 11:57:00 AM,C,26
6/1/00 12:27:00 PM,C,26
6/1/00 12:57:00 PM,C,25
6/1/00 1:27:00 PM,C,25.5
6/1/00 1:57:00 PM,C,26
6/1/00 2:27:00 PM,C,26
6/1/00 2:57:00 PM,C,26
6/1/00 3:27:00 PM,C,26
6/1/00 3:57:00 PM,C,26
6/1/00 4:27:00 PM,C,25.5
6/1/00 4:57:00 PM,C,26
6/1/00 5:27:00 PM,C,25.5
6/1/00 5:57:00 PM,C,25.5
6/1/00 6:27:00 PM,C,25.5
6/1/00 6:57:00 PM,C,25
6/1/00 7:27:00 PM,C,25.5
6/1/00 7:57:00 PM,C,25.5
6/1/00 8:27:00 PM,C,26
6/1/00 8:57:00 PM,C,26
6/1/00 9:27:00 PM,C,26
6/1/00 9:57:00 PM,C,27.5
6/1/00 10:27:00 PM,C,27.5
6/1/00 10:57:00 PM,C,32.5
6/1/00 11:27:00 PM,C,30
6/1/00 11:57:00 PM,C,35
6/2/00 12:27:00 AM,C,34.5
6/2/00 12:57:00 AM,C,33
6/2/00 1:27:00 AM,C,38.5
6/2/00 1:57:00 AM,C,37.5
6/2/00 2:27:00 AM,C,43.5
6/2/00 2:57:00 AM,C,42.5
6/2/00 3:27:00 AM,C,43
6/2/00 3:57:00 AM,C,38
6/2/00 4:27:00 AM,C,37.5
6/2/00 4:57:00 AM,C,36.5
6/2/00 5:27:00 AM,C,45
6/2/00 5:57:00 AM,C,41
6/2/00 6:27:00 AM,C,37
6/2/00 6:57:00 AM,C,32
6/2/00 7:27:00 AM,C,31.5
6/2/00 7:57:00 AM,C,30.5
6/2/00 8:27:00 AM,C,29
6/2/00 8:57:00 AM,C,27.5
6/2/00 9:27:00 AM,C,26
6/2/00 9:57:00 AM,C,26.5
6/2/00 10:27:00 AM,C,26
6/2/00 10:57:00 AM,C,25.5
6/2/00 11:27:00 AM,C,26
6/2/00 11:57:00 AM,C,26
6/2/00 12:27:00 PM,C,26
6/2/00 12:57:00 PM,C,26
6/2/00 1:27:00 PM,C,26
6/2/00 1:57:00 PM,C,25.5
6/2/00 2:27:00 PM,C,25.5
6/2/00 2:57:00 PM,C,25
6/2/00 3:27:00 PM,C,25
6/2/00 3:57:00 PM,C,25.5
6/2/00 4:27:00 PM,C,25.5
6/2/00 4:57:00 PM,C,24.5
6/2/00 5:27:00 PM,C,25
6/2/00 5:57:00 PM,C,25
6/2/00 6:27:00 PM,C,25
6/2/00 6:57:00 PM,C,25.5
6/2/00 7:27:00 PM,C,25.5
6/2/00 7:57:00 PM,C,25.5
6/2/00 8:27:00 PM,C,25.5
6/2/00 8:57:00 PM,C,25.5
6/2/00 9:27:00 PM,C,26.5
6/2/00 9:57:00 PM,C,23.5
6/2/00 10:27:00 PM,C,28
6/2/00 10:57:00 PM,C,28.5
6/2/00 11:27:00 PM,C,32
6/2/00 11:57:00 PM,C,36
6/3/00 12:27:00 AM,C,38.5
6/3/00 12:57:00 AM,C,41.5
6/3/00 1:27:00 AM,C,43
6/3/00 1:57:00 AM,C,46
6/3/00 2:27:00 AM,C,44.5
6/3/00 2:57:00 AM,C,42.5
6/3/00 3:27:00 AM,C,45
6/3/00 3:57:00 AM,C,41.5
6/3/00 4:27:00 AM,C,42
6/3/00 4:57:00 AM,C,40
6/3/00 5:27:00 AM,C,41
6/3/00 5:57:00 AM,C,42
6/3/00 6:27:00 AM,C,37.5
6/3/00 6:57:00 AM,C,35.5
6/3/00 7:27:00 AM,C,31.5
6/3/00 7:57:00 AM,C,31.5
6/3/00 8:27:00 AM,C,33.5
6/3/00 8:57:00 AM,C,30.5
6/3/00 9:27:00 AM,C,27
6/3/00 9:57:00 AM,C,26
6/3/00 10:27:00 AM,C,26
6/3/00 10:57:00 AM,C,25.5
6/3/00 11:27:00 AM,C,25.5
6/3/00 11:57:00 AM,C,25
6/3/00 12:27:00 PM,C,25
6/3/00 12:57:00 PM,C,25.5
6/3/00 1:27:00 PM,C,25.5
6/3/00 1:57:00 PM,C,25.5
6/3/00 2:27:00 PM,C,25.5
