1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9B00000041611821
Is Mission Active?  true
Mission Start:  Fri May 07 09:45:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1342
Total Samples:  38017
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/7/21 9:45:00 AM,C,35.5
5/7/21 10:15:00 AM,C,40
5/7/21 10:45:00 AM,C,42.5
5/7/21 11:15:00 AM,C,41.5
5/7/21 11:45:00 AM,C,44.5
5/7/21 12:15:00 PM,C,42.5
5/7/21 12:45:00 PM,C,42.5
5/7/21 1:15:00 PM,C,42
5/7/21 1:45:00 PM,C,41.5
5/7/21 2:15:00 PM,C,41
5/7/21 2:45:00 PM,C,38
5/7/21 3:15:00 PM,C,34.5
5/7/21 3:45:00 PM,C,32.5
5/7/21 4:15:00 PM,C,33
5/7/21 4:45:00 PM,C,31
5/7/21 5:15:00 PM,C,30
5/7/21 5:45:00 PM,C,28
5/7/21 6:15:00 PM,C,27
5/7/21 6:45:00 PM,C,26.5
5/7/21 7:15:00 PM,C,26
5/7/21 7:45:00 PM,C,26
5/7/21 8:15:00 PM,C,25.5
5/7/21 8:45:00 PM,C,25.5
5/7/21 9:15:00 PM,C,25.5
5/7/21 9:45:00 PM,C,25.5
5/7/21 10:15:00 PM,C,25.5
5/7/21 10:45:00 PM,C,25.5
5/7/21 11:15:00 PM,C,25.5
5/7/21 11:45:00 PM,C,25.5
5/8/21 12:15:00 AM,C,25.5
5/8/21 12:45:00 AM,C,25
5/8/21 1:15:00 AM,C,25
5/8/21 1:45:00 AM,C,25
5/8/21 2:15:00 AM,C,25
5/8/21 2:45:00 AM,C,25
5/8/21 3:15:00 AM,C,25
5/8/21 3:45:00 AM,C,25
5/8/21 4:15:00 AM,C,25
5/8/21 4:45:00 AM,C,24.5
5/8/21 5:15:00 AM,C,24.5
5/8/21 5:45:00 AM,C,23
5/8/21 6:15:00 AM,C,24.5
5/8/21 6:45:00 AM,C,26.5
5/8/21 7:15:00 AM,C,28.5
5/8/21 7:45:00 AM,C,31.5
5/8/21 8:15:00 AM,C,33.5
5/8/21 8:45:00 AM,C,34.5
5/8/21 9:15:00 AM,C,38
5/8/21 9:45:00 AM,C,38.5
5/8/21 10:15:00 AM,C,40
5/8/21 10:45:00 AM,C,41.5
5/8/21 11:15:00 AM,C,41
5/8/21 11:45:00 AM,C,41.5
5/8/21 12:15:00 PM,C,41.5
5/8/21 12:45:00 PM,C,39
5/8/21 1:15:00 PM,C,40
5/8/21 1:45:00 PM,C,40
5/8/21 2:15:00 PM,C,36.5
5/8/21 2:45:00 PM,C,32.5
5/8/21 3:15:00 PM,C,31.5
5/8/21 3:45:00 PM,C,34.5
5/8/21 4:15:00 PM,C,33
5/8/21 4:45:00 PM,C,31.5
5/8/21 5:15:00 PM,C,30
5/8/21 5:45:00 PM,C,28.5
5/8/21 6:15:00 PM,C,27.5
5/8/21 6:45:00 PM,C,27
5/8/21 7:15:00 PM,C,26.5
5/8/21 7:45:00 PM,C,26.5
5/8/21 8:15:00 PM,C,26
5/8/21 8:45:00 PM,C,26
5/8/21 9:15:00 PM,C,26
5/8/21 9:45:00 PM,C,26
5/8/21 10:15:00 PM,C,26
5/8/21 10:45:00 PM,C,26
5/8/21 11:15:00 PM,C,26
5/8/21 11:45:00 PM,C,26
5/9/21 12:15:00 AM,C,25.5
5/9/21 12:45:00 AM,C,26
5/9/21 1:15:00 AM,C,26
5/9/21 1:45:00 AM,C,26
5/9/21 2:15:00 AM,C,26
5/9/21 2:45:00 AM,C,26
5/9/21 3:15:00 AM,C,25
