1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2C00000041497E21
Is Mission Active?  true
Mission Start:  Fri Feb 26 08:18:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  816
Total Samples:  34394
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/26/21 8:18:00 AM,C,28.5
2/26/21 8:48:00 AM,C,26.5
2/26/21 9:18:00 AM,C,27
2/26/21 9:48:00 AM,C,27.5
2/26/21 10:18:00 AM,C,28.5
2/26/21 10:48:00 AM,C,29.5
2/26/21 11:18:00 AM,C,29
2/26/21 11:48:00 AM,C,30
2/26/21 12:18:00 PM,C,30.5
2/26/21 12:48:00 PM,C,31
2/26/21 1:18:00 PM,C,31
2/26/21 1:48:00 PM,C,31
2/26/21 2:18:00 PM,C,31.5
2/26/21 2:48:00 PM,C,32.5
2/26/21 3:18:00 PM,C,32.5
2/26/21 3:48:00 PM,C,33
2/26/21 4:18:00 PM,C,32
2/26/21 4:48:00 PM,C,34
2/26/21 5:18:00 PM,C,34
2/26/21 5:48:00 PM,C,31
2/26/21 6:18:00 PM,C,29
2/26/21 6:48:00 PM,C,28
2/26/21 7:18:00 PM,C,27.5
2/26/21 7:48:00 PM,C,27
2/26/21 8:18:00 PM,C,27
2/26/21 8:48:00 PM,C,26.5
2/26/21 9:18:00 PM,C,26.5
2/26/21 9:48:00 PM,C,26
2/26/21 10:18:00 PM,C,26
2/26/21 10:48:00 PM,C,26
2/26/21 11:18:00 PM,C,26
2/26/21 11:48:00 PM,C,26
2/27/21 12:18:00 AM,C,25.5
2/27/21 12:48:00 AM,C,25.5
2/27/21 1:18:00 AM,C,25
2/27/21 1:48:00 AM,C,25.5
2/27/21 2:18:00 AM,C,25.5
2/27/21 2:48:00 AM,C,25.5
2/27/21 3:18:00 AM,C,25
2/27/21 3:48:00 AM,C,25.5
2/27/21 4:18:00 AM,C,25.5
2/27/21 4:48:00 AM,C,25.5
2/27/21 5:18:00 AM,C,25.5
2/27/21 5:48:00 AM,C,25.5
2/27/21 6:18:00 AM,C,25
2/27/21 6:48:00 AM,C,25
2/27/21 7:18:00 AM,C,25
2/27/21 7:48:00 AM,C,25.5
2/27/21 8:18:00 AM,C,26
2/27/21 8:48:00 AM,C,26.5
2/27/21 9:18:00 AM,C,27
2/27/21 9:48:00 AM,C,28
2/27/21 10:18:00 AM,C,29
2/27/21 10:48:00 AM,C,29.5
2/27/21 11:18:00 AM,C,30
2/27/21 11:48:00 AM,C,31
2/27/21 12:18:00 PM,C,27.5
2/27/21 12:48:00 PM,C,28.5
2/27/21 1:18:00 PM,C,29
2/27/21 1:48:00 PM,C,26.5
2/27/21 2:18:00 PM,C,27.5
2/27/21 2:48:00 PM,C,27
2/27/21 3:18:00 PM,C,28
2/27/21 3:48:00 PM,C,28.5
2/27/21 4:18:00 PM,C,27.5
2/27/21 4:48:00 PM,C,29.5
2/27/21 5:18:00 PM,C,28
2/27/21 5:48:00 PM,C,27.5
2/27/21 6:18:00 PM,C,26.5
2/27/21 6:48:00 PM,C,26
2/27/21 7:18:00 PM,C,26
2/27/21 7:48:00 PM,C,25.5
2/27/21 8:18:00 PM,C,25.5
2/27/21 8:48:00 PM,C,25.5
2/27/21 9:18:00 PM,C,25.5
2/27/21 9:48:00 PM,C,25.5
2/27/21 10:18:00 PM,C,25.5
2/27/21 10:48:00 PM,C,25.5
2/27/21 11:18:00 PM,C,25.5
2/27/21 11:48:00 PM,C,25.5
2/28/21 12:18:00 AM,C,25
2/28/21 12:48:00 AM,C,25
2/28/21 1:18:00 AM,C,25
2/28/21 1:48:00 AM,C,25
2/28/21 2:18:00 AM,C,25
2/28/21 2:48:00 AM,C,25
2/28/21 3:18:00 AM,C,25
2/28/21 3:48:00 AM,C,25
2/28/21 4:18:00 AM,C,25
2/28/21 4:48:00 AM,C,24.5
2/28/21 5:18:00 AM,C,25
2/28/21 5:48:00 AM,C,24
2/28/21 6:18:00 AM,C,24
2/28/21 6:48:00 AM,C,24
2/28/21 7:18:00 AM,C,24
2/28/21 7:48:00 AM,C,24.5
2/28/21 8:18:00 AM,C,25
2/28/21 8:48:00 AM,C,25.5
2/28/21 9:18:00 AM,C,26.5
2/28/21 9:48:00 AM,C,27
2/28/21 10:18:00 AM,C,28
2/28/21 10:48:00 AM,C,28
2/28/21 11:18:00 AM,C,28
2/28/21 11:48:00 AM,C,28.5
2/28/21 12:18:00 PM,C,29
2/28/21 12:48:00 PM,C,30
2/28/21 1:18:00 PM,C,30
2/28/21 1:48:00 PM,C,30.5
2/28/21 2:18:00 PM,C,30.5
2/28/21 2:48:00 PM,C,31
2/28/21 3:18:00 PM,C,31
2/28/21 3:48:00 PM,C,32.5
2/28/21 4:18:00 PM,C,31.5
2/28/21 4:48:00 PM,C,36
2/28/21 5:18:00 PM,C,35
2/28/21 5:48:00 PM,C,30.5
2/28/21 6:18:00 PM,C,28.5
2/28/21 6:48:00 PM,C,27.5
2/28/21 7:18:00 PM,C,26.5
2/28/21 7:48:00 PM,C,26
2/28/21 8:18:00 PM,C,26
2/28/21 8:48:00 PM,C,26
2/28/21 9:18:00 PM,C,24.5
2/28/21 9:48:00 PM,C,25
2/28/21 10:18:00 PM,C,25
2/28/21 10:48:00 PM,C,25
2/28/21 11:18:00 PM,C,24.5
2/28/21 11:48:00 PM,C,24.5
3/1/21 12:18:00 AM,C,24.5
3/1/21 12:48:00 AM,C,24
3/1/21 1:18:00 AM,C,24.5
3/1/21 1:48:00 AM,C,24.5
3/1/21 2:18:00 AM,C,24
3/1/21 2:48:00 AM,C,24.5
3/1/21 3:18:00 AM,C,24.5
3/1/21 3:48:00 AM,C,24
3/1/21 4:18:00 AM,C,24
3/1/21 4:48:00 AM,C,24
3/1/21 5:18:00 AM,C,23.5
3/1/21 5:48:00 AM,C,23.5
3/1/21 6:18:00 AM,C,23.5
3/1/21 6:48:00 AM,C,24
3/1/21 7:18:00 AM,C,24
3/1/21 7:48:00 AM,C,24.5
3/1/21 8:18:00 AM,C,24
3/1/21 8:48:00 AM,C,25
3/1/21 9:18:00 AM,C,25
3/1/21 9:48:00 AM,C,25.5
3/1/21 10:18:00 AM,C,27
3/1/21 10:48:00 AM,C,27.5
3/1/21 11:18:00 AM,C,28
3/1/21 11:48:00 AM,C,28.5
3/1/21 12:18:00 PM,C,29
3/1/21 12:48:00 PM,C,28.5
3/1/21 1:18:00 PM,C,28.5
3/1/21 1:48:00 PM,C,29
3/1/21 2:18:00 PM,C,29.5
3/1/21 2:48:00 PM,C,28.5
3/1/21 3:18:00 PM,C,28.5
3/1/21 3:48:00 PM,C,30
3/1/21 4:18:00 PM,C,29.5
3/1/21 4:48:00 PM,C,34
3/1/21 5:18:00 PM,C,33
3/1/21 5:48:00 PM,C,29.5
3/1/21 6:18:00 PM,C,27.5
3/1/21 6:48:00 PM,C,26.5
3/1/21 7:18:00 PM,C,26
3/1/21 7:48:00 PM,C,25.5
3/1/21 8:18:00 PM,C,25.5
3/1/21 8:48:00 PM,C,25
3/1/21 9:18:00 PM,C,25
3/1/21 9:48:00 PM,C,24.5
3/1/21 10:18:00 PM,C,25
3/1/21 10:48:00 PM,C,25
3/1/21 11:18:00 PM,C,24.5
3/1/21 11:48:00 PM,C,24.5
3/2/21 12:18:00 AM,C,24.5
3/2/21 12:48:00 AM,C,24.5
3/2/21 1:18:00 AM,C,24.5
3/2/21 1:48:00 AM,C,24.5
3/2/21 2:18:00 AM,C,24
3/2/21 2:48:00 AM,C,24
3/2/21 3:18:00 AM,C,24
3/2/21 3:48:00 AM,C,23.5
3/2/21 4:18:00 AM,C,23.5
3/2/21 4:48:00 AM,C,23.5
3/2/21 5:18:00 AM,C,23.5
3/2/21 5:48:00 AM,C,23.5
3/2/21 6:18:00 AM,C,23.5
3/2/21 6:48:00 AM,C,23.5
3/2/21 7:18:00 AM,C,24
3/2/21 7:48:00 AM,C,24.5
3/2/21 8:18:00 AM,C,24.5
3/2/21 8:48:00 AM,C,25.5
3/2/21 9:18:00 AM,C,26
3/2/21 9:48:00 AM,C,26.5
3/2/21 10:18:00 AM,C,27.5
3/2/21 10:48:00 AM,C,28
3/2/21 11:18:00 AM,C,28.5
3/2/21 11:48:00 AM,C,29.5
3/2/21 12:18:00 PM,C,30
3/2/21 12:48:00 PM,C,30.5
3/2/21 1:18:00 PM,C,31.5
3/2/21 1:48:00 PM,C,31.5
3/2/21 2:18:00 PM,C,31.5
3/2/21 2:48:00 PM,C,32.5
3/2/21 3:18:00 PM,C,32
3/2/21 3:48:00 PM,C,32.5
3/2/21 4:18:00 PM,C,31.5
3/2/21 4:48:00 PM,C,36
3/2/21 5:18:00 PM,C,32.5
3/2/21 5:48:00 PM,C,29.5
3/2/21 6:18:00 PM,C,28
3/2/21 6:48:00 PM,C,27
3/2/21 7:18:00 PM,C,26.5
3/2/21 7:48:00 PM,C,26.5
3/2/21 8:18:00 PM,C,26
3/2/21 8:48:00 PM,C,25.5
3/2/21 9:18:00 PM,C,25.5
3/2/21 9:48:00 PM,C,25.5
3/2/21 10:18:00 PM,C,25
3/2/21 10:48:00 PM,C,25
3/2/21 11:18:00 PM,C,25
3/2/21 11:48:00 PM,C,25
3/3/21 12:18:00 AM,C,25
3/3/21 12:48:00 AM,C,24.5
3/3/21 1:18:00 AM,C,24.5
3/3/21 1:48:00 AM,C,24.5
3/3/21 2:18:00 AM,C,24.5
3/3/21 2:48:00 AM,C,24.5
3/3/21 3:18:00 AM,C,24
3/3/21 3:48:00 AM,C,24
3/3/21 4:18:00 AM,C,23.5
3/3/21 4:48:00 AM,C,24
3/3/21 5:18:00 AM,C,23.5
3/3/21 5:48:00 AM,C,24
3/3/21 6:18:00 AM,C,24
3/3/21 6:48:00 AM,C,24
3/3/21 7:18:00 AM,C,24
3/3/21 7:48:00 AM,C,24.5
3/3/21 8:18:00 AM,C,25
3/3/21 8:48:00 AM,C,25.5
3/3/21 9:18:00 AM,C,26.5
3/3/21 9:48:00 AM,C,27
3/3/21 10:18:00 AM,C,28
3/3/21 10:48:00 AM,C,28
3/3/21 11:18:00 AM,C,30
3/3/21 11:48:00 AM,C,30.5
3/3/21 12:18:00 PM,C,30.5
3/3/21 12:48:00 PM,C,31
3/3/21 1:18:00 PM,C,31.5
3/3/21 1:48:00 PM,C,31
3/3/21 2:18:00 PM,C,32.5
3/3/21 2:48:00 PM,C,32.5
3/3/21 3:18:00 PM,C,32.5
3/3/21 3:48:00 PM,C,36.5
3/3/21 4:18:00 PM,C,35
3/3/21 4:48:00 PM,C,40
3/3/21 5:18:00 PM,C,38.5
3/3/21 5:48:00 PM,C,34.5
3/3/21 6:18:00 PM,C,31.5
3/3/21 6:48:00 PM,C,29.5
3/3/21 7:18:00 PM,C,28.5
3/3/21 7:48:00 PM,C,28
3/3/21 8:18:00 PM,C,27.5
3/3/21 8:48:00 PM,C,27
3/3/21 9:18:00 PM,C,27
3/3/21 9:48:00 PM,C,26.5
3/3/21 10:18:00 PM,C,26.5
3/3/21 10:48:00 PM,C,26.5
3/3/21 11:18:00 PM,C,26
3/3/21 11:48:00 PM,C,26
3/4/21 12:18:00 AM,C,26
3/4/21 12:48:00 AM,C,26
3/4/21 1:18:00 AM,C,26
3/4/21 1:48:00 AM,C,25.5
3/4/21 2:18:00 AM,C,25.5
3/4/21 2:48:00 AM,C,25.5
3/4/21 3:18:00 AM,C,25
3/4/21 3:48:00 AM,C,25
3/4/21 4:18:00 AM,C,24.5
3/4/21 4:48:00 AM,C,24.5
3/4/21 5:18:00 AM,C,24
3/4/21 5:48:00 AM,C,24
3/4/21 6:18:00 AM,C,23.5
3/4/21 6:48:00 AM,C,23.5
3/4/21 7:18:00 AM,C,24
3/4/21 7:48:00 AM,C,24
3/4/21 8:18:00 AM,C,24
3/4/21 8:48:00 AM,C,24
3/4/21 9:18:00 AM,C,24.5
3/4/21 9:48:00 AM,C,25
3/4/21 10:18:00 AM,C,25
3/4/21 10:48:00 AM,C,26.5
3/4/21 11:18:00 AM,C,27.5
3/4/21 11:48:00 AM,C,28.5
3/4/21 12:18:00 PM,C,29
3/4/21 12:48:00 PM,C,29.5
3/4/21 1:18:00 PM,C,30.5
3/4/21 1:48:00 PM,C,31
3/4/21 2:18:00 PM,C,32
3/4/21 2:48:00 PM,C,32.5
3/4/21 3:18:00 PM,C,33
3/4/21 3:48:00 PM,C,36
3/4/21 4:18:00 PM,C,33.5
3/4/21 4:48:00 PM,C,37
3/4/21 5:18:00 PM,C,37
3/4/21 5:48:00 PM,C,33
3/4/21 6:18:00 PM,C,31
3/4/21 6:48:00 PM,C,29.5
3/4/21 7:18:00 PM,C,28.5
3/4/21 7:48:00 PM,C,28
3/4/21 8:18:00 PM,C,27.5
3/4/21 8:48:00 PM,C,27.5
3/4/21 9:18:00 PM,C,27
3/4/21 9:48:00 PM,C,26
3/4/21 10:18:00 PM,C,25.5
3/4/21 10:48:00 PM,C,25.5
3/4/21 11:18:00 PM,C,25.5
3/4/21 11:48:00 PM,C,25
3/5/21 12:18:00 AM,C,24.5
3/5/21 12:48:00 AM,C,24.5
3/5/21 1:18:00 AM,C,24
3/5/21 1:48:00 AM,C,24
3/5/21 2:18:00 AM,C,24
3/5/21 2:48:00 AM,C,23.5
3/5/21 3:18:00 AM,C,23.5
3/5/21 3:48:00 AM,C,23.5
3/5/21 4:18:00 AM,C,23.5
