1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E100000041808C21
Is Mission Active?  true
Mission Start:  Fri Feb 26 07:51:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  816
Total Samples:  34135
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/26/21 7:51:00 AM,C,28
2/26/21 8:21:00 AM,C,26.5
2/26/21 8:51:00 AM,C,27.5
2/26/21 9:21:00 AM,C,29.5
2/26/21 9:51:00 AM,C,31.5
2/26/21 10:21:00 AM,C,33
2/26/21 10:51:00 AM,C,34.5
2/26/21 11:21:00 AM,C,36.5
2/26/21 11:51:00 AM,C,37
2/26/21 12:21:00 PM,C,34.5
2/26/21 12:51:00 PM,C,37.5
2/26/21 1:21:00 PM,C,38.5
2/26/21 1:51:00 PM,C,35
2/26/21 2:21:00 PM,C,37.5
2/26/21 2:51:00 PM,C,38
2/26/21 3:21:00 PM,C,36.5
2/26/21 3:51:00 PM,C,34.5
2/26/21 4:21:00 PM,C,29.5
2/26/21 4:51:00 PM,C,29.5
2/26/21 5:21:00 PM,C,28.5
2/26/21 5:51:00 PM,C,27
2/26/21 6:21:00 PM,C,25.5
2/26/21 6:51:00 PM,C,25.5
2/26/21 7:21:00 PM,C,25
2/26/21 7:51:00 PM,C,25
2/26/21 8:21:00 PM,C,23
2/26/21 8:51:00 PM,C,25
2/26/21 9:21:00 PM,C,24.5
2/26/21 9:51:00 PM,C,24.5
2/26/21 10:21:00 PM,C,24.5
2/26/21 10:51:00 PM,C,25
2/26/21 11:21:00 PM,C,25
2/26/21 11:51:00 PM,C,24.5
2/27/21 12:21:00 AM,C,24.5
2/27/21 12:51:00 AM,C,24
2/27/21 1:21:00 AM,C,24
2/27/21 1:51:00 AM,C,24
2/27/21 2:21:00 AM,C,24.5
2/27/21 2:51:00 AM,C,24
2/27/21 3:21:00 AM,C,24
2/27/21 3:51:00 AM,C,24.5
2/27/21 4:21:00 AM,C,25
2/27/21 4:51:00 AM,C,24.5
2/27/21 5:21:00 AM,C,24.5
2/27/21 5:51:00 AM,C,24.5
2/27/21 6:21:00 AM,C,24
2/27/21 6:51:00 AM,C,24
2/27/21 7:21:00 AM,C,24.5
2/27/21 7:51:00 AM,C,25.5
2/27/21 8:21:00 AM,C,26
2/27/21 8:51:00 AM,C,27
2/27/21 9:21:00 AM,C,31
2/27/21 9:51:00 AM,C,33
2/27/21 10:21:00 AM,C,36.5
2/27/21 10:51:00 AM,C,38.5
2/27/21 11:21:00 AM,C,39
2/27/21 11:51:00 AM,C,40.5
2/27/21 12:21:00 PM,C,24.5
2/27/21 12:51:00 PM,C,36
2/27/21 1:21:00 PM,C,36.5
2/27/21 1:51:00 PM,C,23.5
2/27/21 2:21:00 PM,C,26
2/27/21 2:51:00 PM,C,29
2/27/21 3:21:00 PM,C,29.5
2/27/21 3:51:00 PM,C,30
2/27/21 4:21:00 PM,C,27.5
2/27/21 4:51:00 PM,C,27
2/27/21 5:21:00 PM,C,26.5
2/27/21 5:51:00 PM,C,26.5
2/27/21 6:21:00 PM,C,24.5
2/27/21 6:51:00 PM,C,24.5
2/27/21 7:21:00 PM,C,24
2/27/21 7:51:00 PM,C,24
2/27/21 8:21:00 PM,C,24.5
2/27/21 8:51:00 PM,C,24.5
2/27/21 9:21:00 PM,C,24.5
2/27/21 9:51:00 PM,C,24
2/27/21 10:21:00 PM,C,24.5
2/27/21 10:51:00 PM,C,24.5
2/27/21 11:21:00 PM,C,24.5
2/27/21 11:51:00 PM,C,24.5
2/28/21 12:21:00 AM,C,24.5
2/28/21 12:51:00 AM,C,24
2/28/21 1:21:00 AM,C,24.5
2/28/21 1:51:00 AM,C,24.5
2/28/21 2:21:00 AM,C,24
2/28/21 2:51:00 AM,C,24
2/28/21 3:21:00 AM,C,24
2/28/21 3:51:00 AM,C,24
2/28/21 4:21:00 AM,C,24.5
2/28/21 4:51:00 AM,C,21.5
2/28/21 5:21:00 AM,C,22
2/28/21 5:51:00 AM,C,22
2/28/21 6:21:00 AM,C,22
2/28/21 6:51:00 AM,C,23.5
2/28/21 7:21:00 AM,C,22.5
2/28/21 7:51:00 AM,C,24
2/28/21 8:21:00 AM,C,25
2/28/21 8:51:00 AM,C,26
2/28/21 9:21:00 AM,C,28.5
2/28/21 9:51:00 AM,C,29
2/28/21 10:21:00 AM,C,31.5
2/28/21 10:51:00 AM,C,31.5
2/28/21 11:21:00 AM,C,33
2/28/21 11:51:00 AM,C,34
2/28/21 12:21:00 PM,C,34
2/28/21 12:51:00 PM,C,34.5
2/28/21 1:21:00 PM,C,36.5
2/28/21 1:51:00 PM,C,36.5
2/28/21 2:21:00 PM,C,36.5
2/28/21 2:51:00 PM,C,36
2/28/21 3:21:00 PM,C,34.5
2/28/21 3:51:00 PM,C,33.5
2/28/21 4:21:00 PM,C,32.5
2/28/21 4:51:00 PM,C,29
2/28/21 5:21:00 PM,C,28.5
2/28/21 5:51:00 PM,C,26.5
2/28/21 6:21:00 PM,C,25
2/28/21 6:51:00 PM,C,24.5
2/28/21 7:21:00 PM,C,24
2/28/21 7:51:00 PM,C,24
2/28/21 8:21:00 PM,C,24.5
2/28/21 8:51:00 PM,C,22
2/28/21 9:21:00 PM,C,22
2/28/21 9:51:00 PM,C,22.5
2/28/21 10:21:00 PM,C,23
2/28/21 10:51:00 PM,C,23
2/28/21 11:21:00 PM,C,23
2/28/21 11:51:00 PM,C,23
3/1/21 12:21:00 AM,C,21
3/1/21 12:51:00 AM,C,22.5
3/1/21 1:21:00 AM,C,22.5
3/1/21 1:51:00 AM,C,23
3/1/21 2:21:00 AM,C,23
3/1/21 2:51:00 AM,C,23
3/1/21 3:21:00 AM,C,22.5
3/1/21 3:51:00 AM,C,23
3/1/21 4:21:00 AM,C,23
3/1/21 4:51:00 AM,C,22
3/1/21 5:21:00 AM,C,22
3/1/21 5:51:00 AM,C,22
3/1/21 6:21:00 AM,C,22.5
3/1/21 6:51:00 AM,C,23
3/1/21 7:21:00 AM,C,24
3/1/21 7:51:00 AM,C,22
3/1/21 8:21:00 AM,C,22.5
3/1/21 8:51:00 AM,C,24.5
3/1/21 9:21:00 AM,C,26.5
3/1/21 9:51:00 AM,C,27.5
3/1/21 10:21:00 AM,C,31
3/1/21 10:51:00 AM,C,29.5
3/1/21 11:21:00 AM,C,34
3/1/21 11:51:00 AM,C,32.5
3/1/21 12:21:00 PM,C,31.5
3/1/21 12:51:00 PM,C,32.5
3/1/21 1:21:00 PM,C,33.5
3/1/21 1:51:00 PM,C,31
3/1/21 2:21:00 PM,C,34
3/1/21 2:51:00 PM,C,35
3/1/21 3:21:00 PM,C,30
3/1/21 3:51:00 PM,C,29
3/1/21 4:21:00 PM,C,31.5
3/1/21 4:51:00 PM,C,28.5
3/1/21 5:21:00 PM,C,27.5
3/1/21 5:51:00 PM,C,26
3/1/21 6:21:00 PM,C,24.5
3/1/21 6:51:00 PM,C,24
3/1/21 7:21:00 PM,C,24
3/1/21 7:51:00 PM,C,24
3/1/21 8:21:00 PM,C,23.5
3/1/21 8:51:00 PM,C,23
3/1/21 9:21:00 PM,C,23
3/1/21 9:51:00 PM,C,23.5
3/1/21 10:21:00 PM,C,24
3/1/21 10:51:00 PM,C,23.5
3/1/21 11:21:00 PM,C,23
3/1/21 11:51:00 PM,C,23
3/2/21 12:21:00 AM,C,23
3/2/21 12:51:00 AM,C,23.5
3/2/21 1:21:00 AM,C,23.5
3/2/21 1:51:00 AM,C,23
3/2/21 2:21:00 AM,C,23.5
3/2/21 2:51:00 AM,C,23
3/2/21 3:21:00 AM,C,22.5
3/2/21 3:51:00 AM,C,23
3/2/21 4:21:00 AM,C,22.5
3/2/21 4:51:00 AM,C,22.5
3/2/21 5:21:00 AM,C,22.5
3/2/21 5:51:00 AM,C,22.5
3/2/21 6:21:00 AM,C,23
3/2/21 6:51:00 AM,C,23
3/2/21 7:21:00 AM,C,24.5
3/2/21 7:51:00 AM,C,24.5
3/2/21 8:21:00 AM,C,25
3/2/21 8:51:00 AM,C,25.5
3/2/21 9:21:00 AM,C,29
3/2/21 9:51:00 AM,C,32
3/2/21 10:21:00 AM,C,33.5
3/2/21 10:51:00 AM,C,34.5
3/2/21 11:21:00 AM,C,37.5
3/2/21 11:51:00 AM,C,39
3/2/21 12:21:00 PM,C,36.5
3/2/21 12:51:00 PM,C,41
3/2/21 1:21:00 PM,C,38
3/2/21 1:51:00 PM,C,40
3/2/21 2:21:00 PM,C,39
3/2/21 2:51:00 PM,C,38.5
3/2/21 3:21:00 PM,C,36.5
3/2/21 3:51:00 PM,C,35.5
3/2/21 4:21:00 PM,C,34
3/2/21 4:51:00 PM,C,31
3/2/21 5:21:00 PM,C,28
3/2/21 5:51:00 PM,C,26.5
3/2/21 6:21:00 PM,C,25
3/2/21 6:51:00 PM,C,24.5
3/2/21 7:21:00 PM,C,24.5
3/2/21 7:51:00 PM,C,24
3/2/21 8:21:00 PM,C,22.5
3/2/21 8:51:00 PM,C,23.5
3/2/21 9:21:00 PM,C,22
3/2/21 9:51:00 PM,C,23.5
3/2/21 10:21:00 PM,C,23.5
3/2/21 10:51:00 PM,C,23.5
3/2/21 11:21:00 PM,C,23.5
3/2/21 11:51:00 PM,C,23.5
3/3/21 12:21:00 AM,C,23.5
3/3/21 12:51:00 AM,C,22.5
3/3/21 1:21:00 AM,C,23
3/3/21 1:51:00 AM,C,23
3/3/21 2:21:00 AM,C,23
3/3/21 2:51:00 AM,C,23.5
3/3/21 3:21:00 AM,C,22
3/3/21 3:51:00 AM,C,22.5
3/3/21 4:21:00 AM,C,22
3/3/21 4:51:00 AM,C,22.5
3/3/21 5:21:00 AM,C,22.5
3/3/21 5:51:00 AM,C,22.5
3/3/21 6:21:00 AM,C,22.5
3/3/21 6:51:00 AM,C,23
3/3/21 7:21:00 AM,C,23.5
3/3/21 7:51:00 AM,C,24.5
3/3/21 8:21:00 AM,C,25.5
3/3/21 8:51:00 AM,C,26
