1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0900000041421721
Is Mission Active?  true
Mission Start:  Fri Feb 26 08:58:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  815
Total Samples:  34138
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/26/21 8:58:00 AM,C,31.5
2/26/21 9:28:00 AM,C,37
2/26/21 9:58:00 AM,C,40
2/26/21 10:28:00 AM,C,44
2/26/21 10:58:00 AM,C,45.5
2/26/21 11:28:00 AM,C,49
2/26/21 11:58:00 AM,C,52
2/26/21 12:28:00 PM,C,52
2/26/21 12:58:00 PM,C,54
2/26/21 1:28:00 PM,C,53.5
2/26/21 1:58:00 PM,C,46
2/26/21 2:28:00 PM,C,49.5
2/26/21 2:58:00 PM,C,44.5
2/26/21 3:28:00 PM,C,46.5
2/26/21 3:58:00 PM,C,43.5
2/26/21 4:28:00 PM,C,36
2/26/21 4:58:00 PM,C,36.5
2/26/21 5:28:00 PM,C,30.5
2/26/21 5:58:00 PM,C,28
2/26/21 6:28:00 PM,C,26
2/26/21 6:58:00 PM,C,25
2/26/21 7:28:00 PM,C,25
2/26/21 7:58:00 PM,C,25
2/26/21 8:28:00 PM,C,23
2/26/21 8:58:00 PM,C,24.5
2/26/21 9:28:00 PM,C,23.5
2/26/21 9:58:00 PM,C,23.5
2/26/21 10:28:00 PM,C,23.5
2/26/21 10:58:00 PM,C,24.5
2/26/21 11:28:00 PM,C,24.5
2/26/21 11:58:00 PM,C,24
2/27/21 12:28:00 AM,C,24
2/27/21 12:58:00 AM,C,23
2/27/21 1:28:00 AM,C,22.5
2/27/21 1:58:00 AM,C,23
2/27/21 2:28:00 AM,C,23.5
2/27/21 2:58:00 AM,C,23
2/27/21 3:28:00 AM,C,22.5
2/27/21 3:58:00 AM,C,24
2/27/21 4:28:00 AM,C,23.5
2/27/21 4:58:00 AM,C,23.5
2/27/21 5:28:00 AM,C,23.5
2/27/21 5:58:00 AM,C,23
2/27/21 6:28:00 AM,C,22.5
2/27/21 6:58:00 AM,C,22.5
2/27/21 7:28:00 AM,C,23.5
2/27/21 7:58:00 AM,C,27
2/27/21 8:28:00 AM,C,30
2/27/21 8:58:00 AM,C,33.5
2/27/21 9:28:00 AM,C,36.5
2/27/21 9:58:00 AM,C,38
2/27/21 10:28:00 AM,C,41.5
2/27/21 10:58:00 AM,C,45
2/27/21 11:28:00 AM,C,48.5
2/27/21 11:58:00 AM,C,49
2/27/21 12:28:00 PM,C,28
2/27/21 12:58:00 PM,C,42.5
2/27/21 1:28:00 PM,C,42.5
2/27/21 1:58:00 PM,C,24
2/27/21 2:28:00 PM,C,25.5
2/27/21 2:58:00 PM,C,29.5
2/27/21 3:28:00 PM,C,29
2/27/21 3:58:00 PM,C,29
2/27/21 4:28:00 PM,C,27.5
2/27/21 4:58:00 PM,C,28
2/27/21 5:28:00 PM,C,27
2/27/21 5:58:00 PM,C,25
2/27/21 6:28:00 PM,C,23.5
2/27/21 6:58:00 PM,C,23
2/27/21 7:28:00 PM,C,23
2/27/21 7:58:00 PM,C,23
2/27/21 8:28:00 PM,C,22.5
2/27/21 8:58:00 PM,C,23
2/27/21 9:28:00 PM,C,23
2/27/21 9:58:00 PM,C,22.5
2/27/21 10:28:00 PM,C,23
2/27/21 10:58:00 PM,C,23
2/27/21 11:28:00 PM,C,23
2/27/21 11:58:00 PM,C,23
2/28/21 12:28:00 AM,C,22.5
2/28/21 12:58:00 AM,C,22.5
2/28/21 1:28:00 AM,C,23
2/28/21 1:58:00 AM,C,22.5
2/28/21 2:28:00 AM,C,22.5
2/28/21 2:58:00 AM,C,22
2/28/21 3:28:00 AM,C,22.5
2/28/21 3:58:00 AM,C,22.5
2/28/21 4:28:00 AM,C,22.5
2/28/21 4:58:00 AM,C,21
2/28/21 5:28:00 AM,C,21.5
2/28/21 5:58:00 AM,C,21.5
2/28/21 6:28:00 AM,C,21
2/28/21 6:58:00 AM,C,21.5
2/28/21 7:28:00 AM,C,23
2/28/21 7:58:00 AM,C,23.5
2/28/21 8:28:00 AM,C,26
2/28/21 8:58:00 AM,C,29.5
2/28/21 9:28:00 AM,C,31
2/28/21 9:58:00 AM,C,33.5
2/28/21 10:28:00 AM,C,36.5
2/28/21 10:58:00 AM,C,41
2/28/21 11:28:00 AM,C,41.5
2/28/21 11:58:00 AM,C,38.5
