1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 23000000415A2021
Is Mission Active?  true
Mission Start:  Tue Mar 20 00:34:00 BOT 1900
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  816
Total Samples:  4610
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/20/00 12:34:00 AM,C,29.5
3/20/00 1:04:00 AM,C,36.5
3/20/00 1:34:00 AM,C,37.5
3/20/00 2:04:00 AM,C,39
3/20/00 2:34:00 AM,C,40
3/20/00 3:04:00 AM,C,41.5
3/20/00 3:34:00 AM,C,41
3/20/00 4:04:00 AM,C,42.5
3/20/00 4:34:00 AM,C,39.5
3/20/00 5:04:00 AM,C,41
3/20/00 5:34:00 AM,C,41
3/20/00 6:04:00 AM,C,39.5
3/20/00 6:34:00 AM,C,38.5
3/20/00 7:04:00 AM,C,32.5
3/20/00 7:34:00 AM,C,33
3/20/00 8:04:00 AM,C,30
3/20/00 8:34:00 AM,C,28
3/20/00 9:04:00 AM,C,25.5
3/20/00 9:34:00 AM,C,25
3/20/00 10:04:00 AM,C,24.5
3/20/00 10:34:00 AM,C,24.5
3/20/00 11:04:00 AM,C,22.5
3/20/00 11:34:00 AM,C,24.5
3/20/00 12:04:00 PM,C,24
3/20/00 12:34:00 PM,C,24
3/20/00 1:04:00 PM,C,24
3/20/00 1:34:00 PM,C,24.5
3/20/00 2:04:00 PM,C,24.5
3/20/00 2:34:00 PM,C,24
3/20/00 3:04:00 PM,C,24
3/20/00 3:34:00 PM,C,23
3/20/00 4:04:00 PM,C,22.5
3/20/00 4:34:00 PM,C,23
3/20/00 5:04:00 PM,C,24
3/20/00 5:34:00 PM,C,23.5
3/20/00 6:04:00 PM,C,23.5
3/20/00 6:34:00 PM,C,24
3/20/00 7:04:00 PM,C,24.5
3/20/00 7:34:00 PM,C,24
3/20/00 8:04:00 PM,C,23.5
3/20/00 8:34:00 PM,C,23.5
3/20/00 9:04:00 PM,C,23
3/20/00 9:34:00 PM,C,23.5
3/20/00 10:04:00 PM,C,24
3/20/00 10:34:00 PM,C,26.5
3/20/00 11:04:00 PM,C,29
3/20/00 11:34:00 PM,C,31
3/21/00 12:04:00 AM,C,33.5
3/21/00 12:34:00 AM,C,34.5
3/21/00 1:04:00 AM,C,38.5
3/21/00 1:34:00 AM,C,41.5
3/21/00 2:04:00 AM,C,43
3/21/00 2:34:00 AM,C,47.5
3/21/00 3:04:00 AM,C,24.5
3/21/00 3:34:00 AM,C,37.5
3/21/00 4:04:00 AM,C,38
3/21/00 4:34:00 AM,C,23
3/21/00 5:04:00 AM,C,24.5
3/21/00 5:34:00 AM,C,29.5
3/21/00 6:04:00 AM,C,29
3/21/00 6:34:00 AM,C,29
3/21/00 7:04:00 AM,C,27
3/21/00 7:34:00 AM,C,27
3/21/00 8:04:00 AM,C,26.5
3/21/00 8:34:00 AM,C,26
3/21/00 9:04:00 AM,C,24
