1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 03000000416CDD21
Is Mission Active?  true
Mission Start:  Thu Feb 25 23:04:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  816
Total Samples:  34106
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/25/21 11:04:00 PM,C,33
2/25/21 11:34:00 PM,C,48.5
2/26/21 12:04:00 AM,C,51
2/26/21 12:34:00 AM,C,50
2/26/21 1:04:00 AM,C,54.5
2/26/21 1:34:00 AM,C,54.5
2/26/21 2:04:00 AM,C,59
2/26/21 2:34:00 AM,C,57.5
2/26/21 3:04:00 AM,C,51
2/26/21 3:34:00 AM,C,54
2/26/21 4:04:00 AM,C,54
2/26/21 4:34:00 AM,C,52.5
2/26/21 5:04:00 AM,C,48.5
2/26/21 5:34:00 AM,C,42.5
2/26/21 6:04:00 AM,C,37
2/26/21 6:34:00 AM,C,36
2/26/21 7:04:00 AM,C,33.5
2/26/21 7:34:00 AM,C,28
2/26/21 8:04:00 AM,C,26
2/26/21 8:34:00 AM,C,25
2/26/21 9:04:00 AM,C,25.5
2/26/21 9:34:00 AM,C,25.5
2/26/21 10:04:00 AM,C,23.5
2/26/21 10:34:00 AM,C,24
2/26/21 11:04:00 AM,C,24
2/26/21 11:34:00 AM,C,23.5
2/26/21 12:04:00 PM,C,23.5
2/26/21 12:34:00 PM,C,24.5
2/26/21 1:04:00 PM,C,24
2/26/21 1:34:00 PM,C,24
2/26/21 2:04:00 PM,C,24
2/26/21 2:34:00 PM,C,22.5
2/26/21 3:04:00 PM,C,23
2/26/21 3:34:00 PM,C,23
2/26/21 4:04:00 PM,C,24
2/26/21 4:34:00 PM,C,22.5
2/26/21 5:04:00 PM,C,23.5
2/26/21 5:34:00 PM,C,24
2/26/21 6:04:00 PM,C,24
2/26/21 6:34:00 PM,C,23.5
2/26/21 7:04:00 PM,C,23.5
2/26/21 7:34:00 PM,C,22.5
2/26/21 8:04:00 PM,C,22.5
2/26/21 8:34:00 PM,C,23
2/26/21 9:04:00 PM,C,25.5
2/26/21 9:34:00 PM,C,28
