1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 23000000415A2021
Is Mission Active?  true
Mission Start:  Sun Apr 29 23:57:00 BOT 1900
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1393
Total Samples:  7156
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/29/00 11:57:00 PM,C,29.5
4/30/00 12:27:00 AM,C,30.5
4/30/00 12:57:00 AM,C,31.5
4/30/00 1:27:00 AM,C,34.5
4/30/00 1:57:00 AM,C,38
4/30/00 2:27:00 AM,C,38.5
4/30/00 2:57:00 AM,C,42
4/30/00 3:27:00 AM,C,40.5
4/30/00 3:57:00 AM,C,43
4/30/00 4:27:00 AM,C,41.5
4/30/00 4:57:00 AM,C,39
4/30/00 5:27:00 AM,C,37.5
4/30/00 5:57:00 AM,C,31
4/30/00 6:27:00 AM,C,31.5
4/30/00 6:57:00 AM,C,28.5
4/30/00 7:27:00 AM,C,33.5
4/30/00 7:57:00 AM,C,28.5
4/30/00 8:27:00 AM,C,27
4/30/00 8:57:00 AM,C,25
4/30/00 9:27:00 AM,C,24
4/30/00 9:57:00 AM,C,24
4/30/00 10:27:00 AM,C,23.5
4/30/00 10:57:00 AM,C,23
4/30/00 11:27:00 AM,C,22.5
4/30/00 11:57:00 AM,C,22.5
4/30/00 12:27:00 PM,C,22
4/30/00 12:57:00 PM,C,22.5
4/30/00 1:27:00 PM,C,22
4/30/00 1:57:00 PM,C,22
4/30/00 2:27:00 PM,C,21.5
4/30/00 2:57:00 PM,C,22
4/30/00 3:27:00 PM,C,22
4/30/00 3:57:00 PM,C,21.5
4/30/00 4:27:00 PM,C,21.5
4/30/00 4:57:00 PM,C,21.5
4/30/00 5:27:00 PM,C,21
4/30/00 5:57:00 PM,C,21
4/30/00 6:27:00 PM,C,21.5
4/30/00 6:57:00 PM,C,22
4/30/00 7:27:00 PM,C,22
4/30/00 7:57:00 PM,C,23
4/30/00 8:27:00 PM,C,22.5
4/30/00 8:57:00 PM,C,22.5
