1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F200000041302C21
Is Mission Active?  true
Mission Start:  Thu Apr 08 09:05:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1393
Total Samples:  36673
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/8/21 9:05:00 AM,C,29.5
4/8/21 9:35:00 AM,C,28
4/8/21 10:05:00 AM,C,28
4/8/21 10:35:00 AM,C,29
4/8/21 11:05:00 AM,C,29.5
4/8/21 11:35:00 AM,C,30.5
4/8/21 12:05:00 PM,C,30.5
4/8/21 12:35:00 PM,C,30.5
4/8/21 1:05:00 PM,C,30.5
4/8/21 1:35:00 PM,C,30.5
4/8/21 2:05:00 PM,C,30.5
4/8/21 2:35:00 PM,C,30.5
4/8/21 3:05:00 PM,C,31
4/8/21 3:35:00 PM,C,29.5
4/8/21 4:05:00 PM,C,29
4/8/21 4:35:00 PM,C,28.5
4/8/21 5:05:00 PM,C,28.5
4/8/21 5:35:00 PM,C,27.5
4/8/21 6:05:00 PM,C,26.5
4/8/21 6:35:00 PM,C,26
4/8/21 7:05:00 PM,C,25.5
4/8/21 7:35:00 PM,C,25.5
4/8/21 8:05:00 PM,C,25
4/8/21 8:35:00 PM,C,24.5
4/8/21 9:05:00 PM,C,24.5
4/8/21 9:35:00 PM,C,24.5
4/8/21 10:05:00 PM,C,24
4/8/21 10:35:00 PM,C,24
4/8/21 11:05:00 PM,C,24
4/8/21 11:35:00 PM,C,23.5
4/9/21 12:05:00 AM,C,23.5
4/9/21 12:35:00 AM,C,23.5
4/9/21 1:05:00 AM,C,23.5
4/9/21 1:35:00 AM,C,23.5
4/9/21 2:05:00 AM,C,23.5
4/9/21 2:35:00 AM,C,23
4/9/21 3:05:00 AM,C,23
4/9/21 3:35:00 AM,C,23
4/9/21 4:05:00 AM,C,23
4/9/21 4:35:00 AM,C,23
4/9/21 5:05:00 AM,C,23.5
4/9/21 5:35:00 AM,C,24
4/9/21 6:05:00 AM,C,24
4/9/21 6:35:00 AM,C,23.5
4/9/21 7:05:00 AM,C,23.5
4/9/21 7:35:00 AM,C,24
4/9/21 8:05:00 AM,C,25
4/9/21 8:35:00 AM,C,26
4/9/21 9:05:00 AM,C,28
4/9/21 9:35:00 AM,C,28.5
4/9/21 10:05:00 AM,C,29
4/9/21 10:35:00 AM,C,30
4/9/21 11:05:00 AM,C,29.5
4/9/21 11:35:00 AM,C,31
4/9/21 12:05:00 PM,C,31.5
4/9/21 12:35:00 PM,C,31
4/9/21 1:05:00 PM,C,31.5
4/9/21 1:35:00 PM,C,30.5
4/9/21 2:05:00 PM,C,31
4/9/21 2:35:00 PM,C,31.5
4/9/21 3:05:00 PM,C,32.5
4/9/21 3:35:00 PM,C,31
4/9/21 4:05:00 PM,C,32.5
4/9/21 4:35:00 PM,C,30.5
4/9/21 5:05:00 PM,C,30
4/9/21 5:35:00 PM,C,30.5
4/9/21 6:05:00 PM,C,28.5
4/9/21 6:35:00 PM,C,26.5
4/9/21 7:05:00 PM,C,25.5
4/9/21 7:35:00 PM,C,25.5
4/9/21 8:05:00 PM,C,25.5
4/9/21 8:35:00 PM,C,25
4/9/21 9:05:00 PM,C,25
4/9/21 9:35:00 PM,C,24.5
4/9/21 10:05:00 PM,C,24.5
4/9/21 10:35:00 PM,C,24.5
4/9/21 11:05:00 PM,C,24.5
4/9/21 11:35:00 PM,C,24
4/10/21 12:05:00 AM,C,24
