1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9B00000041611821
Is Mission Active?  true
Mission Start:  Thu Apr 08 09:16:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1393
Total Samples:  36675
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/8/21 9:16:00 AM,C,31.5
4/8/21 9:46:00 AM,C,30.5
4/8/21 10:16:00 AM,C,31
4/8/21 10:46:00 AM,C,36
4/8/21 11:16:00 AM,C,38.5
4/8/21 11:46:00 AM,C,37.5
4/8/21 12:16:00 PM,C,43.5
4/8/21 12:46:00 PM,C,43
4/8/21 1:16:00 PM,C,41.5
4/8/21 1:46:00 PM,C,39
4/8/21 2:16:00 PM,C,38.5
4/8/21 2:46:00 PM,C,37
4/8/21 3:16:00 PM,C,33
4/8/21 3:46:00 PM,C,33.5
4/8/21 4:16:00 PM,C,29.5
4/8/21 4:46:00 PM,C,30.5
4/8/21 5:16:00 PM,C,29.5
4/8/21 5:46:00 PM,C,26.5
4/8/21 6:16:00 PM,C,25
4/8/21 6:46:00 PM,C,24
4/8/21 7:16:00 PM,C,24
4/8/21 7:46:00 PM,C,24
4/8/21 8:16:00 PM,C,23
4/8/21 8:46:00 PM,C,23
4/8/21 9:16:00 PM,C,23
4/8/21 9:46:00 PM,C,22.5
4/8/21 10:16:00 PM,C,22.5
4/8/21 10:46:00 PM,C,22.5
4/8/21 11:16:00 PM,C,22.5
4/8/21 11:46:00 PM,C,22
4/9/21 12:16:00 AM,C,22
4/9/21 12:46:00 AM,C,22.5
4/9/21 1:16:00 AM,C,22
4/9/21 1:46:00 AM,C,22
4/9/21 2:16:00 AM,C,22
4/9/21 2:46:00 AM,C,21.5
4/9/21 3:16:00 AM,C,21.5
4/9/21 3:46:00 AM,C,22
4/9/21 4:16:00 AM,C,22
4/9/21 4:46:00 AM,C,22.5
4/9/21 5:16:00 AM,C,23
4/9/21 5:46:00 AM,C,22.5
4/9/21 6:16:00 AM,C,23
4/9/21 6:46:00 AM,C,23
4/9/21 7:16:00 AM,C,24.5
4/9/21 7:46:00 AM,C,28
4/9/21 8:16:00 AM,C,28
4/9/21 8:46:00 AM,C,32
4/9/21 9:16:00 AM,C,32.5
4/9/21 9:46:00 AM,C,34
4/9/21 10:16:00 AM,C,38
4/9/21 10:46:00 AM,C,35
4/9/21 11:16:00 AM,C,34
4/9/21 11:46:00 AM,C,38.5
4/9/21 12:16:00 PM,C,40
4/9/21 12:46:00 PM,C,38
4/9/21 1:16:00 PM,C,45
4/9/21 1:46:00 PM,C,34.5
4/9/21 2:16:00 PM,C,40
4/9/21 2:46:00 PM,C,35
4/9/21 3:16:00 PM,C,38
4/9/21 3:46:00 PM,C,35.5
4/9/21 4:16:00 PM,C,33.5
4/9/21 4:46:00 PM,C,31
4/9/21 5:16:00 PM,C,29
4/9/21 5:46:00 PM,C,26.5
4/9/21 6:16:00 PM,C,25
4/9/21 6:46:00 PM,C,24
4/9/21 7:16:00 PM,C,23.5
4/9/21 7:46:00 PM,C,23.5
4/9/21 8:16:00 PM,C,23
4/9/21 8:46:00 PM,C,23
4/9/21 9:16:00 PM,C,23
4/9/21 9:46:00 PM,C,22.5
