1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 03000000416CDD21
Is Mission Active?  true
Mission Start:  Wed Apr 07 22:29:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1393
Total Samples:  36651
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/7/21 10:29:00 PM,C,32
4/7/21 10:59:00 PM,C,35
4/7/21 11:29:00 PM,C,34.5
4/7/21 11:59:00 PM,C,47
4/8/21 12:29:00 AM,C,42.5
4/8/21 12:59:00 AM,C,45.5
4/8/21 1:29:00 AM,C,57
4/8/21 1:59:00 AM,C,56.5
4/8/21 2:29:00 AM,C,56.5
4/8/21 2:59:00 AM,C,53.5
4/8/21 3:29:00 AM,C,59.5
4/8/21 3:59:00 AM,C,59
4/8/21 4:29:00 AM,C,49
4/8/21 4:59:00 AM,C,46
4/8/21 5:29:00 AM,C,40
4/8/21 5:59:00 AM,C,38.5
4/8/21 6:29:00 AM,C,39
4/8/21 6:59:00 AM,C,33
4/8/21 7:29:00 AM,C,28
4/8/21 7:59:00 AM,C,25
4/8/21 8:29:00 AM,C,24.5
4/8/21 8:59:00 AM,C,24
4/8/21 9:29:00 AM,C,23
4/8/21 9:59:00 AM,C,22
4/8/21 10:29:00 AM,C,22
4/8/21 10:59:00 AM,C,21.5
4/8/21 11:29:00 AM,C,21.5
4/8/21 11:59:00 AM,C,21.5
4/8/21 12:29:00 PM,C,20.5
4/8/21 12:59:00 PM,C,20.5
4/8/21 1:29:00 PM,C,21
4/8/21 1:59:00 PM,C,20.5
4/8/21 2:29:00 PM,C,21
4/8/21 2:59:00 PM,C,20.5
4/8/21 3:29:00 PM,C,20.5
4/8/21 3:59:00 PM,C,20
4/8/21 4:29:00 PM,C,20
4/8/21 4:59:00 PM,C,20.5
4/8/21 5:29:00 PM,C,21.5
4/8/21 5:59:00 PM,C,21.5
4/8/21 6:29:00 PM,C,22
4/8/21 6:59:00 PM,C,21.5
4/8/21 7:29:00 PM,C,22
4/8/21 7:59:00 PM,C,22.5
4/8/21 8:29:00 PM,C,24
4/8/21 8:59:00 PM,C,26
4/8/21 9:29:00 PM,C,28.5
4/8/21 9:59:00 PM,C,30.5
4/8/21 10:29:00 PM,C,37
4/8/21 10:59:00 PM,C,35.5
4/8/21 11:29:00 PM,C,47
4/8/21 11:59:00 PM,C,46
4/9/21 12:29:00 AM,C,43
4/9/21 12:59:00 AM,C,48.5
4/9/21 1:29:00 AM,C,57.5
