1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0900000041421721
Is Mission Active?  true
Mission Start:  Mon Feb 05 00:12:00 BOT 1900
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1680
Total Samples:  1680
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/5/00 12:12:00 AM,C,36.5
2/5/00 12:42:00 AM,C,42.5
2/5/00 1:12:00 AM,C,48
2/5/00 1:42:00 AM,C,54
2/5/00 2:12:00 AM,C,53.5
2/5/00 2:42:00 AM,C,65.5
2/5/00 3:12:00 AM,C,70
2/5/00 3:42:00 AM,C,67
2/5/00 4:12:00 AM,C,32
2/5/00 4:42:00 AM,C,55
2/5/00 5:12:00 AM,C,59.5
2/5/00 5:42:00 AM,C,59.5
2/5/00 6:12:00 AM,C,65
2/5/00 6:42:00 AM,C,49.5
2/5/00 7:12:00 AM,C,61
2/5/00 7:42:00 AM,C,60.5
2/5/00 8:12:00 AM,C,43
2/5/00 8:42:00 AM,C,37
2/5/00 9:12:00 AM,C,32
2/5/00 9:42:00 AM,C,30.5
2/5/00 10:12:00 AM,C,29
2/5/00 10:42:00 AM,C,28.5
2/5/00 11:12:00 AM,C,28
2/5/00 11:42:00 AM,C,28
2/5/00 12:12:00 PM,C,27.5
2/5/00 12:42:00 PM,C,27.5
2/5/00 1:12:00 PM,C,27.5
2/5/00 1:42:00 PM,C,27.5
2/5/00 2:12:00 PM,C,27
2/5/00 2:42:00 PM,C,27.5
2/5/00 3:12:00 PM,C,27
2/5/00 3:42:00 PM,C,27
2/5/00 4:12:00 PM,C,27
2/5/00 4:42:00 PM,C,26.5
2/5/00 5:12:00 PM,C,27
2/5/00 5:42:00 PM,C,27
2/5/00 6:12:00 PM,C,26.5
2/5/00 6:42:00 PM,C,26
2/5/00 7:12:00 PM,C,26
2/5/00 7:42:00 PM,C,26
2/5/00 8:12:00 PM,C,25.5
2/5/00 8:42:00 PM,C,25.5
2/5/00 9:12:00 PM,C,26
2/5/00 9:42:00 PM,C,26
2/5/00 10:12:00 PM,C,26
2/5/00 10:42:00 PM,C,27
2/5/00 11:12:00 PM,C,30.5
2/5/00 11:42:00 PM,C,33.5
2/6/00 12:12:00 AM,C,35
2/6/00 12:42:00 AM,C,39
2/6/00 1:12:00 AM,C,41
2/6/00 1:42:00 AM,C,43.5
2/6/00 2:12:00 AM,C,46.5
2/6/00 2:42:00 AM,C,48
2/6/00 3:12:00 AM,C,28
2/6/00 3:42:00 AM,C,29
2/6/00 4:12:00 AM,C,33.5
2/6/00 4:42:00 AM,C,29
2/6/00 5:12:00 AM,C,28.5
2/6/00 5:42:00 AM,C,28.5
2/6/00 6:12:00 AM,C,30.5
2/6/00 6:42:00 AM,C,31.5
2/6/00 7:12:00 AM,C,33.5
2/6/00 7:42:00 AM,C,30
2/6/00 8:12:00 AM,C,30.5
2/6/00 8:42:00 AM,C,30
2/6/00 9:12:00 AM,C,26
2/6/00 9:42:00 AM,C,24
2/6/00 10:12:00 AM,C,24
2/6/00 10:42:00 AM,C,24.5
2/6/00 11:12:00 AM,C,25
2/6/00 11:42:00 AM,C,25.5
2/6/00 12:12:00 PM,C,26
2/6/00 12:42:00 PM,C,26.5
2/6/00 1:12:00 PM,C,26.5
2/6/00 1:42:00 PM,C,26.5
2/6/00 2:12:00 PM,C,26
2/6/00 2:42:00 PM,C,26.5
2/6/00 3:12:00 PM,C,27
2/6/00 3:42:00 PM,C,27
2/6/00 4:12:00 PM,C,27
2/6/00 4:42:00 PM,C,27.5
2/6/00 5:12:00 PM,C,27.5
2/6/00 5:42:00 PM,C,26.5
2/6/00 6:12:00 PM,C,26.5
2/6/00 6:42:00 PM,C,26
2/6/00 7:12:00 PM,C,26
2/6/00 7:42:00 PM,C,26.5
2/6/00 8:12:00 PM,C,27
2/6/00 8:42:00 PM,C,27
2/6/00 9:12:00 PM,C,26.5
2/6/00 9:42:00 PM,C,25.5
2/6/00 10:12:00 PM,C,25
2/6/00 10:42:00 PM,C,25.5
2/6/00 11:12:00 PM,C,28
2/6/00 11:42:00 PM,C,29
2/7/00 12:12:00 AM,C,25
2/7/00 12:42:00 AM,C,30
2/7/00 1:12:00 AM,C,35.5
2/7/00 1:42:00 AM,C,40.5
2/7/00 2:12:00 AM,C,44.5
2/7/00 2:42:00 AM,C,50
2/7/00 3:12:00 AM,C,53.5
2/7/00 3:42:00 AM,C,63.5
2/7/00 4:12:00 AM,C,54
2/7/00 4:42:00 AM,C,45.5
2/7/00 5:12:00 AM,C,51
2/7/00 5:42:00 AM,C,41
2/7/00 6:12:00 AM,C,46
2/7/00 6:42:00 AM,C,35
2/7/00 7:12:00 AM,C,43.5
2/7/00 7:42:00 AM,C,43.5
2/7/00 8:12:00 AM,C,36
2/7/00 8:42:00 AM,C,32.5
2/7/00 9:12:00 AM,C,31.5
2/7/00 9:42:00 AM,C,29.5
2/7/00 10:12:00 AM,C,28
2/7/00 10:42:00 AM,C,27
2/7/00 11:12:00 AM,C,27
2/7/00 11:42:00 AM,C,27
2/7/00 12:12:00 PM,C,27
2/7/00 12:42:00 PM,C,27
2/7/00 1:12:00 PM,C,26.5
2/7/00 1:42:00 PM,C,27
2/7/00 2:12:00 PM,C,27.5
2/7/00 2:42:00 PM,C,26.5
2/7/00 3:12:00 PM,C,26.5
2/7/00 3:42:00 PM,C,26.5
2/7/00 4:12:00 PM,C,26.5
2/7/00 4:42:00 PM,C,26
2/7/00 5:12:00 PM,C,26
2/7/00 5:42:00 PM,C,26
2/7/00 6:12:00 PM,C,25.5
2/7/00 6:42:00 PM,C,25.5
2/7/00 7:12:00 PM,C,25
2/7/00 7:42:00 PM,C,25.5
2/7/00 8:12:00 PM,C,25.5
2/7/00 8:42:00 PM,C,26
2/7/00 9:12:00 PM,C,25
2/7/00 9:42:00 PM,C,25.5
2/7/00 10:12:00 PM,C,26
2/7/00 10:42:00 PM,C,28.5
2/7/00 11:12:00 PM,C,27
2/7/00 11:42:00 PM,C,30.5
2/8/00 12:12:00 AM,C,33.5
2/8/00 12:42:00 AM,C,35.5
2/8/00 1:12:00 AM,C,28.5
2/8/00 1:42:00 AM,C,29
2/8/00 2:12:00 AM,C,31
2/8/00 2:42:00 AM,C,43
2/8/00 3:12:00 AM,C,44
2/8/00 3:42:00 AM,C,45.5
2/8/00 4:12:00 AM,C,32
2/8/00 4:42:00 AM,C,49
2/8/00 5:12:00 AM,C,49
2/8/00 5:42:00 AM,C,49
2/8/00 6:12:00 AM,C,49.5
2/8/00 6:42:00 AM,C,47.5
2/8/00 7:12:00 AM,C,45.5
2/8/00 7:42:00 AM,C,54.5
2/8/00 8:12:00 AM,C,47.5
