1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9900000041610B21
Is Mission Active?  true
Mission Start:  Fri Sep 10 08:09:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1680
Total Samples:  44400
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/10/21 8:09:00 AM,C,31
9/10/21 8:39:00 AM,C,31
9/10/21 9:09:00 AM,C,32
9/10/21 9:39:00 AM,C,33
9/10/21 10:09:00 AM,C,34
9/10/21 10:39:00 AM,C,34
9/10/21 11:09:00 AM,C,34.5
9/10/21 11:39:00 AM,C,35
9/10/21 12:09:00 PM,C,29
9/10/21 12:39:00 PM,C,30.5
9/10/21 1:09:00 PM,C,32
9/10/21 1:39:00 PM,C,33
9/10/21 2:09:00 PM,C,34
9/10/21 2:39:00 PM,C,34
9/10/21 3:09:00 PM,C,35.5
9/10/21 3:39:00 PM,C,36
9/10/21 4:09:00 PM,C,36
9/10/21 4:39:00 PM,C,33.5
9/10/21 5:09:00 PM,C,36.5
9/10/21 5:39:00 PM,C,35.5
9/10/21 6:09:00 PM,C,31.5
9/10/21 6:39:00 PM,C,30
9/10/21 7:09:00 PM,C,29.5
9/10/21 7:39:00 PM,C,29.5
9/10/21 8:09:00 PM,C,29
9/10/21 8:39:00 PM,C,29
9/10/21 9:09:00 PM,C,29
9/10/21 9:39:00 PM,C,29
9/10/21 10:09:00 PM,C,29
9/10/21 10:39:00 PM,C,28.5
9/10/21 11:09:00 PM,C,28.5
9/10/21 11:39:00 PM,C,28.5
9/11/21 12:09:00 AM,C,28.5
9/11/21 12:39:00 AM,C,28.5
9/11/21 1:09:00 AM,C,28.5
9/11/21 1:39:00 AM,C,28.5
9/11/21 2:09:00 AM,C,28.5
9/11/21 2:39:00 AM,C,28
9/11/21 3:09:00 AM,C,28
9/11/21 3:39:00 AM,C,28
9/11/21 4:09:00 AM,C,27.5
9/11/21 4:39:00 AM,C,28
9/11/21 5:09:00 AM,C,28
9/11/21 5:39:00 AM,C,28
9/11/21 6:09:00 AM,C,27.5
9/11/21 6:39:00 AM,C,27.5
9/11/21 7:09:00 AM,C,28
9/11/21 7:39:00 AM,C,29
