1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F800000041AE4821
Is Mission Active?  true
Mission Start:  Fri Sep 10 08:38:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1634
Total Samples:  44354
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/10/21 8:38:00 AM,C,36.5
9/10/21 9:08:00 AM,C,41
9/10/21 9:38:00 AM,C,35
9/10/21 10:08:00 AM,C,37
9/10/21 10:38:00 AM,C,36
9/10/21 11:08:00 AM,C,36.5
9/10/21 11:38:00 AM,C,37
9/10/21 12:08:00 PM,C,27.5
9/10/21 12:38:00 PM,C,33
9/10/21 1:08:00 PM,C,33
9/10/21 1:38:00 PM,C,31.5
9/10/21 2:08:00 PM,C,32.5
9/10/21 2:38:00 PM,C,32.5
9/10/21 3:08:00 PM,C,32
9/10/21 3:38:00 PM,C,31
9/10/21 4:08:00 PM,C,30.5
9/10/21 4:38:00 PM,C,30
9/10/21 5:08:00 PM,C,29.5
9/10/21 5:38:00 PM,C,29.5
9/10/21 6:08:00 PM,C,29
9/10/21 6:38:00 PM,C,28.5
9/10/21 7:08:00 PM,C,28.5
9/10/21 7:38:00 PM,C,28.5
9/10/21 8:08:00 PM,C,28.5
9/10/21 8:38:00 PM,C,28.5
9/10/21 9:08:00 PM,C,28
9/10/21 9:38:00 PM,C,28.5
9/10/21 10:08:00 PM,C,27.5
9/10/21 10:38:00 PM,C,28
9/10/21 11:08:00 PM,C,28
9/10/21 11:38:00 PM,C,28
9/11/21 12:08:00 AM,C,27.5
9/11/21 12:38:00 AM,C,27.5
9/11/21 1:08:00 AM,C,27.5
9/11/21 1:38:00 AM,C,28
9/11/21 2:08:00 AM,C,27.5
9/11/21 2:38:00 AM,C,27
9/11/21 3:08:00 AM,C,26.5
9/11/21 3:38:00 AM,C,27
9/11/21 4:08:00 AM,C,26.5
9/11/21 4:38:00 AM,C,27
9/11/21 5:08:00 AM,C,27
9/11/21 5:38:00 AM,C,27
9/11/21 6:08:00 AM,C,27
9/11/21 6:38:00 AM,C,28.5
9/11/21 7:08:00 AM,C,32.5
9/11/21 7:38:00 AM,C,35.5
9/11/21 8:08:00 AM,C,32.5
9/11/21 8:38:00 AM,C,36.5
9/11/21 9:08:00 AM,C,39
9/11/21 9:38:00 AM,C,39
9/11/21 10:08:00 AM,C,39
9/11/21 10:38:00 AM,C,38.5
9/11/21 11:08:00 AM,C,33.5
9/11/21 11:38:00 AM,C,28.5
9/11/21 12:08:00 PM,C,30.5
9/11/21 12:38:00 PM,C,25.5
9/11/21 1:08:00 PM,C,29
9/11/21 1:38:00 PM,C,29.5
9/11/21 2:08:00 PM,C,29
9/11/21 2:38:00 PM,C,29.5
9/11/21 3:08:00 PM,C,30
9/11/21 3:38:00 PM,C,29.5
9/11/21 4:08:00 PM,C,29
9/11/21 4:38:00 PM,C,29
9/11/21 5:08:00 PM,C,26
9/11/21 5:38:00 PM,C,23.5
9/11/21 6:08:00 PM,C,25
9/11/21 6:38:00 PM,C,25.5
9/11/21 7:08:00 PM,C,26
9/11/21 7:38:00 PM,C,26
9/11/21 8:08:00 PM,C,27
9/11/21 8:38:00 PM,C,27
9/11/21 9:08:00 PM,C,28
9/11/21 9:38:00 PM,C,28
9/11/21 10:08:00 PM,C,28
9/11/21 10:38:00 PM,C,28
9/11/21 11:08:00 PM,C,28
9/11/21 11:38:00 PM,C,28
9/12/21 12:08:00 AM,C,28.5
9/12/21 12:38:00 AM,C,28.5
9/12/21 1:08:00 AM,C,28.5
9/12/21 1:38:00 AM,C,28.5
9/12/21 2:08:00 AM,C,28
9/12/21 2:38:00 AM,C,27.5
9/12/21 3:08:00 AM,C,27.5
9/12/21 3:38:00 AM,C,28
9/12/21 4:08:00 AM,C,28
9/12/21 4:38:00 AM,C,28
9/12/21 5:08:00 AM,C,28
9/12/21 5:38:00 AM,C,27.5
9/12/21 6:08:00 AM,C,25.5
9/12/21 6:38:00 AM,C,27
9/12/21 7:08:00 AM,C,30
9/12/21 7:38:00 AM,C,30
9/12/21 8:08:00 AM,C,26.5
9/12/21 8:38:00 AM,C,29.5
9/12/21 9:08:00 AM,C,35
9/12/21 9:38:00 AM,C,35
9/12/21 10:08:00 AM,C,37
9/12/21 10:38:00 AM,C,40
9/12/21 11:08:00 AM,C,43.5
9/12/21 11:38:00 AM,C,34
9/12/21 12:08:00 PM,C,32
9/12/21 12:38:00 PM,C,30.5
9/12/21 1:08:00 PM,C,35.5
9/12/21 1:38:00 PM,C,31
9/12/21 2:08:00 PM,C,30.5
9/12/21 2:38:00 PM,C,33
9/12/21 3:08:00 PM,C,30.5
9/12/21 3:38:00 PM,C,31.5
9/12/21 4:08:00 PM,C,31.5
9/12/21 4:38:00 PM,C,30.5
9/12/21 5:08:00 PM,C,30
9/12/21 5:38:00 PM,C,29
9/12/21 6:08:00 PM,C,28.5
9/12/21 6:38:00 PM,C,28
9/12/21 7:08:00 PM,C,27.5
9/12/21 7:38:00 PM,C,27.5
9/12/21 8:08:00 PM,C,27.5
9/12/21 8:38:00 PM,C,27.5
9/12/21 9:08:00 PM,C,27.5
9/12/21 9:38:00 PM,C,28
9/12/21 10:08:00 PM,C,28
9/12/21 10:38:00 PM,C,27.5
9/12/21 11:08:00 PM,C,27.5
9/12/21 11:38:00 PM,C,27.5
9/13/21 12:08:00 AM,C,27.5
9/13/21 12:38:00 AM,C,27
9/13/21 1:08:00 AM,C,26.5
9/13/21 1:38:00 AM,C,27
9/13/21 2:08:00 AM,C,26.5
9/13/21 2:38:00 AM,C,26.5
9/13/21 3:08:00 AM,C,26.5
9/13/21 3:38:00 AM,C,26.5
9/13/21 4:08:00 AM,C,26.5
9/13/21 4:38:00 AM,C,26
9/13/21 5:08:00 AM,C,26
9/13/21 5:38:00 AM,C,25
9/13/21 6:08:00 AM,C,26.5
9/13/21 6:38:00 AM,C,26.5
9/13/21 7:08:00 AM,C,28.5
9/13/21 7:38:00 AM,C,28.5
9/13/21 8:08:00 AM,C,35.5
9/13/21 8:38:00 AM,C,35.5
9/13/21 9:08:00 AM,C,29.5
9/13/21 9:38:00 AM,C,25.5
9/13/21 10:08:00 AM,C,34
9/13/21 10:38:00 AM,C,36.5
9/13/21 11:08:00 AM,C,37
9/13/21 11:38:00 AM,C,36.5
9/13/21 12:08:00 PM,C,26
9/13/21 12:38:00 PM,C,34.5
9/13/21 1:08:00 PM,C,34
9/13/21 1:38:00 PM,C,34
9/13/21 2:08:00 PM,C,33
9/13/21 2:38:00 PM,C,32.5
9/13/21 3:08:00 PM,C,31.5
9/13/21 3:38:00 PM,C,30.5
9/13/21 4:08:00 PM,C,30
9/13/21 4:38:00 PM,C,30.5
9/13/21 5:08:00 PM,C,30
9/13/21 5:38:00 PM,C,29
9/13/21 6:08:00 PM,C,28.5
9/13/21 6:38:00 PM,C,28.5
9/13/21 7:08:00 PM,C,28
9/13/21 7:38:00 PM,C,28
9/13/21 8:08:00 PM,C,28
9/13/21 8:38:00 PM,C,27.5
9/13/21 9:08:00 PM,C,27.5
9/13/21 9:38:00 PM,C,27.5
9/13/21 10:08:00 PM,C,27.5
9/13/21 10:38:00 PM,C,26.5
9/13/21 11:08:00 PM,C,27.5
9/13/21 11:38:00 PM,C,26
9/14/21 12:08:00 AM,C,26.5
9/14/21 12:38:00 AM,C,26
9/14/21 1:08:00 AM,C,26
9/14/21 1:38:00 AM,C,27.5
9/14/21 2:08:00 AM,C,27
9/14/21 2:38:00 AM,C,26.5
9/14/21 3:08:00 AM,C,25.5
9/14/21 3:38:00 AM,C,25.5
9/14/21 4:08:00 AM,C,25
9/14/21 4:38:00 AM,C,24.5
9/14/21 5:08:00 AM,C,25
9/14/21 5:38:00 AM,C,25
9/14/21 6:08:00 AM,C,25.5
9/14/21 6:38:00 AM,C,27
