1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 23000000415A2021
Is Mission Active?  true
Mission Start:  Tue Oct 02 00:05:00 BOT 1900
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1633
Total Samples:  14839
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/2/00 12:05:00 AM,C,37
10/2/00 12:35:00 AM,C,47.5
10/2/00 1:05:00 AM,C,49
10/2/00 1:35:00 AM,C,49.5
10/2/00 2:05:00 AM,C,51
10/2/00 2:35:00 AM,C,33.5
10/2/00 3:05:00 AM,C,31
10/2/00 3:35:00 AM,C,49
10/2/00 4:05:00 AM,C,54
10/2/00 4:35:00 AM,C,40
10/2/00 5:05:00 AM,C,56.5
10/2/00 5:35:00 AM,C,51.5
10/2/00 6:05:00 AM,C,56.5
10/2/00 6:35:00 AM,C,55.5
10/2/00 7:05:00 AM,C,42.5
10/2/00 7:35:00 AM,C,39.5
10/2/00 8:05:00 AM,C,40
10/2/00 8:35:00 AM,C,33
10/2/00 9:05:00 AM,C,30
10/2/00 9:35:00 AM,C,29
10/2/00 10:05:00 AM,C,28.5
10/2/00 10:35:00 AM,C,28
10/2/00 11:05:00 AM,C,28
10/2/00 11:35:00 AM,C,27.5
10/2/00 12:05:00 PM,C,27.5
10/2/00 12:35:00 PM,C,28
10/2/00 1:05:00 PM,C,27
10/2/00 1:35:00 PM,C,27.5
10/2/00 2:05:00 PM,C,27.5
10/2/00 2:35:00 PM,C,27
10/2/00 3:05:00 PM,C,27.5
10/2/00 3:35:00 PM,C,27
10/2/00 4:05:00 PM,C,27
10/2/00 4:35:00 PM,C,27
10/2/00 5:05:00 PM,C,26.5
10/2/00 5:35:00 PM,C,26.5
10/2/00 6:05:00 PM,C,26.5
10/2/00 6:35:00 PM,C,26.5
10/2/00 7:05:00 PM,C,26
10/2/00 7:35:00 PM,C,26
10/2/00 8:05:00 PM,C,26
10/2/00 8:35:00 PM,C,26
10/2/00 9:05:00 PM,C,26
10/2/00 9:35:00 PM,C,26.5
10/2/00 10:05:00 PM,C,27
10/2/00 10:35:00 PM,C,30
10/2/00 11:05:00 PM,C,33.5
10/2/00 11:35:00 PM,C,37
10/3/00 12:05:00 AM,C,40
10/3/00 12:35:00 AM,C,44
10/3/00 1:05:00 AM,C,48.5
10/3/00 1:35:00 AM,C,46
10/3/00 2:05:00 AM,C,37
10/3/00 2:35:00 AM,C,36.5
10/3/00 3:05:00 AM,C,45
10/3/00 3:35:00 AM,C,30.5
10/3/00 4:05:00 AM,C,33
10/3/00 4:35:00 AM,C,30.5
10/3/00 5:05:00 AM,C,31.5
10/3/00 5:35:00 AM,C,33.5
10/3/00 6:05:00 AM,C,34.5
10/3/00 6:35:00 AM,C,32
10/3/00 7:05:00 AM,C,32
10/3/00 7:35:00 AM,C,30.5
10/3/00 8:05:00 AM,C,25
10/3/00 8:35:00 AM,C,25
10/3/00 9:05:00 AM,C,25
10/3/00 9:35:00 AM,C,25.5
10/3/00 10:05:00 AM,C,25.5
10/3/00 10:35:00 AM,C,26
10/3/00 11:05:00 AM,C,26
10/3/00 11:35:00 AM,C,26.5
10/3/00 12:05:00 PM,C,26.5
10/3/00 12:35:00 PM,C,26.5
10/3/00 1:05:00 PM,C,26
10/3/00 1:35:00 PM,C,26.5
10/3/00 2:05:00 PM,C,27
10/3/00 2:35:00 PM,C,26.5
10/3/00 3:05:00 PM,C,27
10/3/00 3:35:00 PM,C,27.5
10/3/00 4:05:00 PM,C,27
10/3/00 4:35:00 PM,C,26.5
10/3/00 5:05:00 PM,C,26.5
10/3/00 5:35:00 PM,C,26
10/3/00 6:05:00 PM,C,26.5
10/3/00 6:35:00 PM,C,26.5
10/3/00 7:05:00 PM,C,26.5
10/3/00 7:35:00 PM,C,26.5
10/3/00 8:05:00 PM,C,26.5
10/3/00 8:35:00 PM,C,25
10/3/00 9:05:00 PM,C,25
10/3/00 9:35:00 PM,C,26
10/3/00 10:05:00 PM,C,27.5
10/3/00 10:35:00 PM,C,28.5
10/3/00 11:05:00 PM,C,26.5
10/3/00 11:35:00 PM,C,30
10/4/00 12:05:00 AM,C,35
10/4/00 12:35:00 AM,C,40.5
10/4/00 1:05:00 AM,C,42.5
10/4/00 1:35:00 AM,C,52.5
10/4/00 2:05:00 AM,C,49
10/4/00 2:35:00 AM,C,50.5
10/4/00 3:05:00 AM,C,56.5
10/4/00 3:35:00 AM,C,43.5
10/4/00 4:05:00 AM,C,52
10/4/00 4:35:00 AM,C,38.5
10/4/00 5:05:00 AM,C,52
10/4/00 5:35:00 AM,C,37.5
10/4/00 6:05:00 AM,C,51.5
10/4/00 6:35:00 AM,C,51.5
10/4/00 7:05:00 AM,C,40
10/4/00 7:35:00 AM,C,46
10/4/00 8:05:00 AM,C,39
10/4/00 8:35:00 AM,C,32.5
10/4/00 9:05:00 AM,C,29.5
10/4/00 9:35:00 AM,C,28
10/4/00 10:05:00 AM,C,27.5
