1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9C000000416D0421
Is Mission Active?  true
Mission Start:  Fri Aug 06 07:38:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1681
Total Samples:  41449
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/6/21 7:38:00 AM,C,32
8/6/21 8:08:00 AM,C,33
8/6/21 8:38:00 AM,C,35.5
8/6/21 9:08:00 AM,C,39
8/6/21 9:38:00 AM,C,41
8/6/21 10:08:00 AM,C,44.5
8/6/21 10:38:00 AM,C,47
8/6/21 11:08:00 AM,C,48.5
8/6/21 11:38:00 AM,C,48
8/6/21 12:08:00 PM,C,48.5
8/6/21 12:38:00 PM,C,49
8/6/21 1:08:00 PM,C,49.5
8/6/21 1:38:00 PM,C,51.5
8/6/21 2:08:00 PM,C,49.5
8/6/21 2:38:00 PM,C,47
8/6/21 3:08:00 PM,C,45
8/6/21 3:38:00 PM,C,44
8/6/21 4:08:00 PM,C,42.5
8/6/21 4:38:00 PM,C,40.5
8/6/21 5:08:00 PM,C,36.5
8/6/21 5:38:00 PM,C,34
8/6/21 6:08:00 PM,C,33
8/6/21 6:38:00 PM,C,30.5
8/6/21 7:08:00 PM,C,30
8/6/21 7:38:00 PM,C,29.5
8/6/21 8:08:00 PM,C,29
8/6/21 8:38:00 PM,C,28.5
8/6/21 9:08:00 PM,C,28
8/6/21 9:38:00 PM,C,28
8/6/21 10:08:00 PM,C,27.5
8/6/21 10:38:00 PM,C,27.5
8/6/21 11:08:00 PM,C,27
8/6/21 11:38:00 PM,C,27
8/7/21 12:08:00 AM,C,27
8/7/21 12:38:00 AM,C,26.5
8/7/21 1:08:00 AM,C,26
8/7/21 1:38:00 AM,C,26
8/7/21 2:08:00 AM,C,26
8/7/21 2:38:00 AM,C,26
8/7/21 3:08:00 AM,C,25.5
