1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 23000000415A2021
Is Mission Active?  true
Mission Start:  Mon Aug 27 23:43:00 BOT 1900
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1681
Total Samples:  13206
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/27/00 11:43:00 PM,C,32.5
8/28/00 12:13:00 AM,C,39
8/28/00 12:43:00 AM,C,44
8/28/00 1:13:00 AM,C,46
8/28/00 1:43:00 AM,C,49.5
8/28/00 2:13:00 AM,C,51.5
8/28/00 2:43:00 AM,C,51.5
8/28/00 3:13:00 AM,C,51
8/28/00 3:43:00 AM,C,56
8/28/00 4:13:00 AM,C,55.5
8/28/00 4:43:00 AM,C,55
8/28/00 5:13:00 AM,C,52.5
8/28/00 5:43:00 AM,C,52
8/28/00 6:13:00 AM,C,52
8/28/00 6:43:00 AM,C,49
8/28/00 7:13:00 AM,C,48
8/28/00 7:43:00 AM,C,45
8/28/00 8:13:00 AM,C,43
8/28/00 8:43:00 AM,C,38.5
8/28/00 9:13:00 AM,C,32.5
8/28/00 9:43:00 AM,C,29.5
8/28/00 10:13:00 AM,C,28.5
8/28/00 10:43:00 AM,C,28
8/28/00 11:13:00 AM,C,27.5
8/28/00 11:43:00 AM,C,27.5
8/28/00 12:13:00 PM,C,27
8/28/00 12:43:00 PM,C,27
8/28/00 1:13:00 PM,C,26.5
8/28/00 1:43:00 PM,C,26
8/28/00 2:13:00 PM,C,26
8/28/00 2:43:00 PM,C,26
8/28/00 3:13:00 PM,C,25.5
8/28/00 3:43:00 PM,C,25
8/28/00 4:13:00 PM,C,25
8/28/00 4:43:00 PM,C,24.5
8/28/00 5:13:00 PM,C,24.5
8/28/00 5:43:00 PM,C,24.5
8/28/00 6:13:00 PM,C,24.5
8/28/00 6:43:00 PM,C,24
8/28/00 7:13:00 PM,C,24
8/28/00 7:43:00 PM,C,24
8/28/00 8:13:00 PM,C,24
8/28/00 8:43:00 PM,C,24
8/28/00 9:13:00 PM,C,24.5
8/28/00 9:43:00 PM,C,25.5
8/28/00 10:13:00 PM,C,30
8/28/00 10:43:00 PM,C,32
8/28/00 11:13:00 PM,C,35
8/28/00 11:43:00 PM,C,39.5
8/29/00 12:13:00 AM,C,42.5
8/29/00 12:43:00 AM,C,47.5
8/29/00 1:13:00 AM,C,50.5
8/29/00 1:43:00 AM,C,53
8/29/00 2:13:00 AM,C,56.5
8/29/00 2:43:00 AM,C,62
8/29/00 3:13:00 AM,C,61
8/29/00 3:43:00 AM,C,63
8/29/00 4:13:00 AM,C,57
8/29/00 4:43:00 AM,C,51.5
8/29/00 5:13:00 AM,C,57
8/29/00 5:43:00 AM,C,57.5
8/29/00 6:13:00 AM,C,55
