1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6800000041560421
Is Mission Active?  true
Mission Start:  Thu Apr 14 08:48:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1394
Total Samples:  54487
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/14/22 8:48:00 AM,C,30.5
4/14/22 9:18:00 AM,C,27.5
4/14/22 9:48:00 AM,C,27.5
4/14/22 10:18:00 AM,C,28
4/14/22 10:48:00 AM,C,28.5
4/14/22 11:18:00 AM,C,28.5
4/14/22 11:48:00 AM,C,29
4/14/22 12:18:00 PM,C,29
4/14/22 12:48:00 PM,C,29.5
4/14/22 1:18:00 PM,C,29.5
4/14/22 1:48:00 PM,C,30.5
4/14/22 2:18:00 PM,C,30
4/14/22 2:48:00 PM,C,31
4/14/22 3:18:00 PM,C,29.5
4/14/22 3:48:00 PM,C,30.5
4/14/22 4:18:00 PM,C,30
4/14/22 4:48:00 PM,C,28.5
4/14/22 5:18:00 PM,C,28
4/14/22 5:48:00 PM,C,27.5
4/14/22 6:18:00 PM,C,27
4/14/22 6:48:00 PM,C,26.5
4/14/22 7:18:00 PM,C,26.5
4/14/22 7:48:00 PM,C,26
4/14/22 8:18:00 PM,C,26
4/14/22 8:48:00 PM,C,26
4/14/22 9:18:00 PM,C,25.5
4/14/22 9:48:00 PM,C,25.5
4/14/22 10:18:00 PM,C,25.5
4/14/22 10:48:00 PM,C,25.5
4/14/22 11:18:00 PM,C,25.5
4/14/22 11:48:00 PM,C,25.5
4/15/22 12:18:00 AM,C,25.5
4/15/22 12:48:00 AM,C,25.5
4/15/22 1:18:00 AM,C,25.5
4/15/22 1:48:00 AM,C,25.5
4/15/22 2:18:00 AM,C,25.5
4/15/22 2:48:00 AM,C,25.5
4/15/22 3:18:00 AM,C,25
4/15/22 3:48:00 AM,C,25
4/15/22 4:18:00 AM,C,25
4/15/22 4:48:00 AM,C,25
4/15/22 5:18:00 AM,C,25
4/15/22 5:48:00 AM,C,25.5
4/15/22 6:18:00 AM,C,25.5
4/15/22 6:48:00 AM,C,25.5
4/15/22 7:18:00 AM,C,26
4/15/22 7:48:00 AM,C,26.5
4/15/22 8:18:00 AM,C,27.5
4/15/22 8:48:00 AM,C,27.5
4/15/22 9:18:00 AM,C,28
4/15/22 9:48:00 AM,C,28
4/15/22 10:18:00 AM,C,28.5
4/15/22 10:48:00 AM,C,28.5
4/15/22 11:18:00 AM,C,29
4/15/22 11:48:00 AM,C,29
4/15/22 12:18:00 PM,C,29.5
4/15/22 12:48:00 PM,C,30
4/15/22 1:18:00 PM,C,30
4/15/22 1:48:00 PM,C,31
4/15/22 2:18:00 PM,C,31
4/15/22 2:48:00 PM,C,32
4/15/22 3:18:00 PM,C,30
4/15/22 3:48:00 PM,C,32
4/15/22 4:18:00 PM,C,29.5
4/15/22 4:48:00 PM,C,28.5
4/15/22 5:18:00 PM,C,28
4/15/22 5:48:00 PM,C,28.5
4/15/22 6:18:00 PM,C,27
4/15/22 6:48:00 PM,C,26.5
4/15/22 7:18:00 PM,C,26.5
4/15/22 7:48:00 PM,C,26.5
4/15/22 8:18:00 PM,C,26.5
4/15/22 8:48:00 PM,C,26
4/15/22 9:18:00 PM,C,26
4/15/22 9:48:00 PM,C,26
4/15/22 10:18:00 PM,C,26
4/15/22 10:48:00 PM,C,26
4/15/22 11:18:00 PM,C,26
4/15/22 11:48:00 PM,C,26
4/16/22 12:18:00 AM,C,25.5
4/16/22 12:48:00 AM,C,25.5
4/16/22 1:18:00 AM,C,25.5
4/16/22 1:48:00 AM,C,25.5
4/16/22 2:18:00 AM,C,25.5
4/16/22 2:48:00 AM,C,25.5
4/16/22 3:18:00 AM,C,25.5
4/16/22 3:48:00 AM,C,25.5
4/16/22 4:18:00 AM,C,25.5
4/16/22 4:48:00 AM,C,25.5
4/16/22 5:18:00 AM,C,25.5
4/16/22 5:48:00 AM,C,25.5
4/16/22 6:18:00 AM,C,25.5
4/16/22 6:48:00 AM,C,26
4/16/22 7:18:00 AM,C,26
4/16/22 7:48:00 AM,C,26.5
4/16/22 8:18:00 AM,C,27.5
4/16/22 8:48:00 AM,C,28
4/16/22 9:18:00 AM,C,28
4/16/22 9:48:00 AM,C,28
4/16/22 10:18:00 AM,C,27.5
4/16/22 10:48:00 AM,C,28.5
4/16/22 11:18:00 AM,C,29
4/16/22 11:48:00 AM,C,29.5
4/16/22 12:18:00 PM,C,30
