1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F200000041302C21
Is Mission Active?  true
Mission Start:  Fri Jul 08 09:23:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  3313
Total Samples:  60488
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/8/22 9:23:00 AM,C,35
7/8/22 9:53:00 AM,C,27
7/8/22 10:23:00 AM,C,43.5
7/8/22 10:53:00 AM,C,36
7/8/22 11:23:00 AM,C,41.5
7/8/22 11:53:00 AM,C,37
7/8/22 12:23:00 PM,C,35.5
7/8/22 12:53:00 PM,C,36
7/8/22 1:23:00 PM,C,35
7/8/22 1:53:00 PM,C,35.5
7/8/22 2:23:00 PM,C,36
7/8/22 2:53:00 PM,C,35.5
7/8/22 3:23:00 PM,C,34.5
7/8/22 3:53:00 PM,C,33.5
7/8/22 4:23:00 PM,C,34.5
7/8/22 4:53:00 PM,C,33.5
7/8/22 5:23:00 PM,C,33.5
7/8/22 5:53:00 PM,C,33
7/8/22 6:23:00 PM,C,32.5
7/8/22 6:53:00 PM,C,31
7/8/22 7:23:00 PM,C,30
7/8/22 7:53:00 PM,C,29.5
7/8/22 8:23:00 PM,C,29
7/8/22 8:53:00 PM,C,29
7/8/22 9:23:00 PM,C,29
7/8/22 9:53:00 PM,C,28.5
7/8/22 10:23:00 PM,C,28.5
7/8/22 10:53:00 PM,C,28.5
7/8/22 11:23:00 PM,C,28.5
7/8/22 11:53:00 PM,C,28.5
7/9/22 12:23:00 AM,C,28
7/9/22 12:53:00 AM,C,28
7/9/22 1:23:00 AM,C,28
7/9/22 1:53:00 AM,C,28
7/9/22 2:23:00 AM,C,28
7/9/22 2:53:00 AM,C,28
7/9/22 3:23:00 AM,C,27
7/9/22 3:53:00 AM,C,26.5
7/9/22 4:23:00 AM,C,27
7/9/22 4:53:00 AM,C,27
7/9/22 5:23:00 AM,C,27.5
7/9/22 5:53:00 AM,C,27
7/9/22 6:23:00 AM,C,27.5
7/9/22 6:53:00 AM,C,28
7/9/22 7:23:00 AM,C,33.5
7/9/22 7:53:00 AM,C,35.5
7/9/22 8:23:00 AM,C,39
7/9/22 8:53:00 AM,C,43.5
7/9/22 9:23:00 AM,C,44.5
7/9/22 9:53:00 AM,C,44.5
7/9/22 10:23:00 AM,C,45
7/9/22 10:53:00 AM,C,43.5
7/9/22 11:23:00 AM,C,42.5
7/9/22 11:53:00 AM,C,43
7/9/22 12:23:00 PM,C,38.5
7/9/22 12:53:00 PM,C,38
7/9/22 1:23:00 PM,C,37.5
7/9/22 1:53:00 PM,C,37.5
7/9/22 2:23:00 PM,C,36.5
7/9/22 2:53:00 PM,C,36.5
7/9/22 3:23:00 PM,C,35.5
7/9/22 3:53:00 PM,C,37
7/9/22 4:23:00 PM,C,36.5
7/9/22 4:53:00 PM,C,36
7/9/22 5:23:00 PM,C,33.5
7/9/22 5:53:00 PM,C,33
7/9/22 6:23:00 PM,C,32
7/9/22 6:53:00 PM,C,31
7/9/22 7:23:00 PM,C,29.5
7/9/22 7:53:00 PM,C,29
7/9/22 8:23:00 PM,C,29
7/9/22 8:53:00 PM,C,29
7/9/22 9:23:00 PM,C,28
7/9/22 9:53:00 PM,C,28
7/9/22 10:23:00 PM,C,28
7/9/22 10:53:00 PM,C,28
7/9/22 11:23:00 PM,C,28
7/9/22 11:53:00 PM,C,28
7/10/22 12:23:00 AM,C,27.5
7/10/22 12:53:00 AM,C,27.5
7/10/22 1:23:00 AM,C,27.5
7/10/22 1:53:00 AM,C,27
7/10/22 2:23:00 AM,C,27.5
7/10/22 2:53:00 AM,C,27.5
7/10/22 3:23:00 AM,C,27
7/10/22 3:53:00 AM,C,27.5
7/10/22 4:23:00 AM,C,25.5
7/10/22 4:53:00 AM,C,26
7/10/22 5:23:00 AM,C,25
7/10/22 5:53:00 AM,C,25.5
7/10/22 6:23:00 AM,C,25.5
7/10/22 6:53:00 AM,C,26.5
7/10/22 7:23:00 AM,C,33.5
7/10/22 7:53:00 AM,C,39.5
7/10/22 8:23:00 AM,C,41
7/10/22 8:53:00 AM,C,45
7/10/22 9:23:00 AM,C,41.5
7/10/22 9:53:00 AM,C,47
7/10/22 10:23:00 AM,C,48.5
7/10/22 10:53:00 AM,C,44.5
7/10/22 11:23:00 AM,C,45
7/10/22 11:53:00 AM,C,44.5
7/10/22 12:23:00 PM,C,30.5
7/10/22 12:53:00 PM,C,30
7/10/22 1:23:00 PM,C,29
7/10/22 1:53:00 PM,C,32
7/10/22 2:23:00 PM,C,28
7/10/22 2:53:00 PM,C,29
7/10/22 3:23:00 PM,C,28.5
7/10/22 3:53:00 PM,C,26
7/10/22 4:23:00 PM,C,26
7/10/22 4:53:00 PM,C,27
7/10/22 5:23:00 PM,C,27.5
7/10/22 5:53:00 PM,C,27.5
7/10/22 6:23:00 PM,C,27.5
7/10/22 6:53:00 PM,C,27
7/10/22 7:23:00 PM,C,27
7/10/22 7:53:00 PM,C,27
7/10/22 8:23:00 PM,C,27
7/10/22 8:53:00 PM,C,27
7/10/22 9:23:00 PM,C,27
7/10/22 9:53:00 PM,C,27
7/10/22 10:23:00 PM,C,27
7/10/22 10:53:00 PM,C,27.5
7/10/22 11:23:00 PM,C,27.5
7/10/22 11:53:00 PM,C,27.5
7/11/22 12:23:00 AM,C,27.5
7/11/22 12:53:00 AM,C,27
7/11/22 1:23:00 AM,C,27
7/11/22 1:53:00 AM,C,27
7/11/22 2:23:00 AM,C,27
7/11/22 2:53:00 AM,C,27
7/11/22 3:23:00 AM,C,27
7/11/22 3:53:00 AM,C,27
7/11/22 4:23:00 AM,C,27
7/11/22 4:53:00 AM,C,27
7/11/22 5:23:00 AM,C,27
7/11/22 5:53:00 AM,C,27
7/11/22 6:23:00 AM,C,27.5
7/11/22 6:53:00 AM,C,28.5
7/11/22 7:23:00 AM,C,31
7/11/22 7:53:00 AM,C,35.5
7/11/22 8:23:00 AM,C,39
7/11/22 8:53:00 AM,C,41
7/11/22 9:23:00 AM,C,42.5
7/11/22 9:53:00 AM,C,44
7/11/22 10:23:00 AM,C,43.5
7/11/22 10:53:00 AM,C,44.5
7/11/22 11:23:00 AM,C,42.5
7/11/22 11:53:00 AM,C,39.5
7/11/22 12:23:00 PM,C,38.5
7/11/22 12:53:00 PM,C,38
7/11/22 1:23:00 PM,C,38.5
7/11/22 1:53:00 PM,C,37.5
7/11/22 2:23:00 PM,C,37
7/11/22 2:53:00 PM,C,37
7/11/22 3:23:00 PM,C,36.5
7/11/22 3:53:00 PM,C,35.5
7/11/22 4:23:00 PM,C,34.5
7/11/22 4:53:00 PM,C,34.5
7/11/22 5:23:00 PM,C,33
7/11/22 5:53:00 PM,C,32
7/11/22 6:23:00 PM,C,31.5
7/11/22 6:53:00 PM,C,30.5
7/11/22 7:23:00 PM,C,29.5
7/11/22 7:53:00 PM,C,29.5
7/11/22 8:23:00 PM,C,29
7/11/22 8:53:00 PM,C,29
7/11/22 9:23:00 PM,C,28
7/11/22 9:53:00 PM,C,28
7/11/22 10:23:00 PM,C,28
7/11/22 10:53:00 PM,C,28
7/11/22 11:23:00 PM,C,28
7/11/22 11:53:00 PM,C,28
7/12/22 12:23:00 AM,C,28
7/12/22 12:53:00 AM,C,27.5
7/12/22 1:23:00 AM,C,27.5
7/12/22 1:53:00 AM,C,27.5
7/12/22 2:23:00 AM,C,27.5
7/12/22 2:53:00 AM,C,27.5
7/12/22 3:23:00 AM,C,27.5
7/12/22 3:53:00 AM,C,27.5
7/12/22 4:23:00 AM,C,27.5
7/12/22 4:53:00 AM,C,27
7/12/22 5:23:00 AM,C,27
7/12/22 5:53:00 AM,C,27
7/12/22 6:23:00 AM,C,27.5
7/12/22 6:53:00 AM,C,29
7/12/22 7:23:00 AM,C,33
7/12/22 7:53:00 AM,C,36.5
7/12/22 8:23:00 AM,C,39
7/12/22 8:53:00 AM,C,44
7/12/22 9:23:00 AM,C,45.5
7/12/22 9:53:00 AM,C,47.5
7/12/22 10:23:00 AM,C,44
7/12/22 10:53:00 AM,C,45
7/12/22 11:23:00 AM,C,45.5
7/12/22 11:53:00 AM,C,46
7/12/22 12:23:00 PM,C,39.5
7/12/22 12:53:00 PM,C,40
7/12/22 1:23:00 PM,C,39
7/12/22 1:53:00 PM,C,38
7/12/22 2:23:00 PM,C,35.5
7/12/22 2:53:00 PM,C,36.5
7/12/22 3:23:00 PM,C,34.5
7/12/22 3:53:00 PM,C,36
7/12/22 4:23:00 PM,C,33
7/12/22 4:53:00 PM,C,35.5
7/12/22 5:23:00 PM,C,32.5
7/12/22 5:53:00 PM,C,32
7/12/22 6:23:00 PM,C,30.5
7/12/22 6:53:00 PM,C,30
7/12/22 7:23:00 PM,C,29.5
7/12/22 7:53:00 PM,C,29.5
7/12/22 8:23:00 PM,C,29
7/12/22 8:53:00 PM,C,28.5
7/12/22 9:23:00 PM,C,28
7/12/22 9:53:00 PM,C,28
7/12/22 10:23:00 PM,C,28
7/12/22 10:53:00 PM,C,28
7/12/22 11:23:00 PM,C,27.5
7/12/22 11:53:00 PM,C,27.5
7/13/22 12:23:00 AM,C,27.5
7/13/22 12:53:00 AM,C,27.5
7/13/22 1:23:00 AM,C,27.5
7/13/22 1:53:00 AM,C,27.5
7/13/22 2:23:00 AM,C,27.5
7/13/22 2:53:00 AM,C,27.5
7/13/22 3:23:00 AM,C,27.5
7/13/22 3:53:00 AM,C,27
7/13/22 4:23:00 AM,C,27
7/13/22 4:53:00 AM,C,27
7/13/22 5:23:00 AM,C,27.5
7/13/22 5:53:00 AM,C,27
7/13/22 6:23:00 AM,C,27.5
7/13/22 6:53:00 AM,C,28.5
7/13/22 7:23:00 AM,C,33
7/13/22 7:53:00 AM,C,30
7/13/22 8:23:00 AM,C,31.5
7/13/22 8:53:00 AM,C,32
7/13/22 9:23:00 AM,C,40.5
7/13/22 9:53:00 AM,C,38
7/13/22 10:23:00 AM,C,39.5
7/13/22 10:53:00 AM,C,37.5
7/13/22 11:23:00 AM,C,38
7/13/22 11:53:00 AM,C,39.5
7/13/22 12:23:00 PM,C,34.5
7/13/22 12:53:00 PM,C,37
7/13/22 1:23:00 PM,C,39.5
7/13/22 1:53:00 PM,C,34
7/13/22 2:23:00 PM,C,35.5
7/13/22 2:53:00 PM,C,32.5
7/13/22 3:23:00 PM,C,34.5
7/13/22 3:53:00 PM,C,36
7/13/22 4:23:00 PM,C,35
7/13/22 4:53:00 PM,C,31.5
7/13/22 5:23:00 PM,C,31.5
7/13/22 5:53:00 PM,C,31
7/13/22 6:23:00 PM,C,29.5
7/13/22 6:53:00 PM,C,28.5
7/13/22 7:23:00 PM,C,28
7/13/22 7:53:00 PM,C,28
7/13/22 8:23:00 PM,C,28
7/13/22 8:53:00 PM,C,28
7/13/22 9:23:00 PM,C,27.5
7/13/22 9:53:00 PM,C,27.5
7/13/22 10:23:00 PM,C,27.5
7/13/22 10:53:00 PM,C,27.5
7/13/22 11:23:00 PM,C,27.5
7/13/22 11:53:00 PM,C,28
7/14/22 12:23:00 AM,C,27.5
7/14/22 12:53:00 AM,C,26
7/14/22 1:23:00 AM,C,27
7/14/22 1:53:00 AM,C,24.5
7/14/22 2:23:00 AM,C,24.5
7/14/22 2:53:00 AM,C,25
7/14/22 3:23:00 AM,C,24.5
7/14/22 3:53:00 AM,C,25.5
7/14/22 4:23:00 AM,C,25.5
7/14/22 4:53:00 AM,C,26
7/14/22 5:23:00 AM,C,26
7/14/22 5:53:00 AM,C,26
7/14/22 6:23:00 AM,C,26
7/14/22 6:53:00 AM,C,26.5
7/14/22 7:23:00 AM,C,29
7/14/22 7:53:00 AM,C,38
7/14/22 8:23:00 AM,C,36
7/14/22 8:53:00 AM,C,32.5
7/14/22 9:23:00 AM,C,42
7/14/22 9:53:00 AM,C,45.5
7/14/22 10:23:00 AM,C,45
7/14/22 10:53:00 AM,C,45
7/14/22 11:23:00 AM,C,45
7/14/22 11:53:00 AM,C,42.5
7/14/22 12:23:00 PM,C,42
7/14/22 12:53:00 PM,C,34.5
7/14/22 1:23:00 PM,C,35.5
7/14/22 1:53:00 PM,C,31
7/14/22 2:23:00 PM,C,33
7/14/22 2:53:00 PM,C,34
7/14/22 3:23:00 PM,C,33.5
7/14/22 3:53:00 PM,C,27
7/14/22 4:23:00 PM,C,27.5
7/14/22 4:53:00 PM,C,30.5
7/14/22 5:23:00 PM,C,29.5
7/14/22 5:53:00 PM,C,29.5
7/14/22 6:23:00 PM,C,29
7/14/22 6:53:00 PM,C,25
7/14/22 7:23:00 PM,C,24.5
7/14/22 7:53:00 PM,C,25
7/14/22 8:23:00 PM,C,25
7/14/22 8:53:00 PM,C,25
7/14/22 9:23:00 PM,C,25.5
7/14/22 9:53:00 PM,C,26
7/14/22 10:23:00 PM,C,26.5
7/14/22 10:53:00 PM,C,26.5
7/14/22 11:23:00 PM,C,26.5
7/14/22 11:53:00 PM,C,27
7/15/22 12:23:00 AM,C,27.5
7/15/22 12:53:00 AM,C,27
7/15/22 1:23:00 AM,C,27
7/15/22 1:53:00 AM,C,27.5
7/15/22 2:23:00 AM,C,27
7/15/22 2:53:00 AM,C,27
7/15/22 3:23:00 AM,C,27
7/15/22 3:53:00 AM,C,27
7/15/22 4:23:00 AM,C,27
7/15/22 4:53:00 AM,C,27
7/15/22 5:23:00 AM,C,27
7/15/22 5:53:00 AM,C,26.5
7/15/22 6:23:00 AM,C,27
7/15/22 6:53:00 AM,C,25.5
7/15/22 7:23:00 AM,C,26.5
7/15/22 7:53:00 AM,C,32
7/15/22 8:23:00 AM,C,35.5
7/15/22 8:53:00 AM,C,42.5
7/15/22 9:23:00 AM,C,44.5
7/15/22 9:53:00 AM,C,45.5
7/15/22 10:23:00 AM,C,45.5
7/15/22 10:53:00 AM,C,43.5
7/15/22 11:23:00 AM,C,44
7/15/22 11:53:00 AM,C,42.5
7/15/22 12:23:00 PM,C,37.5
7/15/22 12:53:00 PM,C,37
7/15/22 1:23:00 PM,C,36.5
7/15/22 1:53:00 PM,C,36
7/15/22 2:23:00 PM,C,35.5
7/15/22 2:53:00 PM,C,35.5
7/15/22 3:23:00 PM,C,34.5
7/15/22 3:53:00 PM,C,34.5
7/15/22 4:23:00 PM,C,34
7/15/22 4:53:00 PM,C,33.5
7/15/22 5:23:00 PM,C,32.5
7/15/22 5:53:00 PM,C,32
7/15/22 6:23:00 PM,C,31
7/15/22 6:53:00 PM,C,30
7/15/22 7:23:00 PM,C,29.5
7/15/22 7:53:00 PM,C,29
7/15/22 8:23:00 PM,C,28.5
7/15/22 8:53:00 PM,C,29
7/15/22 9:23:00 PM,C,28.5
7/15/22 9:53:00 PM,C,28.5
7/15/22 10:23:00 PM,C,28.5
7/15/22 10:53:00 PM,C,28.5
7/15/22 11:23:00 PM,C,26.5
