1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5F00000055261521
Is Mission Active?  true
Mission Start:  Fri Jul 08 08:09:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  3313
Total Samples:  10560
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/8/22 8:09:00 AM,C,32.5
7/8/22 8:39:00 AM,C,30.5
7/8/22 9:09:00 AM,C,30.5
7/8/22 9:39:00 AM,C,32
7/8/22 10:09:00 AM,C,28.5
7/8/22 10:39:00 AM,C,30.5
7/8/22 11:09:00 AM,C,31.5
7/8/22 11:39:00 AM,C,33
7/8/22 12:09:00 PM,C,32
7/8/22 12:39:00 PM,C,31.5
7/8/22 1:09:00 PM,C,32.5
7/8/22 1:39:00 PM,C,32.5
7/8/22 2:09:00 PM,C,33
7/8/22 2:39:00 PM,C,32.5
7/8/22 3:09:00 PM,C,32.5
7/8/22 3:39:00 PM,C,33
7/8/22 4:09:00 PM,C,33.5
7/8/22 4:39:00 PM,C,31
7/8/22 5:09:00 PM,C,31.5
7/8/22 5:39:00 PM,C,30.5
7/8/22 6:09:00 PM,C,29.5
7/8/22 6:39:00 PM,C,29.5
7/8/22 7:09:00 PM,C,29
7/8/22 7:39:00 PM,C,29
7/8/22 8:09:00 PM,C,28.5
7/8/22 8:39:00 PM,C,28.5
7/8/22 9:09:00 PM,C,28.5
7/8/22 9:39:00 PM,C,28.5
7/8/22 10:09:00 PM,C,28.5
7/8/22 10:39:00 PM,C,28.5
7/8/22 11:09:00 PM,C,28
7/8/22 11:39:00 PM,C,28
7/9/22 12:09:00 AM,C,28
7/9/22 12:39:00 AM,C,28
7/9/22 1:09:00 AM,C,28
7/9/22 1:39:00 AM,C,28
7/9/22 2:09:00 AM,C,28
7/9/22 2:39:00 AM,C,28
7/9/22 3:09:00 AM,C,26
7/9/22 3:39:00 AM,C,26
7/9/22 4:09:00 AM,C,26.5
7/9/22 4:39:00 AM,C,27
7/9/22 5:09:00 AM,C,27
7/9/22 5:39:00 AM,C,27
7/9/22 6:09:00 AM,C,27
7/9/22 6:39:00 AM,C,27
7/9/22 7:09:00 AM,C,27.5
7/9/22 7:39:00 AM,C,28
7/9/22 8:09:00 AM,C,29
7/9/22 8:39:00 AM,C,29.5
7/9/22 9:09:00 AM,C,30
7/9/22 9:39:00 AM,C,31
7/9/22 10:09:00 AM,C,30.5
7/9/22 10:39:00 AM,C,30.5
7/9/22 11:09:00 AM,C,30
7/9/22 11:39:00 AM,C,31.5
7/9/22 12:09:00 PM,C,31
7/9/22 12:39:00 PM,C,31
7/9/22 1:09:00 PM,C,30.5
7/9/22 1:39:00 PM,C,31
7/9/22 2:09:00 PM,C,31
7/9/22 2:39:00 PM,C,31
7/9/22 3:09:00 PM,C,31
7/9/22 3:39:00 PM,C,31
7/9/22 4:09:00 PM,C,30.5
7/9/22 4:39:00 PM,C,30.5
7/9/22 5:09:00 PM,C,30
7/9/22 5:39:00 PM,C,29.5
7/9/22 6:09:00 PM,C,29
7/9/22 6:39:00 PM,C,29
7/9/22 7:09:00 PM,C,28.5
7/9/22 7:39:00 PM,C,28.5
7/9/22 8:09:00 PM,C,28.5
7/9/22 8:39:00 PM,C,28.5
7/9/22 9:09:00 PM,C,28
7/9/22 9:39:00 PM,C,28
7/9/22 10:09:00 PM,C,28
7/9/22 10:39:00 PM,C,28
7/9/22 11:09:00 PM,C,28
7/9/22 11:39:00 PM,C,28
7/10/22 12:09:00 AM,C,27.5
7/10/22 12:39:00 AM,C,27.5
7/10/22 1:09:00 AM,C,27.5
7/10/22 1:39:00 AM,C,27.5
7/10/22 2:09:00 AM,C,27.5
7/10/22 2:39:00 AM,C,27.5
7/10/22 3:09:00 AM,C,27.5
7/10/22 3:39:00 AM,C,27
7/10/22 4:09:00 AM,C,26.5
7/10/22 4:39:00 AM,C,26
7/10/22 5:09:00 AM,C,25
7/10/22 5:39:00 AM,C,25
7/10/22 6:09:00 AM,C,25
7/10/22 6:39:00 AM,C,25
7/10/22 7:09:00 AM,C,25
7/10/22 7:39:00 AM,C,27
7/10/22 8:09:00 AM,C,27.5
7/10/22 8:39:00 AM,C,28.5
7/10/22 9:09:00 AM,C,29.5
7/10/22 9:39:00 AM,C,30.5
7/10/22 10:09:00 AM,C,30
7/10/22 10:39:00 AM,C,30
7/10/22 11:09:00 AM,C,30
7/10/22 11:39:00 AM,C,31
7/10/22 12:09:00 PM,C,28.5
7/10/22 12:39:00 PM,C,26
7/10/22 1:09:00 PM,C,25.5
7/10/22 1:39:00 PM,C,27
7/10/22 2:09:00 PM,C,28.5
7/10/22 2:39:00 PM,C,26.5
7/10/22 3:09:00 PM,C,27
7/10/22 3:39:00 PM,C,26
7/10/22 4:09:00 PM,C,26
7/10/22 4:39:00 PM,C,26
7/10/22 5:09:00 PM,C,26.5
7/10/22 5:39:00 PM,C,27
7/10/22 6:09:00 PM,C,27
7/10/22 6:39:00 PM,C,27
7/10/22 7:09:00 PM,C,27
7/10/22 7:39:00 PM,C,27
7/10/22 8:09:00 PM,C,27
7/10/22 8:39:00 PM,C,27
7/10/22 9:09:00 PM,C,27
7/10/22 9:39:00 PM,C,27.5
7/10/22 10:09:00 PM,C,27.5
7/10/22 10:39:00 PM,C,27
7/10/22 11:09:00 PM,C,27.5
7/10/22 11:39:00 PM,C,27.5
7/11/22 12:09:00 AM,C,27.5
7/11/22 12:39:00 AM,C,27.5
7/11/22 1:09:00 AM,C,27.5
7/11/22 1:39:00 AM,C,27.5
7/11/22 2:09:00 AM,C,27.5
7/11/22 2:39:00 AM,C,27.5
7/11/22 3:09:00 AM,C,27.5
7/11/22 3:39:00 AM,C,27
7/11/22 4:09:00 AM,C,27
7/11/22 4:39:00 AM,C,27
7/11/22 5:09:00 AM,C,27
7/11/22 5:39:00 AM,C,27
7/11/22 6:09:00 AM,C,27
7/11/22 6:39:00 AM,C,27.5
7/11/22 7:09:00 AM,C,27.5
7/11/22 7:39:00 AM,C,28.5
7/11/22 8:09:00 AM,C,29
7/11/22 8:39:00 AM,C,29.5
7/11/22 9:09:00 AM,C,30.5
7/11/22 9:39:00 AM,C,32.5
7/11/22 10:09:00 AM,C,31
7/11/22 10:39:00 AM,C,31
7/11/22 11:09:00 AM,C,31
7/11/22 11:39:00 AM,C,31
7/11/22 12:09:00 PM,C,31
7/11/22 12:39:00 PM,C,30.5
7/11/22 1:09:00 PM,C,31
7/11/22 1:39:00 PM,C,31
7/11/22 2:09:00 PM,C,31
7/11/22 2:39:00 PM,C,31
7/11/22 3:09:00 PM,C,31
7/11/22 3:39:00 PM,C,30.5
7/11/22 4:09:00 PM,C,30
7/11/22 4:39:00 PM,C,30
7/11/22 5:09:00 PM,C,29.5
7/11/22 5:39:00 PM,C,29.5
7/11/22 6:09:00 PM,C,29
7/11/22 6:39:00 PM,C,28.5
7/11/22 7:09:00 PM,C,28.5
7/11/22 7:39:00 PM,C,28.5
7/11/22 8:09:00 PM,C,28.5
7/11/22 8:39:00 PM,C,28
7/11/22 9:09:00 PM,C,28
7/11/22 9:39:00 PM,C,28
7/11/22 10:09:00 PM,C,28
7/11/22 10:39:00 PM,C,28
7/11/22 11:09:00 PM,C,28
7/11/22 11:39:00 PM,C,27.5
7/12/22 12:09:00 AM,C,28
7/12/22 12:39:00 AM,C,27.5
7/12/22 1:09:00 AM,C,27.5
7/12/22 1:39:00 AM,C,27.5
7/12/22 2:09:00 AM,C,27.5
7/12/22 2:39:00 AM,C,27.5
7/12/22 3:09:00 AM,C,27.5
7/12/22 3:39:00 AM,C,27.5
7/12/22 4:09:00 AM,C,27.5
7/12/22 4:39:00 AM,C,27.5
7/12/22 5:09:00 AM,C,27.5
7/12/22 5:39:00 AM,C,27.5
7/12/22 6:09:00 AM,C,27.5
7/12/22 6:39:00 AM,C,27.5
7/12/22 7:09:00 AM,C,28
7/12/22 7:39:00 AM,C,28.5
7/12/22 8:09:00 AM,C,29
7/12/22 8:39:00 AM,C,30
7/12/22 9:09:00 AM,C,30
7/12/22 9:39:00 AM,C,32
7/12/22 10:09:00 AM,C,31
7/12/22 10:39:00 AM,C,31
7/12/22 11:09:00 AM,C,31
7/12/22 11:39:00 AM,C,31.5
7/12/22 12:09:00 PM,C,31.5
7/12/22 12:39:00 PM,C,31.5
7/12/22 1:09:00 PM,C,31.5
7/12/22 1:39:00 PM,C,31.5
7/12/22 2:09:00 PM,C,31.5
7/12/22 2:39:00 PM,C,31
7/12/22 3:09:00 PM,C,31
7/12/22 3:39:00 PM,C,30.5
