1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 730000005515FF21
Is Mission Active?  true
Mission Start:  Fri Aug 05 09:02:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1968
Total Samples:  10562
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/5/22 9:02:00 AM,C,34
8/5/22 9:32:00 AM,C,42
8/5/22 10:02:00 AM,C,44
8/5/22 10:32:00 AM,C,46.5
8/5/22 11:02:00 AM,C,48
8/5/22 11:32:00 AM,C,48.5
8/5/22 12:02:00 PM,C,45.5
8/5/22 12:32:00 PM,C,48
8/5/22 1:02:00 PM,C,47.5
8/5/22 1:32:00 PM,C,48
8/5/22 2:02:00 PM,C,46
8/5/22 2:32:00 PM,C,45.5
8/5/22 3:02:00 PM,C,44.5
8/5/22 3:32:00 PM,C,43.5
8/5/22 4:02:00 PM,C,41
8/5/22 4:32:00 PM,C,40.5
8/5/22 5:02:00 PM,C,34
8/5/22 5:32:00 PM,C,34.5
8/5/22 6:02:00 PM,C,30.5
8/5/22 6:32:00 PM,C,30
8/5/22 7:02:00 PM,C,28
8/5/22 7:32:00 PM,C,27
8/5/22 8:02:00 PM,C,26
8/5/22 8:32:00 PM,C,26
8/5/22 9:02:00 PM,C,26
8/5/22 9:32:00 PM,C,25.5
8/5/22 10:02:00 PM,C,26
8/5/22 10:32:00 PM,C,25.5
8/5/22 11:02:00 PM,C,25.5
8/5/22 11:32:00 PM,C,25.5
8/6/22 12:02:00 AM,C,25.5
8/6/22 12:32:00 AM,C,25.5
8/6/22 1:02:00 AM,C,25.5
8/6/22 1:32:00 AM,C,26
8/6/22 2:02:00 AM,C,25.5
8/6/22 2:32:00 AM,C,25.5
8/6/22 3:02:00 AM,C,25
8/6/22 3:32:00 AM,C,25
8/6/22 4:02:00 AM,C,25
8/6/22 4:32:00 AM,C,25
8/6/22 5:02:00 AM,C,25.5
8/6/22 5:32:00 AM,C,25
8/6/22 6:02:00 AM,C,25.5
8/6/22 6:32:00 AM,C,26
8/6/22 7:02:00 AM,C,28.5
8/6/22 7:32:00 AM,C,32.5
8/6/22 8:02:00 AM,C,36
8/6/22 8:32:00 AM,C,36.5
8/6/22 9:02:00 AM,C,40.5
8/6/22 9:32:00 AM,C,43.5
8/6/22 10:02:00 AM,C,47
8/6/22 10:32:00 AM,C,49
8/6/22 11:02:00 AM,C,48.5
8/6/22 11:32:00 AM,C,51
8/6/22 12:02:00 PM,C,48
8/6/22 12:32:00 PM,C,50.5
