1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: A400000055290F21
Is Mission Active?  true
Mission Start:  Fri Jul 08 09:51:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  3313
Total Samples:  10563
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/8/22 9:51:00 AM,C,31.5
7/8/22 10:21:00 AM,C,39
7/8/22 10:51:00 AM,C,30
7/8/22 11:21:00 AM,C,38.5
7/8/22 11:51:00 AM,C,36.5
7/8/22 12:21:00 PM,C,32
7/8/22 12:51:00 PM,C,38.5
7/8/22 1:21:00 PM,C,36
7/8/22 1:51:00 PM,C,39.5
7/8/22 2:21:00 PM,C,37.5
7/8/22 2:51:00 PM,C,32
7/8/22 3:21:00 PM,C,32.5
7/8/22 3:51:00 PM,C,32.5
7/8/22 4:21:00 PM,C,32
7/8/22 4:51:00 PM,C,31.5
7/8/22 5:21:00 PM,C,30.5
7/8/22 5:51:00 PM,C,30.5
7/8/22 6:21:00 PM,C,29.5
7/8/22 6:51:00 PM,C,29
7/8/22 7:21:00 PM,C,28.5
7/8/22 7:51:00 PM,C,28.5
7/8/22 8:21:00 PM,C,28.5
7/8/22 8:51:00 PM,C,28.5
7/8/22 9:21:00 PM,C,28
7/8/22 9:51:00 PM,C,28
7/8/22 10:21:00 PM,C,28
7/8/22 10:51:00 PM,C,28
7/8/22 11:21:00 PM,C,28
7/8/22 11:51:00 PM,C,28
7/9/22 12:21:00 AM,C,28
7/9/22 12:51:00 AM,C,28
7/9/22 1:21:00 AM,C,28
7/9/22 1:51:00 AM,C,28
7/9/22 2:21:00 AM,C,27.5
7/9/22 2:51:00 AM,C,28
7/9/22 3:21:00 AM,C,25.5
7/9/22 3:51:00 AM,C,25.5
7/9/22 4:21:00 AM,C,26.5
7/9/22 4:51:00 AM,C,26.5
7/9/22 5:21:00 AM,C,27
7/9/22 5:51:00 AM,C,26.5
7/9/22 6:21:00 AM,C,26.5
7/9/22 6:51:00 AM,C,27
7/9/22 7:21:00 AM,C,30
7/9/22 7:51:00 AM,C,30.5
7/9/22 8:21:00 AM,C,33
7/9/22 8:51:00 AM,C,36
7/9/22 9:21:00 AM,C,35.5
7/9/22 9:51:00 AM,C,35.5
7/9/22 10:21:00 AM,C,34.5
7/9/22 10:51:00 AM,C,34
7/9/22 11:21:00 AM,C,34.5
7/9/22 11:51:00 AM,C,35
7/9/22 12:21:00 PM,C,34
7/9/22 12:51:00 PM,C,34
7/9/22 1:21:00 PM,C,34
7/9/22 1:51:00 PM,C,33.5
7/9/22 2:21:00 PM,C,33
7/9/22 2:51:00 PM,C,32.5
7/9/22 3:21:00 PM,C,30
7/9/22 3:51:00 PM,C,31.5
7/9/22 4:21:00 PM,C,31.5
7/9/22 4:51:00 PM,C,31
7/9/22 5:21:00 PM,C,30.5
7/9/22 5:51:00 PM,C,30
7/9/22 6:21:00 PM,C,29
7/9/22 6:51:00 PM,C,29
7/9/22 7:21:00 PM,C,28.5
7/9/22 7:51:00 PM,C,28
7/9/22 8:21:00 PM,C,28
7/9/22 8:51:00 PM,C,28
7/9/22 9:21:00 PM,C,28
7/9/22 9:51:00 PM,C,27.5
7/9/22 10:21:00 PM,C,27.5
7/9/22 10:51:00 PM,C,27.5
7/9/22 11:21:00 PM,C,27.5
7/9/22 11:51:00 PM,C,27.5
7/10/22 12:21:00 AM,C,27.5
7/10/22 12:51:00 AM,C,27
7/10/22 1:21:00 AM,C,27.5
7/10/22 1:51:00 AM,C,27
7/10/22 2:21:00 AM,C,27.5
7/10/22 2:51:00 AM,C,27
7/10/22 3:21:00 AM,C,27
7/10/22 3:51:00 AM,C,27
7/10/22 4:21:00 AM,C,25
7/10/22 4:51:00 AM,C,25.5
7/10/22 5:21:00 AM,C,24
