1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5F00000055261521
Is Mission Active?  true
Mission Start:  Mon Feb 07 09:11:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1486
Total Samples:  1486
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/7/22 9:11:00 AM,C,30
2/7/22 9:41:00 AM,C,24
2/7/22 10:11:00 AM,C,24
2/7/22 10:41:00 AM,C,24.5
2/7/22 11:11:00 AM,C,25
2/7/22 11:41:00 AM,C,25.5
2/7/22 12:11:00 PM,C,25
2/7/22 12:41:00 PM,C,25.5
2/7/22 1:11:00 PM,C,25.5
2/7/22 1:41:00 PM,C,25.5
2/7/22 2:11:00 PM,C,25.5
2/7/22 2:41:00 PM,C,25.5
2/7/22 3:11:00 PM,C,25.5
2/7/22 3:41:00 PM,C,25.5
2/7/22 4:11:00 PM,C,25
2/7/22 4:41:00 PM,C,25
2/7/22 5:11:00 PM,C,24.5
2/7/22 5:41:00 PM,C,25
2/7/22 6:11:00 PM,C,25
2/7/22 6:41:00 PM,C,25
2/7/22 7:11:00 PM,C,24.5
2/7/22 7:41:00 PM,C,24.5
2/7/22 8:11:00 PM,C,24.5
2/7/22 8:41:00 PM,C,24
2/7/22 9:11:00 PM,C,24
2/7/22 9:41:00 PM,C,24
2/7/22 10:11:00 PM,C,24
2/7/22 10:41:00 PM,C,23.5
2/7/22 11:11:00 PM,C,23.5
2/7/22 11:41:00 PM,C,23.5
2/8/22 12:11:00 AM,C,23.5
2/8/22 12:41:00 AM,C,23.5
2/8/22 1:11:00 AM,C,23.5
2/8/22 1:41:00 AM,C,23.5
2/8/22 2:11:00 AM,C,24
2/8/22 2:41:00 AM,C,23.5
2/8/22 3:11:00 AM,C,23.5
2/8/22 3:41:00 AM,C,23.5
2/8/22 4:11:00 AM,C,23.5
2/8/22 4:41:00 AM,C,23
2/8/22 5:11:00 AM,C,23.5
