1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 80000000419A0121
Is Mission Active?  true
Mission Start:  Wed Jan 12 08:45:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1105
Total Samples:  49781
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/12/22 8:45:00 AM,C,28.5
1/12/22 9:15:00 AM,C,25.5
1/12/22 9:45:00 AM,C,27
1/12/22 10:15:00 AM,C,28
1/12/22 10:45:00 AM,C,30.5
1/12/22 11:15:00 AM,C,32.5
1/12/22 11:45:00 AM,C,34.5
1/12/22 12:15:00 PM,C,37
1/12/22 12:45:00 PM,C,38.5
1/12/22 1:15:00 PM,C,40.5
1/12/22 1:45:00 PM,C,42
1/12/22 2:15:00 PM,C,41
1/12/22 2:45:00 PM,C,41
1/12/22 3:15:00 PM,C,39
1/12/22 3:45:00 PM,C,33
1/12/22 4:15:00 PM,C,31.5
1/12/22 4:45:00 PM,C,33.5
1/12/22 5:15:00 PM,C,28
1/12/22 5:45:00 PM,C,26.5
1/12/22 6:15:00 PM,C,23
1/12/22 6:45:00 PM,C,23
1/12/22 7:15:00 PM,C,22.5
1/12/22 7:45:00 PM,C,22
1/12/22 8:15:00 PM,C,22
1/12/22 8:45:00 PM,C,21.5
1/12/22 9:15:00 PM,C,21.5
1/12/22 9:45:00 PM,C,21
1/12/22 10:15:00 PM,C,20.5
1/12/22 10:45:00 PM,C,20.5
1/12/22 11:15:00 PM,C,21
1/12/22 11:45:00 PM,C,21
1/13/22 12:15:00 AM,C,21
1/13/22 12:45:00 AM,C,21
1/13/22 1:15:00 AM,C,21
1/13/22 1:45:00 AM,C,21
1/13/22 2:15:00 AM,C,20
1/13/22 2:45:00 AM,C,19.5
1/13/22 3:15:00 AM,C,19
1/13/22 3:45:00 AM,C,19
1/13/22 4:15:00 AM,C,18.5
1/13/22 4:45:00 AM,C,18.5
1/13/22 5:15:00 AM,C,18.5
1/13/22 5:45:00 AM,C,18.5
1/13/22 6:15:00 AM,C,19.5
1/13/22 6:45:00 AM,C,20
1/13/22 7:15:00 AM,C,20.5
1/13/22 7:45:00 AM,C,21
1/13/22 8:15:00 AM,C,21
1/13/22 8:45:00 AM,C,21.5
1/13/22 9:15:00 AM,C,24
1/13/22 9:45:00 AM,C,27
1/13/22 10:15:00 AM,C,29.5
1/13/22 10:45:00 AM,C,29.5
1/13/22 11:15:00 AM,C,33
1/13/22 11:45:00 AM,C,34
1/13/22 12:15:00 PM,C,39
1/13/22 12:45:00 PM,C,37
1/13/22 1:15:00 PM,C,41
1/13/22 1:45:00 PM,C,39
1/13/22 2:15:00 PM,C,41.5
1/13/22 2:45:00 PM,C,38.5
1/13/22 3:15:00 PM,C,38
1/13/22 3:45:00 PM,C,37
1/13/22 4:15:00 PM,C,33.5
1/13/22 4:45:00 PM,C,35
1/13/22 5:15:00 PM,C,33
1/13/22 5:45:00 PM,C,28
1/13/22 6:15:00 PM,C,25.5
1/13/22 6:45:00 PM,C,24.5
1/13/22 7:15:00 PM,C,24
1/13/22 7:45:00 PM,C,24
1/13/22 8:15:00 PM,C,23
1/13/22 8:45:00 PM,C,22.5
1/13/22 9:15:00 PM,C,22.5
1/13/22 9:45:00 PM,C,22
1/13/22 10:15:00 PM,C,22
1/13/22 10:45:00 PM,C,21.5
1/13/22 11:15:00 PM,C,21.5
1/13/22 11:45:00 PM,C,21.5
1/14/22 12:15:00 AM,C,21.5
1/14/22 12:45:00 AM,C,22
1/14/22 1:15:00 AM,C,22
1/14/22 1:45:00 AM,C,22
1/14/22 2:15:00 AM,C,21.5
1/14/22 2:45:00 AM,C,21.5
1/14/22 3:15:00 AM,C,22
1/14/22 3:45:00 AM,C,22.5
1/14/22 4:15:00 AM,C,22
1/14/22 4:45:00 AM,C,22
1/14/22 5:15:00 AM,C,21.5
1/14/22 5:45:00 AM,C,21.5
1/14/22 6:15:00 AM,C,21
1/14/22 6:45:00 AM,C,20.5
1/14/22 7:15:00 AM,C,21
1/14/22 7:45:00 AM,C,22
1/14/22 8:15:00 AM,C,22
1/14/22 8:45:00 AM,C,23.5
1/14/22 9:15:00 AM,C,24
1/14/22 9:45:00 AM,C,27.5
1/14/22 10:15:00 AM,C,29.5
1/14/22 10:45:00 AM,C,29.5
1/14/22 11:15:00 AM,C,33.5
1/14/22 11:45:00 AM,C,35.5
1/14/22 12:15:00 PM,C,37.5
1/14/22 12:45:00 PM,C,38
1/14/22 1:15:00 PM,C,40.5
1/14/22 1:45:00 PM,C,40.5
1/14/22 2:15:00 PM,C,40.5
1/14/22 2:45:00 PM,C,40
1/14/22 3:15:00 PM,C,39.5
1/14/22 3:45:00 PM,C,40
1/14/22 4:15:00 PM,C,33.5
1/14/22 4:45:00 PM,C,36
1/14/22 5:15:00 PM,C,33
1/14/22 5:45:00 PM,C,28.5
1/14/22 6:15:00 PM,C,26.5
1/14/22 6:45:00 PM,C,26
1/14/22 7:15:00 PM,C,25
1/14/22 7:45:00 PM,C,25
1/14/22 8:15:00 PM,C,24
1/14/22 8:45:00 PM,C,23.5
1/14/22 9:15:00 PM,C,23
1/14/22 9:45:00 PM,C,23
1/14/22 10:15:00 PM,C,22.5
1/14/22 10:45:00 PM,C,22
1/14/22 11:15:00 PM,C,22
1/14/22 11:45:00 PM,C,22
1/15/22 12:15:00 AM,C,21.5
1/15/22 12:45:00 AM,C,21
1/15/22 1:15:00 AM,C,20.5
1/15/22 1:45:00 AM,C,20.5
1/15/22 2:15:00 AM,C,20
1/15/22 2:45:00 AM,C,20
1/15/22 3:15:00 AM,C,21
1/15/22 3:45:00 AM,C,21
1/15/22 4:15:00 AM,C,21
1/15/22 4:45:00 AM,C,20
1/15/22 5:15:00 AM,C,21
1/15/22 5:45:00 AM,C,20.5
1/15/22 6:15:00 AM,C,20
1/15/22 6:45:00 AM,C,19.5
1/15/22 7:15:00 AM,C,20
1/15/22 7:45:00 AM,C,21
1/15/22 8:15:00 AM,C,21
1/15/22 8:45:00 AM,C,24
1/15/22 9:15:00 AM,C,27
1/15/22 9:45:00 AM,C,30.5
1/15/22 10:15:00 AM,C,34
1/15/22 10:45:00 AM,C,37.5
1/15/22 11:15:00 AM,C,41.5
1/15/22 11:45:00 AM,C,37.5
1/15/22 12:15:00 PM,C,42.5
1/15/22 12:45:00 PM,C,38.5
1/15/22 1:15:00 PM,C,45
1/15/22 1:45:00 PM,C,44
1/15/22 2:15:00 PM,C,44
1/15/22 2:45:00 PM,C,41
1/15/22 3:15:00 PM,C,41.5
1/15/22 3:45:00 PM,C,39.5
1/15/22 4:15:00 PM,C,40
1/15/22 4:45:00 PM,C,33
1/15/22 5:15:00 PM,C,31.5
1/15/22 5:45:00 PM,C,28
1/15/22 6:15:00 PM,C,26.5
1/15/22 6:45:00 PM,C,25.5
1/15/22 7:15:00 PM,C,25
1/15/22 7:45:00 PM,C,24.5
1/15/22 8:15:00 PM,C,24.5
1/15/22 8:45:00 PM,C,25
1/15/22 9:15:00 PM,C,23.5
1/15/22 9:45:00 PM,C,23
1/15/22 10:15:00 PM,C,22.5
1/15/22 10:45:00 PM,C,22
1/15/22 11:15:00 PM,C,22.5
1/15/22 11:45:00 PM,C,22
1/16/22 12:15:00 AM,C,21
1/16/22 12:45:00 AM,C,21
1/16/22 1:15:00 AM,C,20.5
1/16/22 1:45:00 AM,C,20.5
1/16/22 2:15:00 AM,C,20
1/16/22 2:45:00 AM,C,20
1/16/22 3:15:00 AM,C,20
1/16/22 3:45:00 AM,C,20.5
1/16/22 4:15:00 AM,C,20
1/16/22 4:45:00 AM,C,20.5
1/16/22 5:15:00 AM,C,20.5
1/16/22 5:45:00 AM,C,21
1/16/22 6:15:00 AM,C,22
1/16/22 6:45:00 AM,C,22
1/16/22 7:15:00 AM,C,22.5
1/16/22 7:45:00 AM,C,23.5
