1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 830000004164B121
Is Mission Active?  true
Mission Start:  Wed Jan 12 09:10:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1105
Total Samples:  48149
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/12/22 9:10:00 AM,C,31
1/12/22 9:40:00 AM,C,26
1/12/22 10:10:00 AM,C,26.5
1/12/22 10:40:00 AM,C,27
1/12/22 11:10:00 AM,C,27
1/12/22 11:40:00 AM,C,27
1/12/22 12:10:00 PM,C,27
1/12/22 12:40:00 PM,C,27.5
1/12/22 1:10:00 PM,C,27.5
1/12/22 1:40:00 PM,C,27.5
1/12/22 2:10:00 PM,C,28
1/12/22 2:40:00 PM,C,28
1/12/22 3:10:00 PM,C,28.5
1/12/22 3:40:00 PM,C,29
1/12/22 4:10:00 PM,C,28.5
1/12/22 4:40:00 PM,C,29.5
1/12/22 5:10:00 PM,C,30
1/12/22 5:40:00 PM,C,28
1/12/22 6:10:00 PM,C,26.5
1/12/22 6:40:00 PM,C,25
1/12/22 7:10:00 PM,C,25.5
1/12/22 7:40:00 PM,C,25
1/12/22 8:10:00 PM,C,24.5
1/12/22 8:40:00 PM,C,24.5
1/12/22 9:10:00 PM,C,24
1/12/22 9:40:00 PM,C,24.5
1/12/22 10:10:00 PM,C,24
1/12/22 10:40:00 PM,C,24
1/12/22 11:10:00 PM,C,23.5
1/12/22 11:40:00 PM,C,23.5
1/13/22 12:10:00 AM,C,24
1/13/22 12:40:00 AM,C,23.5
1/13/22 1:10:00 AM,C,23.5
1/13/22 1:40:00 AM,C,23.5
1/13/22 2:10:00 AM,C,23.5
1/13/22 2:40:00 AM,C,23
1/13/22 3:10:00 AM,C,23
1/13/22 3:40:00 AM,C,22.5
1/13/22 4:10:00 AM,C,22.5
1/13/22 4:40:00 AM,C,22.5
1/13/22 5:10:00 AM,C,22.5
1/13/22 5:40:00 AM,C,22.5
1/13/22 6:10:00 AM,C,22.5
1/13/22 6:40:00 AM,C,22.5
1/13/22 7:10:00 AM,C,22.5
1/13/22 7:40:00 AM,C,23
1/13/22 8:10:00 AM,C,23.5
1/13/22 8:40:00 AM,C,23.5
1/13/22 9:10:00 AM,C,23.5
1/13/22 9:40:00 AM,C,25
1/13/22 10:10:00 AM,C,26
1/13/22 10:40:00 AM,C,26.5
1/13/22 11:10:00 AM,C,26.5
1/13/22 11:40:00 AM,C,26.5
1/13/22 12:10:00 PM,C,27
1/13/22 12:40:00 PM,C,28
1/13/22 1:10:00 PM,C,28.5
1/13/22 1:40:00 PM,C,28.5
1/13/22 2:10:00 PM,C,28.5
1/13/22 2:40:00 PM,C,29
1/13/22 3:10:00 PM,C,28.5
1/13/22 3:40:00 PM,C,29
1/13/22 4:10:00 PM,C,30
1/13/22 4:40:00 PM,C,31
1/13/22 5:10:00 PM,C,32.5
1/13/22 5:40:00 PM,C,32
1/13/22 6:10:00 PM,C,30
1/13/22 6:40:00 PM,C,28.5
1/13/22 7:10:00 PM,C,27.5
1/13/22 7:40:00 PM,C,27
1/13/22 8:10:00 PM,C,26
1/13/22 8:40:00 PM,C,25.5
1/13/22 9:10:00 PM,C,25
1/13/22 9:40:00 PM,C,25
1/13/22 10:10:00 PM,C,24.5
1/13/22 10:40:00 PM,C,24
1/13/22 11:10:00 PM,C,24
1/13/22 11:40:00 PM,C,24
1/14/22 12:10:00 AM,C,24
1/14/22 12:40:00 AM,C,24
1/14/22 1:10:00 AM,C,24
1/14/22 1:40:00 AM,C,24
1/14/22 2:10:00 AM,C,24
1/14/22 2:40:00 AM,C,24
1/14/22 3:10:00 AM,C,24
1/14/22 3:40:00 AM,C,24
1/14/22 4:10:00 AM,C,24
1/14/22 4:40:00 AM,C,24
1/14/22 5:10:00 AM,C,23
1/14/22 5:40:00 AM,C,23.5
1/14/22 6:10:00 AM,C,23.5
1/14/22 6:40:00 AM,C,23.5
1/14/22 7:10:00 AM,C,23.5
1/14/22 7:40:00 AM,C,23.5
1/14/22 8:10:00 AM,C,24
1/14/22 8:40:00 AM,C,24.5
1/14/22 9:10:00 AM,C,25
1/14/22 9:40:00 AM,C,26
1/14/22 10:10:00 AM,C,27.5
1/14/22 10:40:00 AM,C,28
1/14/22 11:10:00 AM,C,28.5
1/14/22 11:40:00 AM,C,28.5
1/14/22 12:10:00 PM,C,29
1/14/22 12:40:00 PM,C,29
1/14/22 1:10:00 PM,C,29
1/14/22 1:40:00 PM,C,29
1/14/22 2:10:00 PM,C,29
1/14/22 2:40:00 PM,C,29.5
1/14/22 3:10:00 PM,C,29.5
1/14/22 3:40:00 PM,C,30.5
1/14/22 4:10:00 PM,C,31
1/14/22 4:40:00 PM,C,31
1/14/22 5:10:00 PM,C,32
1/14/22 5:40:00 PM,C,31.5
1/14/22 6:10:00 PM,C,30
1/14/22 6:40:00 PM,C,28.5
1/14/22 7:10:00 PM,C,28
1/14/22 7:40:00 PM,C,27.5
1/14/22 8:10:00 PM,C,26.5
1/14/22 8:40:00 PM,C,26
1/14/22 9:10:00 PM,C,25.5
1/14/22 9:40:00 PM,C,25.5
1/14/22 10:10:00 PM,C,25
1/14/22 10:40:00 PM,C,25
1/14/22 11:10:00 PM,C,25
1/14/22 11:40:00 PM,C,24.5
1/15/22 12:10:00 AM,C,24.5
1/15/22 12:40:00 AM,C,24.5
1/15/22 1:10:00 AM,C,24
1/15/22 1:40:00 AM,C,24.5
1/15/22 2:10:00 AM,C,24
1/15/22 2:40:00 AM,C,24
1/15/22 3:10:00 AM,C,23.5
1/15/22 3:40:00 AM,C,23.5
1/15/22 4:10:00 AM,C,23.5
1/15/22 4:40:00 AM,C,23.5
1/15/22 5:10:00 AM,C,23.5
1/15/22 5:40:00 AM,C,23.5
1/15/22 6:10:00 AM,C,23.5
1/15/22 6:40:00 AM,C,23.5
1/15/22 7:10:00 AM,C,23
1/15/22 7:40:00 AM,C,23.5
1/15/22 8:10:00 AM,C,24
1/15/22 8:40:00 AM,C,24.5
1/15/22 9:10:00 AM,C,25.5
1/15/22 9:40:00 AM,C,26.5
1/15/22 10:10:00 AM,C,27.5
1/15/22 10:40:00 AM,C,28.5
1/15/22 11:10:00 AM,C,28.5
1/15/22 11:40:00 AM,C,29
1/15/22 12:10:00 PM,C,28.5
1/15/22 12:40:00 PM,C,29
1/15/22 1:10:00 PM,C,29.5
1/15/22 1:40:00 PM,C,30
1/15/22 2:10:00 PM,C,28.5
1/15/22 2:40:00 PM,C,30.5
1/15/22 3:10:00 PM,C,31
1/15/22 3:40:00 PM,C,31.5
1/15/22 4:10:00 PM,C,31
1/15/22 4:40:00 PM,C,32
1/15/22 5:10:00 PM,C,30.5
1/15/22 5:40:00 PM,C,29.5
1/15/22 6:10:00 PM,C,28
1/15/22 6:40:00 PM,C,27
1/15/22 7:10:00 PM,C,26.5
1/15/22 7:40:00 PM,C,26
1/15/22 8:10:00 PM,C,26
1/15/22 8:40:00 PM,C,25.5
1/15/22 9:10:00 PM,C,25.5
1/15/22 9:40:00 PM,C,25
1/15/22 10:10:00 PM,C,25
1/15/22 10:40:00 PM,C,25
1/15/22 11:10:00 PM,C,24.5
1/15/22 11:40:00 PM,C,24.5
1/16/22 12:10:00 AM,C,24.5
1/16/22 12:40:00 AM,C,24.5
1/16/22 1:10:00 AM,C,24.5
1/16/22 1:40:00 AM,C,24.5
1/16/22 2:10:00 AM,C,24
1/16/22 2:40:00 AM,C,24
1/16/22 3:10:00 AM,C,24
1/16/22 3:40:00 AM,C,23.5
