1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 900000004164BF21
Is Mission Active?  true
Mission Start:  Wed Jan 12 09:02:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1105
Total Samples:  48145
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/12/22 9:02:00 AM,C,28
1/12/22 9:32:00 AM,C,26
1/12/22 10:02:00 AM,C,26
1/12/22 10:32:00 AM,C,26.5
1/12/22 11:02:00 AM,C,26.5
1/12/22 11:32:00 AM,C,27
1/12/22 12:02:00 PM,C,27.5
1/12/22 12:32:00 PM,C,27.5
1/12/22 1:02:00 PM,C,28
1/12/22 1:32:00 PM,C,28
1/12/22 2:02:00 PM,C,28.5
1/12/22 2:32:00 PM,C,29
1/12/22 3:02:00 PM,C,29
1/12/22 3:32:00 PM,C,30
1/12/22 4:02:00 PM,C,29
1/12/22 4:32:00 PM,C,37
1/12/22 5:02:00 PM,C,32.5
1/12/22 5:32:00 PM,C,29
1/12/22 6:02:00 PM,C,27.5
1/12/22 6:32:00 PM,C,26
1/12/22 7:02:00 PM,C,25
1/12/22 7:32:00 PM,C,24.5
1/12/22 8:02:00 PM,C,24
1/12/22 8:32:00 PM,C,23.5
1/12/22 9:02:00 PM,C,24
1/12/22 9:32:00 PM,C,24
1/12/22 10:02:00 PM,C,23.5
1/12/22 10:32:00 PM,C,23.5
1/12/22 11:02:00 PM,C,23.5
1/12/22 11:32:00 PM,C,23.5
1/13/22 12:02:00 AM,C,23.5
1/13/22 12:32:00 AM,C,23.5
1/13/22 1:02:00 AM,C,23.5
1/13/22 1:32:00 AM,C,23.5
1/13/22 2:02:00 AM,C,23
1/13/22 2:32:00 AM,C,23
1/13/22 3:02:00 AM,C,23
1/13/22 3:32:00 AM,C,22.5
1/13/22 4:02:00 AM,C,22.5
1/13/22 4:32:00 AM,C,22.5
1/13/22 5:02:00 AM,C,22.5
1/13/22 5:32:00 AM,C,22.5
1/13/22 6:02:00 AM,C,22.5
1/13/22 6:32:00 AM,C,22.5
1/13/22 7:02:00 AM,C,22.5
1/13/22 7:32:00 AM,C,23
1/13/22 8:02:00 AM,C,23
1/13/22 8:32:00 AM,C,23
1/13/22 9:02:00 AM,C,23
1/13/22 9:32:00 AM,C,24.5
1/13/22 10:02:00 AM,C,25
1/13/22 10:32:00 AM,C,25.5
1/13/22 11:02:00 AM,C,26
1/13/22 11:32:00 AM,C,26
1/13/22 12:02:00 PM,C,27
1/13/22 12:32:00 PM,C,28
1/13/22 1:02:00 PM,C,28
1/13/22 1:32:00 PM,C,29
1/13/22 2:02:00 PM,C,29
1/13/22 2:32:00 PM,C,29.5
1/13/22 3:02:00 PM,C,28
1/13/22 3:32:00 PM,C,28.5
1/13/22 4:02:00 PM,C,29
1/13/22 4:32:00 PM,C,36
1/13/22 5:02:00 PM,C,31.5
1/13/22 5:32:00 PM,C,30
1/13/22 6:02:00 PM,C,29
1/13/22 6:32:00 PM,C,27.5
1/13/22 7:02:00 PM,C,27.5
1/13/22 7:32:00 PM,C,27
1/13/22 8:02:00 PM,C,26.5
1/13/22 8:32:00 PM,C,25.5
1/13/22 9:02:00 PM,C,25.5
1/13/22 9:32:00 PM,C,25
1/13/22 10:02:00 PM,C,25
1/13/22 10:32:00 PM,C,24.5
1/13/22 11:02:00 PM,C,24.5
1/13/22 11:32:00 PM,C,24
1/14/22 12:02:00 AM,C,24.5
1/14/22 12:32:00 AM,C,24.5
1/14/22 1:02:00 AM,C,24
1/14/22 1:32:00 AM,C,24
1/14/22 2:02:00 AM,C,24
1/14/22 2:32:00 AM,C,24
1/14/22 3:02:00 AM,C,24
1/14/22 3:32:00 AM,C,24
1/14/22 4:02:00 AM,C,24.5
1/14/22 4:32:00 AM,C,24
1/14/22 5:02:00 AM,C,23.5
1/14/22 5:32:00 AM,C,23.5
1/14/22 6:02:00 AM,C,23.5
1/14/22 6:32:00 AM,C,23.5
1/14/22 7:02:00 AM,C,23.5
1/14/22 7:32:00 AM,C,23.5
1/14/22 8:02:00 AM,C,24
