1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 03000000416CDD21
Is Mission Active?  true
Mission Start:  Thu Jul 08 22:57:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  10081
Total Samples:  49757
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/8/21 10:57:00 PM,C,35
7/8/21 11:27:00 PM,C,42
7/8/21 11:57:00 PM,C,30
7/9/21 12:27:00 AM,C,41.5
7/9/21 12:57:00 AM,C,43.5
7/9/21 1:27:00 AM,C,35
7/9/21 1:57:00 AM,C,47.5
7/9/21 2:27:00 AM,C,50.5
7/9/21 2:57:00 AM,C,54.5
7/9/21 3:27:00 AM,C,54.5
7/9/21 3:57:00 AM,C,53.5
7/9/21 4:27:00 AM,C,56
7/9/21 4:57:00 AM,C,53.5
7/9/21 5:27:00 AM,C,46.5
7/9/21 5:57:00 AM,C,46
7/9/21 6:27:00 AM,C,41.5
7/9/21 6:57:00 AM,C,40
7/9/21 7:27:00 AM,C,30.5
7/9/21 7:57:00 AM,C,28.5
7/9/21 8:27:00 AM,C,27.5
7/9/21 8:57:00 AM,C,27.5
7/9/21 9:27:00 AM,C,27
7/9/21 9:57:00 AM,C,27
7/9/21 10:27:00 AM,C,26.5
7/9/21 10:57:00 AM,C,26.5
7/9/21 11:27:00 AM,C,26
7/9/21 11:57:00 AM,C,26
7/9/21 12:27:00 PM,C,25.5
7/9/21 12:57:00 PM,C,24.5
7/9/21 1:27:00 PM,C,24.5
7/9/21 1:57:00 PM,C,24.5
7/9/21 2:27:00 PM,C,24.5
7/9/21 2:57:00 PM,C,25
7/9/21 3:27:00 PM,C,25
7/9/21 3:57:00 PM,C,24
7/9/21 4:27:00 PM,C,24
7/9/21 4:57:00 PM,C,24
7/9/21 5:27:00 PM,C,23.5
7/9/21 5:57:00 PM,C,23
7/9/21 6:27:00 PM,C,24
7/9/21 6:57:00 PM,C,24.5
