1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7B00000041505C21
Is Mission Active?  true
Mission Start:  Sun Jan 28 23:56:00 BOT 1900
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1345
Total Samples:  1345
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/28/00 11:56:00 PM,C,33.5
1/29/00 12:26:00 AM,C,36
1/29/00 12:56:00 AM,C,37
1/29/00 1:26:00 AM,C,42.5
1/29/00 1:56:00 AM,C,36
1/29/00 2:26:00 AM,C,40.5
1/29/00 2:56:00 AM,C,39.5
1/29/00 3:26:00 AM,C,49.5
1/29/00 3:56:00 AM,C,51.5
1/29/00 4:26:00 AM,C,38.5
1/29/00 4:56:00 AM,C,56
1/29/00 5:26:00 AM,C,56
1/29/00 5:56:00 AM,C,59
1/29/00 6:26:00 AM,C,59
1/29/00 6:56:00 AM,C,53
1/29/00 7:26:00 AM,C,53.5
1/29/00 7:56:00 AM,C,53
1/29/00 8:26:00 AM,C,51.5
1/29/00 8:56:00 AM,C,40.5
1/29/00 9:26:00 AM,C,45
1/29/00 9:56:00 AM,C,38.5
1/29/00 10:26:00 AM,C,34.5
1/29/00 10:56:00 AM,C,30.5
1/29/00 11:26:00 AM,C,29
1/29/00 11:56:00 AM,C,28
1/29/00 12:26:00 PM,C,28
1/29/00 12:56:00 PM,C,28
1/29/00 1:26:00 PM,C,28
1/29/00 1:56:00 PM,C,27.5
1/29/00 2:26:00 PM,C,28
1/29/00 2:56:00 PM,C,28
1/29/00 3:26:00 PM,C,27.5
1/29/00 3:56:00 PM,C,27.5
1/29/00 4:26:00 PM,C,27.5
1/29/00 4:56:00 PM,C,27.5
1/29/00 5:26:00 PM,C,27.5
1/29/00 5:56:00 PM,C,27.5
1/29/00 6:26:00 PM,C,27.5
1/29/00 6:56:00 PM,C,27.5
1/29/00 7:26:00 PM,C,25.5
1/29/00 7:56:00 PM,C,25.5
1/29/00 8:26:00 PM,C,26
1/29/00 8:56:00 PM,C,26
1/29/00 9:26:00 PM,C,26
1/29/00 9:56:00 PM,C,26.5
1/29/00 10:26:00 PM,C,26
1/29/00 10:56:00 PM,C,27
1/29/00 11:26:00 PM,C,28
1/29/00 11:56:00 PM,C,30
1/30/00 12:26:00 AM,C,33.5
1/30/00 12:56:00 AM,C,36.5
1/30/00 1:26:00 AM,C,39
1/30/00 1:56:00 AM,C,41.5
1/30/00 2:26:00 AM,C,43.5
1/30/00 2:56:00 AM,C,46
1/30/00 3:26:00 AM,C,45
1/30/00 3:56:00 AM,C,50.5
1/30/00 4:26:00 AM,C,48.5
1/30/00 4:56:00 AM,C,49.5
1/30/00 5:26:00 AM,C,50
1/30/00 5:56:00 AM,C,51.5
1/30/00 6:26:00 AM,C,52.5
1/30/00 6:56:00 AM,C,49.5
1/30/00 7:26:00 AM,C,52
1/30/00 7:56:00 AM,C,41
1/30/00 8:26:00 AM,C,44
1/30/00 8:56:00 AM,C,43
1/30/00 9:26:00 AM,C,39
1/30/00 9:56:00 AM,C,34
1/30/00 10:26:00 AM,C,31.5
1/30/00 10:56:00 AM,C,30
1/30/00 11:26:00 AM,C,29
1/30/00 11:56:00 AM,C,28
1/30/00 12:26:00 PM,C,28.5
1/30/00 12:56:00 PM,C,28
1/30/00 1:26:00 PM,C,28
1/30/00 1:56:00 PM,C,27
1/30/00 2:26:00 PM,C,27.5
1/30/00 2:56:00 PM,C,27.5
1/30/00 3:26:00 PM,C,27.5
1/30/00 3:56:00 PM,C,27
1/30/00 4:26:00 PM,C,27
1/30/00 4:56:00 PM,C,26.5
1/30/00 5:26:00 PM,C,27
1/30/00 5:56:00 PM,C,26
1/30/00 6:26:00 PM,C,26.5
1/30/00 6:56:00 PM,C,27
1/30/00 7:26:00 PM,C,26.5
1/30/00 7:56:00 PM,C,26.5
1/30/00 8:26:00 PM,C,25.5
1/30/00 8:56:00 PM,C,25
1/30/00 9:26:00 PM,C,24
1/30/00 9:56:00 PM,C,24.5
1/30/00 10:26:00 PM,C,24
1/30/00 10:56:00 PM,C,25
1/30/00 11:26:00 PM,C,27.5
1/30/00 11:56:00 PM,C,31
1/31/00 12:26:00 AM,C,34
1/31/00 12:56:00 AM,C,36
1/31/00 1:26:00 AM,C,40
1/31/00 1:56:00 AM,C,42.5
1/31/00 2:26:00 AM,C,44.5
1/31/00 2:56:00 AM,C,45.5
1/31/00 3:26:00 AM,C,45
1/31/00 3:56:00 AM,C,52
1/31/00 4:26:00 AM,C,32.5
1/31/00 4:56:00 AM,C,30
1/31/00 5:26:00 AM,C,38.5
1/31/00 5:56:00 AM,C,37
1/31/00 6:26:00 AM,C,33.5
1/31/00 6:56:00 AM,C,29
1/31/00 7:26:00 AM,C,28
1/31/00 7:56:00 AM,C,26
1/31/00 8:26:00 AM,C,26.5
1/31/00 8:56:00 AM,C,28
1/31/00 9:26:00 AM,C,28
1/31/00 9:56:00 AM,C,27.5
1/31/00 10:26:00 AM,C,27
1/31/00 10:56:00 AM,C,26.5
1/31/00 11:26:00 AM,C,26
1/31/00 11:56:00 AM,C,26
1/31/00 12:26:00 PM,C,25.5
1/31/00 12:56:00 PM,C,26
1/31/00 1:26:00 PM,C,26
1/31/00 1:56:00 PM,C,26
1/31/00 2:26:00 PM,C,26
1/31/00 2:56:00 PM,C,26.5
1/31/00 3:26:00 PM,C,26.5
1/31/00 3:56:00 PM,C,26.5
1/31/00 4:26:00 PM,C,26.5
1/31/00 4:56:00 PM,C,26.5
1/31/00 5:26:00 PM,C,26.5
1/31/00 5:56:00 PM,C,27
1/31/00 6:26:00 PM,C,26.5
