1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 720000005503A521
Is Mission Active?  true
Mission Start:  Tue Jun 14 06:26:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1345
Total Samples:  2689
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/14/22 6:26:00 AM,C,33
6/14/22 6:56:00 AM,C,35
6/14/22 7:26:00 AM,C,38
6/14/22 7:56:00 AM,C,42.5
6/14/22 8:26:00 AM,C,27
6/14/22 8:56:00 AM,C,41
6/14/22 9:26:00 AM,C,36.5
6/14/22 9:56:00 AM,C,46
6/14/22 10:26:00 AM,C,44
6/14/22 10:56:00 AM,C,39.5
6/14/22 11:26:00 AM,C,48.5
6/14/22 11:56:00 AM,C,44.5
6/14/22 12:26:00 PM,C,45.5
6/14/22 12:56:00 PM,C,46
6/14/22 1:26:00 PM,C,44.5
6/14/22 1:56:00 PM,C,44
6/14/22 2:26:00 PM,C,41.5
6/14/22 2:56:00 PM,C,38.5
6/14/22 3:26:00 PM,C,37.5
6/14/22 3:56:00 PM,C,37.5
6/14/22 4:26:00 PM,C,34.5
6/14/22 4:56:00 PM,C,32
6/14/22 5:26:00 PM,C,30.5
6/14/22 5:56:00 PM,C,29.5
6/14/22 6:26:00 PM,C,29
6/14/22 6:56:00 PM,C,28.5
6/14/22 7:26:00 PM,C,28.5
6/14/22 7:56:00 PM,C,28.5
6/14/22 8:26:00 PM,C,28
6/14/22 8:56:00 PM,C,28.5
6/14/22 9:26:00 PM,C,28
6/14/22 9:56:00 PM,C,28
6/14/22 10:26:00 PM,C,28
6/14/22 10:56:00 PM,C,28
6/14/22 11:26:00 PM,C,28
6/14/22 11:56:00 PM,C,27.5
6/15/22 12:26:00 AM,C,27.5
6/15/22 12:56:00 AM,C,27.5
6/15/22 1:26:00 AM,C,27.5
6/15/22 1:56:00 AM,C,26
6/15/22 2:26:00 AM,C,26
6/15/22 2:56:00 AM,C,26.5
6/15/22 3:26:00 AM,C,26.5
6/15/22 3:56:00 AM,C,26.5
6/15/22 4:26:00 AM,C,26.5
6/15/22 4:56:00 AM,C,26.5
6/15/22 5:26:00 AM,C,27
6/15/22 5:56:00 AM,C,28.5
6/15/22 6:26:00 AM,C,31
6/15/22 6:56:00 AM,C,32.5
6/15/22 7:26:00 AM,C,37
6/15/22 7:56:00 AM,C,38.5
6/15/22 8:26:00 AM,C,40.5
6/15/22 8:56:00 AM,C,42
6/15/22 9:26:00 AM,C,42
6/15/22 9:56:00 AM,C,44.5
6/15/22 10:26:00 AM,C,47.5
6/15/22 10:56:00 AM,C,45.5
6/15/22 11:26:00 AM,C,46.5
6/15/22 11:56:00 AM,C,47
6/15/22 12:26:00 PM,C,47
6/15/22 12:56:00 PM,C,48
6/15/22 1:26:00 PM,C,46.5
6/15/22 1:56:00 PM,C,45
6/15/22 2:26:00 PM,C,39
6/15/22 2:56:00 PM,C,42
6/15/22 3:26:00 PM,C,38
6/15/22 3:56:00 PM,C,35
6/15/22 4:26:00 PM,C,33
6/15/22 4:56:00 PM,C,31.5
6/15/22 5:26:00 PM,C,30
6/15/22 5:56:00 PM,C,29.5
6/15/22 6:26:00 PM,C,28.5
6/15/22 6:56:00 PM,C,29
6/15/22 7:26:00 PM,C,28.5
6/15/22 7:56:00 PM,C,28.5
6/15/22 8:26:00 PM,C,27.5
6/15/22 8:56:00 PM,C,28
6/15/22 9:26:00 PM,C,27.5
6/15/22 9:56:00 PM,C,27.5
6/15/22 10:26:00 PM,C,27.5
6/15/22 10:56:00 PM,C,27.5
6/15/22 11:26:00 PM,C,27
6/15/22 11:56:00 PM,C,27
6/16/22 12:26:00 AM,C,27
6/16/22 12:56:00 AM,C,27
6/16/22 1:26:00 AM,C,27
6/16/22 1:56:00 AM,C,27
6/16/22 2:26:00 AM,C,27
6/16/22 2:56:00 AM,C,25
6/16/22 3:26:00 AM,C,25.5
6/16/22 3:56:00 AM,C,24
6/16/22 4:26:00 AM,C,24.5
6/16/22 4:56:00 AM,C,24
6/16/22 5:26:00 AM,C,25
6/16/22 5:56:00 AM,C,28
6/16/22 6:26:00 AM,C,31.5
6/16/22 6:56:00 AM,C,32
6/16/22 7:26:00 AM,C,37
6/16/22 7:56:00 AM,C,40
6/16/22 8:26:00 AM,C,41
6/16/22 8:56:00 AM,C,42.5
6/16/22 9:26:00 AM,C,43.5
6/16/22 9:56:00 AM,C,45
6/16/22 10:26:00 AM,C,50
6/16/22 10:56:00 AM,C,32.5
6/16/22 11:26:00 AM,C,31
6/16/22 11:56:00 AM,C,35
6/16/22 12:26:00 PM,C,38.5
6/16/22 12:56:00 PM,C,31
6/16/22 1:26:00 PM,C,29.5
6/16/22 1:56:00 PM,C,29
6/16/22 2:26:00 PM,C,26.5
6/16/22 2:56:00 PM,C,26.5
6/16/22 3:26:00 PM,C,27.5
6/16/22 3:56:00 PM,C,28
6/16/22 4:26:00 PM,C,28
6/16/22 4:56:00 PM,C,27.5
6/16/22 5:26:00 PM,C,27
6/16/22 5:56:00 PM,C,27
6/16/22 6:26:00 PM,C,26.5
6/16/22 6:56:00 PM,C,26.5
6/16/22 7:26:00 PM,C,26.5
6/16/22 7:56:00 PM,C,26.5
6/16/22 8:26:00 PM,C,27
6/16/22 8:56:00 PM,C,26.5
6/16/22 9:26:00 PM,C,27
6/16/22 9:56:00 PM,C,27
6/16/22 10:26:00 PM,C,27
6/16/22 10:56:00 PM,C,27
6/16/22 11:26:00 PM,C,27
6/16/22 11:56:00 PM,C,27
6/17/22 12:26:00 AM,C,27
6/17/22 12:56:00 AM,C,27
6/17/22 1:26:00 AM,C,27
6/17/22 1:56:00 AM,C,27
6/17/22 2:26:00 AM,C,26.5
6/17/22 2:56:00 AM,C,26.5
6/17/22 3:26:00 AM,C,26.5
6/17/22 3:56:00 AM,C,26.5
6/17/22 4:26:00 AM,C,26.5
6/17/22 4:56:00 AM,C,27
6/17/22 5:26:00 AM,C,28
6/17/22 5:56:00 AM,C,29.5
6/17/22 6:26:00 AM,C,31.5
6/17/22 6:56:00 AM,C,33.5
6/17/22 7:26:00 AM,C,36.5
6/17/22 7:56:00 AM,C,39
6/17/22 8:26:00 AM,C,42
6/17/22 8:56:00 AM,C,43.5
6/17/22 9:26:00 AM,C,45
6/17/22 9:56:00 AM,C,47.5
6/17/22 10:26:00 AM,C,43
6/17/22 10:56:00 AM,C,45
6/17/22 11:26:00 AM,C,46
6/17/22 11:56:00 AM,C,48
6/17/22 12:26:00 PM,C,46.5
6/17/22 12:56:00 PM,C,48.5
6/17/22 1:26:00 PM,C,47
6/17/22 1:56:00 PM,C,46
6/17/22 2:26:00 PM,C,41.5
6/17/22 2:56:00 PM,C,38
6/17/22 3:26:00 PM,C,37.5
6/17/22 3:56:00 PM,C,35
6/17/22 4:26:00 PM,C,33
6/17/22 4:56:00 PM,C,31.5
6/17/22 5:26:00 PM,C,30.5
6/17/22 5:56:00 PM,C,29.5
6/17/22 6:26:00 PM,C,29
6/17/22 6:56:00 PM,C,28
6/17/22 7:26:00 PM,C,28.5
6/17/22 7:56:00 PM,C,28
6/17/22 8:26:00 PM,C,28
6/17/22 8:56:00 PM,C,27.5
6/17/22 9:26:00 PM,C,27.5
6/17/22 9:56:00 PM,C,27.5
6/17/22 10:26:00 PM,C,27.5
6/17/22 10:56:00 PM,C,27.5
6/17/22 11:26:00 PM,C,27
6/17/22 11:56:00 PM,C,27.5
6/18/22 12:26:00 AM,C,27.5
6/18/22 12:56:00 AM,C,27.5
6/18/22 1:26:00 AM,C,27
6/18/22 1:56:00 AM,C,27
6/18/22 2:26:00 AM,C,27
6/18/22 2:56:00 AM,C,27
6/18/22 3:26:00 AM,C,27
6/18/22 3:56:00 AM,C,26.5
6/18/22 4:26:00 AM,C,26.5
6/18/22 4:56:00 AM,C,27
6/18/22 5:26:00 AM,C,28
6/18/22 5:56:00 AM,C,30
6/18/22 6:26:00 AM,C,32.5
6/18/22 6:56:00 AM,C,33
6/18/22 7:26:00 AM,C,37
6/18/22 7:56:00 AM,C,39.5
6/18/22 8:26:00 AM,C,41.5
6/18/22 8:56:00 AM,C,43.5
6/18/22 9:26:00 AM,C,45
6/18/22 9:56:00 AM,C,47
6/18/22 10:26:00 AM,C,49
6/18/22 10:56:00 AM,C,50
6/18/22 11:26:00 AM,C,47.5
6/18/22 11:56:00 AM,C,50
6/18/22 12:26:00 PM,C,47.5
6/18/22 12:56:00 PM,C,46.5
6/18/22 1:26:00 PM,C,42
6/18/22 1:56:00 PM,C,38
6/18/22 2:26:00 PM,C,41.5
6/18/22 2:56:00 PM,C,36
6/18/22 3:26:00 PM,C,37.5
6/18/22 3:56:00 PM,C,34
6/18/22 4:26:00 PM,C,33
6/18/22 4:56:00 PM,C,31
6/18/22 5:26:00 PM,C,30
6/18/22 5:56:00 PM,C,29
6/18/22 6:26:00 PM,C,29
6/18/22 6:56:00 PM,C,28.5
6/18/22 7:26:00 PM,C,28
6/18/22 7:56:00 PM,C,28
6/18/22 8:26:00 PM,C,27.5
6/18/22 8:56:00 PM,C,27.5
6/18/22 9:26:00 PM,C,27.5
6/18/22 9:56:00 PM,C,27.5
6/18/22 10:26:00 PM,C,27
6/18/22 10:56:00 PM,C,27
6/18/22 11:26:00 PM,C,27.5
6/18/22 11:56:00 PM,C,27
6/19/22 12:26:00 AM,C,27
6/19/22 12:56:00 AM,C,27
6/19/22 1:26:00 AM,C,27
6/19/22 1:56:00 AM,C,27
6/19/22 2:26:00 AM,C,27
6/19/22 2:56:00 AM,C,26.5
6/19/22 3:26:00 AM,C,27
6/19/22 3:56:00 AM,C,27
6/19/22 4:26:00 AM,C,26.5
6/19/22 4:56:00 AM,C,27
6/19/22 5:26:00 AM,C,28.5
6/19/22 5:56:00 AM,C,31.5
6/19/22 6:26:00 AM,C,31
6/19/22 6:56:00 AM,C,31.5
6/19/22 7:26:00 AM,C,32
6/19/22 7:56:00 AM,C,37
6/19/22 8:26:00 AM,C,37.5
6/19/22 8:56:00 AM,C,42
6/19/22 9:26:00 AM,C,39.5
6/19/22 9:56:00 AM,C,43.5
6/19/22 10:26:00 AM,C,43.5
6/19/22 10:56:00 AM,C,40.5
6/19/22 11:26:00 AM,C,43
6/19/22 11:56:00 AM,C,48.5
6/19/22 12:26:00 PM,C,38.5
6/19/22 12:56:00 PM,C,41
6/19/22 1:26:00 PM,C,39
6/19/22 1:56:00 PM,C,41
6/19/22 2:26:00 PM,C,43.5
6/19/22 2:56:00 PM,C,37.5
6/19/22 3:26:00 PM,C,33.5
6/19/22 3:56:00 PM,C,31.5
6/19/22 4:26:00 PM,C,30.5
6/19/22 4:56:00 PM,C,29.5
6/19/22 5:26:00 PM,C,28.5
6/19/22 5:56:00 PM,C,28
6/19/22 6:26:00 PM,C,28
6/19/22 6:56:00 PM,C,28
6/19/22 7:26:00 PM,C,27.5
6/19/22 7:56:00 PM,C,27
6/19/22 8:26:00 PM,C,27
6/19/22 8:56:00 PM,C,27
6/19/22 9:26:00 PM,C,27
6/19/22 9:56:00 PM,C,27.5
6/19/22 10:26:00 PM,C,27.5
6/19/22 10:56:00 PM,C,27
6/19/22 11:26:00 PM,C,24.5
6/19/22 11:56:00 PM,C,25
6/20/22 12:26:00 AM,C,23
6/20/22 12:56:00 AM,C,24
6/20/22 1:26:00 AM,C,25.5
6/20/22 1:56:00 AM,C,25
6/20/22 2:26:00 AM,C,24.5
6/20/22 2:56:00 AM,C,23
6/20/22 3:26:00 AM,C,25.5
6/20/22 3:56:00 AM,C,25.5
6/20/22 4:26:00 AM,C,25.5
6/20/22 4:56:00 AM,C,24.5
6/20/22 5:26:00 AM,C,26
6/20/22 5:56:00 AM,C,27
6/20/22 6:26:00 AM,C,31
6/20/22 6:56:00 AM,C,32
6/20/22 7:26:00 AM,C,31
6/20/22 7:56:00 AM,C,37.5
6/20/22 8:26:00 AM,C,39.5
6/20/22 8:56:00 AM,C,42.5
6/20/22 9:26:00 AM,C,43.5
6/20/22 9:56:00 AM,C,44.5
6/20/22 10:26:00 AM,C,46.5
6/20/22 10:56:00 AM,C,50.5
6/20/22 11:26:00 AM,C,40
6/20/22 11:56:00 AM,C,43
6/20/22 12:26:00 PM,C,33.5
6/20/22 12:56:00 PM,C,39
6/20/22 1:26:00 PM,C,42
6/20/22 1:56:00 PM,C,39.5
6/20/22 2:26:00 PM,C,26
6/20/22 2:56:00 PM,C,28
6/20/22 3:26:00 PM,C,34.5
6/20/22 3:56:00 PM,C,30.5
6/20/22 4:26:00 PM,C,30
6/20/22 4:56:00 PM,C,29
6/20/22 5:26:00 PM,C,25
6/20/22 5:56:00 PM,C,24.5
6/20/22 6:26:00 PM,C,25
6/20/22 6:56:00 PM,C,25
6/20/22 7:26:00 PM,C,25.5
6/20/22 7:56:00 PM,C,25.5
6/20/22 8:26:00 PM,C,26
6/20/22 8:56:00 PM,C,26
6/20/22 9:26:00 PM,C,26.5
6/20/22 9:56:00 PM,C,26.5
6/20/22 10:26:00 PM,C,27
6/20/22 10:56:00 PM,C,27
6/20/22 11:26:00 PM,C,27
6/20/22 11:56:00 PM,C,27
6/21/22 12:26:00 AM,C,27
6/21/22 12:56:00 AM,C,27
6/21/22 1:26:00 AM,C,27
6/21/22 1:56:00 AM,C,26.5
6/21/22 2:26:00 AM,C,26.5
6/21/22 2:56:00 AM,C,27
6/21/22 3:26:00 AM,C,26.5
6/21/22 3:56:00 AM,C,26.5
6/21/22 4:26:00 AM,C,25.5
6/21/22 4:56:00 AM,C,26.5
6/21/22 5:26:00 AM,C,26
6/21/22 5:56:00 AM,C,26.5
6/21/22 6:26:00 AM,C,28.5
6/21/22 6:56:00 AM,C,30
6/21/22 7:26:00 AM,C,35
6/21/22 7:56:00 AM,C,37.5
6/21/22 8:26:00 AM,C,39.5
6/21/22 8:56:00 AM,C,42.5
6/21/22 9:26:00 AM,C,44.5
6/21/22 9:56:00 AM,C,46.5
6/21/22 10:26:00 AM,C,47
6/21/22 10:56:00 AM,C,48.5
6/21/22 11:26:00 AM,C,49.5
6/21/22 11:56:00 AM,C,50.5
6/21/22 12:26:00 PM,C,52
6/21/22 12:56:00 PM,C,47.5
6/21/22 1:26:00 PM,C,47.5
6/21/22 1:56:00 PM,C,42.5
6/21/22 2:26:00 PM,C,44
6/21/22 2:56:00 PM,C,42
6/21/22 3:26:00 PM,C,40
6/21/22 3:56:00 PM,C,37.5
6/21/22 4:26:00 PM,C,35
6/21/22 4:56:00 PM,C,32
6/21/22 5:26:00 PM,C,30.5
6/21/22 5:56:00 PM,C,29.5
6/21/22 6:26:00 PM,C,29
6/21/22 6:56:00 PM,C,28.5
6/21/22 7:26:00 PM,C,28.5
6/21/22 7:56:00 PM,C,28.5
6/21/22 8:26:00 PM,C,28.5
6/21/22 8:56:00 PM,C,28
6/21/22 9:26:00 PM,C,28
6/21/22 9:56:00 PM,C,26.5
6/21/22 10:26:00 PM,C,27
6/21/22 10:56:00 PM,C,27
6/21/22 11:26:00 PM,C,27
6/21/22 11:56:00 PM,C,27
6/22/22 12:26:00 AM,C,27
6/22/22 12:56:00 AM,C,27
6/22/22 1:26:00 AM,C,27
6/22/22 1:56:00 AM,C,27
6/22/22 2:26:00 AM,C,27
6/22/22 2:56:00 AM,C,27
6/22/22 3:26:00 AM,C,26.5
6/22/22 3:56:00 AM,C,27
6/22/22 4:26:00 AM,C,27
6/22/22 4:56:00 AM,C,27.5
6/22/22 5:26:00 AM,C,28
6/22/22 5:56:00 AM,C,28.5
6/22/22 6:26:00 AM,C,27
6/22/22 6:56:00 AM,C,30
6/22/22 7:26:00 AM,C,30
6/22/22 7:56:00 AM,C,32.5
6/22/22 8:26:00 AM,C,35.5
6/22/22 8:56:00 AM,C,40.5
6/22/22 9:26:00 AM,C,42
6/22/22 9:56:00 AM,C,44
6/22/22 10:26:00 AM,C,45.5
6/22/22 10:56:00 AM,C,45.5
6/22/22 11:26:00 AM,C,47
6/22/22 11:56:00 AM,C,48.5
6/22/22 12:26:00 PM,C,48
6/22/22 12:56:00 PM,C,47.5
6/22/22 1:26:00 PM,C,47
6/22/22 1:56:00 PM,C,45
6/22/22 2:26:00 PM,C,44
6/22/22 2:56:00 PM,C,38
6/22/22 3:26:00 PM,C,36.5
6/22/22 3:56:00 PM,C,29
6/22/22 4:26:00 PM,C,28
6/22/22 4:56:00 PM,C,27
6/22/22 5:26:00 PM,C,28.5
6/22/22 5:56:00 PM,C,28.5
6/22/22 6:26:00 PM,C,28.5
6/22/22 6:56:00 PM,C,28
6/22/22 7:26:00 PM,C,28
6/22/22 7:56:00 PM,C,28
6/22/22 8:26:00 PM,C,27.5
6/22/22 8:56:00 PM,C,27.5
6/22/22 9:26:00 PM,C,27.5
6/22/22 9:56:00 PM,C,27.5
6/22/22 10:26:00 PM,C,27.5
6/22/22 10:56:00 PM,C,27
6/22/22 11:26:00 PM,C,27.5
6/22/22 11:56:00 PM,C,27.5
6/23/22 12:26:00 AM,C,27.5
6/23/22 12:56:00 AM,C,27
6/23/22 1:26:00 AM,C,27
6/23/22 1:56:00 AM,C,27
6/23/22 2:26:00 AM,C,27
6/23/22 2:56:00 AM,C,27
6/23/22 3:26:00 AM,C,27
6/23/22 3:56:00 AM,C,27
6/23/22 4:26:00 AM,C,27
6/23/22 4:56:00 AM,C,27.5
6/23/22 5:26:00 AM,C,27.5
6/23/22 5:56:00 AM,C,29
6/23/22 6:26:00 AM,C,32
6/23/22 6:56:00 AM,C,26
6/23/22 7:26:00 AM,C,28.5
6/23/22 7:56:00 AM,C,35
6/23/22 8:26:00 AM,C,39
6/23/22 8:56:00 AM,C,36.5
6/23/22 9:26:00 AM,C,41
6/23/22 9:56:00 AM,C,39
6/23/22 10:26:00 AM,C,42.5
6/23/22 10:56:00 AM,C,43
6/23/22 11:26:00 AM,C,41
6/23/22 11:56:00 AM,C,44
6/23/22 12:26:00 PM,C,41.5
6/23/22 12:56:00 PM,C,44.5
6/23/22 1:26:00 PM,C,42
6/23/22 1:56:00 PM,C,42
