1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C10000005512B621
Is Mission Active?  true
Mission Start:  Fri Jul 08 09:15:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1346
Total Samples:  2690
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/8/22 9:15:00 AM,C,34
7/8/22 9:45:00 AM,C,32.5
7/8/22 10:15:00 AM,C,31.5
7/8/22 10:45:00 AM,C,34.5
7/8/22 11:15:00 AM,C,39.5
7/8/22 11:45:00 AM,C,45
7/8/22 12:15:00 PM,C,37.5
7/8/22 12:45:00 PM,C,47.5
7/8/22 1:15:00 PM,C,48.5
7/8/22 1:45:00 PM,C,57.5
7/8/22 2:15:00 PM,C,59
7/8/22 2:45:00 PM,C,51
7/8/22 3:15:00 PM,C,56.5
7/8/22 3:45:00 PM,C,61.5
7/8/22 4:15:00 PM,C,61.5
7/8/22 4:45:00 PM,C,42
7/8/22 5:15:00 PM,C,48
7/8/22 5:45:00 PM,C,46
7/8/22 6:15:00 PM,C,37.5
7/8/22 6:45:00 PM,C,33.5
7/8/22 7:15:00 PM,C,30
7/8/22 7:45:00 PM,C,29
7/8/22 8:15:00 PM,C,28.5
7/8/22 8:45:00 PM,C,28
7/8/22 9:15:00 PM,C,28
7/8/22 9:45:00 PM,C,27.5
7/8/22 10:15:00 PM,C,28
7/8/22 10:45:00 PM,C,28
7/8/22 11:15:00 PM,C,27.5
7/8/22 11:45:00 PM,C,27.5
7/9/22 12:15:00 AM,C,27.5
7/9/22 12:45:00 AM,C,27.5
7/9/22 1:15:00 AM,C,27
7/9/22 1:45:00 AM,C,27
7/9/22 2:15:00 AM,C,27.5
7/9/22 2:45:00 AM,C,27
7/9/22 3:15:00 AM,C,26
7/9/22 3:45:00 AM,C,26
7/9/22 4:15:00 AM,C,26.5
7/9/22 4:45:00 AM,C,26.5
7/9/22 5:15:00 AM,C,26.5
7/9/22 5:45:00 AM,C,27
7/9/22 6:15:00 AM,C,26.5
7/9/22 6:45:00 AM,C,27
7/9/22 7:15:00 AM,C,28
7/9/22 7:45:00 AM,C,29.5
7/9/22 8:15:00 AM,C,30.5
7/9/22 8:45:00 AM,C,31.5
7/9/22 9:15:00 AM,C,32.5
7/9/22 9:45:00 AM,C,35
7/9/22 10:15:00 AM,C,36.5
7/9/22 10:45:00 AM,C,38.5
7/9/22 11:15:00 AM,C,41
7/9/22 11:45:00 AM,C,44.5
7/9/22 12:15:00 PM,C,45.5
7/9/22 12:45:00 PM,C,47.5
7/9/22 1:15:00 PM,C,50
7/9/22 1:45:00 PM,C,50.5
7/9/22 2:15:00 PM,C,53.5
7/9/22 2:45:00 PM,C,50
7/9/22 3:15:00 PM,C,53
7/9/22 3:45:00 PM,C,47
7/9/22 4:15:00 PM,C,50
7/9/22 4:45:00 PM,C,48.5
7/9/22 5:15:00 PM,C,43
7/9/22 5:45:00 PM,C,37
7/9/22 6:15:00 PM,C,33
7/9/22 6:45:00 PM,C,31
7/9/22 7:15:00 PM,C,29.5
7/9/22 7:45:00 PM,C,28.5
7/9/22 8:15:00 PM,C,28.5
7/9/22 8:45:00 PM,C,28.5
7/9/22 9:15:00 PM,C,28
7/9/22 9:45:00 PM,C,27.5
7/9/22 10:15:00 PM,C,27.5
7/9/22 10:45:00 PM,C,27
7/9/22 11:15:00 PM,C,27
7/9/22 11:45:00 PM,C,26.5
7/10/22 12:15:00 AM,C,26.5
7/10/22 12:45:00 AM,C,26.5
7/10/22 1:15:00 AM,C,26.5
7/10/22 1:45:00 AM,C,25.5
7/10/22 2:15:00 AM,C,26.5
7/10/22 2:45:00 AM,C,26.5
7/10/22 3:15:00 AM,C,26.5
7/10/22 3:45:00 AM,C,26
7/10/22 4:15:00 AM,C,25.5
7/10/22 4:45:00 AM,C,25
7/10/22 5:15:00 AM,C,24
7/10/22 5:45:00 AM,C,24.5
7/10/22 6:15:00 AM,C,24.5
7/10/22 6:45:00 AM,C,25.5
7/10/22 7:15:00 AM,C,26.5
7/10/22 7:45:00 AM,C,27.5
7/10/22 8:15:00 AM,C,30
7/10/22 8:45:00 AM,C,31.5
7/10/22 9:15:00 AM,C,32
7/10/22 9:45:00 AM,C,34.5
7/10/22 10:15:00 AM,C,36
7/10/22 10:45:00 AM,C,38
7/10/22 11:15:00 AM,C,39.5
7/10/22 11:45:00 AM,C,44.5
7/10/22 12:15:00 PM,C,31.5
7/10/22 12:45:00 PM,C,30.5
7/10/22 1:15:00 PM,C,34.5
7/10/22 1:45:00 PM,C,37.5
7/10/22 2:15:00 PM,C,35.5
7/10/22 2:45:00 PM,C,29.5
7/10/22 3:15:00 PM,C,31.5
7/10/22 3:45:00 PM,C,26.5
7/10/22 4:15:00 PM,C,26
7/10/22 4:45:00 PM,C,27.5
7/10/22 5:15:00 PM,C,27.5
7/10/22 5:45:00 PM,C,27.5
7/10/22 6:15:00 PM,C,27
7/10/22 6:45:00 PM,C,26.5
7/10/22 7:15:00 PM,C,26
7/10/22 7:45:00 PM,C,26
7/10/22 8:15:00 PM,C,25.5
7/10/22 8:45:00 PM,C,25.5
7/10/22 9:15:00 PM,C,26
7/10/22 9:45:00 PM,C,26
7/10/22 10:15:00 PM,C,26
7/10/22 10:45:00 PM,C,26
7/10/22 11:15:00 PM,C,26.5
7/10/22 11:45:00 PM,C,26.5
7/11/22 12:15:00 AM,C,26.5
7/11/22 12:45:00 AM,C,26
7/11/22 1:15:00 AM,C,26.5
7/11/22 1:45:00 AM,C,26.5
7/11/22 2:15:00 AM,C,26.5
7/11/22 2:45:00 AM,C,26.5
7/11/22 3:15:00 AM,C,26.5
7/11/22 3:45:00 AM,C,26
7/11/22 4:15:00 AM,C,26
7/11/22 4:45:00 AM,C,26
7/11/22 5:15:00 AM,C,26
7/11/22 5:45:00 AM,C,26
7/11/22 6:15:00 AM,C,26.5
7/11/22 6:45:00 AM,C,27
7/11/22 7:15:00 AM,C,27.5
7/11/22 7:45:00 AM,C,28.5
7/11/22 8:15:00 AM,C,29
7/11/22 8:45:00 AM,C,30
7/11/22 9:15:00 AM,C,31.5
7/11/22 9:45:00 AM,C,33
7/11/22 10:15:00 AM,C,36
7/11/22 10:45:00 AM,C,38
7/11/22 11:15:00 AM,C,41
7/11/22 11:45:00 AM,C,40
7/11/22 12:15:00 PM,C,42
7/11/22 12:45:00 PM,C,47
7/11/22 1:15:00 PM,C,48
7/11/22 1:45:00 PM,C,49.5
7/11/22 2:15:00 PM,C,53
7/11/22 2:45:00 PM,C,53
7/11/22 3:15:00 PM,C,54
7/11/22 3:45:00 PM,C,48
7/11/22 4:15:00 PM,C,40.5
7/11/22 4:45:00 PM,C,43
7/11/22 5:15:00 PM,C,40.5
7/11/22 5:45:00 PM,C,36.5
7/11/22 6:15:00 PM,C,32.5
7/11/22 6:45:00 PM,C,30.5
7/11/22 7:15:00 PM,C,28.5
7/11/22 7:45:00 PM,C,28
7/11/22 8:15:00 PM,C,27.5
7/11/22 8:45:00 PM,C,27.5
7/11/22 9:15:00 PM,C,27.5
7/11/22 9:45:00 PM,C,27
7/11/22 10:15:00 PM,C,27
7/11/22 10:45:00 PM,C,26.5
7/11/22 11:15:00 PM,C,27
7/11/22 11:45:00 PM,C,27
7/12/22 12:15:00 AM,C,27
7/12/22 12:45:00 AM,C,26.5
7/12/22 1:15:00 AM,C,26.5
7/12/22 1:45:00 AM,C,27
7/12/22 2:15:00 AM,C,26.5
7/12/22 2:45:00 AM,C,26.5
7/12/22 3:15:00 AM,C,26.5
7/12/22 3:45:00 AM,C,26.5
7/12/22 4:15:00 AM,C,26.5
7/12/22 4:45:00 AM,C,26
7/12/22 5:15:00 AM,C,26
7/12/22 5:45:00 AM,C,25.5
7/12/22 6:15:00 AM,C,26
7/12/22 6:45:00 AM,C,27
7/12/22 7:15:00 AM,C,28
7/12/22 7:45:00 AM,C,29
7/12/22 8:15:00 AM,C,30
7/12/22 8:45:00 AM,C,31
7/12/22 9:15:00 AM,C,32
7/12/22 9:45:00 AM,C,33.5
7/12/22 10:15:00 AM,C,36
7/12/22 10:45:00 AM,C,37.5
7/12/22 11:15:00 AM,C,41
7/12/22 11:45:00 AM,C,44.5
7/12/22 12:15:00 PM,C,46.5
7/12/22 12:45:00 PM,C,46.5
7/12/22 1:15:00 PM,C,51.5
7/12/22 1:45:00 PM,C,48
7/12/22 2:15:00 PM,C,48.5
7/12/22 2:45:00 PM,C,45.5
7/12/22 3:15:00 PM,C,45
7/12/22 3:45:00 PM,C,46
7/12/22 4:15:00 PM,C,39
7/12/22 4:45:00 PM,C,43
7/12/22 5:15:00 PM,C,36
7/12/22 5:45:00 PM,C,36
7/12/22 6:15:00 PM,C,32.5
7/12/22 6:45:00 PM,C,30
7/12/22 7:15:00 PM,C,28.5
7/12/22 7:45:00 PM,C,28
7/12/22 8:15:00 PM,C,28
7/12/22 8:45:00 PM,C,27.5
7/12/22 9:15:00 PM,C,27
7/12/22 9:45:00 PM,C,27
7/12/22 10:15:00 PM,C,26.5
7/12/22 10:45:00 PM,C,26.5
7/12/22 11:15:00 PM,C,26.5
7/12/22 11:45:00 PM,C,26.5
7/13/22 12:15:00 AM,C,26.5
7/13/22 12:45:00 AM,C,26.5
7/13/22 1:15:00 AM,C,26.5
7/13/22 1:45:00 AM,C,26.5
7/13/22 2:15:00 AM,C,26.5
7/13/22 2:45:00 AM,C,26.5
7/13/22 3:15:00 AM,C,26.5
7/13/22 3:45:00 AM,C,26.5
7/13/22 4:15:00 AM,C,26
7/13/22 4:45:00 AM,C,26.5
7/13/22 5:15:00 AM,C,26.5
7/13/22 5:45:00 AM,C,26.5
7/13/22 6:15:00 AM,C,26
7/13/22 6:45:00 AM,C,28
7/13/22 7:15:00 AM,C,29.5
7/13/22 7:45:00 AM,C,29.5
7/13/22 8:15:00 AM,C,30
7/13/22 8:45:00 AM,C,30.5
7/13/22 9:15:00 AM,C,32.5
7/13/22 9:45:00 AM,C,33.5
7/13/22 10:15:00 AM,C,36.5
7/13/22 10:45:00 AM,C,38.5
7/13/22 11:15:00 AM,C,40
7/13/22 11:45:00 AM,C,40
7/13/22 12:15:00 PM,C,40
7/13/22 12:45:00 PM,C,46.5
7/13/22 1:15:00 PM,C,52
7/13/22 1:45:00 PM,C,44
7/13/22 2:15:00 PM,C,45.5
7/13/22 2:45:00 PM,C,51
7/13/22 3:15:00 PM,C,40.5
7/13/22 3:45:00 PM,C,51
7/13/22 4:15:00 PM,C,48.5
7/13/22 4:45:00 PM,C,38.5
7/13/22 5:15:00 PM,C,34.5
7/13/22 5:45:00 PM,C,31.5
7/13/22 6:15:00 PM,C,30
7/13/22 6:45:00 PM,C,28.5
7/13/22 7:15:00 PM,C,27.5
7/13/22 7:45:00 PM,C,27.5
7/13/22 8:15:00 PM,C,27.5
7/13/22 8:45:00 PM,C,27
7/13/22 9:15:00 PM,C,26.5
7/13/22 9:45:00 PM,C,26
7/13/22 10:15:00 PM,C,26
7/13/22 10:45:00 PM,C,26
7/13/22 11:15:00 PM,C,26.5
7/13/22 11:45:00 PM,C,26.5
7/14/22 12:15:00 AM,C,26.5
7/14/22 12:45:00 AM,C,24.5
7/14/22 1:15:00 AM,C,24
7/14/22 1:45:00 AM,C,22.5
7/14/22 2:15:00 AM,C,23.5
7/14/22 2:45:00 AM,C,24
7/14/22 3:15:00 AM,C,24.5
7/14/22 3:45:00 AM,C,24
7/14/22 4:15:00 AM,C,23
7/14/22 4:45:00 AM,C,24
7/14/22 5:15:00 AM,C,24.5
7/14/22 5:45:00 AM,C,24.5
7/14/22 6:15:00 AM,C,24.5
7/14/22 6:45:00 AM,C,25
7/14/22 7:15:00 AM,C,26
7/14/22 7:45:00 AM,C,27
7/14/22 8:15:00 AM,C,27
7/14/22 8:45:00 AM,C,28.5
7/14/22 9:15:00 AM,C,29.5
7/14/22 9:45:00 AM,C,31.5
7/14/22 10:15:00 AM,C,32.5
7/14/22 10:45:00 AM,C,34.5
7/14/22 11:15:00 AM,C,40
7/14/22 11:45:00 AM,C,40.5
7/14/22 12:15:00 PM,C,46
7/14/22 12:45:00 PM,C,43.5
7/14/22 1:15:00 PM,C,44.5
7/14/22 1:45:00 PM,C,36.5
7/14/22 2:15:00 PM,C,37.5
7/14/22 2:45:00 PM,C,43
7/14/22 3:15:00 PM,C,46
7/14/22 3:45:00 PM,C,27.5
7/14/22 4:15:00 PM,C,30
7/14/22 4:45:00 PM,C,44
7/14/22 5:15:00 PM,C,39.5
7/14/22 5:45:00 PM,C,35
