1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2C00000041497E21
Is Mission Active?  true
Mission Start:  Fri Jun 10 08:02:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1344
Total Samples:  57442
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/10/22 8:02:00 AM,C,31.5
6/10/22 8:32:00 AM,C,30
6/10/22 9:02:00 AM,C,30.5
6/10/22 9:32:00 AM,C,31.5
6/10/22 10:02:00 AM,C,32
6/10/22 10:32:00 AM,C,32.5
6/10/22 11:02:00 AM,C,33
6/10/22 11:32:00 AM,C,33.5
6/10/22 12:02:00 PM,C,34
6/10/22 12:32:00 PM,C,34.5
6/10/22 1:02:00 PM,C,35
6/10/22 1:32:00 PM,C,35
6/10/22 2:02:00 PM,C,33.5
6/10/22 2:32:00 PM,C,34.5
6/10/22 3:02:00 PM,C,34.5
6/10/22 3:32:00 PM,C,35
6/10/22 4:02:00 PM,C,36.5
6/10/22 4:32:00 PM,C,35.5
6/10/22 5:02:00 PM,C,33.5
6/10/22 5:32:00 PM,C,32.5
6/10/22 6:02:00 PM,C,31.5
6/10/22 6:32:00 PM,C,31
6/10/22 7:02:00 PM,C,30
6/10/22 7:32:00 PM,C,29.5
6/10/22 8:02:00 PM,C,29.5
6/10/22 8:32:00 PM,C,29.5
6/10/22 9:02:00 PM,C,29
6/10/22 9:32:00 PM,C,29
6/10/22 10:02:00 PM,C,28.5
6/10/22 10:32:00 PM,C,28.5
6/10/22 11:02:00 PM,C,28.5
6/10/22 11:32:00 PM,C,28.5
6/11/22 12:02:00 AM,C,28.5
6/11/22 12:32:00 AM,C,28.5
6/11/22 1:02:00 AM,C,28
6/11/22 1:32:00 AM,C,28
6/11/22 2:02:00 AM,C,28.5
6/11/22 2:32:00 AM,C,28
6/11/22 3:02:00 AM,C,28
6/11/22 3:32:00 AM,C,28
6/11/22 4:02:00 AM,C,28
6/11/22 4:32:00 AM,C,28
6/11/22 5:02:00 AM,C,28
6/11/22 5:32:00 AM,C,28
6/11/22 6:02:00 AM,C,27.5
6/11/22 6:32:00 AM,C,28
6/11/22 7:02:00 AM,C,28.5
6/11/22 7:32:00 AM,C,28.5
6/11/22 8:02:00 AM,C,29
6/11/22 8:32:00 AM,C,30
6/11/22 9:02:00 AM,C,31
6/11/22 9:32:00 AM,C,31.5
6/11/22 10:02:00 AM,C,30.5
6/11/22 10:32:00 AM,C,32.5
6/11/22 11:02:00 AM,C,31
6/11/22 11:32:00 AM,C,30.5
6/11/22 12:02:00 PM,C,30
6/11/22 12:32:00 PM,C,30
6/11/22 1:02:00 PM,C,29.5
6/11/22 1:32:00 PM,C,29.5
6/11/22 2:02:00 PM,C,31
6/11/22 2:32:00 PM,C,31.5
6/11/22 3:02:00 PM,C,31
