1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4E00000041935F21
Is Mission Active?  true
Mission Start:  Fri Jun 10 08:27:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1345
Total Samples:  61000
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/10/22 8:27:00 AM,C,32.5
6/10/22 8:57:00 AM,C,36
6/10/22 9:27:00 AM,C,37.5
6/10/22 9:57:00 AM,C,37.5
6/10/22 10:27:00 AM,C,38.5
6/10/22 10:57:00 AM,C,40
6/10/22 11:27:00 AM,C,41.5
6/10/22 11:57:00 AM,C,42.5
6/10/22 12:27:00 PM,C,42
6/10/22 12:57:00 PM,C,43.5
6/10/22 1:27:00 PM,C,39
6/10/22 1:57:00 PM,C,37.5
6/10/22 2:27:00 PM,C,39.5
6/10/22 2:57:00 PM,C,39.5
6/10/22 3:27:00 PM,C,38.5
6/10/22 3:57:00 PM,C,38.5
6/10/22 4:27:00 PM,C,35
6/10/22 4:57:00 PM,C,32
6/10/22 5:27:00 PM,C,31.5
6/10/22 5:57:00 PM,C,30.5
6/10/22 6:27:00 PM,C,29
6/10/22 6:57:00 PM,C,28
6/10/22 7:27:00 PM,C,27.5
6/10/22 7:57:00 PM,C,27.5
6/10/22 8:27:00 PM,C,28
6/10/22 8:57:00 PM,C,27.5
6/10/22 9:27:00 PM,C,27.5
6/10/22 9:57:00 PM,C,27.5
6/10/22 10:27:00 PM,C,27.5
6/10/22 10:57:00 PM,C,27.5
6/10/22 11:27:00 PM,C,27.5
6/10/22 11:57:00 PM,C,27.5
6/11/22 12:27:00 AM,C,27.5
6/11/22 12:57:00 AM,C,27.5
6/11/22 1:27:00 AM,C,27.5
6/11/22 1:57:00 AM,C,27.5
6/11/22 2:27:00 AM,C,27.5
6/11/22 2:57:00 AM,C,27.5
6/11/22 3:27:00 AM,C,27.5
6/11/22 3:57:00 AM,C,27.5
6/11/22 4:27:00 AM,C,27.5
6/11/22 4:57:00 AM,C,27
6/11/22 5:27:00 AM,C,27.5
6/11/22 5:57:00 AM,C,27
6/11/22 6:27:00 AM,C,26
6/11/22 6:57:00 AM,C,27.5
6/11/22 7:27:00 AM,C,29.5
6/11/22 7:57:00 AM,C,32
6/11/22 8:27:00 AM,C,32.5
6/11/22 8:57:00 AM,C,35
6/11/22 9:27:00 AM,C,30
6/11/22 9:57:00 AM,C,33
6/11/22 10:27:00 AM,C,35
6/11/22 10:57:00 AM,C,29.5
6/11/22 11:27:00 AM,C,27.5
6/11/22 11:57:00 AM,C,27
6/11/22 12:27:00 PM,C,29
6/11/22 12:57:00 PM,C,28.5
6/11/22 1:27:00 PM,C,27
6/11/22 1:57:00 PM,C,29.5
6/11/22 2:27:00 PM,C,30.5
6/11/22 2:57:00 PM,C,30.5
6/11/22 3:27:00 PM,C,31
6/11/22 3:57:00 PM,C,31
6/11/22 4:27:00 PM,C,30.5
6/11/22 4:57:00 PM,C,31
6/11/22 5:27:00 PM,C,30.5
6/11/22 5:57:00 PM,C,30
6/11/22 6:27:00 PM,C,29
6/11/22 6:57:00 PM,C,28
6/11/22 7:27:00 PM,C,27.5
6/11/22 7:57:00 PM,C,27.5
6/11/22 8:27:00 PM,C,27.5
6/11/22 8:57:00 PM,C,27.5
6/11/22 9:27:00 PM,C,27.5
6/11/22 9:57:00 PM,C,27.5
6/11/22 10:27:00 PM,C,27.5
6/11/22 10:57:00 PM,C,27.5
6/11/22 11:27:00 PM,C,27.5
6/11/22 11:57:00 PM,C,27.5
6/12/22 12:27:00 AM,C,27.5
6/12/22 12:57:00 AM,C,27.5
6/12/22 1:27:00 AM,C,27
6/12/22 1:57:00 AM,C,27
6/12/22 2:27:00 AM,C,27
6/12/22 2:57:00 AM,C,27
6/12/22 3:27:00 AM,C,27
6/12/22 3:57:00 AM,C,27
6/12/22 4:27:00 AM,C,27
6/12/22 4:57:00 AM,C,26.5
6/12/22 5:27:00 AM,C,27
