1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F200000041302C21
Is Mission Active?  true
Mission Start:  Fri Jun 10 09:09:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1345
Total Samples:  57175
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/10/22 9:09:00 AM,C,39.5
6/10/22 9:39:00 AM,C,46
6/10/22 10:09:00 AM,C,48.5
6/10/22 10:39:00 AM,C,48.5
6/10/22 11:09:00 AM,C,47.5
6/10/22 11:39:00 AM,C,48
6/10/22 12:09:00 PM,C,38
6/10/22 12:39:00 PM,C,39.5
6/10/22 1:09:00 PM,C,40
6/10/22 1:39:00 PM,C,38.5
6/10/22 2:09:00 PM,C,36.5
6/10/22 2:39:00 PM,C,36.5
6/10/22 3:09:00 PM,C,37.5
6/10/22 3:39:00 PM,C,35.5
6/10/22 4:09:00 PM,C,37
6/10/22 4:39:00 PM,C,32.5
6/10/22 5:09:00 PM,C,32
6/10/22 5:39:00 PM,C,32
6/10/22 6:09:00 PM,C,30.5
6/10/22 6:39:00 PM,C,30.5
6/10/22 7:09:00 PM,C,29
6/10/22 7:39:00 PM,C,28.5
6/10/22 8:09:00 PM,C,29
6/10/22 8:39:00 PM,C,28.5
6/10/22 9:09:00 PM,C,28.5
6/10/22 9:39:00 PM,C,28.5
6/10/22 10:09:00 PM,C,28
6/10/22 10:39:00 PM,C,28
6/10/22 11:09:00 PM,C,28
6/10/22 11:39:00 PM,C,28
6/11/22 12:09:00 AM,C,28
6/11/22 12:39:00 AM,C,28
6/11/22 1:09:00 AM,C,27.5
6/11/22 1:39:00 AM,C,28
6/11/22 2:09:00 AM,C,28
6/11/22 2:39:00 AM,C,28
6/11/22 3:09:00 AM,C,28
6/11/22 3:39:00 AM,C,27.5
6/11/22 4:09:00 AM,C,27.5
6/11/22 4:39:00 AM,C,27.5
6/11/22 5:09:00 AM,C,27.5
6/11/22 5:39:00 AM,C,27.5
6/11/22 6:09:00 AM,C,27
6/11/22 6:39:00 AM,C,28.5
6/11/22 7:09:00 AM,C,29.5
6/11/22 7:39:00 AM,C,38.5
6/11/22 8:09:00 AM,C,39.5
6/11/22 8:39:00 AM,C,43
6/11/22 9:09:00 AM,C,45.5
6/11/22 9:39:00 AM,C,44.5
6/11/22 10:09:00 AM,C,35.5
6/11/22 10:39:00 AM,C,36.5
