1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 03000000416CDD21
Is Mission Active?  true
Mission Start:  Fri Jun 10 09:16:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1345
Total Samples:  57150
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/10/22 9:16:00 AM,C,36.5
6/10/22 9:46:00 AM,C,42.5
6/10/22 10:16:00 AM,C,45.5
6/10/22 10:46:00 AM,C,48.5
6/10/22 11:16:00 AM,C,52.5
6/10/22 11:46:00 AM,C,54
6/10/22 12:16:00 PM,C,54
6/10/22 12:46:00 PM,C,57.5
6/10/22 1:16:00 PM,C,50
6/10/22 1:46:00 PM,C,50
6/10/22 2:16:00 PM,C,41
6/10/22 2:46:00 PM,C,43.5
6/10/22 3:16:00 PM,C,50.5
6/10/22 3:46:00 PM,C,50.5
6/10/22 4:16:00 PM,C,47.5
6/10/22 4:46:00 PM,C,38
6/10/22 5:16:00 PM,C,35.5
6/10/22 5:46:00 PM,C,33.5
6/10/22 6:16:00 PM,C,31.5
6/10/22 6:46:00 PM,C,29.5
6/10/22 7:16:00 PM,C,28
6/10/22 7:46:00 PM,C,27.5
6/10/22 8:16:00 PM,C,27.5
6/10/22 8:46:00 PM,C,28
6/10/22 9:16:00 PM,C,27
6/10/22 9:46:00 PM,C,27
6/10/22 10:16:00 PM,C,27
6/10/22 10:46:00 PM,C,26.5
6/10/22 11:16:00 PM,C,26.5
6/10/22 11:46:00 PM,C,27
6/11/22 12:16:00 AM,C,27
6/11/22 12:46:00 AM,C,27
6/11/22 1:16:00 AM,C,27
6/11/22 1:46:00 AM,C,27.5
6/11/22 2:16:00 AM,C,27
6/11/22 2:46:00 AM,C,27
6/11/22 3:16:00 AM,C,27
6/11/22 3:46:00 AM,C,26.5
6/11/22 4:16:00 AM,C,27
6/11/22 4:46:00 AM,C,26.5
6/11/22 5:16:00 AM,C,27
6/11/22 5:46:00 AM,C,27
6/11/22 6:16:00 AM,C,26.5
