1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5B000000551A1D21
Is Mission Active?  true
Mission Start:  Fri Jun 10 09:29:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1345
Total Samples:  7393
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/10/22 9:29:00 AM,C,32
6/10/22 9:59:00 AM,C,41.5
6/10/22 10:29:00 AM,C,43.5
6/10/22 10:59:00 AM,C,46
6/10/22 11:29:00 AM,C,51
6/10/22 11:59:00 AM,C,50.5
6/10/22 12:29:00 PM,C,50
6/10/22 12:59:00 PM,C,52.5
6/10/22 1:29:00 PM,C,52
6/10/22 1:59:00 PM,C,46
6/10/22 2:29:00 PM,C,51.5
6/10/22 2:59:00 PM,C,48.5
6/10/22 3:29:00 PM,C,42
6/10/22 3:59:00 PM,C,51
6/10/22 4:29:00 PM,C,41
6/10/22 4:59:00 PM,C,36.5
6/10/22 5:29:00 PM,C,34.5
6/10/22 5:59:00 PM,C,32
6/10/22 6:29:00 PM,C,30.5
6/10/22 6:59:00 PM,C,28.5
6/10/22 7:29:00 PM,C,27.5
6/10/22 7:59:00 PM,C,27.5
6/10/22 8:29:00 PM,C,28
6/10/22 8:59:00 PM,C,27.5
6/10/22 9:29:00 PM,C,27.5
6/10/22 9:59:00 PM,C,27
6/10/22 10:29:00 PM,C,26.5
6/10/22 10:59:00 PM,C,26.5
6/10/22 11:29:00 PM,C,27
6/10/22 11:59:00 PM,C,27
6/11/22 12:29:00 AM,C,27
6/11/22 12:59:00 AM,C,26.5
6/11/22 1:29:00 AM,C,27
6/11/22 1:59:00 AM,C,27
6/11/22 2:29:00 AM,C,27
6/11/22 2:59:00 AM,C,27
6/11/22 3:29:00 AM,C,27
6/11/22 3:59:00 AM,C,26.5
6/11/22 4:29:00 AM,C,27
6/11/22 4:59:00 AM,C,26.5
6/11/22 5:29:00 AM,C,27
6/11/22 5:59:00 AM,C,27
6/11/22 6:29:00 AM,C,28
6/11/22 6:59:00 AM,C,28
6/11/22 7:29:00 AM,C,29
6/11/22 7:59:00 AM,C,30
6/11/22 8:29:00 AM,C,31
6/11/22 8:59:00 AM,C,33
6/11/22 9:29:00 AM,C,32.5
6/11/22 9:59:00 AM,C,32.5
6/11/22 10:29:00 AM,C,35
6/11/22 10:59:00 AM,C,34
6/11/22 11:29:00 AM,C,32
6/11/22 11:59:00 AM,C,28.5
6/11/22 12:29:00 PM,C,30.5
6/11/22 12:59:00 PM,C,29.5
6/11/22 1:29:00 PM,C,30
6/11/22 1:59:00 PM,C,32
6/11/22 2:29:00 PM,C,32.5
6/11/22 2:59:00 PM,C,32.5
6/11/22 3:29:00 PM,C,33
6/11/22 3:59:00 PM,C,33.5
6/11/22 4:29:00 PM,C,34
6/11/22 4:59:00 PM,C,35.5
6/11/22 5:29:00 PM,C,35.5
6/11/22 5:59:00 PM,C,35.5
6/11/22 6:29:00 PM,C,31
6/11/22 6:59:00 PM,C,28.5
6/11/22 7:29:00 PM,C,28
6/11/22 7:59:00 PM,C,27.5
6/11/22 8:29:00 PM,C,27.5
6/11/22 8:59:00 PM,C,27.5
6/11/22 9:29:00 PM,C,27.5
6/11/22 9:59:00 PM,C,27
6/11/22 10:29:00 PM,C,27.5
6/11/22 10:59:00 PM,C,27
6/11/22 11:29:00 PM,C,27
6/11/22 11:59:00 PM,C,27
6/12/22 12:29:00 AM,C,27
6/12/22 12:59:00 AM,C,27
6/12/22 1:29:00 AM,C,27
6/12/22 1:59:00 AM,C,27
6/12/22 2:29:00 AM,C,27
6/12/22 2:59:00 AM,C,27
6/12/22 3:29:00 AM,C,27
6/12/22 3:59:00 AM,C,26.5
6/12/22 4:29:00 AM,C,26.5
6/12/22 4:59:00 AM,C,26.5
6/12/22 5:29:00 AM,C,26.5
6/12/22 5:59:00 AM,C,26.5
6/12/22 6:29:00 AM,C,27
6/12/22 6:59:00 AM,C,28
6/12/22 7:29:00 AM,C,28.5
6/12/22 7:59:00 AM,C,29.5
6/12/22 8:29:00 AM,C,31.5
6/12/22 8:59:00 AM,C,32.5
6/12/22 9:29:00 AM,C,33.5
6/12/22 9:59:00 AM,C,34.5
6/12/22 10:29:00 AM,C,36
6/12/22 10:59:00 AM,C,37.5
6/12/22 11:29:00 AM,C,40.5
6/12/22 11:59:00 AM,C,42
6/12/22 12:29:00 PM,C,44.5
6/12/22 12:59:00 PM,C,45.5
6/12/22 1:29:00 PM,C,48
6/12/22 1:59:00 PM,C,47.5
6/12/22 2:29:00 PM,C,50.5
6/12/22 2:59:00 PM,C,49.5
6/12/22 3:29:00 PM,C,50
6/12/22 3:59:00 PM,C,49
6/12/22 4:29:00 PM,C,48.5
6/12/22 4:59:00 PM,C,43.5
6/12/22 5:29:00 PM,C,40.5
6/12/22 5:59:00 PM,C,35
6/12/22 6:29:00 PM,C,31.5
6/12/22 6:59:00 PM,C,30.5
6/12/22 7:29:00 PM,C,29.5
6/12/22 7:59:00 PM,C,29.5
6/12/22 8:29:00 PM,C,29
6/12/22 8:59:00 PM,C,29
6/12/22 9:29:00 PM,C,29
6/12/22 9:59:00 PM,C,29
6/12/22 10:29:00 PM,C,28.5
6/12/22 10:59:00 PM,C,28.5
6/12/22 11:29:00 PM,C,28.5
6/12/22 11:59:00 PM,C,28
6/13/22 12:29:00 AM,C,28
6/13/22 12:59:00 AM,C,28
6/13/22 1:29:00 AM,C,28
6/13/22 1:59:00 AM,C,27.5
6/13/22 2:29:00 AM,C,27.5
6/13/22 2:59:00 AM,C,27.5
6/13/22 3:29:00 AM,C,26.5
6/13/22 3:59:00 AM,C,27
6/13/22 4:29:00 AM,C,27
6/13/22 4:59:00 AM,C,27
6/13/22 5:29:00 AM,C,26.5
6/13/22 5:59:00 AM,C,27
6/13/22 6:29:00 AM,C,27
6/13/22 6:59:00 AM,C,28.5
6/13/22 7:29:00 AM,C,31.5
6/13/22 7:59:00 AM,C,33.5
6/13/22 8:29:00 AM,C,32.5
6/13/22 8:59:00 AM,C,33
6/13/22 9:29:00 AM,C,31
6/13/22 9:59:00 AM,C,32.5
6/13/22 10:29:00 AM,C,33.5
6/13/22 10:59:00 AM,C,34.5
6/13/22 11:29:00 AM,C,36
6/13/22 11:59:00 AM,C,35
6/13/22 12:29:00 PM,C,36
6/13/22 12:59:00 PM,C,35.5
6/13/22 1:29:00 PM,C,34.5
6/13/22 1:59:00 PM,C,35.5
6/13/22 2:29:00 PM,C,34.5
6/13/22 2:59:00 PM,C,35
6/13/22 3:29:00 PM,C,34.5
6/13/22 3:59:00 PM,C,33
6/13/22 4:29:00 PM,C,33
6/13/22 4:59:00 PM,C,31
6/13/22 5:29:00 PM,C,31
6/13/22 5:59:00 PM,C,30.5
6/13/22 6:29:00 PM,C,29.5
6/13/22 6:59:00 PM,C,29
6/13/22 7:29:00 PM,C,27.5
6/13/22 7:59:00 PM,C,27.5
6/13/22 8:29:00 PM,C,27
6/13/22 8:59:00 PM,C,28
6/13/22 9:29:00 PM,C,28
6/13/22 9:59:00 PM,C,27.5
6/13/22 10:29:00 PM,C,27.5
6/13/22 10:59:00 PM,C,27.5
6/13/22 11:29:00 PM,C,27.5
6/13/22 11:59:00 PM,C,27.5
6/14/22 12:29:00 AM,C,27.5
6/14/22 12:59:00 AM,C,26.5
6/14/22 1:29:00 AM,C,27
6/14/22 1:59:00 AM,C,27
6/14/22 2:29:00 AM,C,27
6/14/22 2:59:00 AM,C,27
6/14/22 3:29:00 AM,C,27
6/14/22 3:59:00 AM,C,27
6/14/22 4:29:00 AM,C,26.5
6/14/22 4:59:00 AM,C,26.5
6/14/22 5:29:00 AM,C,27
6/14/22 5:59:00 AM,C,27
6/14/22 6:29:00 AM,C,26
6/14/22 6:59:00 AM,C,29
6/14/22 7:29:00 AM,C,34
6/14/22 7:59:00 AM,C,37.5
6/14/22 8:29:00 AM,C,40
6/14/22 8:59:00 AM,C,40
6/14/22 9:29:00 AM,C,37.5
6/14/22 9:59:00 AM,C,38
6/14/22 10:29:00 AM,C,48.5
