1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AC00000055018021
Is Mission Active?  true
Mission Start:  Fri Jun 10 08:35:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1345
Total Samples:  7248
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/10/22 8:35:00 AM,C,32
6/10/22 9:05:00 AM,C,30
6/10/22 9:35:00 AM,C,30.5
6/10/22 10:05:00 AM,C,30.5
6/10/22 10:35:00 AM,C,31
6/10/22 11:05:00 AM,C,31
6/10/22 11:35:00 AM,C,31.5
6/10/22 12:05:00 PM,C,32
6/10/22 12:35:00 PM,C,32
6/10/22 1:05:00 PM,C,32
6/10/22 1:35:00 PM,C,31.5
6/10/22 2:05:00 PM,C,31
6/10/22 2:35:00 PM,C,31
6/10/22 3:05:00 PM,C,31.5
6/10/22 3:35:00 PM,C,31.5
6/10/22 4:05:00 PM,C,31.5
6/10/22 4:35:00 PM,C,30.5
6/10/22 5:05:00 PM,C,30
6/10/22 5:35:00 PM,C,30
6/10/22 6:05:00 PM,C,29.5
6/10/22 6:35:00 PM,C,29
6/10/22 7:05:00 PM,C,28.5
6/10/22 7:35:00 PM,C,28.5
6/10/22 8:05:00 PM,C,28.5
6/10/22 8:35:00 PM,C,28.5
6/10/22 9:05:00 PM,C,28.5
6/10/22 9:35:00 PM,C,28.5
6/10/22 10:05:00 PM,C,28.5
6/10/22 10:35:00 PM,C,28.5
6/10/22 11:05:00 PM,C,28
6/10/22 11:35:00 PM,C,28
6/11/22 12:05:00 AM,C,28
6/11/22 12:35:00 AM,C,28
6/11/22 1:05:00 AM,C,28
6/11/22 1:35:00 AM,C,28
6/11/22 2:05:00 AM,C,28
6/11/22 2:35:00 AM,C,28
6/11/22 3:05:00 AM,C,28
6/11/22 3:35:00 AM,C,28
6/11/22 4:05:00 AM,C,28
6/11/22 4:35:00 AM,C,28
6/11/22 5:05:00 AM,C,28
6/11/22 5:35:00 AM,C,28
6/11/22 6:05:00 AM,C,27
6/11/22 6:35:00 AM,C,27.5
6/11/22 7:05:00 AM,C,28.5
6/11/22 7:35:00 AM,C,28.5
6/11/22 8:05:00 AM,C,28.5
6/11/22 8:35:00 AM,C,29
6/11/22 9:05:00 AM,C,30
6/11/22 9:35:00 AM,C,30
6/11/22 10:05:00 AM,C,29
6/11/22 10:35:00 AM,C,30.5
6/11/22 11:05:00 AM,C,29.5
6/11/22 11:35:00 AM,C,29
6/11/22 12:05:00 PM,C,28.5
6/11/22 12:35:00 PM,C,29
6/11/22 1:05:00 PM,C,28.5
6/11/22 1:35:00 PM,C,28.5
6/11/22 2:05:00 PM,C,29
6/11/22 2:35:00 PM,C,29
6/11/22 3:05:00 PM,C,29
6/11/22 3:35:00 PM,C,29.5
6/11/22 4:05:00 PM,C,29.5
6/11/22 4:35:00 PM,C,29.5
6/11/22 5:05:00 PM,C,29.5
6/11/22 5:35:00 PM,C,29.5
6/11/22 6:05:00 PM,C,29
6/11/22 6:35:00 PM,C,29
6/11/22 7:05:00 PM,C,28.5
6/11/22 7:35:00 PM,C,28.5
6/11/22 8:05:00 PM,C,28.5
6/11/22 8:35:00 PM,C,28.5
6/11/22 9:05:00 PM,C,28.5
6/11/22 9:35:00 PM,C,28.5
6/11/22 10:05:00 PM,C,28.5
6/11/22 10:35:00 PM,C,28.5
6/11/22 11:05:00 PM,C,28.5
6/11/22 11:35:00 PM,C,28.5
6/12/22 12:05:00 AM,C,28
6/12/22 12:35:00 AM,C,28
6/12/22 1:05:00 AM,C,28
6/12/22 1:35:00 AM,C,28
6/12/22 2:05:00 AM,C,28
6/12/22 2:35:00 AM,C,28
6/12/22 3:05:00 AM,C,28
6/12/22 3:35:00 AM,C,28
6/12/22 4:05:00 AM,C,28
6/12/22 4:35:00 AM,C,28
6/12/22 5:05:00 AM,C,28
6/12/22 5:35:00 AM,C,28
6/12/22 6:05:00 AM,C,28
6/12/22 6:35:00 AM,C,28
6/12/22 7:05:00 AM,C,28.5
6/12/22 7:35:00 AM,C,28.5
6/12/22 8:05:00 AM,C,29
6/12/22 8:35:00 AM,C,29.5
6/12/22 9:05:00 AM,C,29.5
6/12/22 9:35:00 AM,C,30.5
6/12/22 10:05:00 AM,C,30.5
6/12/22 10:35:00 AM,C,31
6/12/22 11:05:00 AM,C,31
6/12/22 11:35:00 AM,C,31.5
6/12/22 12:05:00 PM,C,31.5
6/12/22 12:35:00 PM,C,31.5
6/12/22 1:05:00 PM,C,31.5
6/12/22 1:35:00 PM,C,31.5
6/12/22 2:05:00 PM,C,31.5
6/12/22 2:35:00 PM,C,32
6/12/22 3:05:00 PM,C,31.5
6/12/22 3:35:00 PM,C,31.5
6/12/22 4:05:00 PM,C,31
6/12/22 4:35:00 PM,C,31
6/12/22 5:05:00 PM,C,30.5
6/12/22 5:35:00 PM,C,30
6/12/22 6:05:00 PM,C,29.5
6/12/22 6:35:00 PM,C,29.5
6/12/22 7:05:00 PM,C,29
6/12/22 7:35:00 PM,C,29
6/12/22 8:05:00 PM,C,29
6/12/22 8:35:00 PM,C,29
6/12/22 9:05:00 PM,C,28.5
6/12/22 9:35:00 PM,C,28.5
6/12/22 10:05:00 PM,C,28.5
6/12/22 10:35:00 PM,C,28.5
6/12/22 11:05:00 PM,C,28.5
6/12/22 11:35:00 PM,C,28.5
6/13/22 12:05:00 AM,C,28.5
6/13/22 12:35:00 AM,C,28.5
6/13/22 1:05:00 AM,C,28
6/13/22 1:35:00 AM,C,28
6/13/22 2:05:00 AM,C,28
6/13/22 2:35:00 AM,C,28
6/13/22 3:05:00 AM,C,28
6/13/22 3:35:00 AM,C,27.5
6/13/22 4:05:00 AM,C,27.5
6/13/22 4:35:00 AM,C,27.5
6/13/22 5:05:00 AM,C,27.5
6/13/22 5:35:00 AM,C,27.5
6/13/22 6:05:00 AM,C,27.5
6/13/22 6:35:00 AM,C,27.5
6/13/22 7:05:00 AM,C,28.5
6/13/22 7:35:00 AM,C,28.5
6/13/22 8:05:00 AM,C,28.5
6/13/22 8:35:00 AM,C,29
6/13/22 9:05:00 AM,C,29
6/13/22 9:35:00 AM,C,29.5
6/13/22 10:05:00 AM,C,30
6/13/22 10:35:00 AM,C,30
6/13/22 11:05:00 AM,C,31
6/13/22 11:35:00 AM,C,31
6/13/22 12:05:00 PM,C,31.5
6/13/22 12:35:00 PM,C,31
6/13/22 1:05:00 PM,C,31.5
6/13/22 1:35:00 PM,C,31
6/13/22 2:05:00 PM,C,31.5
6/13/22 2:35:00 PM,C,31.5
6/13/22 3:05:00 PM,C,31.5
6/13/22 3:35:00 PM,C,31.5
6/13/22 4:05:00 PM,C,31
6/13/22 4:35:00 PM,C,30.5
6/13/22 5:05:00 PM,C,29.5
6/13/22 5:35:00 PM,C,29.5
6/13/22 6:05:00 PM,C,29
6/13/22 6:35:00 PM,C,29
6/13/22 7:05:00 PM,C,29
6/13/22 7:35:00 PM,C,28.5
6/13/22 8:05:00 PM,C,28
6/13/22 8:35:00 PM,C,28
6/13/22 9:05:00 PM,C,28
6/13/22 9:35:00 PM,C,28
6/13/22 10:05:00 PM,C,28
6/13/22 10:35:00 PM,C,28
6/13/22 11:05:00 PM,C,28
6/13/22 11:35:00 PM,C,28
6/14/22 12:05:00 AM,C,28
6/14/22 12:35:00 AM,C,28
6/14/22 1:05:00 AM,C,27.5
6/14/22 1:35:00 AM,C,27.5
6/14/22 2:05:00 AM,C,27.5
6/14/22 2:35:00 AM,C,27.5
6/14/22 3:05:00 AM,C,27.5
6/14/22 3:35:00 AM,C,27.5
6/14/22 4:05:00 AM,C,27.5
6/14/22 4:35:00 AM,C,27.5
6/14/22 5:05:00 AM,C,27.5
6/14/22 5:35:00 AM,C,27.5
6/14/22 6:05:00 AM,C,26.5
6/14/22 6:35:00 AM,C,26.5
6/14/22 7:05:00 AM,C,26.5
6/14/22 7:35:00 AM,C,27
6/14/22 8:05:00 AM,C,28
6/14/22 8:35:00 AM,C,28.5
6/14/22 9:05:00 AM,C,29
6/14/22 9:35:00 AM,C,29
6/14/22 10:05:00 AM,C,29
6/14/22 10:35:00 AM,C,30
6/14/22 11:05:00 AM,C,30
6/14/22 11:35:00 AM,C,30.5
6/14/22 12:05:00 PM,C,30.5
6/14/22 12:35:00 PM,C,31
6/14/22 1:05:00 PM,C,31.5
6/14/22 1:35:00 PM,C,31
6/14/22 2:05:00 PM,C,31
6/14/22 2:35:00 PM,C,31
6/14/22 3:05:00 PM,C,31
6/14/22 3:35:00 PM,C,30
6/14/22 4:05:00 PM,C,30.5
6/14/22 4:35:00 PM,C,30.5
6/14/22 5:05:00 PM,C,30
6/14/22 5:35:00 PM,C,29.5
6/14/22 6:05:00 PM,C,29.5
6/14/22 6:35:00 PM,C,29
6/14/22 7:05:00 PM,C,29
6/14/22 7:35:00 PM,C,29
6/14/22 8:05:00 PM,C,28.5
6/14/22 8:35:00 PM,C,28.5
6/14/22 9:05:00 PM,C,28.5
6/14/22 9:35:00 PM,C,28.5
6/14/22 10:05:00 PM,C,28.5
6/14/22 10:35:00 PM,C,28.5
6/14/22 11:05:00 PM,C,28.5
