1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 720000005503A521
Is Mission Active?  true
Mission Start:  Sat Jan 01 00:02:00 BOT 2000
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1344
Total Samples:  1344
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/1/00 12:02:00 AM,C,32.5
1/1/00 12:32:00 AM,C,38.5
1/1/00 1:02:00 AM,C,40.5
1/1/00 1:32:00 AM,C,43
1/1/00 2:02:00 AM,C,43.5
1/1/00 2:32:00 AM,C,44.5
1/1/00 3:02:00 AM,C,46
1/1/00 3:32:00 AM,C,46.5
1/1/00 4:02:00 AM,C,49
1/1/00 4:32:00 AM,C,48
1/1/00 5:02:00 AM,C,49.5
1/1/00 5:32:00 AM,C,45.5
1/1/00 6:02:00 AM,C,42
1/1/00 6:32:00 AM,C,45.5
1/1/00 7:02:00 AM,C,45
1/1/00 7:32:00 AM,C,42.5
1/1/00 8:02:00 AM,C,42.5
1/1/00 8:32:00 AM,C,37
1/1/00 9:02:00 AM,C,33
1/1/00 9:32:00 AM,C,32
1/1/00 10:02:00 AM,C,31
1/1/00 10:32:00 AM,C,30
1/1/00 11:02:00 AM,C,28.5
1/1/00 11:32:00 AM,C,28
1/1/00 12:02:00 PM,C,28
1/1/00 12:32:00 PM,C,28
1/1/00 1:02:00 PM,C,27.5
1/1/00 1:32:00 PM,C,27.5
1/1/00 2:02:00 PM,C,27.5
1/1/00 2:32:00 PM,C,27
1/1/00 3:02:00 PM,C,27
1/1/00 3:32:00 PM,C,27
1/1/00 4:02:00 PM,C,27.5
1/1/00 4:32:00 PM,C,27.5
1/1/00 5:02:00 PM,C,27
1/1/00 5:32:00 PM,C,27
1/1/00 6:02:00 PM,C,27.5
1/1/00 6:32:00 PM,C,27
1/1/00 7:02:00 PM,C,27
1/1/00 7:32:00 PM,C,27
1/1/00 8:02:00 PM,C,27
1/1/00 8:32:00 PM,C,27
1/1/00 9:02:00 PM,C,26.5
1/1/00 9:32:00 PM,C,27
1/1/00 10:02:00 PM,C,25.5
1/1/00 10:32:00 PM,C,26.5
1/1/00 11:02:00 PM,C,28
1/1/00 11:32:00 PM,C,30.5
1/2/00 12:02:00 AM,C,33.5
1/2/00 12:32:00 AM,C,35.5
1/2/00 1:02:00 AM,C,40
1/2/00 1:32:00 AM,C,31.5
1/2/00 2:02:00 AM,C,34.5
1/2/00 2:32:00 AM,C,41
1/2/00 3:02:00 AM,C,31
1/2/00 3:32:00 AM,C,29.5
1/2/00 4:02:00 AM,C,28
1/2/00 4:32:00 AM,C,30.5
1/2/00 5:02:00 AM,C,29
1/2/00 5:32:00 AM,C,27.5
1/2/00 6:02:00 AM,C,31
1/2/00 6:32:00 AM,C,32
1/2/00 7:02:00 AM,C,31.5
1/2/00 7:32:00 AM,C,32
1/2/00 8:02:00 AM,C,32.5
1/2/00 8:32:00 AM,C,32
1/2/00 9:02:00 AM,C,32.5
1/2/00 9:32:00 AM,C,32
1/2/00 10:02:00 AM,C,31
1/2/00 10:32:00 AM,C,29
1/2/00 11:02:00 AM,C,28
1/2/00 11:32:00 AM,C,27.5
1/2/00 12:02:00 PM,C,27.5
1/2/00 12:32:00 PM,C,27
1/2/00 1:02:00 PM,C,27
1/2/00 1:32:00 PM,C,27
1/2/00 2:02:00 PM,C,27
1/2/00 2:32:00 PM,C,27
1/2/00 3:02:00 PM,C,27
1/2/00 3:32:00 PM,C,27
1/2/00 4:02:00 PM,C,27
1/2/00 4:32:00 PM,C,27
1/2/00 5:02:00 PM,C,27
1/2/00 5:32:00 PM,C,26.5
1/2/00 6:02:00 PM,C,26.5
1/2/00 6:32:00 PM,C,26.5
1/2/00 7:02:00 PM,C,26.5
1/2/00 7:32:00 PM,C,26.5
1/2/00 8:02:00 PM,C,26.5
1/2/00 8:32:00 PM,C,26.5
