1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 80000000419A0121
Is Mission Active?  true
Mission Start:  Thu Mar 10 08:47:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1681
Total Samples:  53094
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/10/22 8:47:00 AM,C,27.5
3/10/22 9:17:00 AM,C,26.5
3/10/22 9:47:00 AM,C,24.5
3/10/22 10:17:00 AM,C,32
3/10/22 10:47:00 AM,C,29.5
3/10/22 11:17:00 AM,C,35.5
3/10/22 11:47:00 AM,C,33
3/10/22 12:17:00 PM,C,39
3/10/22 12:47:00 PM,C,34.5
3/10/22 1:17:00 PM,C,36.5
3/10/22 1:47:00 PM,C,38
3/10/22 2:17:00 PM,C,34.5
3/10/22 2:47:00 PM,C,30.5
3/10/22 3:17:00 PM,C,25.5
3/10/22 3:47:00 PM,C,30
3/10/22 4:17:00 PM,C,33.5
3/10/22 4:47:00 PM,C,30.5
3/10/22 5:17:00 PM,C,24
3/10/22 5:47:00 PM,C,24.5
3/10/22 6:17:00 PM,C,25.5
3/10/22 6:47:00 PM,C,25.5
3/10/22 7:17:00 PM,C,25.5
3/10/22 7:47:00 PM,C,25.5
3/10/22 8:17:00 PM,C,25
3/10/22 8:47:00 PM,C,25
3/10/22 9:17:00 PM,C,25
3/10/22 9:47:00 PM,C,25
3/10/22 10:17:00 PM,C,25
3/10/22 10:47:00 PM,C,25
3/10/22 11:17:00 PM,C,25
3/10/22 11:47:00 PM,C,25
3/11/22 12:17:00 AM,C,25
3/11/22 12:47:00 AM,C,24.5
3/11/22 1:17:00 AM,C,24.5
3/11/22 1:47:00 AM,C,24
3/11/22 2:17:00 AM,C,24
3/11/22 2:47:00 AM,C,23.5
3/11/22 3:17:00 AM,C,23.5
3/11/22 3:47:00 AM,C,23.5
3/11/22 4:17:00 AM,C,23.5
3/11/22 4:47:00 AM,C,23.5
3/11/22 5:17:00 AM,C,23.5
3/11/22 5:47:00 AM,C,23.5
3/11/22 6:17:00 AM,C,24
3/11/22 6:47:00 AM,C,22.5
3/11/22 7:17:00 AM,C,24.5
3/11/22 7:47:00 AM,C,25.5
3/11/22 8:17:00 AM,C,26
3/11/22 8:47:00 AM,C,26.5
3/11/22 9:17:00 AM,C,28
3/11/22 9:47:00 AM,C,28
3/11/22 10:17:00 AM,C,33
3/11/22 10:47:00 AM,C,37
3/11/22 11:17:00 AM,C,40
3/11/22 11:47:00 AM,C,39.5
3/11/22 12:17:00 PM,C,41
3/11/22 12:47:00 PM,C,42.5
3/11/22 1:17:00 PM,C,42.5
3/11/22 1:47:00 PM,C,41.5
3/11/22 2:17:00 PM,C,41
3/11/22 2:47:00 PM,C,40.5
3/11/22 3:17:00 PM,C,38.5
3/11/22 3:47:00 PM,C,37.5
3/11/22 4:17:00 PM,C,34.5
3/11/22 4:47:00 PM,C,33.5
3/11/22 5:17:00 PM,C,31
3/11/22 5:47:00 PM,C,27.5
3/11/22 6:17:00 PM,C,26
3/11/22 6:47:00 PM,C,25
3/11/22 7:17:00 PM,C,25
3/11/22 7:47:00 PM,C,25.5
3/11/22 8:17:00 PM,C,25
3/11/22 8:47:00 PM,C,25.5
3/11/22 9:17:00 PM,C,25
3/11/22 9:47:00 PM,C,25
3/11/22 10:17:00 PM,C,23
3/11/22 10:47:00 PM,C,25
3/11/22 11:17:00 PM,C,25
3/11/22 11:47:00 PM,C,24.5
3/12/22 12:17:00 AM,C,24.5
3/12/22 12:47:00 AM,C,24
3/12/22 1:17:00 AM,C,24.5
3/12/22 1:47:00 AM,C,24.5
3/12/22 2:17:00 AM,C,24.5
3/12/22 2:47:00 AM,C,22
3/12/22 3:17:00 AM,C,22
3/12/22 3:47:00 AM,C,23.5
3/12/22 4:17:00 AM,C,24
3/12/22 4:47:00 AM,C,24
3/12/22 5:17:00 AM,C,24
3/12/22 5:47:00 AM,C,22.5
3/12/22 6:17:00 AM,C,22.5
3/12/22 6:47:00 AM,C,22.5
3/12/22 7:17:00 AM,C,23
3/12/22 7:47:00 AM,C,23.5
3/12/22 8:17:00 AM,C,23
3/12/22 8:47:00 AM,C,23.5
3/12/22 9:17:00 AM,C,24
3/12/22 9:47:00 AM,C,25
3/12/22 10:17:00 AM,C,27
3/12/22 10:47:00 AM,C,30
3/12/22 11:17:00 AM,C,30.5
3/12/22 11:47:00 AM,C,29
3/12/22 12:17:00 PM,C,32
3/12/22 12:47:00 PM,C,35.5
3/12/22 1:17:00 PM,C,31.5
3/12/22 1:47:00 PM,C,31
3/12/22 2:17:00 PM,C,33
3/12/22 2:47:00 PM,C,32
3/12/22 3:17:00 PM,C,35.5
3/12/22 3:47:00 PM,C,35
3/12/22 4:17:00 PM,C,34
3/12/22 4:47:00 PM,C,32.5
3/12/22 5:17:00 PM,C,28
3/12/22 5:47:00 PM,C,27.5
3/12/22 6:17:00 PM,C,26
3/12/22 6:47:00 PM,C,25
3/12/22 7:17:00 PM,C,25
3/12/22 7:47:00 PM,C,24.5
3/12/22 8:17:00 PM,C,24.5
3/12/22 8:47:00 PM,C,24.5
3/12/22 9:17:00 PM,C,24
3/12/22 9:47:00 PM,C,24
3/12/22 10:17:00 PM,C,24
3/12/22 10:47:00 PM,C,24
3/12/22 11:17:00 PM,C,24
3/12/22 11:47:00 PM,C,23.5
3/13/22 12:17:00 AM,C,24
3/13/22 12:47:00 AM,C,24.5
3/13/22 1:17:00 AM,C,24
3/13/22 1:47:00 AM,C,24
3/13/22 2:17:00 AM,C,24
3/13/22 2:47:00 AM,C,23.5
3/13/22 3:17:00 AM,C,23.5
3/13/22 3:47:00 AM,C,23
3/13/22 4:17:00 AM,C,22.5
3/13/22 4:47:00 AM,C,22
3/13/22 5:17:00 AM,C,22
3/13/22 5:47:00 AM,C,22.5
3/13/22 6:17:00 AM,C,22.5
3/13/22 6:47:00 AM,C,22.5
3/13/22 7:17:00 AM,C,23.5
3/13/22 7:47:00 AM,C,24.5
3/13/22 8:17:00 AM,C,26
3/13/22 8:47:00 AM,C,27.5
3/13/22 9:17:00 AM,C,27
3/13/22 9:47:00 AM,C,28.5
3/13/22 10:17:00 AM,C,30.5
3/13/22 10:47:00 AM,C,38
3/13/22 11:17:00 AM,C,38
3/13/22 11:47:00 AM,C,40
3/13/22 12:17:00 PM,C,41
3/13/22 12:47:00 PM,C,41
3/13/22 1:17:00 PM,C,41.5
3/13/22 1:47:00 PM,C,41.5
3/13/22 2:17:00 PM,C,41.5
3/13/22 2:47:00 PM,C,38
3/13/22 3:17:00 PM,C,40
3/13/22 3:47:00 PM,C,38
3/13/22 4:17:00 PM,C,36.5
3/13/22 4:47:00 PM,C,33.5
3/13/22 5:17:00 PM,C,31
3/13/22 5:47:00 PM,C,27.5
3/13/22 6:17:00 PM,C,26
3/13/22 6:47:00 PM,C,25
3/13/22 7:17:00 PM,C,25
3/13/22 7:47:00 PM,C,25.5
3/13/22 8:17:00 PM,C,25
3/13/22 8:47:00 PM,C,24.5
3/13/22 9:17:00 PM,C,24.5
3/13/22 9:47:00 PM,C,24.5
3/13/22 10:17:00 PM,C,24
3/13/22 10:47:00 PM,C,24
3/13/22 11:17:00 PM,C,23.5
3/13/22 11:47:00 PM,C,23.5
3/14/22 12:17:00 AM,C,24
3/14/22 12:47:00 AM,C,24
3/14/22 1:17:00 AM,C,24.5
3/14/22 1:47:00 AM,C,24.5
3/14/22 2:17:00 AM,C,24
3/14/22 2:47:00 AM,C,24
3/14/22 3:17:00 AM,C,21
3/14/22 3:47:00 AM,C,22
3/14/22 4:17:00 AM,C,23
3/14/22 4:47:00 AM,C,23.5
3/14/22 5:17:00 AM,C,21.5
3/14/22 5:47:00 AM,C,22
3/14/22 6:17:00 AM,C,23
3/14/22 6:47:00 AM,C,23.5
3/14/22 7:17:00 AM,C,24
3/14/22 7:47:00 AM,C,24.5
3/14/22 8:17:00 AM,C,25
3/14/22 8:47:00 AM,C,25
3/14/22 9:17:00 AM,C,26
3/14/22 9:47:00 AM,C,27
3/14/22 10:17:00 AM,C,30.5
3/14/22 10:47:00 AM,C,34.5
3/14/22 11:17:00 AM,C,37.5
3/14/22 11:47:00 AM,C,40
3/14/22 12:17:00 PM,C,40
3/14/22 12:47:00 PM,C,40.5
3/14/22 1:17:00 PM,C,41.5
3/14/22 1:47:00 PM,C,38
3/14/22 2:17:00 PM,C,41
3/14/22 2:47:00 PM,C,37
3/14/22 3:17:00 PM,C,38
3/14/22 3:47:00 PM,C,36.5
3/14/22 4:17:00 PM,C,34.5
3/14/22 4:47:00 PM,C,32.5
3/14/22 5:17:00 PM,C,30
3/14/22 5:47:00 PM,C,27
3/14/22 6:17:00 PM,C,26
3/14/22 6:47:00 PM,C,25
3/14/22 7:17:00 PM,C,25
3/14/22 7:47:00 PM,C,25
3/14/22 8:17:00 PM,C,25
3/14/22 8:47:00 PM,C,25
3/14/22 9:17:00 PM,C,25
3/14/22 9:47:00 PM,C,25
3/14/22 10:17:00 PM,C,24.5
3/14/22 10:47:00 PM,C,24.5
3/14/22 11:17:00 PM,C,24.5
3/14/22 11:47:00 PM,C,24
3/15/22 12:17:00 AM,C,24
3/15/22 12:47:00 AM,C,24
3/15/22 1:17:00 AM,C,24
3/15/22 1:47:00 AM,C,24.5
3/15/22 2:17:00 AM,C,24
3/15/22 2:47:00 AM,C,24
3/15/22 3:17:00 AM,C,24
3/15/22 3:47:00 AM,C,24
3/15/22 4:17:00 AM,C,24
3/15/22 4:47:00 AM,C,24.5
3/15/22 5:17:00 AM,C,24
3/15/22 5:47:00 AM,C,24
3/15/22 6:17:00 AM,C,24
3/15/22 6:47:00 AM,C,24
3/15/22 7:17:00 AM,C,25
3/15/22 7:47:00 AM,C,26.5
3/15/22 8:17:00 AM,C,27
3/15/22 8:47:00 AM,C,27
3/15/22 9:17:00 AM,C,29.5
3/15/22 9:47:00 AM,C,30
3/15/22 10:17:00 AM,C,33
3/15/22 10:47:00 AM,C,38
3/15/22 11:17:00 AM,C,40
3/15/22 11:47:00 AM,C,42.5
3/15/22 12:17:00 PM,C,43
3/15/22 12:47:00 PM,C,44.5
3/15/22 1:17:00 PM,C,43.5
3/15/22 1:47:00 PM,C,43.5
3/15/22 2:17:00 PM,C,43
3/15/22 2:47:00 PM,C,41.5
3/15/22 3:17:00 PM,C,40
3/15/22 3:47:00 PM,C,37.5
3/15/22 4:17:00 PM,C,36.5
3/15/22 4:47:00 PM,C,34
3/15/22 5:17:00 PM,C,31.5
