1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9C000000550FAF21
Is Mission Active?  true
Mission Start:  Thu Mar 10 08:20:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1681
Total Samples:  3169
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/10/22 8:20:00 AM,C,29.5
3/10/22 8:50:00 AM,C,35.5
3/10/22 9:20:00 AM,C,33.5
3/10/22 9:50:00 AM,C,30
3/10/22 10:20:00 AM,C,35
3/10/22 10:50:00 AM,C,27
3/10/22 11:20:00 AM,C,38
3/10/22 11:50:00 AM,C,34
3/10/22 12:20:00 PM,C,37
3/10/22 12:50:00 PM,C,35.5
3/10/22 1:20:00 PM,C,30
3/10/22 1:50:00 PM,C,34
3/10/22 2:20:00 PM,C,32.5
3/10/22 2:50:00 PM,C,27
3/10/22 3:20:00 PM,C,26
3/10/22 3:50:00 PM,C,28
3/10/22 4:20:00 PM,C,28.5
3/10/22 4:50:00 PM,C,28
3/10/22 5:20:00 PM,C,24.5
3/10/22 5:50:00 PM,C,24
3/10/22 6:20:00 PM,C,24
3/10/22 6:50:00 PM,C,25
3/10/22 7:20:00 PM,C,25
3/10/22 7:50:00 PM,C,25
3/10/22 8:20:00 PM,C,25
3/10/22 8:50:00 PM,C,25
3/10/22 9:20:00 PM,C,25
3/10/22 9:50:00 PM,C,25
3/10/22 10:20:00 PM,C,25
3/10/22 10:50:00 PM,C,25
3/10/22 11:20:00 PM,C,25
3/10/22 11:50:00 PM,C,25
3/11/22 12:20:00 AM,C,25
3/11/22 12:50:00 AM,C,24.5
3/11/22 1:20:00 AM,C,24.5
3/11/22 1:50:00 AM,C,24
3/11/22 2:20:00 AM,C,24
3/11/22 2:50:00 AM,C,23.5
3/11/22 3:20:00 AM,C,23.5
3/11/22 3:50:00 AM,C,23.5
3/11/22 4:20:00 AM,C,23.5
3/11/22 4:50:00 AM,C,23.5
3/11/22 5:20:00 AM,C,23.5
3/11/22 5:50:00 AM,C,23.5
3/11/22 6:20:00 AM,C,24
3/11/22 6:50:00 AM,C,23.5
3/11/22 7:20:00 AM,C,24.5
3/11/22 7:50:00 AM,C,30
3/11/22 8:20:00 AM,C,30.5
3/11/22 8:50:00 AM,C,34
3/11/22 9:20:00 AM,C,35.5
3/11/22 9:50:00 AM,C,38
3/11/22 10:20:00 AM,C,38.5
3/11/22 10:50:00 AM,C,39.5
3/11/22 11:20:00 AM,C,40
3/11/22 11:50:00 AM,C,39
3/11/22 12:20:00 PM,C,38.5
3/11/22 12:50:00 PM,C,38.5
3/11/22 1:20:00 PM,C,38
3/11/22 1:50:00 PM,C,37
3/11/22 2:20:00 PM,C,35.5
3/11/22 2:50:00 PM,C,34
3/11/22 3:20:00 PM,C,32.5
