1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9900000041610B21
Is Mission Active?  true
Mission Start:  Fri May 13 09:30:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1342
Total Samples:  55828
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/13/22 9:30:00 AM,C,30.5
5/13/22 10:00:00 AM,C,26.5
5/13/22 10:30:00 AM,C,26
5/13/22 11:00:00 AM,C,25.5
5/13/22 11:30:00 AM,C,27
5/13/22 12:00:00 PM,C,30
5/13/22 12:30:00 PM,C,30.5
5/13/22 1:00:00 PM,C,30.5
5/13/22 1:30:00 PM,C,30.5
5/13/22 2:00:00 PM,C,32.5
5/13/22 2:30:00 PM,C,33
5/13/22 3:00:00 PM,C,33.5
5/13/22 3:30:00 PM,C,34
5/13/22 4:00:00 PM,C,34
5/13/22 4:30:00 PM,C,34
5/13/22 5:00:00 PM,C,30.5
5/13/22 5:30:00 PM,C,28.5
5/13/22 6:00:00 PM,C,28
5/13/22 6:30:00 PM,C,27.5
5/13/22 7:00:00 PM,C,27.5
5/13/22 7:30:00 PM,C,27
5/13/22 8:00:00 PM,C,27
5/13/22 8:30:00 PM,C,27
5/13/22 9:00:00 PM,C,25.5
5/13/22 9:30:00 PM,C,26.5
5/13/22 10:00:00 PM,C,25.5
5/13/22 10:30:00 PM,C,25.5
5/13/22 11:00:00 PM,C,25.5
5/13/22 11:30:00 PM,C,25.5
5/14/22 12:00:00 AM,C,25.5
5/14/22 12:30:00 AM,C,25.5
5/14/22 1:00:00 AM,C,25
5/14/22 1:30:00 AM,C,25
5/14/22 2:00:00 AM,C,25.5
5/14/22 2:30:00 AM,C,25.5
5/14/22 3:00:00 AM,C,25.5
5/14/22 3:30:00 AM,C,26
5/14/22 4:00:00 AM,C,26
5/14/22 4:30:00 AM,C,26
5/14/22 5:00:00 AM,C,25.5
5/14/22 5:30:00 AM,C,25.5
5/14/22 6:00:00 AM,C,25.5
5/14/22 6:30:00 AM,C,25.5
5/14/22 7:00:00 AM,C,25.5
5/14/22 7:30:00 AM,C,26.5
5/14/22 8:00:00 AM,C,25.5
5/14/22 8:30:00 AM,C,26
5/14/22 9:00:00 AM,C,27.5
5/14/22 9:30:00 AM,C,27.5
5/14/22 10:00:00 AM,C,29
5/14/22 10:30:00 AM,C,28.5
5/14/22 11:00:00 AM,C,29
5/14/22 11:30:00 AM,C,30
5/14/22 12:00:00 PM,C,30.5
5/14/22 12:30:00 PM,C,31
5/14/22 1:00:00 PM,C,31.5
5/14/22 1:30:00 PM,C,32
5/14/22 2:00:00 PM,C,32.5
5/14/22 2:30:00 PM,C,31
5/14/22 3:00:00 PM,C,32
5/14/22 3:30:00 PM,C,32.5
5/14/22 4:00:00 PM,C,33
5/14/22 4:30:00 PM,C,34.5
5/14/22 5:00:00 PM,C,34.5
5/14/22 5:30:00 PM,C,35
5/14/22 6:00:00 PM,C,33
5/14/22 6:30:00 PM,C,29.5
