1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB000000414B0A21
Is Mission Active?  true
Mission Start:  Mon May 16 08:48:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1203
Total Samples:  55833
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/16/22 8:48:00 AM,C,32
5/16/22 9:18:00 AM,C,38
5/16/22 9:48:00 AM,C,33.5
5/16/22 10:18:00 AM,C,36.5
5/16/22 10:48:00 AM,C,38
5/16/22 11:18:00 AM,C,47
5/16/22 11:48:00 AM,C,49
5/16/22 12:18:00 PM,C,49
5/16/22 12:48:00 PM,C,47.5
5/16/22 1:18:00 PM,C,49.5
5/16/22 1:48:00 PM,C,48
5/16/22 2:18:00 PM,C,48.5
5/16/22 2:48:00 PM,C,44
5/16/22 3:18:00 PM,C,47
5/16/22 3:48:00 PM,C,29
5/16/22 4:18:00 PM,C,38
5/16/22 4:48:00 PM,C,36
5/16/22 5:18:00 PM,C,33
5/16/22 5:48:00 PM,C,32
5/16/22 6:18:00 PM,C,29.5
5/16/22 6:48:00 PM,C,28.5
5/16/22 7:18:00 PM,C,28
5/16/22 7:48:00 PM,C,27.5
5/16/22 8:18:00 PM,C,27
5/16/22 8:48:00 PM,C,27
5/16/22 9:18:00 PM,C,26.5
5/16/22 9:48:00 PM,C,26.5
5/16/22 10:18:00 PM,C,26.5
5/16/22 10:48:00 PM,C,26.5
5/16/22 11:18:00 PM,C,26.5
5/16/22 11:48:00 PM,C,26
5/17/22 12:18:00 AM,C,26
5/17/22 12:48:00 AM,C,26
5/17/22 1:18:00 AM,C,26
5/17/22 1:48:00 AM,C,26
5/17/22 2:18:00 AM,C,26
5/17/22 2:48:00 AM,C,26
5/17/22 3:18:00 AM,C,26
5/17/22 3:48:00 AM,C,26.5
5/17/22 4:18:00 AM,C,26
5/17/22 4:48:00 AM,C,26
5/17/22 5:18:00 AM,C,26
5/17/22 5:48:00 AM,C,26
5/17/22 6:18:00 AM,C,26
5/17/22 6:48:00 AM,C,28.5
5/17/22 7:18:00 AM,C,31
5/17/22 7:48:00 AM,C,31.5
5/17/22 8:18:00 AM,C,35.5
5/17/22 8:48:00 AM,C,37
5/17/22 9:18:00 AM,C,38
5/17/22 9:48:00 AM,C,28.5
5/17/22 10:18:00 AM,C,30
5/17/22 10:48:00 AM,C,32.5
5/17/22 11:18:00 AM,C,46
5/17/22 11:48:00 AM,C,50
5/17/22 12:18:00 PM,C,50.5
5/17/22 12:48:00 PM,C,51.5
5/17/22 1:18:00 PM,C,52
5/17/22 1:48:00 PM,C,52.5
5/17/22 2:18:00 PM,C,48.5
5/17/22 2:48:00 PM,C,47
5/17/22 3:18:00 PM,C,46
5/17/22 3:48:00 PM,C,42
5/17/22 4:18:00 PM,C,38
5/17/22 4:48:00 PM,C,38
5/17/22 5:18:00 PM,C,36
5/17/22 5:48:00 PM,C,31.5
5/17/22 6:18:00 PM,C,30
5/17/22 6:48:00 PM,C,29
5/17/22 7:18:00 PM,C,28
5/17/22 7:48:00 PM,C,27.5
5/17/22 8:18:00 PM,C,27.5
5/17/22 8:48:00 PM,C,27
5/17/22 9:18:00 PM,C,27
5/17/22 9:48:00 PM,C,27
5/17/22 10:18:00 PM,C,27
5/17/22 10:48:00 PM,C,27
5/17/22 11:18:00 PM,C,27
5/17/22 11:48:00 PM,C,27
5/18/22 12:18:00 AM,C,27
5/18/22 12:48:00 AM,C,26.5
5/18/22 1:18:00 AM,C,26.5
5/18/22 1:48:00 AM,C,26.5
5/18/22 2:18:00 AM,C,26.5
5/18/22 2:48:00 AM,C,26.5
5/18/22 3:18:00 AM,C,26.5
5/18/22 3:48:00 AM,C,27
5/18/22 4:18:00 AM,C,26.5
5/18/22 4:48:00 AM,C,26.5
5/18/22 5:18:00 AM,C,26.5
5/18/22 5:48:00 AM,C,26.5
5/18/22 6:18:00 AM,C,27
5/18/22 6:48:00 AM,C,27.5
5/18/22 7:18:00 AM,C,30
5/18/22 7:48:00 AM,C,31
5/18/22 8:18:00 AM,C,35
5/18/22 8:48:00 AM,C,39
5/18/22 9:18:00 AM,C,41.5
5/18/22 9:48:00 AM,C,44
5/18/22 10:18:00 AM,C,46.5
5/18/22 10:48:00 AM,C,47.5
5/18/22 11:18:00 AM,C,50.5
5/18/22 11:48:00 AM,C,53.5
5/18/22 12:18:00 PM,C,55.5
5/18/22 12:48:00 PM,C,59.5
5/18/22 1:18:00 PM,C,57.5
5/18/22 1:48:00 PM,C,56.5
5/18/22 2:18:00 PM,C,55.5
5/18/22 2:48:00 PM,C,53.5
5/18/22 3:18:00 PM,C,50.5
5/18/22 3:48:00 PM,C,49.5
5/18/22 4:18:00 PM,C,44.5
5/18/22 4:48:00 PM,C,40.5
5/18/22 5:18:00 PM,C,38.5
5/18/22 5:48:00 PM,C,35.5
5/18/22 6:18:00 PM,C,32.5
5/18/22 6:48:00 PM,C,30
5/18/22 7:18:00 PM,C,29
5/18/22 7:48:00 PM,C,28
5/18/22 8:18:00 PM,C,27.5
5/18/22 8:48:00 PM,C,27.5
5/18/22 9:18:00 PM,C,27.5
5/18/22 9:48:00 PM,C,27
5/18/22 10:18:00 PM,C,27
5/18/22 10:48:00 PM,C,27
5/18/22 11:18:00 PM,C,27
5/18/22 11:48:00 PM,C,26.5
5/19/22 12:18:00 AM,C,27
5/19/22 12:48:00 AM,C,26.5
5/19/22 1:18:00 AM,C,26.5
