1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F200000041302C21
Is Mission Active?  true
Mission Start:  Mon May 16 08:08:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1202
Total Samples:  55829
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/16/22 8:08:00 AM,C,32
5/16/22 8:38:00 AM,C,32.5
5/16/22 9:08:00 AM,C,37
5/16/22 9:38:00 AM,C,34.5
5/16/22 10:08:00 AM,C,38.5
5/16/22 10:38:00 AM,C,34.5
5/16/22 11:08:00 AM,C,40.5
5/16/22 11:38:00 AM,C,38
5/16/22 12:08:00 PM,C,36.5
5/16/22 12:38:00 PM,C,34.5
5/16/22 1:08:00 PM,C,33.5
5/16/22 1:38:00 PM,C,32.5
5/16/22 2:08:00 PM,C,35
5/16/22 2:38:00 PM,C,34
5/16/22 3:08:00 PM,C,34.5
5/16/22 3:38:00 PM,C,35
5/16/22 4:08:00 PM,C,33
5/16/22 4:38:00 PM,C,33
5/16/22 5:08:00 PM,C,32.5
5/16/22 5:38:00 PM,C,30.5
5/16/22 6:08:00 PM,C,29.5
5/16/22 6:38:00 PM,C,29
5/16/22 7:08:00 PM,C,28.5
5/16/22 7:38:00 PM,C,28.5
5/16/22 8:08:00 PM,C,28
5/16/22 8:38:00 PM,C,27.5
5/16/22 9:08:00 PM,C,27.5
5/16/22 9:38:00 PM,C,27.5
5/16/22 10:08:00 PM,C,27
5/16/22 10:38:00 PM,C,27
5/16/22 11:08:00 PM,C,27
5/16/22 11:38:00 PM,C,27
5/17/22 12:08:00 AM,C,26.5
5/17/22 12:38:00 AM,C,26.5
5/17/22 1:08:00 AM,C,26.5
5/17/22 1:38:00 AM,C,26.5
5/17/22 2:08:00 AM,C,26.5
5/17/22 2:38:00 AM,C,26.5
5/17/22 3:08:00 AM,C,26.5
5/17/22 3:38:00 AM,C,26.5
5/17/22 4:08:00 AM,C,26.5
5/17/22 4:38:00 AM,C,26.5
5/17/22 5:08:00 AM,C,26.5
5/17/22 5:38:00 AM,C,26.5
5/17/22 6:08:00 AM,C,26.5
5/17/22 6:38:00 AM,C,27
5/17/22 7:08:00 AM,C,35
5/17/22 7:38:00 AM,C,35.5
5/17/22 8:08:00 AM,C,42
5/17/22 8:38:00 AM,C,41
5/17/22 9:08:00 AM,C,45.5
5/17/22 9:38:00 AM,C,39
5/17/22 10:08:00 AM,C,35
5/17/22 10:38:00 AM,C,41.5
5/17/22 11:08:00 AM,C,39.5
5/17/22 11:38:00 AM,C,43
5/17/22 12:08:00 PM,C,38
5/17/22 12:38:00 PM,C,37.5
5/17/22 1:08:00 PM,C,36.5
5/17/22 1:38:00 PM,C,35
5/17/22 2:08:00 PM,C,35.5
5/17/22 2:38:00 PM,C,35.5
5/17/22 3:08:00 PM,C,35.5
5/17/22 3:38:00 PM,C,35
5/17/22 4:08:00 PM,C,35
5/17/22 4:38:00 PM,C,34
5/17/22 5:08:00 PM,C,34
5/17/22 5:38:00 PM,C,33
5/17/22 6:08:00 PM,C,31.5
5/17/22 6:38:00 PM,C,30.5
5/17/22 7:08:00 PM,C,29.5
5/17/22 7:38:00 PM,C,29
5/17/22 8:08:00 PM,C,28.5
5/17/22 8:38:00 PM,C,28.5
5/17/22 9:08:00 PM,C,28.5
5/17/22 9:38:00 PM,C,28.5
5/17/22 10:08:00 PM,C,28
5/17/22 10:38:00 PM,C,28
5/17/22 11:08:00 PM,C,28
5/17/22 11:38:00 PM,C,27.5
5/18/22 12:08:00 AM,C,28
5/18/22 12:38:00 AM,C,27.5
5/18/22 1:08:00 AM,C,27.5
5/18/22 1:38:00 AM,C,27
5/18/22 2:08:00 AM,C,27.5
5/18/22 2:38:00 AM,C,27
5/18/22 3:08:00 AM,C,27
5/18/22 3:38:00 AM,C,27
5/18/22 4:08:00 AM,C,27
5/18/22 4:38:00 AM,C,27
5/18/22 5:08:00 AM,C,27
5/18/22 5:38:00 AM,C,27
5/18/22 6:08:00 AM,C,27
5/18/22 6:38:00 AM,C,27.5
5/18/22 7:08:00 AM,C,28.5
5/18/22 7:38:00 AM,C,36.5
5/18/22 8:08:00 AM,C,36.5
5/18/22 8:38:00 AM,C,38.5
5/18/22 9:08:00 AM,C,39.5
5/18/22 9:38:00 AM,C,40
5/18/22 10:08:00 AM,C,42
5/18/22 10:38:00 AM,C,42.5
5/18/22 11:08:00 AM,C,42.5
5/18/22 11:38:00 AM,C,42
5/18/22 12:08:00 PM,C,39
5/18/22 12:38:00 PM,C,38
5/18/22 1:08:00 PM,C,36.5
5/18/22 1:38:00 PM,C,36
5/18/22 2:08:00 PM,C,36
5/18/22 2:38:00 PM,C,35
5/18/22 3:08:00 PM,C,35
5/18/22 3:38:00 PM,C,34.5
5/18/22 4:08:00 PM,C,34
5/18/22 4:38:00 PM,C,33.5
5/18/22 5:08:00 PM,C,32.5
5/18/22 5:38:00 PM,C,32
5/18/22 6:08:00 PM,C,31.5
5/18/22 6:38:00 PM,C,30
5/18/22 7:08:00 PM,C,29.5
5/18/22 7:38:00 PM,C,28.5
5/18/22 8:08:00 PM,C,28
5/18/22 8:38:00 PM,C,28
5/18/22 9:08:00 PM,C,28
5/18/22 9:38:00 PM,C,28
5/18/22 10:08:00 PM,C,28
5/18/22 10:38:00 PM,C,28
5/18/22 11:08:00 PM,C,27.5
5/18/22 11:38:00 PM,C,27.5
5/19/22 12:08:00 AM,C,27.5
5/19/22 12:38:00 AM,C,27.5
5/19/22 1:08:00 AM,C,27
5/19/22 1:38:00 AM,C,27
5/19/22 2:08:00 AM,C,27
5/19/22 2:38:00 AM,C,27
5/19/22 3:08:00 AM,C,26.5
5/19/22 3:38:00 AM,C,26.5
5/19/22 4:08:00 AM,C,26.5
5/19/22 4:38:00 AM,C,26.5
5/19/22 5:08:00 AM,C,26.5
5/19/22 5:38:00 AM,C,26.5
5/19/22 6:08:00 AM,C,27
5/19/22 6:38:00 AM,C,28
5/19/22 7:08:00 AM,C,32
5/19/22 7:38:00 AM,C,38
5/19/22 8:08:00 AM,C,36
5/19/22 8:38:00 AM,C,42
5/19/22 9:08:00 AM,C,46
5/19/22 9:38:00 AM,C,46
5/19/22 10:08:00 AM,C,42
5/19/22 10:38:00 AM,C,41
5/19/22 11:08:00 AM,C,42
5/19/22 11:38:00 AM,C,38.5
5/19/22 12:08:00 PM,C,37.5
5/19/22 12:38:00 PM,C,36
