1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9C000000550FAF21
Is Mission Active?  true
Mission Start:  Fri May 13 09:27:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1342
Total Samples:  5905
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/13/22 9:27:00 AM,C,30.5
5/13/22 9:57:00 AM,C,26.5
5/13/22 10:27:00 AM,C,28.5
5/13/22 10:57:00 AM,C,27
5/13/22 11:27:00 AM,C,30
5/13/22 11:57:00 AM,C,41.5
5/13/22 12:27:00 PM,C,38.5
5/13/22 12:57:00 PM,C,39.5
5/13/22 1:27:00 PM,C,40.5
5/13/22 1:57:00 PM,C,46
5/13/22 2:27:00 PM,C,44
5/13/22 2:57:00 PM,C,41.5
5/13/22 3:27:00 PM,C,41.5
5/13/22 3:57:00 PM,C,33
5/13/22 4:27:00 PM,C,32.5
5/13/22 4:57:00 PM,C,30.5
5/13/22 5:27:00 PM,C,27.5
5/13/22 5:57:00 PM,C,28.5
5/13/22 6:27:00 PM,C,28
5/13/22 6:57:00 PM,C,27.5
5/13/22 7:27:00 PM,C,27
5/13/22 7:57:00 PM,C,26.5
5/13/22 8:27:00 PM,C,26.5
5/13/22 8:57:00 PM,C,25
5/13/22 9:27:00 PM,C,26
5/13/22 9:57:00 PM,C,25.5
5/13/22 10:27:00 PM,C,25
5/13/22 10:57:00 PM,C,25.5
5/13/22 11:27:00 PM,C,24.5
5/13/22 11:57:00 PM,C,25.5
5/14/22 12:27:00 AM,C,25
5/14/22 12:57:00 AM,C,25
5/14/22 1:27:00 AM,C,23.5
5/14/22 1:57:00 AM,C,24.5
5/14/22 2:27:00 AM,C,24
5/14/22 2:57:00 AM,C,24.5
5/14/22 3:27:00 AM,C,24.5
5/14/22 3:57:00 AM,C,24.5
5/14/22 4:27:00 AM,C,24.5
5/14/22 4:57:00 AM,C,24.5
5/14/22 5:27:00 AM,C,23.5
5/14/22 5:57:00 AM,C,23.5
5/14/22 6:27:00 AM,C,23.5
5/14/22 6:57:00 AM,C,24.5
5/14/22 7:27:00 AM,C,26
5/14/22 7:57:00 AM,C,25
5/14/22 8:27:00 AM,C,25
5/14/22 8:57:00 AM,C,28.5
5/14/22 9:27:00 AM,C,30
5/14/22 9:57:00 AM,C,38.5
5/14/22 10:27:00 AM,C,35.5
5/14/22 10:57:00 AM,C,33
5/14/22 11:27:00 AM,C,38.5
5/14/22 11:57:00 AM,C,38.5
5/14/22 12:27:00 PM,C,41
5/14/22 12:57:00 PM,C,38.5
5/14/22 1:27:00 PM,C,38.5
5/14/22 1:57:00 PM,C,38
5/14/22 2:27:00 PM,C,36.5
5/14/22 2:57:00 PM,C,34.5
5/14/22 3:27:00 PM,C,33.5
5/14/22 3:57:00 PM,C,32.5
5/14/22 4:27:00 PM,C,30.5
5/14/22 4:57:00 PM,C,29.5
5/14/22 5:27:00 PM,C,29
5/14/22 5:57:00 PM,C,28
5/14/22 6:27:00 PM,C,27.5
5/14/22 6:57:00 PM,C,26.5
5/14/22 7:27:00 PM,C,26.5
5/14/22 7:57:00 PM,C,26.5
5/14/22 8:27:00 PM,C,26
5/14/22 8:57:00 PM,C,26
5/14/22 9:27:00 PM,C,26
5/14/22 9:57:00 PM,C,26
5/14/22 10:27:00 PM,C,26
5/14/22 10:57:00 PM,C,26
5/14/22 11:27:00 PM,C,26
5/14/22 11:57:00 PM,C,26
5/15/22 12:27:00 AM,C,26
5/15/22 12:57:00 AM,C,25.5
5/15/22 1:27:00 AM,C,25.5
5/15/22 1:57:00 AM,C,25.5
5/15/22 2:27:00 AM,C,25.5
5/15/22 2:57:00 AM,C,25.5
5/15/22 3:27:00 AM,C,25.5
5/15/22 3:57:00 AM,C,25
5/15/22 4:27:00 AM,C,25
5/15/22 4:57:00 AM,C,24.5
5/15/22 5:27:00 AM,C,24.5
5/15/22 5:57:00 AM,C,25
5/15/22 6:27:00 AM,C,26
5/15/22 6:57:00 AM,C,27.5
5/15/22 7:27:00 AM,C,30
5/15/22 7:57:00 AM,C,30
5/15/22 8:27:00 AM,C,34.5
5/15/22 8:57:00 AM,C,38
5/15/22 9:27:00 AM,C,40.5
5/15/22 9:57:00 AM,C,43.5
5/15/22 10:27:00 AM,C,45.5
5/15/22 10:57:00 AM,C,35.5
5/15/22 11:27:00 AM,C,39
5/15/22 11:57:00 AM,C,29
5/15/22 12:27:00 PM,C,40.5
5/15/22 12:57:00 PM,C,37.5
5/15/22 1:27:00 PM,C,38.5
5/15/22 1:57:00 PM,C,39.5
5/15/22 2:27:00 PM,C,35.5
5/15/22 2:57:00 PM,C,37
5/15/22 3:27:00 PM,C,35
5/15/22 3:57:00 PM,C,32.5
5/15/22 4:27:00 PM,C,31.5
5/15/22 4:57:00 PM,C,30.5
5/15/22 5:27:00 PM,C,30
5/15/22 5:57:00 PM,C,29
5/15/22 6:27:00 PM,C,28
5/15/22 6:57:00 PM,C,27
5/15/22 7:27:00 PM,C,26.5
5/15/22 7:57:00 PM,C,26.5
5/15/22 8:27:00 PM,C,26.5
5/15/22 8:57:00 PM,C,25.5
5/15/22 9:27:00 PM,C,26
5/15/22 9:57:00 PM,C,25.5
5/15/22 10:27:00 PM,C,25
5/15/22 10:57:00 PM,C,25
5/15/22 11:27:00 PM,C,24
5/15/22 11:57:00 PM,C,24
5/16/22 12:27:00 AM,C,25
5/16/22 12:57:00 AM,C,24
5/16/22 1:27:00 AM,C,24
5/16/22 1:57:00 AM,C,24
5/16/22 2:27:00 AM,C,25
5/16/22 2:57:00 AM,C,25
5/16/22 3:27:00 AM,C,25
5/16/22 3:57:00 AM,C,24.5
5/16/22 4:27:00 AM,C,25
5/16/22 4:57:00 AM,C,25
5/16/22 5:27:00 AM,C,25
5/16/22 5:57:00 AM,C,25
5/16/22 6:27:00 AM,C,26.5
5/16/22 6:57:00 AM,C,26.5
5/16/22 7:27:00 AM,C,32
5/16/22 7:57:00 AM,C,33.5
5/16/22 8:27:00 AM,C,31
5/16/22 8:57:00 AM,C,37
5/16/22 9:27:00 AM,C,43.5
