1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: FA00000034601F21
Is Mission Active?  true
Mission Start:  Wed May 16 19:09:00 BOT 2018
Sample Rate:  Every 20 minute(s)
Number of Mission Samples:  23293
Total Samples:  23293
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/16/18 7:09:00 PM,C,28.5
5/16/18 7:29:00 PM,C,27
5/16/18 7:49:00 PM,C,26.5
5/16/18 8:09:00 PM,C,26.5
5/16/18 8:29:00 PM,C,27
5/16/18 8:49:00 PM,C,26.5
5/16/18 9:09:00 PM,C,26
5/16/18 9:29:00 PM,C,25.5
5/16/18 9:49:00 PM,C,25.5
5/16/18 10:09:00 PM,C,25.5
5/16/18 10:29:00 PM,C,25.5
5/16/18 10:49:00 PM,C,26
5/16/18 11:09:00 PM,C,26
5/16/18 11:29:00 PM,C,26.5
5/16/18 11:49:00 PM,C,26.5
5/17/18 12:09:00 AM,C,26.5
5/17/18 12:29:00 AM,C,26.5
5/17/18 12:49:00 AM,C,26.5
5/17/18 1:09:00 AM,C,26.5
5/17/18 1:29:00 AM,C,26
5/17/18 1:49:00 AM,C,26
5/17/18 2:09:00 AM,C,25.5
5/17/18 2:29:00 AM,C,25.5
5/17/18 2:49:00 AM,C,25.5
5/17/18 3:09:00 AM,C,25.5
5/17/18 3:29:00 AM,C,25.5
5/17/18 3:49:00 AM,C,25.5
5/17/18 4:09:00 AM,C,25.5
5/17/18 4:29:00 AM,C,25.5
5/17/18 4:49:00 AM,C,25.5
5/17/18 5:09:00 AM,C,25.5
5/17/18 5:29:00 AM,C,25.5
5/17/18 5:49:00 AM,C,25.5
5/17/18 6:09:00 AM,C,25.5
5/17/18 6:29:00 AM,C,25.5
5/17/18 6:49:00 AM,C,25
5/17/18 7:09:00 AM,C,25.5
5/17/18 7:29:00 AM,C,26
5/17/18 7:49:00 AM,C,28
5/17/18 8:09:00 AM,C,28.5
5/17/18 8:29:00 AM,C,29.5
5/17/18 8:49:00 AM,C,30.5
5/17/18 9:09:00 AM,C,30
5/17/18 9:29:00 AM,C,31
5/17/18 9:49:00 AM,C,31
5/17/18 10:09:00 AM,C,37
5/17/18 10:29:00 AM,C,35.5
5/17/18 10:49:00 AM,C,33.5
5/17/18 11:09:00 AM,C,40
5/17/18 11:29:00 AM,C,41.5
5/17/18 11:49:00 AM,C,40
5/17/18 12:09:00 PM,C,40.5
5/17/18 12:29:00 PM,C,41.5
5/17/18 12:49:00 PM,C,43.5
5/17/18 1:09:00 PM,C,41.5
5/17/18 1:29:00 PM,C,43.5
5/17/18 1:49:00 PM,C,38
5/17/18 2:09:00 PM,C,39.5
5/17/18 2:29:00 PM,C,41
5/17/18 2:49:00 PM,C,33.5
5/17/18 3:09:00 PM,C,37.5
5/17/18 3:29:00 PM,C,34
5/17/18 3:49:00 PM,C,28
5/17/18 4:09:00 PM,C,30
5/17/18 4:29:00 PM,C,35
5/17/18 4:49:00 PM,C,34.5
5/17/18 5:09:00 PM,C,34
5/17/18 5:29:00 PM,C,33
5/17/18 5:49:00 PM,C,31
5/17/18 6:09:00 PM,C,29
5/17/18 6:29:00 PM,C,28
5/17/18 6:49:00 PM,C,27
5/17/18 7:09:00 PM,C,27
5/17/18 7:29:00 PM,C,27
5/17/18 7:49:00 PM,C,26.5
5/17/18 8:09:00 PM,C,26
5/17/18 8:29:00 PM,C,26
5/17/18 8:49:00 PM,C,25.5
5/17/18 9:09:00 PM,C,25.5
5/17/18 9:29:00 PM,C,25.5
5/17/18 9:49:00 PM,C,25.5
5/17/18 10:09:00 PM,C,25
5/17/18 10:29:00 PM,C,25.5
5/17/18 10:49:00 PM,C,25.5
5/17/18 11:09:00 PM,C,25
5/17/18 11:29:00 PM,C,25
5/17/18 11:49:00 PM,C,25.5
5/18/18 12:09:00 AM,C,25
5/18/18 12:29:00 AM,C,25
5/18/18 12:49:00 AM,C,25
5/18/18 1:09:00 AM,C,25
5/18/18 1:29:00 AM,C,24.5
5/18/18 1:49:00 AM,C,25
5/18/18 2:09:00 AM,C,23.5
5/18/18 2:29:00 AM,C,23
5/18/18 2:49:00 AM,C,22
5/18/18 3:09:00 AM,C,23
5/18/18 3:29:00 AM,C,23.5
5/18/18 3:49:00 AM,C,23.5
5/18/18 4:09:00 AM,C,23.5
5/18/18 4:29:00 AM,C,23.5
5/18/18 4:49:00 AM,C,24
5/18/18 5:09:00 AM,C,24
5/18/18 5:29:00 AM,C,23.5
5/18/18 5:49:00 AM,C,24
5/18/18 6:09:00 AM,C,24.5
5/18/18 6:29:00 AM,C,25
5/18/18 6:49:00 AM,C,25.5
5/18/18 7:09:00 AM,C,26
5/18/18 7:29:00 AM,C,25.5
5/18/18 7:49:00 AM,C,26.5
5/18/18 8:09:00 AM,C,28.5
5/18/18 8:29:00 AM,C,25
5/18/18 8:49:00 AM,C,29
5/18/18 9:09:00 AM,C,29
5/18/18 9:29:00 AM,C,36.5
5/18/18 9:49:00 AM,C,34
5/18/18 10:09:00 AM,C,39.5
5/18/18 10:29:00 AM,C,36
5/18/18 10:49:00 AM,C,41
5/18/18 11:09:00 AM,C,38
5/18/18 11:29:00 AM,C,40
5/18/18 11:49:00 AM,C,40.5
5/18/18 12:09:00 PM,C,41
5/18/18 12:29:00 PM,C,36
5/18/18 12:49:00 PM,C,38
5/18/18 1:09:00 PM,C,37
5/18/18 1:29:00 PM,C,36.5
5/18/18 1:49:00 PM,C,37
5/18/18 2:09:00 PM,C,37
5/18/18 2:29:00 PM,C,37.5
5/18/18 2:49:00 PM,C,36.5
5/18/18 3:09:00 PM,C,37.5
5/18/18 3:29:00 PM,C,35
5/18/18 3:49:00 PM,C,34.5
5/18/18 4:09:00 PM,C,33.5
5/18/18 4:29:00 PM,C,33
5/18/18 4:49:00 PM,C,31.5
5/18/18 5:09:00 PM,C,31
