1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2A000000346DC421
Is Mission Active?  true
Mission Start:  Fri Sep 07 13:42:00 BOT 2018
Sample Rate:  Every 20 minute(s)
Number of Mission Samples:  2731
Total Samples:  11389
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/7/18 1:42:00 PM,C,36.5
9/7/18 2:02:00 PM,C,41.5
9/7/18 2:22:00 PM,C,39
9/7/18 2:42:00 PM,C,37.5
9/7/18 3:02:00 PM,C,40.5
9/7/18 3:22:00 PM,C,41.5
9/7/18 3:42:00 PM,C,45.5
9/7/18 4:02:00 PM,C,39
9/7/18 4:22:00 PM,C,37
9/7/18 4:42:00 PM,C,38.5
9/7/18 5:02:00 PM,C,42.5
9/7/18 5:22:00 PM,C,39
9/7/18 5:42:00 PM,C,32
9/7/18 6:02:00 PM,C,30.5
9/7/18 6:22:00 PM,C,30
9/7/18 6:42:00 PM,C,29
9/7/18 7:02:00 PM,C,29
9/7/18 7:22:00 PM,C,28.5
9/7/18 7:42:00 PM,C,28.5
9/7/18 8:02:00 PM,C,28
9/7/18 8:22:00 PM,C,28
9/7/18 8:42:00 PM,C,28
9/7/18 9:02:00 PM,C,28
9/7/18 9:22:00 PM,C,27.5
9/7/18 9:42:00 PM,C,27.5
9/7/18 10:02:00 PM,C,27.5
9/7/18 10:22:00 PM,C,27.5
9/7/18 10:42:00 PM,C,28
9/7/18 11:02:00 PM,C,28
9/7/18 11:22:00 PM,C,28
9/7/18 11:42:00 PM,C,28
9/8/18 12:02:00 AM,C,27.5
9/8/18 12:22:00 AM,C,27.5
9/8/18 12:42:00 AM,C,27.5
9/8/18 1:02:00 AM,C,27
9/8/18 1:22:00 AM,C,27
9/8/18 1:42:00 AM,C,26.5
9/8/18 2:02:00 AM,C,26.5
9/8/18 2:22:00 AM,C,26.5
9/8/18 2:42:00 AM,C,26.5
9/8/18 3:02:00 AM,C,27
9/8/18 3:22:00 AM,C,26.5
9/8/18 3:42:00 AM,C,26.5
9/8/18 4:02:00 AM,C,26
9/8/18 4:22:00 AM,C,25.5
9/8/18 4:42:00 AM,C,25
9/8/18 5:02:00 AM,C,25.5
9/8/18 5:22:00 AM,C,25.5
9/8/18 5:42:00 AM,C,25
9/8/18 6:02:00 AM,C,25
9/8/18 6:22:00 AM,C,26
9/8/18 6:42:00 AM,C,27
9/8/18 7:02:00 AM,C,29
9/8/18 7:22:00 AM,C,29
9/8/18 7:42:00 AM,C,29.5
9/8/18 8:02:00 AM,C,36
9/8/18 8:22:00 AM,C,33
9/8/18 8:42:00 AM,C,32.5
9/8/18 9:02:00 AM,C,37
9/8/18 9:22:00 AM,C,45.5
9/8/18 9:42:00 AM,C,50
9/8/18 10:02:00 AM,C,50
9/8/18 10:22:00 AM,C,53.5
9/8/18 10:42:00 AM,C,54
9/8/18 11:02:00 AM,C,57
9/8/18 11:22:00 AM,C,55.5
9/8/18 11:42:00 AM,C,63.5
9/8/18 12:02:00 PM,C,47
9/8/18 12:22:00 PM,C,42
9/8/18 12:42:00 PM,C,53
9/8/18 1:02:00 PM,C,47
9/8/18 1:22:00 PM,C,53
9/8/18 1:42:00 PM,C,42
9/8/18 2:02:00 PM,C,40
9/8/18 2:22:00 PM,C,41.5
9/8/18 2:42:00 PM,C,40.5
9/8/18 3:02:00 PM,C,47.5
9/8/18 3:22:00 PM,C,48.5
9/8/18 3:42:00 PM,C,41.5
9/8/18 4:02:00 PM,C,38
9/8/18 4:22:00 PM,C,38.5
9/8/18 4:42:00 PM,C,37
9/8/18 5:02:00 PM,C,29
9/8/18 5:22:00 PM,C,33
9/8/18 5:42:00 PM,C,34.5
9/8/18 6:02:00 PM,C,32.5
9/8/18 6:22:00 PM,C,30.5
9/8/18 6:42:00 PM,C,28.5
9/8/18 7:02:00 PM,C,27.5
9/8/18 7:22:00 PM,C,27
9/8/18 7:42:00 PM,C,25.5
9/8/18 8:02:00 PM,C,26
9/8/18 8:22:00 PM,C,25.5
9/8/18 8:42:00 PM,C,25.5
9/8/18 9:02:00 PM,C,25.5
9/8/18 9:22:00 PM,C,25.5
9/8/18 9:42:00 PM,C,25
9/8/18 10:02:00 PM,C,25
9/8/18 10:22:00 PM,C,25.5
9/8/18 10:42:00 PM,C,25.5
9/8/18 11:02:00 PM,C,25
9/8/18 11:22:00 PM,C,25
9/8/18 11:42:00 PM,C,25
9/9/18 12:02:00 AM,C,25
9/9/18 12:22:00 AM,C,25
9/9/18 12:42:00 AM,C,25
9/9/18 1:02:00 AM,C,25
9/9/18 1:22:00 AM,C,25
9/9/18 1:42:00 AM,C,24.5
9/9/18 2:02:00 AM,C,24.5
9/9/18 2:22:00 AM,C,24.5
9/9/18 2:42:00 AM,C,24
9/9/18 3:02:00 AM,C,24
9/9/18 3:22:00 AM,C,24
9/9/18 3:42:00 AM,C,24
9/9/18 4:02:00 AM,C,24
9/9/18 4:22:00 AM,C,24
9/9/18 4:42:00 AM,C,24
9/9/18 5:02:00 AM,C,23.5
9/9/18 5:22:00 AM,C,23.5
9/9/18 5:42:00 AM,C,23.5
9/9/18 6:02:00 AM,C,24
9/9/18 6:22:00 AM,C,24
9/9/18 6:42:00 AM,C,24.5
9/9/18 7:02:00 AM,C,25
9/9/18 7:22:00 AM,C,26
9/9/18 7:42:00 AM,C,26.5
9/9/18 8:02:00 AM,C,32.5
9/9/18 8:22:00 AM,C,30.5
9/9/18 8:42:00 AM,C,30
9/9/18 9:02:00 AM,C,34.5
9/9/18 9:22:00 AM,C,41.5
9/9/18 9:42:00 AM,C,45
9/9/18 10:02:00 AM,C,48.5
9/9/18 10:22:00 AM,C,49.5
9/9/18 10:42:00 AM,C,51.5
9/9/18 11:02:00 AM,C,54.5
9/9/18 11:22:00 AM,C,55.5
9/9/18 11:42:00 AM,C,58
9/9/18 12:02:00 PM,C,59
9/9/18 12:22:00 PM,C,59
9/9/18 12:42:00 PM,C,59
9/9/18 1:02:00 PM,C,55
9/9/18 1:22:00 PM,C,54.5
9/9/18 1:42:00 PM,C,40.5
9/9/18 2:02:00 PM,C,37.5
9/9/18 2:22:00 PM,C,36.5
9/9/18 2:42:00 PM,C,37
9/9/18 3:02:00 PM,C,45.5
