1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 390000003476A021
Is Mission Active?  true
Mission Start:  Fri Sep 07 09:23:00 BOT 2018
Sample Rate:  Every 20 minute(s)
Number of Mission Samples:  2744
Total Samples:  187770
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/7/18 9:23:00 AM,C,30
9/7/18 9:43:00 AM,C,30
9/7/18 10:03:00 AM,C,30.5
9/7/18 10:23:00 AM,C,30.5
9/7/18 10:43:00 AM,C,30.5
9/7/18 11:03:00 AM,C,33.5
9/7/18 11:23:00 AM,C,31.5
9/7/18 11:43:00 AM,C,31.5
9/7/18 12:03:00 PM,C,31
9/7/18 12:23:00 PM,C,31.5
9/7/18 12:43:00 PM,C,31.5
9/7/18 1:03:00 PM,C,30.5
9/7/18 1:23:00 PM,C,30.5
9/7/18 1:43:00 PM,C,30.5
9/7/18 2:03:00 PM,C,30.5
9/7/18 2:23:00 PM,C,30
9/7/18 2:43:00 PM,C,30
9/7/18 3:03:00 PM,C,29.5
9/7/18 3:23:00 PM,C,29.5
9/7/18 3:43:00 PM,C,29.5
9/7/18 4:03:00 PM,C,29.5
9/7/18 4:23:00 PM,C,29
9/7/18 4:43:00 PM,C,29
9/7/18 5:03:00 PM,C,29
9/7/18 5:23:00 PM,C,28.5
9/7/18 5:43:00 PM,C,28.5
9/7/18 6:03:00 PM,C,28
9/7/18 6:23:00 PM,C,28
9/7/18 6:43:00 PM,C,27.5
9/7/18 7:03:00 PM,C,27.5
9/7/18 7:23:00 PM,C,27.5
9/7/18 7:43:00 PM,C,27.5
9/7/18 8:03:00 PM,C,27.5
9/7/18 8:23:00 PM,C,27.5
9/7/18 8:43:00 PM,C,27.5
9/7/18 9:03:00 PM,C,27.5
9/7/18 9:23:00 PM,C,27.5
9/7/18 9:43:00 PM,C,27.5
9/7/18 10:03:00 PM,C,27.5
9/7/18 10:23:00 PM,C,27.5
9/7/18 10:43:00 PM,C,27.5
9/7/18 11:03:00 PM,C,27.5
9/7/18 11:23:00 PM,C,27.5
9/7/18 11:43:00 PM,C,27.5
9/8/18 12:03:00 AM,C,27
9/8/18 12:23:00 AM,C,27
9/8/18 12:43:00 AM,C,27
9/8/18 1:03:00 AM,C,27
9/8/18 1:23:00 AM,C,27
9/8/18 1:43:00 AM,C,27
9/8/18 2:03:00 AM,C,27
9/8/18 2:23:00 AM,C,27
9/8/18 2:43:00 AM,C,27
9/8/18 3:03:00 AM,C,27
9/8/18 3:23:00 AM,C,26.5
9/8/18 3:43:00 AM,C,26.5
9/8/18 4:03:00 AM,C,26.5
9/8/18 4:23:00 AM,C,26.5
9/8/18 4:43:00 AM,C,26.5
9/8/18 5:03:00 AM,C,26.5
9/8/18 5:23:00 AM,C,26.5
9/8/18 5:43:00 AM,C,26.5
9/8/18 6:03:00 AM,C,26.5
9/8/18 6:23:00 AM,C,26.5
9/8/18 6:43:00 AM,C,27
9/8/18 7:03:00 AM,C,27.5
9/8/18 7:23:00 AM,C,28
9/8/18 7:43:00 AM,C,28.5
9/8/18 8:03:00 AM,C,29.5
9/8/18 8:23:00 AM,C,29.5
9/8/18 8:43:00 AM,C,30
9/8/18 9:03:00 AM,C,30.5
9/8/18 9:23:00 AM,C,30
9/8/18 9:43:00 AM,C,30.5
9/8/18 10:03:00 AM,C,30.5
9/8/18 10:23:00 AM,C,31
9/8/18 10:43:00 AM,C,31.5
9/8/18 11:03:00 AM,C,37
9/8/18 11:23:00 AM,C,32
9/8/18 11:43:00 AM,C,32.5
9/8/18 12:03:00 PM,C,31.5
9/8/18 12:23:00 PM,C,30.5
9/8/18 12:43:00 PM,C,30.5
9/8/18 1:03:00 PM,C,31
9/8/18 1:23:00 PM,C,30.5
9/8/18 1:43:00 PM,C,30.5
9/8/18 2:03:00 PM,C,30.5
9/8/18 2:23:00 PM,C,31
9/8/18 2:43:00 PM,C,30.5
9/8/18 3:03:00 PM,C,30.5
9/8/18 3:23:00 PM,C,30.5
9/8/18 3:43:00 PM,C,30
