1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4700000031268421
Is Mission Active?  true
Mission Start:  Fri Jul 27 09:29:00 BOT 2018
Sample Rate:  Every 20 minute(s)
Number of Mission Samples:  5768
Total Samples:  19197
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/27/18 9:29:00 AM,C,32.5
7/27/18 9:49:00 AM,C,31
7/27/18 10:09:00 AM,C,31.5
7/27/18 10:29:00 AM,C,32
7/27/18 10:49:00 AM,C,32.5
7/27/18 11:09:00 AM,C,32
7/27/18 11:29:00 AM,C,34
7/27/18 11:49:00 AM,C,33.5
7/27/18 12:09:00 PM,C,34
7/27/18 12:29:00 PM,C,34.5
7/27/18 12:49:00 PM,C,35
7/27/18 1:09:00 PM,C,38
7/27/18 1:29:00 PM,C,40
7/27/18 1:49:00 PM,C,39.5
7/27/18 2:09:00 PM,C,43.5
7/27/18 2:29:00 PM,C,51
7/27/18 2:49:00 PM,C,51.5
7/27/18 3:09:00 PM,C,54.5
7/27/18 3:29:00 PM,C,54
7/27/18 3:49:00 PM,C,53
7/27/18 4:09:00 PM,C,52.5
7/27/18 4:29:00 PM,C,47
7/27/18 4:49:00 PM,C,36
7/27/18 5:09:00 PM,C,36
7/27/18 5:29:00 PM,C,32
7/27/18 5:49:00 PM,C,32
7/27/18 6:09:00 PM,C,30.5
7/27/18 6:29:00 PM,C,29
7/27/18 6:49:00 PM,C,28.5
7/27/18 7:09:00 PM,C,28
7/27/18 7:29:00 PM,C,28
7/27/18 7:49:00 PM,C,28
7/27/18 8:09:00 PM,C,28
7/27/18 8:29:00 PM,C,27.5
7/27/18 8:49:00 PM,C,27.5
7/27/18 9:09:00 PM,C,27.5
7/27/18 9:29:00 PM,C,27.5
7/27/18 9:49:00 PM,C,27.5
7/27/18 10:09:00 PM,C,27.5
7/27/18 10:29:00 PM,C,27.5
7/27/18 10:49:00 PM,C,27.5
7/27/18 11:09:00 PM,C,27.5
7/27/18 11:29:00 PM,C,27.5
7/27/18 11:49:00 PM,C,27.5
7/28/18 12:09:00 AM,C,27.5
7/28/18 12:29:00 AM,C,27.5
7/28/18 12:49:00 AM,C,27
7/28/18 1:09:00 AM,C,27
7/28/18 1:29:00 AM,C,27
7/28/18 1:49:00 AM,C,27
7/28/18 2:09:00 AM,C,27
7/28/18 2:29:00 AM,C,27
7/28/18 2:49:00 AM,C,27
7/28/18 3:09:00 AM,C,27
7/28/18 3:29:00 AM,C,27
7/28/18 3:49:00 AM,C,26.5
7/28/18 4:09:00 AM,C,26.5
7/28/18 4:29:00 AM,C,26.5
7/28/18 4:49:00 AM,C,27
7/28/18 5:09:00 AM,C,26
7/28/18 5:29:00 AM,C,26.5
7/28/18 5:49:00 AM,C,26.5
7/28/18 6:09:00 AM,C,26.5
7/28/18 6:29:00 AM,C,26.5
7/28/18 6:49:00 AM,C,25.5
7/28/18 7:09:00 AM,C,25.5
7/28/18 7:29:00 AM,C,26
7/28/18 7:49:00 AM,C,26.5
7/28/18 8:09:00 AM,C,28
7/28/18 8:29:00 AM,C,28
7/28/18 8:49:00 AM,C,26
7/28/18 9:09:00 AM,C,28
7/28/18 9:29:00 AM,C,29
7/28/18 9:49:00 AM,C,29
7/28/18 10:09:00 AM,C,29.5
7/28/18 10:29:00 AM,C,29.5
7/28/18 10:49:00 AM,C,29.5
7/28/18 11:09:00 AM,C,29.5
7/28/18 11:29:00 AM,C,30
7/28/18 11:49:00 AM,C,30
7/28/18 12:09:00 PM,C,30
7/28/18 12:29:00 PM,C,30
7/28/18 12:49:00 PM,C,30
7/28/18 1:09:00 PM,C,30
7/28/18 1:29:00 PM,C,30.5
7/28/18 1:49:00 PM,C,30.5
7/28/18 2:09:00 PM,C,35
7/28/18 2:29:00 PM,C,37
7/28/18 2:49:00 PM,C,37.5
7/28/18 3:09:00 PM,C,39
7/28/18 3:29:00 PM,C,38.5
7/28/18 3:49:00 PM,C,37.5
7/28/18 4:09:00 PM,C,37
7/28/18 4:29:00 PM,C,36
7/28/18 4:49:00 PM,C,35
7/28/18 5:09:00 PM,C,34
7/28/18 5:29:00 PM,C,32.5
7/28/18 5:49:00 PM,C,31.5
7/28/18 6:09:00 PM,C,29.5
7/28/18 6:29:00 PM,C,28.5
7/28/18 6:49:00 PM,C,28
7/28/18 7:09:00 PM,C,28
7/28/18 7:29:00 PM,C,27.5
7/28/18 7:49:00 PM,C,27.5
7/28/18 8:09:00 PM,C,28
7/28/18 8:29:00 PM,C,27.5
7/28/18 8:49:00 PM,C,27.5
7/28/18 9:09:00 PM,C,27.5
7/28/18 9:29:00 PM,C,27.5
7/28/18 9:49:00 PM,C,27.5
7/28/18 10:09:00 PM,C,25
7/28/18 10:29:00 PM,C,26
7/28/18 10:49:00 PM,C,26.5
7/28/18 11:09:00 PM,C,27
7/28/18 11:29:00 PM,C,26.5
7/28/18 11:49:00 PM,C,26.5
7/29/18 12:09:00 AM,C,27
7/29/18 12:29:00 AM,C,27
7/29/18 12:49:00 AM,C,27
7/29/18 1:09:00 AM,C,27
7/29/18 1:29:00 AM,C,27
7/29/18 1:49:00 AM,C,27
7/29/18 2:09:00 AM,C,27
7/29/18 2:29:00 AM,C,27
7/29/18 2:49:00 AM,C,27
7/29/18 3:09:00 AM,C,27
7/29/18 3:29:00 AM,C,27
7/29/18 3:49:00 AM,C,27
7/29/18 4:09:00 AM,C,27
7/29/18 4:29:00 AM,C,26.5
7/29/18 4:49:00 AM,C,27
7/29/18 5:09:00 AM,C,26.5
7/29/18 5:29:00 AM,C,26.5
7/29/18 5:49:00 AM,C,26
7/29/18 6:09:00 AM,C,26.5
7/29/18 6:29:00 AM,C,27
7/29/18 6:49:00 AM,C,27
7/29/18 7:09:00 AM,C,27.5
7/29/18 7:29:00 AM,C,28.5
7/29/18 7:49:00 AM,C,28.5
7/29/18 8:09:00 AM,C,29
7/29/18 8:29:00 AM,C,29.5
7/29/18 8:49:00 AM,C,29.5
7/29/18 9:09:00 AM,C,29.5
7/29/18 9:29:00 AM,C,30
7/29/18 9:49:00 AM,C,30
7/29/18 10:09:00 AM,C,30.5
7/29/18 10:29:00 AM,C,30.5
7/29/18 10:49:00 AM,C,31
7/29/18 11:09:00 AM,C,31
7/29/18 11:29:00 AM,C,31
7/29/18 11:49:00 AM,C,31.5
7/29/18 12:09:00 PM,C,31.5
7/29/18 12:29:00 PM,C,31.5
7/29/18 12:49:00 PM,C,32
7/29/18 1:09:00 PM,C,32
7/29/18 1:29:00 PM,C,32
7/29/18 1:49:00 PM,C,32
7/29/18 2:09:00 PM,C,35
7/29/18 2:29:00 PM,C,37
7/29/18 2:49:00 PM,C,37.5
7/29/18 3:09:00 PM,C,37
7/29/18 3:29:00 PM,C,34
7/29/18 3:49:00 PM,C,35
7/29/18 4:09:00 PM,C,34
7/29/18 4:29:00 PM,C,34.5
7/29/18 4:49:00 PM,C,34.5
7/29/18 5:09:00 PM,C,33
7/29/18 5:29:00 PM,C,31
7/29/18 5:49:00 PM,C,30.5
7/29/18 6:09:00 PM,C,29.5
7/29/18 6:29:00 PM,C,28.5
7/29/18 6:49:00 PM,C,28.5
7/29/18 7:09:00 PM,C,28
7/29/18 7:29:00 PM,C,28
7/29/18 7:49:00 PM,C,28
7/29/18 8:09:00 PM,C,27.5
7/29/18 8:29:00 PM,C,27.5
7/29/18 8:49:00 PM,C,27.5
7/29/18 9:09:00 PM,C,27.5
7/29/18 9:29:00 PM,C,27.5
7/29/18 9:49:00 PM,C,27.5
7/29/18 10:09:00 PM,C,27.5
7/29/18 10:29:00 PM,C,27.5
7/29/18 10:49:00 PM,C,27.5
7/29/18 11:09:00 PM,C,27.5
7/29/18 11:29:00 PM,C,27.5
7/29/18 11:49:00 PM,C,27.5
7/30/18 12:09:00 AM,C,27.5
7/30/18 12:29:00 AM,C,27.5
7/30/18 12:49:00 AM,C,27.5
7/30/18 1:09:00 AM,C,27.5
7/30/18 1:29:00 AM,C,27.5
7/30/18 1:49:00 AM,C,27
7/30/18 2:09:00 AM,C,27
7/30/18 2:29:00 AM,C,27
7/30/18 2:49:00 AM,C,27
7/30/18 3:09:00 AM,C,26.5
7/30/18 3:29:00 AM,C,26.5
7/30/18 3:49:00 AM,C,26.5
7/30/18 4:09:00 AM,C,27
7/30/18 4:29:00 AM,C,27
7/30/18 4:49:00 AM,C,26.5
7/30/18 5:09:00 AM,C,27
7/30/18 5:29:00 AM,C,26.5
7/30/18 5:49:00 AM,C,26.5
7/30/18 6:09:00 AM,C,26.5
7/30/18 6:29:00 AM,C,27
7/30/18 6:49:00 AM,C,27.5
7/30/18 7:09:00 AM,C,28
7/30/18 7:29:00 AM,C,29
7/30/18 7:49:00 AM,C,29
7/30/18 8:09:00 AM,C,30
7/30/18 8:29:00 AM,C,30.5
7/30/18 8:49:00 AM,C,31
7/30/18 9:09:00 AM,C,30.5
7/30/18 9:29:00 AM,C,31
7/30/18 9:49:00 AM,C,30
7/30/18 10:09:00 AM,C,30.5
7/30/18 10:29:00 AM,C,30.5
7/30/18 10:49:00 AM,C,31
7/30/18 11:09:00 AM,C,31.5
7/30/18 11:29:00 AM,C,31
7/30/18 11:49:00 AM,C,30.5
7/30/18 12:09:00 PM,C,31
7/30/18 12:29:00 PM,C,32.5
7/30/18 12:49:00 PM,C,31
7/30/18 1:09:00 PM,C,31.5
7/30/18 1:29:00 PM,C,31.5
7/30/18 1:49:00 PM,C,31.5
7/30/18 2:09:00 PM,C,36
7/30/18 2:29:00 PM,C,40.5
7/30/18 2:49:00 PM,C,40.5
7/30/18 3:09:00 PM,C,39.5
7/30/18 3:29:00 PM,C,39
7/30/18 3:49:00 PM,C,38
7/30/18 4:09:00 PM,C,37.5
7/30/18 4:29:00 PM,C,37
7/30/18 4:49:00 PM,C,36
7/30/18 5:09:00 PM,C,34
7/30/18 5:29:00 PM,C,32
7/30/18 5:49:00 PM,C,31
7/30/18 6:09:00 PM,C,30
7/30/18 6:29:00 PM,C,29
7/30/18 6:49:00 PM,C,28.5
7/30/18 7:09:00 PM,C,28.5
7/30/18 7:29:00 PM,C,28
7/30/18 7:49:00 PM,C,28
7/30/18 8:09:00 PM,C,28
7/30/18 8:29:00 PM,C,28
7/30/18 8:49:00 PM,C,27.5
7/30/18 9:09:00 PM,C,27.5
7/30/18 9:29:00 PM,C,28
7/30/18 9:49:00 PM,C,27.5
7/30/18 10:09:00 PM,C,27.5
7/30/18 10:29:00 PM,C,27.5
7/30/18 10:49:00 PM,C,27.5
7/30/18 11:09:00 PM,C,27.5
7/30/18 11:29:00 PM,C,27.5
7/30/18 11:49:00 PM,C,27.5
7/31/18 12:09:00 AM,C,28
7/31/18 12:29:00 AM,C,28
7/31/18 12:49:00 AM,C,28
7/31/18 1:09:00 AM,C,28
7/31/18 1:29:00 AM,C,28
7/31/18 1:49:00 AM,C,28
7/31/18 2:09:00 AM,C,27.5
7/31/18 2:29:00 AM,C,28
7/31/18 2:49:00 AM,C,28
7/31/18 3:09:00 AM,C,28
7/31/18 3:29:00 AM,C,27.5
7/31/18 3:49:00 AM,C,27.5
7/31/18 4:09:00 AM,C,27.5
7/31/18 4:29:00 AM,C,27.5
7/31/18 4:49:00 AM,C,27.5
7/31/18 5:09:00 AM,C,27.5
7/31/18 5:29:00 AM,C,27
7/31/18 5:49:00 AM,C,27
7/31/18 6:09:00 AM,C,27
7/31/18 6:29:00 AM,C,27.5
7/31/18 6:49:00 AM,C,28
7/31/18 7:09:00 AM,C,28
7/31/18 7:29:00 AM,C,28.5
7/31/18 7:49:00 AM,C,28.5
7/31/18 8:09:00 AM,C,29.5
7/31/18 8:29:00 AM,C,30
7/31/18 8:49:00 AM,C,30
7/31/18 9:09:00 AM,C,30
7/31/18 9:29:00 AM,C,30.5
7/31/18 9:49:00 AM,C,31
7/31/18 10:09:00 AM,C,31
7/31/18 10:29:00 AM,C,31
7/31/18 10:49:00 AM,C,31
7/31/18 11:09:00 AM,C,31
7/31/18 11:29:00 AM,C,31
7/31/18 11:49:00 AM,C,31
7/31/18 12:09:00 PM,C,31
7/31/18 12:29:00 PM,C,31.5
7/31/18 12:49:00 PM,C,31
7/31/18 1:09:00 PM,C,32
7/31/18 1:29:00 PM,C,32
7/31/18 1:49:00 PM,C,31
7/31/18 2:09:00 PM,C,35.5
7/31/18 2:29:00 PM,C,36.5
7/31/18 2:49:00 PM,C,37
7/31/18 3:09:00 PM,C,32.5
7/31/18 3:29:00 PM,C,32.5
7/31/18 3:49:00 PM,C,34
7/31/18 4:09:00 PM,C,32.5
7/31/18 4:29:00 PM,C,34.5
7/31/18 4:49:00 PM,C,32
7/31/18 5:09:00 PM,C,33.5
7/31/18 5:29:00 PM,C,28.5
7/31/18 5:49:00 PM,C,30.5
7/31/18 6:09:00 PM,C,29
7/31/18 6:29:00 PM,C,29
7/31/18 6:49:00 PM,C,28.5
7/31/18 7:09:00 PM,C,28
7/31/18 7:29:00 PM,C,27.5
7/31/18 7:49:00 PM,C,27.5
7/31/18 8:09:00 PM,C,27.5
7/31/18 8:29:00 PM,C,27.5
7/31/18 8:49:00 PM,C,27.5
7/31/18 9:09:00 PM,C,27.5
7/31/18 9:29:00 PM,C,27.5
7/31/18 9:49:00 PM,C,27.5
7/31/18 10:09:00 PM,C,27.5
7/31/18 10:29:00 PM,C,27.5
7/31/18 10:49:00 PM,C,27.5
7/31/18 11:09:00 PM,C,27.5
7/31/18 11:29:00 PM,C,27.5
7/31/18 11:49:00 PM,C,27
8/1/18 12:09:00 AM,C,27
8/1/18 12:29:00 AM,C,27
8/1/18 12:49:00 AM,C,27
8/1/18 1:09:00 AM,C,26.5
8/1/18 1:29:00 AM,C,26.5
8/1/18 1:49:00 AM,C,26.5
8/1/18 2:09:00 AM,C,26.5
8/1/18 2:29:00 AM,C,26.5
8/1/18 2:49:00 AM,C,26.5
8/1/18 3:09:00 AM,C,26
8/1/18 3:29:00 AM,C,26
8/1/18 3:49:00 AM,C,26
8/1/18 4:09:00 AM,C,26.5
8/1/18 4:29:00 AM,C,26.5
8/1/18 4:49:00 AM,C,24
8/1/18 5:09:00 AM,C,24.5
8/1/18 5:29:00 AM,C,23.5
8/1/18 5:49:00 AM,C,23.5
8/1/18 6:09:00 AM,C,24.5
8/1/18 6:29:00 AM,C,24.5
8/1/18 6:49:00 AM,C,25
8/1/18 7:09:00 AM,C,25.5
8/1/18 7:29:00 AM,C,26
8/1/18 7:49:00 AM,C,27.5
8/1/18 8:09:00 AM,C,28
8/1/18 8:29:00 AM,C,28.5
8/1/18 8:49:00 AM,C,29
8/1/18 9:09:00 AM,C,29.5
8/1/18 9:29:00 AM,C,30.5
8/1/18 9:49:00 AM,C,30.5
8/1/18 10:09:00 AM,C,30.5
8/1/18 10:29:00 AM,C,30.5
8/1/18 10:49:00 AM,C,30.5
8/1/18 11:09:00 AM,C,30.5
