AnimalID,Sex,Group,DOB,Age,Rank,Social,Survival,Time,Age_entry.days.,Age_event.days.,Group_size,Social_integration,Social_ord,Rank_ord
07D,1,F,01/04/1995,22,3,3,1,365,8295,8660,114,-0.275896074,average,1
3L1,1,F,10/02/2010,6,4,7,1,365,2545,2910,114,1.525542997,High,1
43P,1,F,1/16/2001,16,1,3,1,365,6091,6456,114,-0.275896074,average,1
6I9,1,F,9/27/2009,7,6,6,1,365,2915,3280,114,1.075183229,High,1
96B,1,F,01/06/1994,23,5,7,1,365,8658,9023,114,1.525542997,High,1
9D1,1,F,10/15/2006,10,2,7,1,365,3993,4358,114,1.525542997,High,1
17K,1,F,11/20/1998,18,31,0,1,365,6881,7246,114,-1.626975377,Low,3
18Z,1,F,2/15/2004,13,26,3,1,365,4966,5331,114,-0.275896074,average,3
1J0,1,F,11/30/2009,7,21,2,1,365,2851,3216,114,-0.726255841,average,3
1J2,1,F,09/17/2009,8,25,4,1,365,2925,3290,114,0.174463694,average,3
2C9,1,F,10/25/2005,11,33,2,1,365,4348,4713,114,-0.726255841,average,3
2I0,1,F,9/29/2009,7,28,0,1,365,2913,3278,114,-1.626975377,Low,3
42T,1,F,12/28/2002,14,23,8,1,365,5380,5745,111,3.435216345,High,3
5G7,1,F,10/15/2008,8,18,2,2,153,3262,3415,114,-0.726255841,average,3
7D7,1,F,10/25/2006,10,34,3,1,365,3983,4348,114,-0.275896074,average,3
7J6,1,F,10/02/2009,7,29,2,1,365,2910,3275,114,-0.726255841,average,3
84J,1,F,01/04/1999,18,32,1,2,13,6834,6847,114,-1.176615609,Low,3
8C2,1,F,11/30/2006,10,24,3,1,365,3947,4312,114,-0.275896074,average,3
8H0,1,F,10/13/2008,8,30,3,1,365,3264,3629,114,-0.275896074,average,3
9F5,1,F,9/19/2007,10,20,1,1,365,3654,4019,114,-1.176615609,Low,3
9H2,1,F,9/24/2008,8,22,0,1,365,3283,3648,114,-1.626975377,Low,3
0L1,1,F,9/28/2010,6,14,5,1,365,2549,2914,114,0.624823461,average,2
2J6,1,F,9/15/2009,8,8,5,1,365,2927,3292,114,0.624823461,average,2
3L3,1,F,09/12/2010,6,15,7,1,365,2565,2930,114,1.525542997,High,2
5G3,1,F,09/10/2008,9,13,4,1,365,3297,3662,114,0.174463694,average,2
7I5,1,F,10/19/2009,7,11,4,1,365,2893,3258,114,0.174463694,average,2
8C0,1,F,10/12/2006,10,9,6,1,365,3996,4361,114,1.075183229,High,2
9 E5,1,F,10/16/2007,9,10,9,1,365,3627,3992,114,2.426262532,High,2
9I0,1,F,12/08/2009,7,16,1,1,365,2843,3208,114,-1.176615609,Low,2
19T,1,F,11/04/2002,14,NA,1,1,365,5434,5799,114,-1.176615609,Low,
1C2,1,F,10/25/2005,11,NA,1,1,365,4348,4713,114,-1.176615609,Low,
2I2,1,F,10/18/2009,7,NA,3,1,365,2894,3259,114,-0.275896074,average,
7 E1,1,F,10/02/2007,9,NA,1,1,365,3641,4006,114,-1.176615609,Low,
04N,2,F,3/25/2000,17,11,7,1,365,6388,6753,114,1.525542997,High,1
0A4,2,F,10/23/2004,12,14,4,1,365,4715,5080,114,0.174463694,average,1
0G5,2,F,10/05/2007,9,2,4,1,365,3638,4003,114,0.174463694,average,1
2L8,2,F,11/16/2010,6,10,5,1,365,2500,2865,114,0.624823461,average,1
3 E2,2,F,10/16/2006,10,12,5,1,365,3992,4357,114,0.624823461,average,1
43F,2,F,01/11/1996,21,1,3,1,365,7923,8288,114,-0.275896074,average,1
43J,2,F,01/12/1998,19,4,6,1,365,7191,7556,114,1.075183229,High,1
4C1,2,F,10/25/2005,11,5,3,2,282,4348,4630,114,-0.275896074,average,1
5C0,2,F,11/07/2005,11,3,8,1,365,4335,4700,114,1.975902764,High,1
6C0,2,F,2/26/2006,11,8,6,1,365,4224,4589,114,1.075183229,High,1
82A,2,F,1/29/1993,24,7,1,2,29,9000,9029,114,-1.176615609,Low,1
8J6,2,F,9/26/2009,7,13,3,1,365,2916,3281,114,-0.275896074,average,1
98T,2,F,01/12/2004,13,9,6,1,365,5000,5365,114,1.075183229,High,1
9D8,2,F,10/30/2006,10,6,2,1,365,3978,4343,114,-0.726255841,average,1
0A9,2,F,12/29/2004,12,53,8,1,365,4648,5013,114,1.975902764,High,3
0K2,2,F,11/22/2009,7,45,2,1,365,2859,3224,114,-0.726255841,average,3
1A3,2,F,11/26/2004,12,40,5,1,365,4681,5046,114,0.624823461,average,3
1H6,2,F,12/04/2008,8,68,3,1,365,3212,3577,114,-0.275896074,average,3
1J7,2,F,01/07/2010,7,39,4,1,365,2813,3178,114,0.174463694,average,3
1K5,2,F,10/24/2009,7,72,1,1,365,2888,3253,114,-1.176615609,Low,3
1L5,2,F,10/24/2010,6,52,2,1,365,2523,2888,114,-0.726255841,average,3
28G,2,F,1/26/1997,20,49,4,1,365,7542,7907,114,0.174463694,average,3
